$	ps	a sign of doller
છોડીને	dejando	leave
છોડો	salir	leave
છોડોની	de las plantas	leave
છોડ્યો	izquierda	left
જ	j	j
જંગ	jung	fight / war
જંગલ	bosque	jungle / forest /wood
જંગલના	del bosque	of jungle
જંગલની	del bosque	of forest / wood
જંગલમાં	en el bosque	in forest
જંગલી	salvaje	wild
જંગલો	los bosques	jungles
જંગી	masivo	huge
જંતુઓ	insectos	insect
જઇ	vamos	going
જઇને	yendo	went
જઈ	vamos	gone
જઈને	yendo	lived
જગ	jarra	world
જગત	mundo	world
જગતને	al mundo	world
જગતમાં	en el mundo	in world
જગન્નાથ	jagannath	jagannath
જગ્યા	espacio	place
જગ્યાએ	en su lugar	at place
જગ્યાએથી	fuera de lugar	from places
જગ્યાઓ	espacios	places
જગ્યાઓએ	en lugares	at places
જગ્યાનાં	del espacio	at place
જગ્યાની	del espacio	of place
જગ્યામાં	en el espacio	place
જટિલ	complejo	complex
જટિલતા	complejidad	complexity
જણ	hombre	persons
જણાય	parecer	assume
જણાયું	notado	found
જણાવવામાં	fijado	informing
જણાવી	fijado	informed
જણાવે	estados	informs
જણાવ્યા	fijado	knowing
જણાવ્યું	fijado	said
જતા	yendo	spending og going
જતાં	yendo	gone
જતી	volador	going
જતું	ido	go
જતો	ido	going
જથ્થાબંધ	venta al por mayor	wholesale
જથ્થામાં	en cantidades	in lot,
જથ્થો	cantidad	volume
જન	personas	civilian,
જનક	janak	name of king
જનતા	las masas	masses
જનતાના	de las masas	of the people
જનતાને	para el publico	to public
જનરલ	general	general
જનરેશન	generacion	generation
જનસંખ્યા	población	human population
જન્મ	nacido	birth
જન્મથી	desde el nacimiento	from birth
જન્મદિવસ	cumpleaños	birthday
જન્મની	de nacimiento	by birth
જન્મભૂમિ	patria	motherland
જન્મમાં	al nacer	in birth
જન્મસ્થળ	lugar de nacimiento	birthplace
જન્મી	nacido	born
જન્મે	nacido	takes birth
જન્મેલા	nacido	born
જન્મો	nacimientos	births
જન્મ્યા	nacido	was born
જપ્ત	confiscado	confiscate
જબ	cuando	when
જબરજસ્ત	abrumador	solid
જમણા	correcto	right
જમણી	correcto	right
જમવાની	comida	to eat
જમા	depositar	deposit
જમાનામાં	en los tiempos	generation
જમાવી	desplegado	make base
જમાવ્યું	desplegado	spread
જમાવ્યો	desplegado	established
જમિયલશા	jamialshah	jamiyalsha
જમીન	tierra	land
જમીનથી	desde el suelo	from land
જમીનના	de tierra	land's
જમીનની	de tierra	land's
જમીનનો	de tierra	land's
જમીનમાં	en el suelo	in earth
જમૈકા	jamaica	jamaica
જમ્મુ	jammu	city name
જમ્મૂ	jammu	city name
જય	arrendajo	win
જયંત	jayant	jayant, name of boy or man
જયંતિ	aniversario	jubilee
જયદ્રથ	jayadratha	jaydrath
જયદ્રથનું	de jayadratha	of jaydarth
જયદ્રથને	jayadratha	to jaydrath
જયસિંહ	jaisingh	jaisingh
જયા	jaya	jaya
જયાં	dónde	where
જયાંથી	de donde	from where
જયારે	mientras	when
જયોર્જ	jorge	george
જરૂર	necesitar	required
જરૂરિયાત	necesitar	need / requirement
જરૂરિયાતો	requisitos	necessities
જરૂરી	necesario	necessary
જરૂરીયાત	requisito	requirement
જર્નલ	diario	journal
જર્મન	alemán	german
જર્મની	alemania	germany
જર્મનીએ	alemania	by germany
જર્મનીના	de alemania	germany's
જર્મનીની	de alemania	germany's
જર્મનીનું	de alemania	germany's
જર્મનીમાં	en alemania	in germany
જર્મનો	alemanes	germans
જર્મનોએ	los alemanes	germans
જલારામ	jalaram	jalaram
જલ્દી	próximamente	quick
જલ્દીથી	próximamente	immediately
જળ	agua	water
જળમાં	en el agua	in water
જળવાઇ	mantenido	maintain
જળવાઈ	mantenido	preserved
જવલ્લેજ	raramente	rare
જવા	ir	go
જવાથી	yendo	having happened
જવાના	ir	of going
જવાની	ir	young
જવાનું	ir	went
જવાનો	ir	step / run
જવાબ	la respuesta	answer
જવાબદાર	responsable	responsible
જવાબદારી	responsabilidad	responsibility
જવાબદારીઓ	responsabilidades	responsibilities
જવાબમાં	en respuesta	in answered
જવામાં	andar	to go, to taken
જવાય	ir	go
જવાળામુખી	volcán	volcano
જવાહરલાલ	jawaharlal	jawaharlal
જવું	ir	go
જવો	vamos	to go(increment or decreament)
જશે	iré	will go
જશો	iré	[you will] go
જહાંગીર	jahangir	jahangir, name of muslim king
જહાજ	el barco	vessel
જહાજો	buques	ships
જહોન	juan	john
જા	vamos	go
જાગૃત	despierto	aware / conscious
જાગૃતિ	conciencia	uprising
જાણ	reporte	information
જાણકારી	información	information
જાણતા	gente	known
જાણતો	sabia	knowing
જાણવા	aprender	to know
જાણી	sabiendas	knowing
જાણીએ	haznos saber	know
જાણીતા	bien conocido	known
જાણીતાં	conocido	known
જાણીતી	conocido	known
જાણીતુ	conocido	known
જાણીતું	conocido	famous
જાણીતો	conocido	known
જાણીને	sabiendas	knowing
જાણે	sabe	know
જાત	calidad	self
જાતના	de la especie	of types
જાતનાં	especies	different
જાતને	nosotros mismos	self
જાતા	yendo	done
જાતિ	carrera	species
જાતિઓ	especies	species
જાતિના	raza	cast
જાતિમાં	en carrera	in species
જાતિય	sexual	sexual
જાતિવાદ	racismo	racialism
જાતીય	sexual	personal
જાતે	usted mismo	own
જાતો	variedades	going
જાદુ	magia	magic
જાદુઈ	mágico	magic
જાદુગરીની	brujería	of magic
જાન	jaan	life
જાનકી	janaki	janki
જાને	jane	to do
જાન્યુઆરી	enero	january
જાન્યુઆરીમાં	en enero	in january
જાપાન	japón	japan
જાપાનના	de japón	japan's
જાપાનની	de japón	japan's
જાપાનને	a japón	to japan
જાપાનમાં	en japón	in japan
જાપાની	japonés	japanese
જાપાનીઝ	japonés	japanese
જાપાને	japón	japan
જામનગર	jamnagar	jamnagar
જામા	jama	jama
જાય	va	do
જારી	emitido	continued
જાલંધર	jalandhar	jalndhar
જાળવણી	mantenimiento	preservation
જાળવવા	mantener	maintain
જાળવી	mantener	maintained
જાળસ્થળ	sitio web	website
જાળી	malla	grill
જાવ	vamos	go
જાવા	java	java
જાહેર	público	open
જાહેરખબર	anuncio	advertisement
જાહેરખબરો	anuncios	advertisements
જાહેરમાં	en público	in public
જાહેરાત	publicidad	advertisment
જાહેરાતકારો	anunciantes	advertisers
જાહેરાતના	de publicidad	advertisement,
જાહેરાતની	de publicidad	of advertisement
જાહેરાતો	anuncios	advertisements
જાહેરાતોના	de anuncios	of advertisements
જાહેરાતોની	de anuncios	of the advertisements
જાહેરાતોનું	de publicidad	of advertisement
જાહેરાતોને	anuncios	to advertisements
જાહેરાતોમાં	en anuncios	in advertisements
જિન	jin	those [hindi word in gujarati script]
જિલ્લા	distrito	districts
જિલ્લાઓ	distritos	districts
જિલ્લાના	del distrito	district's
જિલ્લાનાં	del distrito	of district
જિલ્લાની	del distrito	of district
જિલ્લાનું	del distrito	district
જિલ્લાનો	del distrito	district
જિલ્લામાં	en el distrito	in district
જિલ્લો	distrito	district
જિલ્‍લામાં	en el distrito	in distric
જિસે	jise	whom [hindi - urdu word]
જી	gramo	g.
જીએચ	gh	gh
જીએસએમ	gsm	gsm
જીડીપી	pib	gdp
જીત	ganar	victory
જીતવા	para ganar	to win
જીતી	ganar	win
જીત્યા	won	win
જીત્યો	won	won
જીમેલ	gmail	gmail
જીર્ણોધાર	renovación	repairing work
જીવ	criaturas	life
જીવંત	viva	live
જીવણ	vida	jivan
જીવણને	a la vida	to jivan
જીવણે	vivir	jivan, name of a person
જીવતા	vivo	living
જીવતો	viva	living
જીવન	vida	life
જીવનકાળ	toda la vida	lifetime
જીવનચરિત્ર	biografía	biography
જીવનના	de vida	in life
જીવનનાં	de vida	life's
જીવનની	de vida	life
જીવનનું	de vida	of the life
જીવનને	a la vida	life's
જીવનનો	de vida	life's
જીવનમાં	en la vida	in the life
જીવને	a la vida	life
જીવલેણ	fatal	fatal
જીવવિજ્ઞાન	biología	biology
જીવિત	viva	live
જીવે	en vivo	living
જીવો	criaturas	organisms
જીવ્યા	vivió	lived
જુએ	ve	waiting
જુઓ	ver	see
જુઓઃ	ver:	see
જુથ	grupo	group
જુથો	grupos	groups
જુદા	diferente	different
જુદાં	diferente	different
જુદાજુદા	diferente diferente	different
જુદી	diferente	different
જુદીજુદી	diferentemente	different
જુદો	separar	different
જુન	junio	june
જુના	antiguo	old
જુનાગઢ	junagadh	junagadh / junagarh
જુનાગઢની	de junagadh	junagadh's
જુનિયર	júnior	junior
જુની	antiguo	old
જુનું	antiguo	old
જુનો	juno	old
જુમ્મા	jumma	jumma (week)
જુલાઇ	julio	"month name ""july"""
જુલાઇનો	julio	july's
જુલાઈ	julio	july
જુલાઈમાં	en julio	in july
જુવાર	sorgo	jowar
જુસ્સો	pasión	force
જૂઓ	ver	see
જૂથ	grupo	group
જૂથના	del grupo	group's
જૂથમાં	en grupos	in group
જૂથો	grupos	groups
જૂન	junio	june
જૂનનો	junio	june's
જૂના	antiguo	old
જૂનાગઢ	junagadh	junagadh city name
જૂની	antiguo	old
જૂનુ	antiguo	old
જૂનું	antiguo	old
જૂનો	antiguo	old
જે	j	who, some one,
જેઓ	oms	those who
જેઓએ	joe	those who
જેક	jack	jack
જેટ	jet	jet
જેટલા	como mucho	about
જેટલાં	como mucho	that much
જેટલી	como mucho	as much
જેટલુ	como mucho	as much / that much
જેટલું	como mucho	as much
જેટલો	como mucho	as
જેઠ	jeth	jeth gujarati calendar
જેણે	oms	whom
જેતે	gana	of any type
જેથી	así que eso	that is why
જેના	de los cuales	of which, due to which
જેનાં	de los cuales	whom
જેનાથી	a partir del cual	by which
જેની	jenny	whose
જેનુ	genu	whose
જેનું	de los cuales	whose
જેને	a quien	to whom
જેનો	de los cuales	of
જેમ	me gusta	such as
જેમકે	me gusta	like
જેમજેમ	así	as
જેમણે	oms	who
જેમના	cuyo	whose
જેમની	cuyo	whose
જેમનું	de los cuales	whose
જેમને	quién	to whom [plural]
જેમા	incluso	in witch
જેમાં	en el cual	in which
જેમાંથી	de los cuales	from which
જેમાંના	de los cuales	from which
જેમાંની	de los cuales	which
જેમ્સ	james	james
જેલ	prisión	jail
જેલમાં	en prisión	in prison
જેલમાંથી	desde la prisión	from jail
જેલવાસ	prisión	custody,
જેવા	me gusta	like
જેવાં	me gusta	like
જેવાકે	como	such as
જેવી	me gusta	like
જેવીકે	como	for example
જેવું	me gusta	as
જેવો	me gusta	like
જૈન	jain	jain
જૈનો	jains	jains
જૈન્	jain	jain
જૈવિક	biológico	biological
જૈસે	como	as
જૉન	juan	john
જો	si	if
જોઇ	visto	after seeing
જોઇએ	debería	wanted
જોઇને	viendo	looking
જોઈ	mirando	to see
