$ tỉ	十亿美元	$ billion
thạc	大师	master
thạch	果冻	rock or stone (n.)
thạnh	桑	thanh
thạo	专家级	fluent
thả	下降	"(term should be ""thả lỏng"") to let loose (v.)"
thải	浪费	waste
thảm	地毯	carpet or rug (n.)
thản	宁静的	calmly
thảo	邵	"(term should be ""hội thảo"") a workshop (n.)"
thấp	低	low (adj.)
thấu	渗透剂	penetrate
thầm	默默地	"(term should be ""thì thầm"") to whisper (v.)"
thần	上帝	"entire term should be ""tinh than""; means ""of the mind"""
thầy	老师	teacher (n.)
thẩm	陪审员	osmotic/leak
thẫm	黑暗的	dark
thận	肾脏	careful
thập	交叉	tens
thật	是真的	true (adj.)
thắm	花瓣	tham
thắn	坦白地说	frank
thắng	赢了	win
thắngthua	文塔	win-lose
thắp	轻的	light
thắt	绑起来	tense
thằn	蜥蜴	"entire term should be ""than lan""; means ""lizard"""
thằng	盖伊	a derogatory term for a man (n.)
thẳm	深	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	直的	horizontal
thặng	剩余	surplus
thẹn	ham愧	shameful
thẻ	卡	card
thế	所以	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	钢铁	steel
thề	发誓	swear
thềm	架子	shelf
thể	成为	maybe
thỉnh	有时	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	时尚	prosperous
thịt	肉类	meat (n.)
thọ	长寿	phu tho
thọc	刺戳	jab
thỏ	兔子	rabbit
thỏa	协议书	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	锭	a bar (n.)
thối	烂	smelly
thốt	发出	scream
thồ	包	to transport via horse (v.)
thổ	大地	"(term should be ""lãnh thổ"") territory (n.)"
thổi	吹	blow
thớt	切菜板	sparse
thời	时间	period
thở	呼吸	breathe
thợ	工人	craftman
thụ	受体	"(term should be ""thụ thai"") to become pregnant"
thục	独立	(proper noun) a vietnamese first name
thụt	缩进	clyster
thủ	素数	masturbate
thủa	hua	during childhood
thủng	穿孔	having holes
thứ	东西	no.
thức	醒着	way
thừa	多余的	redundant
thừng	绳子	"(term should be ""thẳng thừng"") mercilessly"
thử	试一试	try
thửa	包裹	square
thự	别墅	mansion
thực	真实的	perform
ti	ti	titov
tia	射线	ray
tiananmen	天安门	tiananmen
tiara	头饰	tiara
tibet	西藏	(proper noun) tibet
tigris	底格里斯河	tigris
tiliaceus	虫	hoa dam but
tim	心	heart
timor	帝汶	timor
timothy	蒂莫西	timothy
tin	相信	believe
tinbắc	讯息	file bac
tincầu	锡桥	file bridge
tinh	星球	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	新闻	file river
tinthị	ị	file: town
tirol	提洛尔	tirol
tisdale	提斯代尔	tisdale
tish	菜	(proper noun) tish
tissa	蒂莎	(proper noun) tissa, as in moggaliputta tissa
tivi	电视台	television
tizard	蜥蜴	(proper noun) tizard
tiên	首先	first
tiêu	胡椒粉	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	不幸的是	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	高飞	seize
tiến	向前	operate
tiếng	小时	language
tiết	分泌物	abstinence/intensity
tiếu	高飞的	"(should be ""đàm tiếu"") to sneer"
tiềm	潜力	potential
tiền	钱	money (n.)
tiều	狗屎	(proper noun) the name of a poet
tiểu	小便	tiểu sử= biography
tiễu	刘先生	patrol
tiệc	派对	party
tiệm	沙龙	shop
tiện	方便的	mean
tiệp	捷克文	gustav franck
tiệt	他妈的	sterilize
tncs	跨国公司	communist youth union
tngt	ng	traffic accidents
tnhh	有限的	limited
toang	汤	fast
tobago	多巴哥	tobago
toei	都营	toei
tokugawa	德川	tokugawa
tokyo	东京	tokyo, the capital of japan
tokyopop	东京流行音乐	tokyopop
tomas	托马斯	(proper noun) tomas
tommy	汤米	tommy
tomoyo	友代	tomoyo
tony	托尼	tony
toonami	香浪	(proper noun) toonami
top	顶	top
torino	都灵	torino, as in the italian city
toriyama	鸟山	(proper noun) toriyama
tottenham	t热刺	tottenham
tourism	旅游	tourism
tourist	旅游者	tourist
toyama	富山	toyama
toyota	丰田	(proper noun) toyota
toà	法院	office
toàn	安全的	entire or whole (adj.)
toán	数学	team
toát	好	to exude or emit, as in sweat (v.)
toạ	座标	locate
toại	在	satisfaction
toả	散发	spread
tp	p	city
tphcm	tphcm	ho chi minh city
tphồ	城市	city ho
tpvĩnh	城市	vinh city
tqlc	tqlc	marine
trafalgar	特拉法加	(proper noun) trafalgar
trafford	特拉福德	trafford in greater manchester
trai	贻贝	boy
trang	页面	a page (n.)
tranh	图片	to compete (v.)
trao	授予	reward
trau	特劳	polish
tre	竹子	bamboo (n.)
treo	悬挂式	hang
tri	三	tri
tribune	论坛报	a name
trinh	处女	"(should be ""trinh bạch"") virtuous"
trinidad	特立尼达	trinidad
trinity	三位一体	trinity
tristan	特里斯坦	tristan
triết	哲学	philosophy
triền	特里恩	"(should be ""triền miên"") endless"
triều	潮汐	court
triện	印章	stamp
triệt	彻底地	completely
triệu	万	a million
tro	灰	ashes
troia	特罗亚	troy
trondheim	特隆赫姆	trondheim
trong	在	inside (adv.)
true	是真的	true
truman	杜鲁门	(proper noun) truman
trung	中间的	"(term should be ""trung gian"") agent (n.)"
trungnhật	诚实	china-japan
truong	ong	truong
truyên	特鲁安	story
truyện	故事	story
truân	特鲁恩	arduous
truất	tract毁者	cancel
truởng	首席	leader (n.)
truỵ	说谎	depraved
trà	茶	tea (n.)
tràm	cajuput	melaleuca
tràng	冒号	"entire term should be ""truc trang""; means ""rectum"""
trào	喷发	movement
trác	trac	trac
trách	怪	blame
trái	向左	against
trán	额头	forehead
tráng	涂层的	to coat (v.)
tránh	避开	to avoid (v.)
tráo	争夺	tráo trở= liar/betrayal/treacherous
tráp	棺材	casket
trát	认股权证	pile
trâm	胸针	a type of elegant hairpin (n.)
trân	最好的问候	respect
trâu	水牛城	a last name
trãi	分散的	trai
trèo	爬上	climb
trên	在	above
trình	服从	process
trí	心智	intellectual
trích	摘录	to extract (v.)
trò	游戏	role
tròn	圆的	rounding
trói	绑起来	tie
trôi	漂流	afloat
trông	看起来	look
trùm	老板	cover
trùng	巧合	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	登机	residence
trúc	竹子	structure
trăm	一百	hundred
trăn	蟒蛇	"(term should be ""trăn trở"") to ponder (v.)"
trăng	月亮	moon
trĩ	痔疮	hemorrhoids
trũng	下沉的	medium
trơ	惰性的	bare
trơn	顺利	slippery (adj.)
trư	特鲁	a pig (n.)
trưa	中午	noon (n.)
trưng	申请书	symbolic
trưngcông	展出	truongcong
trương	特龙	policy
trước	之前	front
trước 	之前	front
trướng	扩展	expand
trườn	爬行	crawl
trường	学校	case
trượng	手杖	a unit of length used in vietnam equal to 4 meters (n.)
trượt	滑	slide
trạch	ch	ze
trại	营地	camp
trạm	站	station
trạng	条件	situation
trạo	trao	trao
trả	支付	to return
trải	遮盖	spread
trảm	cajuput	beheaded
trảo	砍刀	trao
trấn	镇	town
trấu	稻壳	rice skin
trầm	低音	depression
trần	裸露的	tran
trầu	槟榔	trầu
trầy	抓	scratch
trẩy	弹跳	pilgrimage
trẫm	我是	i
trận	比赛	battle
trật	脱臼	order
trắc	生物识别	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	白色	white
trặc	打ic	"entire phrase is ""truc trac""; means ""problem"""
trẻ	年轻的	youth
trễ	迟到	late
trệ	停滞不前	bamboo
trị	治疗	cure
trịnh	hn	trịnh, a vietnamese last name
trọ	旅馆	motel
trọn	满满的	whole
trọng	重要的	serious
trỏ	指针	index
trối	最后的	last words
trốn	隐藏	to hide
trống	空的	in
trồi	新兴的	to emerge (v.)
trồng	种植	plant
trổ	展示	to burst open or display
trỗi	出现	rise
trội	显性的	better
trộm	小偷	theft
trớn	深情地	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	神	sun
trợ	支持	support
trụ	办公室	universe
trục	轴心	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	裸体的	"(term should be ""trơ trụi"") bare (adj.)"
trứ	特鲁	famous
trứng	鸡蛋	egg
trừ	除了	except
trừng	眩光	punish
trừu	抽象的	abstract
trữ	贮藏	reserve
trực	值班	direct
ts	ts	phd
tt	tt	news
tua	触手	fringe
tucker	塔克	tucker, an english last name
tudor	都铎王朝	(proper noun) tudor, as in the tudor family
tukhachevsky	图哈切夫斯基	(proper noun) tukhachevsky
tulip	郁金香	tulip
tum	tum	tum
tung	折腾	release
tupolev	图波列夫	tupolev, as in alexei tupolev
tuscan	托斯卡纳	(proper noun) tuscan
tutsi	图西	(proper noun) tutsi
tuvalu	图瓦卢	(proper noun) tuvalu, a polynesian island nation
tuy	但是	however
tuyên	宣告	"(should be ""tuyên ngôn"") a declaration"
tuyết	大雪	snow (n.)
tuyền	图恩	tuyen
tuyển	招募	recruit
tuyệt	太好了	excellent (adj.)
tuân	服从	comply
tuông	齐平	jealous
tuý	图伊	drug
tuần	周	week
tuế	小鱼	years
tuệ	智慧	intelligence
tuốc	拔毛	turbine
tuổi	年龄	age
tuộc	章鱼	octopus
tuột	滑落	slip
tuỳ	可选的	depend
tv	电视	tv
tvb	电视台	tvb
twin	双胞胎	twin
twitter	叽叽喳喳	twitter
ty	ty	company
type	类型	type
typhon	台风	typhon
tà	邪恶的	we
tài	财富	talent (n.)
tàn	灰烬	dying
tàng	博物馆	"(should be ""bảo tàng"") a museum"
tành	h	shatter
tàu	船	ship
tá	打	"(term should be ""thiếu tá"") major (n.)"
tách	杯子	to separate
tái	再	return
tám	八	eight
tán	天篷	support
tánh	h	life
táp	轻拍	to lap at (v.)
táu	有罪的	ashton
tâm	心智	tâm
tâu	我的主	peach
tây	西	western
tâynam	westnam	"(should be ""tây-nam"") southwest"
tã	尿布	diaper
tét	尖叫声	tet
tê	麻木	numb
tên	名字	name (n.)
tì	脾脏	to lean on (v.)
tìm	找	find
tìmdiệt	搜寻	find-kill
tình	爱	sex
tía	紫色的	dad
tích	产品展示	"(term should be ""tích cực"") to be zealous (adv.)"
tím	紫色的	purple
tín	学分	"(entire term should be ""tín dụng"") credit"
tít	标题	"(term should be ""tít mù"") very far away (adv.)"
tò	好奇心	curious
tòa	法院	a court
tòi	东西	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	慕道	tòng, a last name
tóm	纲要	summary
tô	碗	car
tôi	我	i
tôm	虾	shrimp
tôn	瓦楞纸	venerate
tông	硬纸板	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	监狱	prison
tùng	备用	tung
tùy	可选的	depend on
túc	充足性	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	包袋	pocket
túm	抢	catch
túng	尴尬的	confuse
túp	小屋	hut
túy	药	"(term should be ""thuần túy"") pure (adj.)"
tý	老鼠	mouse, as in year of the mouse
tăm	牙签	"(term should be ""tiếng tăm"") reputation"
tăng	增加	increase
tĩnh	静态的	calm
tơi	我	ragged
tư	来自	posture
tưng	摇摇欲坠	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	新鲜的	fresh
tương	类似的	"(term should be ""tương tự"") to be similar to"
tước	剥离	title (n.)
tưới	浇水	irrigation
tướng	一般	prime minister (thu tuong)
tường	墙	"a common vietnamese first name; means ""wall"""
tạ	杠铃	weight
tạc	雕刻	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	在	survival
tạm	临时的	temporary
tạo	创造	create
tạp	杂志	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	说明	describe
tản	耗散	disperse
tảng	平台	platform
tấc	英寸	inch
tấm	盘子	mirror
tấn	吨	tan
tấp	拉	crowded
tất	袜子	all
tấu	工具性的	tau
tầm	游戏类	range or extent (n.)
tần	频次	"(term should be ""tần số"") frequency (n.)"
tầng	地板	layer
tầu	火车	ship
tẩm	浸渍的	soak
tẩy	橡皮擦	to bleach
tận	结束	dedicated
tật	残疾	disease
tắc	开关	priciple
tắm	洗个澡	bathing
tắt	关	initial
tặc	骇客	"(term should be ""hải tặc"") a pirate (n.)"
tặng	捐赠	donate
tẻ	单调的	lẻ tẻ= scattered
tết	春节	(proper noun) the vietnamese new year
tếxã	经济地	economy - society
tề	像样	tidy
tể	先生	lord
tệ	不好	bad
tệp	档案	file
tỉa	修剪	"(term should be ""bắn tỉa"") to snipe"
tỉnh	省	province
tị	羡慕	refugee
tịch	社长	"(""chủ tịch"") president or chairman"
tọa	座标	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	表达的	to
tỏa	散发	radiate
tỏi	蒜	garlic
tốc	速度	speed
tốn	费用	to cost (v.)
tống	护送	dispose
tốp	帮派	top
tốt	好	good
tồi	不好	bad
tồn	存在	exist
tổn	伤了	damage
tổng	合计	president
tộc	氏族	"(term should be ""dân tộc"") a race or people"
tội	犯罪	crime
tột	极端的	extreme
tớ	我	servant
tới	到	to the point
tờ	床单	paper/document
tởm	恶心的	disgusting
tục	亵渎	"(term should be ""tập tục"") customs or practices"
tụy	胰腺	"(term should be ""tận tụy"") devoted (adj.)"
tủ	橱柜	shelf
tủi	不好	humiliated
tủy	延髓	spine
tức	瞬间	i.e.
từ	来自	from
từng	每个	each
tử	死亡	lion (su tu)
tửu	喝酒	wine
tự	自我	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	头衔	lean
tựu	成就	achievement
tỵ	蛇类	the han name for the year of the snake, according to the chinese zodiac
tỷ	十亿	billion
u	ü	tumor
ua	ua	ua
uae	阿联酋	uae
ubuntu	ubuntu	ubuntu
uc	uc	uc
uchiha	宇智波	uchiha
uefa	uefa	uefa
uh	嗯	uh
uk	英国	uk
ukiyoe	浮世绘	ukiyoe
ukraina	乌克兰语	ukraine
ulsan	蔚山	ulsan
umm	嗯	umm
un	联合国	(proper noun) un, as in chung un chan of korea
und	和	und
under	在...之下	under
unesco	联合国教科文组织	unesco
ung	ung	cancer
unicorn	独角兽	unicorn
unit	单位	unit
unix	unix	unix
up	起伏	up
ural	乌拉尔	ural, as in the ural mountains
urani	铀	uranium
uri	乌里	uri, a former political party in south korea
uruguay	乌拉圭	uruguay
usagi	宇佐木	usagi
usb	usb	usb
uss	美国	uss
utah	犹他州	utah
utrecht	乌得勒支	(proper noun) utrecht
uy	y	"(term should be ""uy lực"") power (n.)"
uyghur	维吾尔族	(proper noun) uyghur
uygur	维吾尔族	uygur
uyên	乌en	scholarly
uyển	委婉语	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	乌兹别克斯坦	uzbekistan
uông	翁	uong
uất	ấ	busy
uốn	弯曲	to curl (v.)
uống	喝	to drink
uổng	浪费	vain
v	v	v
va	va	collide
vaccine	疫苗	vaccine
vai	肩	shoulder
valencia	巴伦西亚	valencia
valentine	情人	valentine
valley	山谷	valley
van	货车	"(term should be ""van xin"") to beg (v.)"
vanessa	凡妮莎	vanessa
vargas	瓦加斯	(proper noun) vargas
vasari	瓦萨里	vasari
vay	借	borrow
vectơ	向量	vector
ven	文	"(term should be ""ven biển"") coastal (adj.)"
vendôme	旺多姆	vendome
venezia	威尼斯	venice
venus	金星	venus
verdun	凡尔登	verdun
vermont	佛蒙特州	vermont
verona	维罗纳	(proper noun) the city of verona
versailles	凡尔赛宫	(proper noun) versailles
vhs	甚高频	vhs
vi	六	behavior
viagra	伟哥	viagra
victor	胜利者	(proper noun) victor
victoria	维多利亚	victoria, a province of australia
vienna	维也纳	(proper noun) vienna, austria
viet	越	vietnamese
vietnam	越南	vietnam
viettel	维特尔	viettel
viii	八	eighth
vijaya	维贾亚	(proper noun) vijaya
viking	维京人	viking
villa	别墅	villa
villeneuve	维尔纽夫	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	文斯	(proper noun) vince, as in vince mcmahon
vincennes	万森纳	vincennes
vincent	文森特	vincent
vinpearl	珍珠贝	vinepeal
viqr	viqr	viqr
virginia	弗吉尼亚州	(proper noun) virginia, as in the state
virus	病毒	virus
virút	病毒	virus
vissarionovich	维萨里奥诺维奇	vissarionovich
vista	远景	vista, as in windows vista
vitamin	维他命	vitamin
vitruvius	维特鲁威	vitruvius
viz	即	(proper noun) viz
viêm	发炎	inflammation
viên	平板电脑	member
viêng	ng	vientiane
viêt	写作	vietnam
viếng	拜访	visit
viết	写	write
việc	工作	thing
viện	研究所	institute
việt	越南文	viet
việtmường	越南孟人	muong
việtnga	越南	vietnam-russia
việttrung	越南	vietnam-china
vn	n	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	象	elephant
voip	语音	voip
voldemort	伏地魔	(proper noun) voldemort, the villain from the harry potter series
von	冯	compare
vonfram	钨	wolfram
vong	伤亡人数	injured
voyager	航海家	voyager
voọc	叶猴	a langur (n.)
vtc	录像机	vtc
vu	u	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	国王	king
vui	好玩	happy
vulcan	火神	vulcan
vuông	方	square
vuốt	爪子	stroke
vv	等	etc.
vy	维	vy
vyacheslav	维亚切斯拉夫	vyacheslav
và	和	and
vài	几个	several
vàm	虚拟机	the mouth of a rivulet (n.)
vàng	金币	gold
vành	轮辋	coronary
vào	在	into
vá	补丁	patchy
vác	携带	to shoulder (v.)
vách	墙	wall
vái	是的	some
ván	木板	game
váng	败类	film
váy	裙子	skirt
vân	依此类推	"(term should be ""vân vân"") et cetera"
vây	鳍	encircle
vã	冲了	rush
vãi	狗屎	to release
vãn	范	save
vè	小便	to glance slyly (v.)
vé	车票	ticket
vét	疏edge	plunder
vê	关于	tremolo
vì	因为	because
ví	钱包	example
vía	钱包	soul
vít	螺丝	screw
vò	皱巴巴的	jar
vòi	胶管	tap
vòm	拱门	upper jaw
vòng	圆的	around
vó	hoo	hooves
vóc	体质	"(should be ""vóc sương"") dew-like or delicate"
vô	没有啦	"(term should be ""vô số"") countless (adj.)"
vôi	青柠	limestone
võ	武术	martial arts (n.)
võng	吊床	hammock
vùi	埋葬	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	地区	region
vú	乳房	breast (n.)
vút	飙升	"entire term should be ""cong vut""; extreme curling"
văn	发表于	culture
văng	飞溅	a name
vĩ	太好了	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	永久地	ving
vũ	u	armed
vũng	水坑	vung
vơ	无助	lost
vơi	与	ullage
vưu	ư	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	达到	reach
vương	金王	kingdom
vướng	纠缠	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	花园	garden
vượn	猿类	gibbon
vượt	通过	to overcome
vạ	所以	unfortunate problem
vạc	大锅	cauldron
vạch	吧	bar
vại	战车	jar
vạn	一万	thousand
vạng	暮光之城	twilight
vả	无花果	hard
vải	布	fabric
vảy	秤	scale
vấn	忠告	vấn đề= problem
vấp	迷迷糊糊	stumble
vất	丢掉	hard
vần	韵	spell
vầng	光环	moon (vang trang)
vẩn	还是	wander
vẩy	片状	scale
vẫn	还是	still
vẫy	挥手	wave
vận	财富	active
vắc	疫苗	vaccine
vắcxin	疫苗	vaccine
vắn	简短的	short
vắng	缺席的	absent
vặn	螺丝	to twist (v.)
vặt	分类	odd
vẹn	正直	complete
vẹt	鹦鹉	parrots
vẽ	画	draw
vết	污点	wound
vểnh	栖息	warping
vệ	防御	"(term should be ""bảo vệ"") to defend (v.)"
vệt	条纹	streak
vỉa	接缝	"(term should be ""vỉa hè"") sidewalk"
vịnh	海湾	bay
vịt	鸭子	duck
vọng	希望	"(term should be ""hy vọng"") hope (n.)"
vọt	暴涨	to spurt out (v.)
vỏ	贝壳	shell
vồ	木槌	"(term should be ""gạch vồ"") a type of brick"
vỗ	拍拍	to clap
vội	赶快	hurriedly (adv.)
vớ	袜子	"(term should be ""vớ vẩn"") silly (adj.)"
với	与	to
vớt	打捞	salvage
vờ	假装	"(term should be ""giả vờ"") to pretend (v.)"
vời	太好了	wonderful
vở	笔记本	"(term should be ""vở kịch"") a play"
vỡ	坏了	break
vợ	老婆	wife
vụn	筹码	debris
vụng	笨拙的	covert
vứt	丢掉	throw away
vừa	中等	just (adv.)
vừng	芝麻	sesame (n.)
vững	坚定的	firm (adj.)
vực	场	place
vựng	词汇量	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	所以	majestic
w	w	w
wa	wa	wa
walt	沃尔特	(proper noun) walt, as in walt disney
walter	沃尔特	walter
walther	沃尔特	walther
wan	wan	wan
wang	王	wang
wankel	旺克尔	(proper noun) wankel
wanna	想	wanna
warren	沃伦	a name
warsaw	华沙	warsaw
warszawa	华沙	(proper noun) warsaw
washington	华盛顿	(proper noun) washington
wat	at	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	水门	watergate
waterloo	滑铁卢	(proper noun) waterloo
waters	水域	waters
wayne	韦恩	wayne
wcdma	wcdma	w-cdma
weasley	韦斯莱	weasley, as in ron weasley in the harry potter series
weblog	网志	weblog
webmail	网络邮件	ưebmail
weimar	魏玛	(proper noun) weimar
wellington	惠灵顿	wellington
wells	井	wells, as in author orson wells
welsh	威尔士语	(proper noun) welsh, as in the welsh language
wembley	温布利	wembley, as in wembley stadium
werner	维纳	werner
westermarck	韦斯特马克	westermarck
western	西方的	western
westlife	西部生活	westlife
westview	西景	westview, as in westview press
wheeler	惠勒	a name
widener	加宽	widener
wien	维恩	wien
wiener	维纳	wiener
wifi	无线网络	wi-fi, a technology term
wiki	维基	wiki
wikia	维基	a name
wikibooks	维基书籍	(proper noun) wikibooks
wikimapia	维基百科	wikimapia
wikimedia	维基媒体	wikimedia
wikitravel	维基旅行	a name
wild	野性的	wild
wilder	更狂野	(proper noun) wilder, as in billy wilder
wiley	威利	wiley
willard	威拉德	willard
wimbledon	温布尔登	wimbledon
windows	窗户	windows
winer	温纳	winer
wisconsin	威斯康星州	(proper noun) wisconsin
within	内	within
without	没有	without
wolfgang	沃尔夫冈	wolfgang
won	赢了	won
wong	黄	wong
woodrow	伍德罗	woodrow
woods	树林	(proper noun) woods, as in tiger woods
would	会	would
wrestling	摔角	wrestling
wright	赖特	a name
wu	wu	wu
wushu	武术	wushu, a type of martial art
wwf	万维网	wwf
xa	很远	ancient
xang	ang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	绿色的	green
xao	松弛	xôn xao = chatting
xay	磨	grind
xe	车	a car (n.)
xem	看	watch
xen	en	to insert (v.)
xhcn	h	social republic
xi	xi	xi
xiii	十三	eighth
xin	拜托	please
xinh	美丽的	beautiful
xiv	十四	fourteenth
xiêm	连体	(proper noun) xiêm, or siam
xiên	倾斜的	oblique
xiêu	小	soften
xiếc	马戏团	circus
xiết	收紧	to twist tightly (v.)
xiềng	ckle锁	chain
xo	o	spring
xoa	擦	massage
xoay	旋转	turn
xong	做完了	completed
xoàng	平庸的	mediocre
xoá	删除	delete
xoáy	旋流	vortex
xoắn	扭曲的	coiled
xu	美分	trend
xua	驱散	dispel
xuan	uan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	倒霉的	incite
xuka	徐卡	xuka
xum	茂盛的	a name
xuyên	刺穿	frequently
xuyến	躯干	manage
xuân	春天	spring
xuâncông	春天	xuan public
xuôi	扫过	down
xuất	出口	ejaculate
xuấtnhập	出口	import/export
xuống	下来	down
xuồng	独木舟	boat
xv	十五	fifteenth
xvi	十六	xvi
xvii	vi	xvii
xx	xx	xx
xy	y	cylinder
xài	花费	use
xào	炒	stir fry
xách	手袋	to carry by the handle (v.)
xám	灰色的	ustox
xán	炒	"(term should be ""xán lạn"") bright (adj.)"
xáo	扰动	chaos
xát	擦	touch
xâm	纹身	invasion
xâu	弦	string
xây	建立	build
xã	公社	society
xãy	善变的	occur
xèo	è	xeo
xé	眼泪	tear
xén	裁剪	"(term should be ""biếu xén"") to gift (v.)"
xéo	倾斜的	diagonally (adv.)
xét	考虑	examine
xê	移动	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	顺野	xeko
xì	放屁	scandal
xìu	放屁	to become flaccid (v.)
xí	工厂	factory (xi nghiep)
xít	令人着迷	nazi
xíu	细小	small
xòe	传播	spread
xóa	删除	clear
xói	侵蚀	erode
xóm	邻居们	village
xót	怜悯	mercy
xô	斗	soviet
xôi	糯米	pierce
xôn	搅动	tumultuous
xông	冲了	rush
xôphần	铲斗部分	soviet-poland
xôviết	苏联	soviet
xù	uffle	gigantic
xú	粗鲁的	xu
xúc	联系方式	touch
xúi	招惹	induce
xăm	刺青	"(term should be ""xa xăm"") far away (adj.)"
xăng	汽油	gasoline
xơ	纤维	xo
xưa	旧的	old
xưng	认罪	"(should be ""tự xưng"") self-proclaimed"
xương	骨头	bone (n.)
xước	抓	scratch
xướng	合唱团	provoke
xưởng	车间	workshop
xạ	放射线	"(term should be ""phản xạ"") to reflect"
xả	放电	release
xảo	狡猾的	detailed
xảy	发生	happen
xấp	大约	approximate
xấu	不好	bad
xẩm	毛茸茸的	a type of traditional vietnamese singing
xẩy	发生	occur
xắt	切	cut
xẻo	倒霉的	cut off
xếp	折叠的	rank
xỉ	炉渣	approximately
xỉa	牙线	to pick (v.)
xỉu	微弱	to faint
xốc	震惊	to lift up (v.)
xốp	多孔的	porous
xổ	抽奖	rush into
xộn	凌乱的	messy
xứ	制成的	native
xứng	值得	appropriate
xử	对待	judge
y	健康	medical
y=fracsin	y =果胶	a function
ya	亚	(proper noun) ya, as in ya trang
yakovlev	亚科夫列夫	yakovlev
yakushima	屋久岛	yakushima
yalta	雅尔塔	(proper noun) yalta
yankee	扬基	(proper noun) yankee
yard	码	yard
yasha	雅莎	a name
yeeun	艺恩	(proper noun) yeeun
yeltsin	叶绿素	yeltsin, as in boris yeltsin
yemen	也门	yemen
yersin	叶尔辛	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	伊姆卡	ymca
yo	哟	yo
yomiuri	读卖	yomiuri
yoochun	chun春	yoochun
york	约克	york
yorker	约克	yorker
yorkshire	约克郡	yorkshire
youtube	youtube	youtube
ypres	伊普尔	ypres
ytv	电视台	ytv
yu	宇	yu
yuan	元	(proper noun) yuan, as in yuan mu
yucatán	尤卡坦州	yucatan, as in the yucatan peninsula
yudhoyono	尤多约诺	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	汤木	yugi
yukito	幸人	yukito
yume	梦	(proper noun) yume
yunho	云浩	yunho
yuri	尤里	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	蒙古包	yurt
yên	日元	peace or stillness (n.)
yêu	爱	love
yếm	工作服	tender
yến	燕窝	a type of swallow (n.)
yết	上市	yet
yếu	弱	mainly
yểm	遮盖	support
yển	en	"is a name meaning, ""bird"""
yểu	可爱的	"(term should be ""yểu điệu"") graceful (adj.)"
z	ž	z
zac	扎克	zac
zambia	赞比亚	(proper noun) zambia, as in the nation
zealand	新西兰	(proper noun) zealand, as in new zealand
zedong	泽东	mao zedong
zero	零	zero
zeus	宙斯	zeus
zheng	heng	zheng
zhukmse	朱克塞	zhuk-mse
zimbabwe	津巴布韦	zimbabwe
zinedine	齐尼丁	(proper noun) zinedine
zing	zing	zing, as in the website
zoe	佐伊	zoe
zurich	苏黎世	(proper noun) zurich
zürich	苏黎世	(proper noun) zurich, as in zurich, switzerland
|nguyễn	|阮	a common vietnamese last name
|nổi	|浮点数	"(term should be ""nổi"") to float (v.)"
|petya	| petya	(proper noun) petya
|tên	|名称	"(should be ""tên"") name (n.)"
|việt	|越南语	vietnam
 kg	公斤	kg
 triệu	万	million
 °c	°c	degrees celsius
°đến	°至	up to
°độ	°度	degree
×	×	x
ào	哇	rush
á	á	asia
ác	邪恶的	evil
ách	轭	yoke (n.)
