$	usd	(dollar sign)
extreme	ekstrēms	extreme
extrémités	ekstremitātes	ends
extrême	ekstrēms	extreme
extrêmement	ārkārtīgi	extremely
extrêmes	ekstrēms	extremes
extérieur	ārpusē	outside
extérieure	āra	external
extérieures	ārpuse	outside /  foreign office(for talleyrand)
extérieurs	eksterjers	outside
exécuter	izpildīt	to execute
exécutif	izpilddirektors	executive
exécution	izpildīšana	execution
exécutions	izpildi	executions
exécuté	izpildīts	execute
exécutés	izpildīts	executed
f	f	f
fa	fa	fa
fables	pasaciņas	tales
fabricants	ražotāji	makers
fabrication	ražošana	making
fabrique	izgatavots	build
fabriquer	veidot	produce
fabriqué	izgatavots	manufactured
face	seja	confront
facebook	facebook	facebook
faces	sejas	tail
facile	viegli	easy
facilement	viegli	easily
faciliter	atvieglot	ease
facilité	vieglumu	eased
facteur	pastnieks	point
facteurs	faktori	factors
facto	faktiski	facto
faculté	fakultāte	2 different for 2 phrases 1= ability 2nd sentence university
facultés	fakultātes	abilities
faible	zems	small
faibles	vājš	weak
faiblesse	vājums	weakness
faiblesses	vājās puses	weaknesses
faille	vaina	fault
failles	kļūdas	faults
faillite	bankrots	bankrupt
faim	izsalkums	starvation
faire	veidot	do
faisaient	darīja	did
faisait	darīja	made
faisant	darot	doing
fait	fakts	do
faite	izgatavots	put
faites	darīt	do
faits	fakti	facts
falciparum	falciparum	falciparum
fallait	vajadzēja	had to
fame	slava	fame
fameuse	slavens	famous
fameux	slavens	famous
familial	ģimene	family
familiale	ģimene	family
familiales	ģimene	family
famille	ģimene	family
familles	ģimenes	families
family	ģimene	fimily
famine	bads	famine
fan	ventilatoru	fan
fans	fani	fans
fantastique	fantastiski	fantastic
fantastiques	fantastiski	fantastic
fantasy	fantāzija	fantasy
fantôme	spoks	ghost
fantômes	spokiem	ghosts
fascination	valdzinājums	fascination
faso	faso	burkina faso, the name
fasse	darīt	make
fatigue	noguris	tiredness
faudra	nāksies	would be needed
faune	savvaļas dzīvnieki	fauna
fausse	viltus	wrong
fausses	viltus	false
faut	vajadzētu	must be
faute	vaina	fault
faux	viltus	scythe
faveur	labvēlība	favor
favorable	labvēlīgs	favourable
favorables	labvēlīgs	favourable
favori	mīļākais	favorite
favorisant	labvēlīgs	favoring
favorise	dod priekšroku	favors
favoriser	labvēlība	favor
favorisé	labvēlīgi	promoted
favorite	mīļākais	favored
fayard	pagalms	fayard
façade	fasāde	front
façades	fasādes	facades
façon	veids	ways
façons	manieres	ways
fbi	fbi	fbi
fc	fc	canadian forces
feat	feat	avec
federation	federācija	federation
federer	federācija	federate
fellation	fellatio	blow job
femelle	sieviete	female
femelles	mātītes	females
femme	sieva	woman
femmes	sievietes	woman
fenêtre	logs	window
fenêtres	windows	windows
fer	dzelzs	"fer = iron, but ""chemin de fer"" = railroad"
fera	darīšu	will
ferait	darītu	would make
ferdinand	ferdinands	ferdinand
ferme	slēgts	firm
fermentation	fermentācija	fermentation
fermeture	noslēgums	closure
fermé	slēgts	closed
fermée	slēgts	closed
fernand	papardes	fernand
fernando	fernando	fernando
feront	darīšu	will
ferroviaire	dzelzceļš	railway (when used as an adjective)
ferroviaires	dzelzceļš	train
ferrées	dzelzceļi	rail
festival	festivāls	festival
festivals	festivāli	festivals
feu	uguns	fire
feud	naids	feud
feuille	lapu	leaf
feuilles	lapas	leaves
feuilleton	seriāls	series
feux	luksofori	fires
fiabilité	uzticamība	reliability
fiable	uzticama	reliable
fibre	šķiedra	fiber
fibres	šķiedras	roughage
fiche	spraudnis	plug
fichier	failu	file
fichiers	failus	files
fictif	fiktīvs	fictitious
fiction	daiļliteratūra	fiction
fidel	uzticīgs	(man's name - fidel castro)
fidèle	uzticīgs	faithful
fidèles	uzticīgs	believers
fidélité	lojalitāte	fidelity
field	lauka	field
fifa	fifa	fifa
figaro	figaro	figaro
fight	cīņa	fight
figurant	parādās	in (for wilkepedia) on(for os map) amongst(for the chefs d'oeuvre)
figure	skaitlis	lays
figurent	parādās	are amongst
figures	skaitļi	figures
fil	vads	over
file	failu	can only translate full context chef de file = leader
filet	tīkls	net
filiale	meitas uzņēmums	subsidiary
filiation	filiāle	filiation
fille	meitene	daughter
filles	meitenes	daughters
film	filma	film
filmographie	filmogrāfija	filmographie
films	filmas	movies
filmé	nofilmēts	filmed
fils	dēls	son
fin	beigas	end
final	fināls	final
finale	fināls	final
finalement	beidzot	finally
finales	fināls	finals
finaliste	fināliste	finalist
finance	finanses	finance
financement	finansējums	funding
financer	finanses	finance
finances	finanses	finances
financier	finanšu	financial
financiers	finanšu	financial
financière	finanšu	financial
financièrement	finansiāli	financially
financières	finanšu	financial
fincher	finčers	fincher
fine	labi	fine
fines	labi	well written
fini	pabeigts	ended
finir	pabeigt	ends
finira	beigsies	eventually
finissent	galu galā	finish
finit	beidzas	ends
finlande	somija	finland
fins	beidzas	ends
firent	izdarīja	closed (firent fermer)
firme	stingrs	firm
first	vispirms	first
fiscale	fiskālā	tax
fiscales	fiskālā	tax
fiscalité	nodokļi	tax system
fit	der	made
five	pieci	five
fixation	fiksācija	fixation
fixe	fiksēts	fix
fixer	skatīties	fix
fixes	fiksēts	fixed
fixé	fiksēts	fixed
fixée	fiksēts	fixed
fixés	fiksēts	fixed
fièvre	drudzis	fever
flagellés	pārslīdēja	flagellum
flair	nojauta	(name)
flamande	flāmu	flamand
flamands	flāmu	flemish
flammarion	uzliesmojums	flammarion
flammes	liesmas	flames
flandre	flandrija	flanders
flandres	flandrijas	flanders
flash	zibspuldze	flash
flaubert	flauberts	flaubert
fleming	flemings	fleming
fleur	zieds	blossom
fleurs	ziedi	flowers
fleuve	upe	river
fleuves	upes	river (but major ones)
fln	fln	front of national liberation
flore	flora	flora
florence	florence	florence (can be a person's name or the italian city)
floride	florida	florida
flotte	flote	fleet
floyd	floyd	floyd
fluide	šķidrums	fluid
flux	plūsma	stream
flèche	bultiņa	arrow
fm	fm	fm
fmi	svf	imf
foi	ticība	faith
foie	aknas	liver
fois	laiks	time
foisci	reizes	this time
folie	ārprāts	madness
folio	folijs	folio (in french this is a luxury publisher name)
folk	tautas	folk
folklore	folklora	folkore
fonction	funkcija	function
fonctionnaires	ierēdņi	public servants
fonctionnalités	iespējas	features
fonctionnant	strādā	operate
fonctionne	darbojas	works
fonctionnelle	funkcionāls	functional
fonctionnement	operācija	operation
fonctionner	funkcija	work
fonctions	funkcijas	functions
fond	fons	content
fondamental	fundamentāls	crucial
fondamentale	fundamentāls	core
fondamentales	fundamentāls	fundamental
fondamentaux	pamati	fondamental
fondateur	dibinātājs	fonder
fondateurs	dibinātāji	founders
fondation	pamats	foundation
fondations	pamati	foundations
fonde	balstīta	funds
fondement	pamats	foundation
fondements	pamati	foundations
fondent	izkausēt	founded
fonder	atrasts	found
fonds	fondi	funds
fondé	balstīta	founded
fondée	dibināta	founded
fondées	dibināta	founded
fondés	dibināta	funded
font	darīt	make
fontaine	strūklaka	fountain
fonte	kūst	melting
fontsizes	fontsizes	fontsizes
footballeur	futbolists	football player
for	priekš	for
force	spēks	forced
forcé	spēks	forced
forcée	piespiedu kārtā	forced
forcément	obligāti	necessarily
ford	ford	ford (name)
forest	mežs	forest
forever	mūžīgi	forever
forfait	vienota likme	package
formant	formēšana	forming
format	formāts	format
formation	apmācība	training
formations	apmācība	training
formats	formāti	formats
forme	forma	shape
formellement	formāli	formely
forment	forma	form
former	forma	create
formes	formas	shapes
formule	formula	formula
formules	formulas	formulas
formé	forma	formed
formée	veidojas	formed
formées	apmācīti	established
formés	apmācīti	educated
fort	stipra	strong
forte	stipra	strong
fortement	stingri	strongly
forteresse	cietoksnis	fortress
fortes	stipra	strong
fortifications	nocietinājumi	fortifications
forts	stipra	strong
fortune	laime	fortune
forum	forums	forum
forêt	mežs	forest
forêts	meži	forests
fosse	bedre	pit
fossiles	fosilijas	fossiles
fou	traks	crazy
fouilles	izrakumi	searches
fouine	zebiekste	fouine
foule	pūlis	crowd
foules	pūļi	crowds
foulée	solis	wake
foundation	pamats	foundation
four	krāsns	oven
fourni	ar nosacījumu	provided
fournie	ar nosacījumu	lengthened
fournir	nodrošināt	provide
fournissent	nodrošināt	provide
fournisseur	sniedzējs	supplier
fournisseurs	piegādātāji	suppliers
fournit	nodrošina	provides
fourrure	kažokādas	fur
fox	lapsa	fox
foyer	foajē	a home
foyers	mājas	households
fr	fr	en
frac	lūzums	frac
fraction	frakcija	fraction
fragile	trausls	fragile
fragments	fragmenti	bit
frais	svaigi	fres
franc	franks	franc
france	francija	france
francesco	frančesko	francesco
francis	franks	francis
francisation	frankizācija	francization
francisco	francisco	francisco
franck	franks	franck
francmaçonnerie	brīvmūrnieks	freemasonry
franco	bez maksas	franco
francophone	franciski runājoši	french-speaking
francophones	franciski runājošie	french-speaking
francophonie	franciski runājoši	french-speaking (but usually not translated)
francs	franki	franc
frank	atklāti	frank
franklin	franklins	franklin
franz	franzs	franz
français	franču valoda	french
française	franču valoda	french
françaises	franču valoda	french
françois	fransuā	françois
françoise	franciski	francoise
frappe	sist	strike
frapper	sist	beat
frappé	sist	strike
fred	fred	fred
freddie	fredijs	freddie
free	bez maksas	free
freedom	brīvība	freedom
frein	bremzēt	brake
french	franču valoda	french
fresques	freskas	frescoes
freud	freids	freud
friedrich	frīdrihs	friedrich
friends	draugi	friends
fritz	frici	fritz
froid	auksts	cold
froide	auksts	cold
froides	auksts	cold
froids	auksts	cold
from	no plkst	from
fromage	siers	cheese
front	piere	front
frontière	robeža	border
frontières	robežas	borders
fruit	augļi	fruit
fruits	augļi	benefits
fry	apcep	fry
frère	brālis	brother
frères	brāļi	brothers
frédéric	frédéric	frédéric
fréquemment	bieži	frequently
fréquence	biežums	freqeuncy
fréquent	bieža	frequently
fréquentation	apmeklējums	frequectation
fréquente	bieža	see frequently
fréquentes	bieža	frequent
fréquents	bieža	fairly commun
ftp	ftp	ftp
fuir	aizbēgt	escape
fuite	lidojums	leak
funk	funk	funk
funès	bēres	funes
funérailles	bēres	funeral
fur	niknās	as
furent	bija	were
fusion	saplūšana	fusion
fut	bija	was
futur	nākotne	future
futurama	futurama	fururama
future	nākotne	future
futures	nākotne	future
futurs	nākotne	future
fès	fez	fez
fécondité	auglība	fertility
fédéral	federālā	federal
fédérale	federālā	federal
fédérales	federālā	federal
fédération	federācija	federation
fédérations	federācijas	federations
félix	fēlikss	félix
féminin	sievišķīgi	feminine
féminine	sievišķīgi	feminine
féminines	sievišķīgi	feminine
féminins	sieviete	feminine
férié	brīvdiena	holiday
fériés	brīvdienas	holyday
féroé	fārijs	faroe
février	februāris	february
fête	ballīte	party
fêtes	brīvdienas	feasts
fût	bija	exist
führer	fīrers	fuhrer
fœtus	auglim	fetus
g	g	g
gabriel	gabriel	gabriel
gabrielle	gabrielle	gabrielle
gaga	gaga	senile
gagnant	uzvarētājs	winner
gagne	uzvar	wins
gagnent	uzvarēt	win
gagner	uzvarēt	win
gagné	uzvarēja	won
gain	iegūt	gain
gainsbourg	gainsbourg	gainsbourg
gala	gala	gala
gale	kašķis	gale (name)
galerie	galerija	galery
galeries	galerijas	galleries
galilée	galilee	galileo
gall	žults	gall
galles	velsa	wales
gallimard	gallimards	gallimard
game	spēle	game
gamme	diapazons	range
gandhi	gandijs	gandhi
gang	banda	gang
garantie	garantija	warranty
garantir	garantēt	garantee
garantit	garantijas	garanteed
garde	saglabāt	guard
garder	saglabāt	keep
gardes	sargi	guards
gardien	aizbildnis	guardian
gardiens	aizbildņi	guardians
gardé	saglabāt	kept
gare	stacija	station
gares	stacijas	stations
garonne	puika	garonne
gary	gari	glass city
garçon	puika	boy
garçons	zēni	boy
gaston	gaston	gaston
gastronomie	gastronomija	gastronomy
gates	vārti	gates
gauche	pa kreisi	left
gaule	gallija	gaul
gaules	stādi	gauls
gaulle	gaulle	gaulle
gaulois	gallic	gallic
gautier	gautier	gautier
gay	gejs	gay
gaz	gāze	gas
gaza	gaza	gaza
gazon	zāle	turf
gendarmerie	žandarmērija	police station
general	vispārējs	general
genre	laipns	kind
genres	žanri	genres
gens	cilvēki	people
genèse	genesis	genesis
genève	ženēva	geneva
george	george	george
georges	george	georges
germain	germain	germain
germanique	ģermāņu valoda	german
germaniques	vācu valoda	germanic
germe	dīglis	germ (in the botanical sense)
germes	baktērijas	seeds
geste	žests	move
gestes	žesti	gestures
gestion	vadība	management
ghetto	geto	ghetto
giec	giec	giec (intergourvenemental expert group on climate)
gigantesque	gigantisks	gigantic
gilbert	gilberts	gilbert
gilles	gilles	gilles
giorgio	giorgio	giorgio
giovanni	džovanni	giovanni
girl	meitene	girl
gironde	žironde	easy on the eye
girondins	žirondīni	girondins
giscard	giscard	giscard
gisements	noguldījumi	deposits
glace	ledus	ice
glaces	saldējums	ice
gland	glans	glans
glissement	paslīdēt	shift
global	globāls	global
globale	kopumā	global
globalement	kopumā	globally
globe	pasaule	globe,world
globes	globusi	globes
globules	globusi	globule
gloire	slava	fame
gmail	gmail	gmail
go	iet	go
gogh	gogh	gogh
gold	zelts	gold
golden	zeltaini	golden
golf	golfs	golf
golfe	līcis	gulf
google	google	google
gordon	gordons	gordon
gorge	rīkle	throat
gothique	gotika	gothic
gouvernance	valdīšana	governance
gouvernement	valdība	government
gouvernementale	valdība	governemental
gouvernementales	valdība	governmental
gouvernements	valdības	goverments
gouverneur	gubernators	governor
gouverneurs	gubernatori	governors
goût	garša	taste
grace	žēlastība	grace
grade	pakāpe	grade
gradient	gradients	gradient
graham	grehems	graham
grains	graudi	grains
grammaire	gramatika	grammar
grammy	grammy	grammy
grand	garš	large
grandcroix	lielkrosa	great-cross
grande	liels	great
grandebretagne	lielbritānija	great-britain
