$	dollar təşkil edib	dollarsign
gouverneurs	qubernatorlar	governors
graad	dərəcəsi	degree
graaf	saymaq	count
graafschap	mahal	county
graafschappen	mahallar	counties
graag	məmnuniyyətlə	willingly
graan	taxıl	grain
grace	lütf	grace
gracht	kanal	canal
grachten	kanallar	canals
graden	dərəcə	degrees
graf	qəbir	grave
graffiti	graffiti	graffiti
grafiek	qrafik	grafic
grafische	qrafik	grafic
grammatica	qrammatika	grammar
grammy	qrammatika	grammy
gran	gran	gran
granada	granada	granada
grand	böyük	grand
grande	əzəmət	grande
grant	qrant	grant - proper noun - surname
gras	ot	grass
grassen	otlar	grasses
gratis	sərbəst	free
graven	qazmaq	dig
gray	boz	gray
great	əla	great
greater	daha böyük	greater
greatest	ən böyük	beste
green	yaşıl	green
greep	tutmaq	grip
grens	haşiyə	border
grensgebied	sərhəd ərazisi	borderarea
grenst	sərhədləri	borders
grenzen	məhdudiyyətlər	borders
gretchen	gretchen	gretchen
gridlijn	grid xətti	grid line
grieken	yunanlar	greeks
griekenland	yunanıstan	greece
grieks	yunan	greek
griekse	yunan	greek
griep	qrip	flu
grijpen	tutmaq	grab
grijs	boz	grey
grijze	boz	gray
groei	böyümə	growth
groeide	böyüdü	grew
groeiden	böyüdü	grew
groeien	böyümək	grow
groeiende	böyüyür	growing
groeit	böyüyür	increases
groen	yaşıl	green
groene	yaşıl	green
groenland	qrenlandiya	greenland
groenlinks	yaşıl sol	groenlinks
groenten	tərəvəzlər	vegetables
groep	qrup	group
groepen	qruplar	groups
groepering	qrup	group
groeperingen	qruplaşmalar	groups
groepsfase	qrup mərhələsi	groupfase
grofweg	kobud	rudely
grond	torpaq	ground
gronden	əsaslar	grounds
grondgebied	ərazi	territory
grondig	hərtərəfli	thoroughly
grondlegger	qurucusu	founder
grondslag	əsas	foundation
grondstoffen	xammal	ground stiffen
grondwet	konstitusiya	constitution
groningen	groningen	groningen
groninger	groninger	groningen
groot	böyük	large
grootbrittannië	britaniya	great britain
groothertog	möhtəşəm şahzadə	groothertog
grootmachten	super güclər	superpowers
grootmeester	qrossmeyster	maestro
grootmoeder	nənə	grandmother
groots	böyük	great
grootschalige	geniş miqyaslı	large scale
grootse	böyük	biggest
grootst	ən böyük	most
grootste	ən böyük	biggest
grootte	ölçüsü	size
grootvader	baba	grandfather
grot	mağara	cave
grote	əla	large
grotendeels	əksər hissəsi üçün	mainly
groter	hündür	larger
grotere	daha böyük biri	bigger
grotten	mağaralar	caves
grove	kobud	gross
gruzielement	horcrux	horcrux
gta	gta	gta
gti	gti	gti
gtst	arpa	gtst
guatemala	qvatemala	guatemala
guevara	guevara	guevara
guggenheim	guggenheim	guggenheim
guido	bələdçi	guido
guild	gildiya	guild
gulden	gilder	guilder
guns	silahlar	guns
gunste	xeyir	favor
gunstig	əlverişli	favourable
gunstige	əlverişli	favourable
gustav	qustav	gustav
gustave	gustave	gustave
guus	guus	guus
guy	oğlan	guy (proper noun - first name)
guyana	oğlan	guyana
gyatso	gyatso	gyatso
gymnasium	gimnaziya	gymnasium
güell	güell	guell
h	h	h
haag	hedis	hague
haagse	haaqa	haagse - proper noun
haai	köpək balığı	shark
haaien	köpəkbalığı	sharks
haakjes	mötərizələr	pleats, parentheses
haalde	alındı	took
haalden	alındı	made
haalt	alır	makes
haan	xoruz	cock
haar	onun	her
haarlem	haarlem	haarlem
haarlemmermeer	haarlemmermeer	haarlemmermeer
haarlemse	haarlem	harlem
haat	nifrət	hatred
habsburgers	habsburgs	habsburgers
habsburgse	habsburg	habsburg
had	idi	had
hadden	idi	had
hadith	hədis	hadith
hadrianus	hadrian	hadrianus
hagedissen	kərtənkələlər	lizards
halen	almaq	persuade, get
haley	haley	haley
half	yarım	half
halfbloed	yarı qan	mestizo
halfrond	yarımkürə	hemisphere
hall	zal	hall
halloween	halloween	halloween
hallucinaties	halüsinasiyalar	hallucinations
hals	boyun	hals
halve	yarım	half
halverwege	ortada	halfway
hamas	hamas	hamas
hamburg	hamburq	hamborg
hamilton	hamilton	hamilton
hammond	hamam	hammond
hand	əl	hand
handboek	dərslik	handbook (1st sentence), reference guide (2nd and 5th sentence)
handel	ticarət	commerce
handelaren	tacirlər	traders
handelen	ticarət etmək	bin
handeling	hərəkət etmək	action
handelingen	tədbirlər	operations
handen	əllər	hands
handhaven	qorumaq	maintain
handicap	fiziki əlillik	handicap
handig	faydalıdır	skilful
handvest	nizamnamə	charter
hangbrug	asma körpü	hanging bridge
hangen	asmaq üçün	to hang
hangt	asılıdır	depends
hannah	hannə	hannah
hannibal	hannibal	hannibal
hans	hans	hans
hanteert	tutacaqlar	handles
hanteren	qolu	handle
happy	xoşbəxt	happy
harbor	liman	harbor
hard	çətin	hard
harde	sərt	hard
harder	daha çətin	louder
haren	saç	hair
hari	hari	day
harmonie	harmoniya	harmony
harold	tutqun	harold
harris	harris	harris
harrison	harrison	harrison
harry	harri	harry
hart	ürək	heart
hartaanval	infarkt	heart attack
hartslag	ürək döyüntüsü	heartbeat
has	var	has
hasselt	hasselt	hasselt
have	var	hebben
haven	liman	port
havens	limanlar	harbours
havenstad	liman şəhəri	port town
hawaï	həvayi	hawaii
hawking	qarmaqarışıq	hawking
haydn	hayd	haydn
haïti	haiti	haiti
hd	hd	high definition
he	heyif	he
head	baş	head
heart	ürək	heart
heavy	ağır	heavy
heb	var	have
hebben	varı olmaq, malik olmaq	relate, have been
hebreeuws	i̇brani	hebrew
hebreeuwse	hebrew	hebrew
hebt	var	has
heden	hazırki gün	now
hedendaagse	çağdaş	contemporary
heeft	var	has
heel	çox	very
heelal	kainat	universe
heen	uzaqda	around
heer	lord	lord
heerenveen	heerenveen	heerenveen
heerschappij	hökmranlıq	rulership
heersende	üstünlük təşkil edir	ruling, prevailing, governing
heerser	hökmdar	ruler
heersers	hökmdarlar	rulers
heerst	qaydalar	rules
heerste	hökm sürür	prevailed
heet	isti	hot
heette	deyildi	named
heffen	qaldırmaq	lift
heftige	zorakı	heavy
hegel	hegel	hegel
hegemonie	hegemonluq	hegemony
heide	yığın	heathland
heidense	bütpərəst	heathen
height	hündürlük	height
heijn	heijn	heijn
heil	qurtuluş	heil
heilig	müqəddəs	sacred
heilige	müqəddəs	sacred
heiligen	müqəddəslər	saints
heinrich	heinrich	hienrich
hel	cəhənnəm	hell
helaas	təəssüf ki	unfortunately
held	qəhrəman	hero
helden	qəhrəmanları	heroes
helder	parlaq	clear
heldere	parlaq	clear
helderheid	parlaqlıq	clarity
hele	bütöv	entire
helemaal	bütün yol	completely
helen	sağal	helen
helena	helena	helena
helft	yarım	half
helium	helium	helium
helling	yamac	slope
hellingen	yamaclar	slopes
helpen	kömək etmək	support
helpt	kömək edir	helps
hem	ona	him
hemel	səma	heaven
hemellichamen	göy cisimləri	celestial bodies
hemelse	səmavi	heavenly
hemelvaart	merac günü	ascension
hemiplegie	hemiplegiya	hemiphlegia
hemoglobine	hemoglobin	hemoglobin
hen	onları	them
hendrik	hendrik	a dutch name
hendrix	hendrix	hendrix
henk	toyuq	henk
henri	henri	henri
henry	henri	henry
hepatitis	hepatit	hepatitis
her	onun	re
herbergt	evlər	houses
herbert	herbert	herbert
hercules	herakllar	hercules
herdacht	anıldı	remembered
herdenking	anma	memorial
herder	çoban	shepherd
heren	cənablar	gentlemen
hereniging	yenidən birləşmə	reunification
herfst	payız	autumn
herhaald	təkrarladı	repeated
herhaalde	təkrarladı	repeated
herhaaldelijk	dəfələrlə	repeatedly
herhaling	təkrarlamaq	repetition
herinneren	yadda saxla	remember
herinnering	xatırlatma	memory
herinneringen	xatirələr	memories
herinnert	yadda saxla	reminds
herkenbaar	tanınan	recognizable
herkenbare	tanınan	distinguishable
herkennen	tanımaq	recognize
herkomst	mənşəli	origin
herman	herman	herman
hermann	hermann	hermann
hermelien	hermion	hermaine
hernieuwde	yenilənmiş	renewed
heroes	qəhrəmanları	heroes
heroïne	heroin	heroin
hersenen	beyin	brain
herstel	bərpa	restoration
hersteld	bərpa edildi	repaired
herstelde	sağaldı	recovered
herstellen	bərpa etmək	restore
hertog	şahzadə	duke
hertogdom	qaranlıq	duchy
hervormde	islah edilmişdir	reformed
hervorming	islahat	reformation
hervormingen	islahatlar	reforms
herzegovina	herzegovina	herzegovina
herziene	yenidən işlənmişdir	revised
het	o	the
hete	isti	hot
heten	çağırdı	called, named
heteroseksuele	heteroseksual	heterosexual
hetgeen	hansı	which
hetzelfde	eyni	the same
hetzij	ya da	either
heuvel	təpə	hill
heuvels	təpələr	hills
hevig	sıx	violent
hevige	zorakı	violent
hey	heyif	hey - part of song title
hield	sevdi	held
hielden	saxlanılır	hold
hielp	kömək etdi	helped
hier	burada	here
hieraan	buna	on this
hierbij	bununla	hereby
hierboven	burada	above
hierdoor	buna görə	this
hierin	burada	in this
hiermee	bununla	with this
hierna	bundan sonra	after this
hiernaast	yanaşı	apart from
hierom	buna görə	for this reason
hieronder	aşağıda	among
hierop	bu barədə	hereon
hierover	bu barədə	about this
hiertegen	buna qarşı	against this
hiertoe	bu məqsədlə	this
hieruit	bundan	from here on out
hiervan	bu	this
hiervoor	bunun üçün	for this
high	yüksəkdir	high
hij	o	he
hijzelf	özü	himself
hilde	hilde	hilde
hill	təpə	hill - proper noun
himmler	himmler	himmler
hindoes	hindular	hindus
hindoeïsme	hinduizm	hinduism
hing	asılıb	hung
hiphop	hip hop	hip hop
his	onun	his
hispania	ispan	hispania
hispaniola	hispaniola	hispaniola
historici	tarixçilər	historians
historicus	tarixçi	historian
historie	tarixi	history
historisch	tarixi	historically
historische	tarixi	historical
history	tarixi	history
hit	vurdu	hit
hitler	hitler	hitler
hitlers	hitler	hitlers
hitlijsten	qrafiklər	charts
hits	vurur	hits
hits||||||||||	hitler ||||||||||	hits
hitte	istilik	heat
hiv	hi̇v	aids
hiërarchie	iyerarxiya	hierarchy
hn	hn	hn
ho	ho	ho
hoe	necə	how
hoefde	etdi	need
hoeft	ehtiyac	needs
hoek	künc	corner
hoeken	küncləri	corners
hoes	örtmək	dust-sheet
hoessein	huseyn	hussein
hoesten	öskürək	coughing
hoeveel	nə qədər	how many
hoeveelheden	miqdarda	quantities
hoeveelheid	kəmiyyət	amount
hoeven	halqa	hooves
hoewel	baxmayaraq	however
hof	məhkəmə	court
hoge	yüksəkdir	high
hoger	ali	higher
hogere	ali	higher
hogescholen	kolleclər	colleges of higher education
hogeschool	universitet	university
hol	boşluq	hole
hold	tutun	hold
holland	hollandiya	holland
hollands	holland	dutch
hollandse	holland	dutch
hollywood	hollywood	hollywood
holocaust	xain	holocaust - proper noun
home	ev	home
homo	gey	homo
homoseksualiteit	homoseksuallıq	homosexuality
homoseksueel	homoseksual	homosexual
homoseksuele	homoseksual	homosexual
homoseksuelen	homoseksuallar	homosexuals
hond	köpək	dog
honden	itlər	dogs
honderd	yüz	hundred
honderdduizenden	yüz minlərlə	hunderds of thousands
honderden	yüzlərlə	hundreds
honduras	honduras	honduras
hong	hong	hong
hongaars	macar	hongarian
hongaarse	macar	hongarian
hongaren	hangarlar	hungarians
hongarije	macarıstan	hongaria
honger	ac	starvation
hongersnood	aclıq	famine
hongkong	honq konq	hongkong
hoofd	baş	head
hoofdkantoor	baş qərargah	main office
hoofdkwartier	qərargah	headquarters
hoofdletter	böyük hərf	capital
hoofdpijn	baş ağrısı	headache
hoofdplaats	kapital	county seat
hoofdrol	əsas rol	lead
hoofdrollen	baş rollarda	main roles
hoofdrolspelers	qəhrəmanlar	protagonists
hoofdstad	paytaxt	capital
hoofdstedelijk	metropoliten	capital
hoofdsteden	paytaxtlar	capital cities
hoofdstuk	fəsil	chapter
hoofdzakelijk	əsasən	mainly
hoog	yüksəkdir	high
hoogendijk	hoogendijk	hoogendijk
hooggerechtshof	ali məhkəmə	supreme court
hoogland	dağlıq	highlands
hooglanden	dağlar	highlands
hoogleraar	professor	professor
hoogst	ən yüksək	highest
hoogste	ən yüksək	supreme
hoogte	hündürlük	altitude
hoogtepunt	vurğulayın	climax
hoogtepunten	məqamlar	highlights
hoop	ümid	hope
hoopt	ümidlər	hopes
hoopte	ümid edirdi	hoped
hoorde	eşitdim	heard
hoorn	buynuz	horn
hoornaar	hornet	hoornaar
hoornplaten	buynuz plitələr	horn plates
hoort	eşidir	belongs
hope	ümid	hope
horatius	horace	horace
hordelopen	əngəllər	hurdles
horeca	iaşə sənayesi	catering
horen	eşitmək	heard
horizontale	üfüqi	horizontal
hormonale	hormonal	hormonal
hormonen	hormonlar	hormones
hormoon	hormon	hormone
hospital	xəstəxana	hospital
hot	isti	hot
hotel	otel	hotel
hotels	otellər	hotels
hotmail	hotmail	hotmail
hou	sevgi	keep
houd	tutun	hold
houden	saxlamaq	to keep
houding	münasibət	attitude
houdingen	münasibətlər	positions
houdt	bəyənir	holds
houston	houston	houston
hout	odun	wood
houten	taxta	wooden
houtskool	kömür	charcoal
how	necə	how
howard	necə	howard
hubbard	hubbard	hubbard
hudson	hudson	hudson
hughes	qucaqlayir	hughes
hugo	hugo	hugo
huid	dəri	skin
huidig	cərəyan	current
huidige	cərəyan	wooded
huidskleur	dəri rəngi	color
huis	ev	house
huisarts	ümümi hakim	general practitioner
huisvest	evlər	houses
huisvesting	mənzil	housing
huizen	evlər	houses
huizenprijzen	ev qiymətləri	house prices
hulp	kömək	aid
hulpbronnen	mənbələri	resources
human	insan	human
humanisme	humanizm	humanism
humanisten	humanistlər	humanists
humor	yumor	humour
hun	onların	their
hunt	ovlamaq	hunt
hunter	ovçu	hunter
huwde	evli	married
huwelijk	toy	marriage
huwelijken	nigahlar	marriages
huxley	huxley	huxley
huygens	huygens	huygens
hyde	hayd	hyde
hypofyse	hipofiz	pituitary
hypothalamus	hipotalamus	hypothalamus
hypotheken	ipotekalar	mortgages
hypothese	fərziyyə	assumption
hyves	hıçqırıqlar	hyves
höss	hössə	höss
i	i	i
ian	ian	ian
ibd	ibd	ibd
iberisch	i̇berian	iberian
ibn	ibn	ibn
ice	buz	ice
icoon	simge	icon
ida	ida	ida (proper noun - first name)
ideaal	ideal	idealism
ideale	ideal	ideal
idee	fikir	idea
ideeën	fikirlər	ideas
idem	idem	ditto
identiek	eynidir	identical
identiteit	şəxsiyyət	identity
ideologie	ideologiya	ideology
ideologische	ideoloji	ideological
idgray	idgray	id gray
ieder	hər biri	every
iedere	hər	each
iedereen	hamı	everybody
iemand	kimsə	someone
iemands	kiminsə	someone
ierland	i̇rlandiya	ireland
ierse	iriş	irish
iets	bir şey	jets
if	əgər	als
ii	ii	ii
iii	iii	iii
ij	ij	ij
ijs	buz	ice
ijsberg	aysberq	iceberg
ijskap	buz vərəqi	glacier
ijsland	i̇slandiya	iceland
ijslandse	icelandic	icelandic
ijssel	ijssel	ijssel
ijstijd	buz dövrü	ice age
ijzer	dəmir	iron
ijzeren	dəmir	iron
ijzererts	dəmir filizi	iron ore
ijzerslangen	dəmir şlanqlar	iron snakes
ik	mən	i
ike	ike	ike
il	il	il
illegaal	qanunsuz	illegal
illegale	qanunsuz	illegal
illusie	illüziya	illusion
illustratie	illüstrasiya	illustration
im	im	in
imagesize	təsvir edir	image size - beeldgrootte
imago	şəkil	image
imdb	imdb	imdb
imf	imf	imf
immers	hər şeydən sonra	indeed
immigranten	immiqrantlar	immigrants
immigratie	immiqrasiya	immigration
immuniteit	toxunulmazlıq	immunity
immuunsysteem	immun sistemi	immune system
impact	təsir	impact
imperial	imperial	imperial
imperium	imperiya	empire
import	idxal	import
impressionisme	impressionizm	impressionism
impuls	impuls	impulse
in	içində	in
incas	incas	incas
inch	düym	inch
inchmm	inchmm	inchmm
incident	hadisə	incident
incidenten	hadisələr	incidents
inclusief	daxil olmaqla	including
increment	artım	verhoging
indeling	layout	stratifaction
inderdaad	həqiqətən	indeed
indertijd	vaxtında	at that time
index	indeks	index
india	hindistan	india
indiaanse	yerli amerikalı	indian
indian	hind	indian
indiana	i̇ndiana	indiana
indianen	doğma amerikalılar	native americans/ indians
indiase	hind	indian
indicatie	göstəriş	indication
indien	əgər	in case of
indirect	dolayı yolla	indirect
indirecte	dolayı	indirect
indische	hind	indian
individu	fərdi	individual
individueel	fərdi olaraq	individual
individuele	fərdi	individual
individuen	şəxslər	individuals
indië	hindistan	indie
indiërs	hindular	indians
indoeuropese	hind-avropa	indo-european
indonesische	indoneziyalı	indonesian
indonesië	i̇ndoneziya	indonesia
indruk	təəssürat	impression
industrialisatie	sənayeləşmə	industralisation
industrie	sənaye	industry
industrieel	sənaye	industrial
industrieën	sənaye sahələri	industries
industriële	sənaye	industrial
ineens	qəflətən	suddenly
infanterie	piyada	infantry
infectie	infeksiya	infection
infecties	infeksiyalar	infections
inflatie	inflyasiya	inflation
influenza	qrip	influenza
informatica	i̇nformatika	informatics
informatie	məlumat	information
informele	qeyri-rəsmi	informal
infrastructuur	infrastruktur	infrastructure
ingalls	köklər	ingalls
ingang	giriş	entrance
ingedeeld	təsnif edilmişdir	classified
ingenieur	mühəndis	engineer
ingenieurs	mühəndislər	engineers
ingenomen	qəbul	occupied
ingericht	əşyalı	organized
ingesteld	dəsti	focussed
ingevoerd	həyata keçirilən	implemented
ingewikkelde	mürəkkəbdir	complex
ingezet	yerləşdirilib	used
ingreep	əməliyyat	operation
ingrid	ingrid	ingrid
ingrijpen	müdaxilə etmək	interfere
inheemse	doğma	indigenous
inhoud	məzmunu	content
inhoudt	nəzərdə tutur	means
initiatief	təşəbbüs	initiative
