$ tỉ	милиард долара	$ billion
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	коран	koran
kornai	корнай	(proper noun) kornai, as in janos kornai
koruna	крони	koruna
kosovo	косово	(proper noun) kosovo
kremli	kremli	kremil
kremlin	кремъл	kremlin
kristen	кристен	kristen
krông	кронг	krong
ku	ку	is a name
kuala	куала	(proper noun) kuala, as in kuala lumpur
kubrick	кубрик	kubrick
kuen	куен	kuen
kuiper	кайпер	(proper noun) kuiper, as in the kuiper belt
kulak	кулак	kulak
kune	кун	(proper noun) kune, as in the martial art jeet kune do
kung	кунг	danh vo
kungfu	кунг фу	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	кюрд	kurd
kurt	кърт	(proper noun) kurt
kuwait	кувейт	kuwait, the country (n.)
kwan	куан	kwan
kwen	kwen	kwen
kwon	куон	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	кюшу	kyushu
kyūshū	кюшу	kyushu, a japanese island
kèm	заграден	included
kèn	тромпет	horn
kém	най-малко	less
kén	пашкул	selective
kéo	влача	scissors
kép	двоен	dual
két	сейфове	"(term should be ""rốc két"") rocket (n.)"
kê	просо	statistics
kênh	канали	channel
kêu	звучене	appeal
kìa	ето	that
kìm	клещи	bar
kình	очила	rivalry
kí	знак	sign
kích	кликване	excite
kíchbom	clickbutton	bombers
kín	частен	secretive or closed tight (adj.)
kính	очила	respect
kíp	екипаж	esoterica
kít	изкряска	wheelbarrow
ký	знак	"(""nhật ký"") a diary"
kĩ	внимателно	technique
kơnia	кая	a tree found in southeast asia; sometimes called wild mango
kạn	кан	kan
kẹo	бонбони	candy
kẹp	клипс	to clamp down (v.)
kẹt	заседнали	jam
kẻ	момчета	guy
kẻo	да не би да	lest
kẽ	интерстициална	crevice
kẽm	цинк	zinc
kế	следващия	a scheme (n.)
kết	край	combine
kề	съседен	adjacent
kềnh	обемист	bulky
kệ	рафтовете	ignore
kỉ	век	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	конница	ki
kịp	пазя	kip
kỵ	конница	taboo
kỷ	век	"(term should be ""thế kỷ"") century (n.)"
l	л	l.
label	етикет	label
laboulaye	laboulaye	a name
ladakh	ладакх	(proper noun) ladakh
lai	хибрид	"(term should be ""tương lai"") the future (n.)"
lam	бия	lam
lama	лама	a name
lan	lan	a name
land	земя	land
landon	лендън	a name
lang	ланг	lang
langdon	лангдън	langdon
lange	lange	lange, as in oscar lange
langue	език	langue
lanh	бельо	ringing
lanka	ланка	(proper noun) lanka, as in the island of sri lanka
lao	туберкулоза	labor
laos	лаос	(proper noun) laos
lap	скут	greek
larry	лари	larry
lars	ларс	lars
las	лас	(proper noun) las, as in las vegas
laser	лазер	laser
lateran	латерански	lateran
latinh	латински	latin
latvia	латвия	(proper noun) latvia
lau	изтриване	lau
laura	лора	(proper noun) laura, as in laura bush
laurence	лорънс	(proper noun) laurence
lawrence	лорънс	(proper noun) lawrence
lay	лежаха	lay
lazarus	лазаров ден	(proper noun) lazarus
leach	промивам	(proper noun) leach
leaf	листо	leaf
leave	отпуск	leave
lebanon	ливан	(proper noun) lebanon
lee	завет	lee
legacy	завещание	legacy
leiden	лайден	leiden
lem	лем	cinderella
lenin	ленин	lenin
lenins	lenins	lenin's
leo	изкачвам се	climb
leon	леон	leon
leonard	леонард	leonard
leonardo	леонардо	(proper noun) leonardo, as in leonardo da vinci
leonid	леонид	leonid
les	ле	les
leslie	лесли	a name
lesotho	лесото	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	либи	(proper noun) libby
libero	либеро	libero
libya	либия	libya
lido	открит плувен басейн	lido
liechtenstein	лихтенщайн	liechtenstein
liga	лига	a name
lightning	мълния	lightning
lilly	лили	(proper noun) lilly
linga	линга	linga
linh	linh	efficacious (adj.)
links	звена	links
linux	linux	linux server
lionel	лионел	lionel
lisboa	lisboa	lisboa
lisbon	лисабон	a name
litva	литва	(proper noun) lithuania
liu	лю	liu
liêm	интегритет	good example
liên	венчър	relate
liêng	свещен	sacred
liêu	бюрокрация	bureaucracy
liềm	сърп	sickle
liều	доза	daring
liễu	върба	a willow tree (n.)
liệng	хвърлям	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	парализа	impotent
liệu	дали	document
lleyton	лейтън	lleyton
lo	притеснение	to worry (v.)
loa	говори	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	хлъзгав	patchy
loch	езеро	loch
locke	лок	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	дневник	log
logan	логан	a name
lon	мога	lon
london	лондон	london
long	дълго	dragon
lorenzo	лоренцо	lorenzo
los	лос	los, as in los angeles
louis	луис	louis
louisiana	луизиана	(proper noun) the state of louisiana
louvre	куличка с отвор в покрив	(proper noun) louvre
love	любов	yeu
loài	вид	species
loát	наперен	overturn
loãng	разводнен	wishy-washy
loét	язва	gaping, as in a wound
loại	вид	type
loạianh	тип	not a word
loạianime	тип аниме	type anime
loạibệnh	вид заболяване	disease
loạichiến	тип	loaichien
loạicác	тип	item
loạicâu	тип	type: club
loạicông	тип	type: industry
loạicựu	тип	kind former
loạigia	тип	loaigia
loạihuân	kindhuan	not a word
loạiluật	вид закон	type: law
loạimáy	тип машина	kind plane
loạimôn	тип	type
loạingày	напишете това	loaingay
loạiphim	тип филм	type movie
loạiphong	тип	kind of movement
loạiscandal	тип	scandal type
loạithuật	вид закон	type: lexicon
loạithành	тип	kinds of payment
loạithần	тип	kind myth
loạitrường	тип училище	type of school
loạitín	мил	type: belief
loạitổ	тип	kind organization
loạivõ	тип тип	type: martial art
loạixã	тип	kind of society
loạn	смущение	disorderly
loạt	серия	series
lp	lp	lp
lu	lu	dim
luang	луанг	a name
lucas	лукас	(proper noun) lucas
lucia	лусия	lucia, as in the island of saint lucia
luciano	лучано	luciano
ludendorff	лудендорф	luđenorff
ludovico	лудовико	ludovico
ludwig	лудвиг	ludwig
lui	обратно	withdrawal
luis	луис	(proper noun) luis, a first name
luiz	луиш	luiz
lula	лула	lula
lung	бял дроб	shake
lustig	лустиг	lusig
luther	лутер	luther
luxembourg	люксембург	a name
luy	луи	luy
luyến	прикачен файл	love
luyện	обучение	training
luận	коментар	"(term should be ""xã luận"") an editorial"
luật	законът	law
luồn	резба	wriggle
luồng	поток	lane
luộc	варено	boiled
luỹ	кумулативен	rampart (n.)
ly	стъкло	divorce
lydia	лидия	lydia
lympho	лимфом	lymphocyte
lyndon	линдън	lyndon
lyon	лион	lyon
là	беше	the verb to be
làm	правя	make
làn	платно	wave
làng	село	village
lành	излекуван	protestant
lào	лаос	laos
lá	листа	"(term should be ""lá thư"") a letter (n.)"
lác	кривогледство	brag
lách	далак	to swerve (v.)
lái	път	to drive (v.)
lán	барака	shack
láng	лъскав	neighbours
lâm	бия	lâm, a common vietnamese first name
lân	еднорог	nearby
lâu	дълго	long time
lây	заразен	to infect
lãi	интерес	a profit
lãm	предавания	exhibition
lãnh	приет	to receive
lão	стар	old
lèo	лъв	"(term should be ""nước lèo"") broth (n.)"
lén	хлъзгане	sneak
lê	круша	le
lêmạc	светлина	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	нагоре	on
lênh	команда	"(should be ""lênh đênh"") adrift"
lênin	ленин	lenin
lìa	отпуск	to leave (v.)
lình	внезапно	suddenly
lí	съхранение	reason
lính	войник	soldier
lít	литър	litre
líu	гукане	"(term should be ""dính líu"") to have a connection with"
lò	фурна	release
lòng	любов	heart
lóc	snakehead	cry
lóe	светна	flash
lóng	жаргон	"entire term should be ""tieng long""; means ""slang"""
lót	облицовка	undies
lô	много	batch
lôi	грешка	encourage
lôn	хаха	"(term should be ""côn lôn"") a village in vietnam"
lông	коса	hair
lõi	сърцевина	core
lõm	вдлъбнат	concave
lùi	назад	back
lùn	къс	dwarf
lùng	лов	hunt
lúa	оризище	rice
lúc	при	at the moment
lún	потъване	subside
lúng	сигнална ракета	confused
lúp	увеличително	uneven
lút	подъл	surreptitiously
lăm	пет	tens
lăn	търкаляне	attack
lăng	мавзолей	tomb
lĩnh	домейни	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	наводнение	a band or gang (n.)
lũng	долина	valley
lũy	кумулативен	rampart
lơ	пренебрегване	to ignore
lơi	отпускам се	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	кадилница	an urn
lưng	обратно	back
lươn	змиорка	eel
lương	заплата	conscience
lưới	решетка	a net (n.)
lướt	карам сърф	ski
lười	мързелив	lazy
lưỡi	език	tongue
lưỡng	двуполов	"(term should be ""lưỡng tính"") bisexual"
lược	гребен	invasion
lượm	събирам	pick up
lượn	плъзгане	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	странен	strange or unusual (adj.)
lạc	загубен	camel
lạch	рекичка	"(term should be ""luồng lạch"") a narrow water passageway"
lại	отново	reversed
lạn	гнил	bright
lạng	lang	lang
lạp	наденица	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	проснат	kowtow
lấn	посегателство	to encroach on (v.)
lấp	запълване	sparkle
lấy	избирам	taken
lầm	погрешно	wrong
lần	пъти	time
lầu	етаж	a story or level of a building (n.)
lầy	блатист	swamp
lẩu	гореща саксия	hotpot
lẩy	скок	get
lẫn	объркан	each other
lẫy	щипка	illustrious
lận	изневерявам	fraudulent
lật	flip	turn
lậy	о да	"(term should be ""cai lậy"") the name of a rural district"
lắc	клатя	to shake (v.)
lắm	много	do
lắng	да се установя	"(should be ""lo lắ́́ng"") to worry"
lắp	сглобяване	lap
lặng	тих	quiet
lặp	повторение	repeat
lặt	разни	means miscellaneous, part of the word lat vat
lẹ	бърз	quickly (adv.)
lẻ	нечетен	"(the term should be ""bán lẻ"") retail"
lẻn	дебна	sneak
lẻo	разпуснат	climb
lề	марж	alignment
lều	палатка	tent
lễ	церемония	ceremony
lệ	скорост	"(term should be ""tỷ lệ"") probability (n.)"
lệch	кос	difference
lệnh	comeinand	command
lị	дизентерия	"(term should be ""tỉnh lị"") a township (n.)"
lịch	календар	history
lọc	филтър	tricked
lọi	кривогледство	brilliant
lọng	слънчобран	rope
lọt	падане	enter
lỏi	марля	to enter
lỏng	хлабав	loose
lố	над	ridiculous
lốc	вихрушка	tornado
lối	вход	way or path
lốp	автомобилна гума	tyre
lốt	лик	lolot
lồ	гигант	giant
lồi	изпъкнал	convex
lồng	клетка	cage
lỗ	дупка	hole
lộc	щастие	loc
lội	плуване	wade
lộn	копна	wrong/mistake
lộng	разкошен	"(term should be ""cổ lộng"") the name of a vietnamese city"
