$ tỉ	$ अरब	$ billion
khế	तारा फल	bond
khỉ	बंदर	monkey or ape (n.)
khỏa	नुमाइशबाजी	nude
khỏe	स्वास्थ्य	health
khỏi	से बाहर	leave
khố	ख़ज़ाना	loincloths
khốc	बलपूर्वक	devastating
khối	इकाई	a block or mass of (n.)
khốn	शोक	miserable
khống	अशक्त	control
khổ	पीड़ा	miserable (adj.)
khổng	विशाल	huge
khởi	लांच	start
khủng	संकट	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	कोहनी	elbow
khứu	सूंघनेवाला	olfactory
khử	को खत्म	reduction
ki	की	"entire phrase is ""ki lo""; means ""kilometer"""
kia	अन्य	other
kid	बच्चा	kid
kiel	कील	(proper noun) kiel
kierkegaard	कियर्केगार्ड	kierkegaard, as in soren kierkegaard
kiernan	कीयरनन	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	किलोमीटर की दूरी पर	kilometer
kim	किम	kim
kingdom	राज्य	kingdom
kinsey	किन्से	kisney
kiribati	किरिबाती	kiribati
kishimoto	किशिमोतो	(proper noun) kishimoto
kiss	चुंबन	kiss
kissinger	किसिंजर	kissinger
kitts	किट्स	kitts
kitô	ईसाई	christian
kiêm	सह	cum
kiên	कंपनी	consistent
kiêng	संयम	abstinence, as in abstaining from eating
kiêu	घमंडी	showy
kiếp	जीवनकाल	a lifetime (n.)
kiết	बेड़ी	cheap (adj.)
kiềm	क्षार	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	निरीक्षण	control
kiểu	टाइप	type
kiệm	सेव	save
kiện	घटनाओं	event (su kien)
kiệt	उत्कृष्ट कृति	exhausted (adv.)
kiệu	डोली	scallion
klaus	क्लाउस	klaus
klein	क्लीन	klein
km	किमी	kilometer
knesset	knesset	knesset
knuth	नुथ	knuth, as in donald knuth
koch	कोच	koch
kodansha	कोदंषा	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	कोमोडो	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	कांग	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	कुरान	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	कोरुना	koruna
kosovo	कोसोवो	(proper noun) kosovo
kremli	क्रेमलिन	kremil
kremlin	क्रेमलिन	kremlin
kristen	क्रिस्टन	kristen
krông	क्रोंग	krong
ku	कू	is a name
kuala	कुआला	(proper noun) kuala, as in kuala lumpur
kubrick	कुब्रिक	kubrick
kuen	kuen	kuen
kuiper	क्विपर	(proper noun) kuiper, as in the kuiper belt
kulak	कूलाक	kulak
kune	कुन डो	(proper noun) kune, as in the martial art jeet kune do
kung	कुंग	danh vo
kungfu	कुंगफू	kung fu
kunst	कुंस्ट	kunst, as in richard kunst
kurd	कुर्दों	kurd
kurt	कर्ट	(proper noun) kurt
kuwait	कुवैट	kuwait, the country (n.)
kwan	क्वान	kwan
kwen	kwen	kwen
kwon	क्वोन	kwon, as in tae kwon do; proper noun
kyrgyzstan	किर्गिज़स्तान	(proper noun) the country of kyrgyzstan
kyushu	क्यूशू	kyushu
kyūshū	क्यूशू	kyushu, a japanese island
kèm	एक साथ	included
kèn	तुरही	horn
kém	कम से कम	less
kén	कोकून	selective
kéo	पुल	scissors
kép	दोहरी	dual
két	तिजोरियां	"(term should be ""rốc két"") rocket (n.)"
kê	आंकड़े	statistics
kênh	चैनलों	channel
kêu	रोना	appeal
kìa	निहारना	that
kìm	आंखें	bar
kình	व्हेल	rivalry
kí	रजिस्टर	sign
kích	आग	excite
kíchbom	kichbom	bombers
kín	गुप्त	secretive or closed tight (adj.)
kính	चश्मा	respect
kíp	रात बिताने का स्थान	esoterica
kít	रुकी	wheelbarrow
ký	संकेत	"(""nhật ký"") a diary"
kĩ	ध्यान से	technique
kơnia	konia	a tree found in southeast asia; sometimes called wild mango
kạn	कान	kan
kẹo	कैंडी	candy
kẹp	चिमटा	to clamp down (v.)
kẹt	फंस	jam
kẻ	कौन	guy
kẻo	ऐसा न हो कि	lest
kẽ	फांक	crevice
kẽm	जस्ता	zinc
kế	डिज़ाइन	a scheme (n.)
kết	लिंक	combine
kề	समीपता	adjacent
kềnh	बोझिल	bulky
kệ	अलमारियों	ignore
kỉ	सदी	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	घुड़सवार सेना	ki
kịp	समय में	kip
kỵ	घुड़सवार सेना	taboo
kỷ	वें	"(term should be ""thế kỷ"") century (n.)"
l	एल	l.
label	लेबल	label
laboulaye	laboulaye	a name
ladakh	लद्दाख	(proper noun) ladakh
lai	संकर	"(term should be ""tương lai"") the future (n.)"
lam	पीटना	lam
lama	लामा	a name
lan	विस्तार	a name
land	भूमि	land
landon	लंदन	a name
lang	लैंग	lang
langdon	लैंगडन	langdon
lange	लैंग	lange, as in oscar lange
langue	लैंगुए	langue
lanh	लिनन	ringing
lanka	श्रीलंका	(proper noun) lanka, as in the island of sri lanka
lao	लाओ	labor
laos	लाओस	(proper noun) laos
lap	गोद	greek
larry	लैरी	larry
lars	लार्स	lars
las	लास	(proper noun) las, as in las vegas
laser	लेज़र	laser
lateran	लैटर्न	lateran
latinh	लैटिन	latin
latvia	लातविया	(proper noun) latvia
lau	पोंछ	lau
laura	लौरा	(proper noun) laura, as in laura bush
laurence	लारेंस	(proper noun) laurence
lawrence	लॉरेंस	(proper noun) lawrence
lay	शेक	lay
lazarus	लाजास्र्स	(proper noun) lazarus
leach	नमकीन पानी	(proper noun) leach
leaf	पत्ती	leaf
leave	छुट्टी	leave
lebanon	लेबनान	(proper noun) lebanon
lee	ली	lee
legacy	विरासत	legacy
leiden	लाइदेन	leiden
lem	एलईएम	cinderella
lenin	लेनिन	lenin
lenins	lenins	lenin's
leo	चढ़ाई	climb
leon	लियोन	leon
leonard	लियोनार्ड	leonard
leonardo	लियोनार्डो	(proper noun) leonardo, as in leonardo da vinci
leonid	लियोनिद	leonid
les	लेस	les
leslie	लेस्ली	a name
lesotho	लिसोटो	lesotho
lg	एलजी	lg
lhp	lhp	film festival
lhq	संयुक्त राष्ट्र	un
libby	लिब्बी	(proper noun) libby
libero	libero	libero
libya	लीबिया	libya
lido	लीडो	lido
liechtenstein	लिकटेंस्टीन	liechtenstein
liga	लिगा	a name
lightning	बिजली	lightning
lilly	लिली	(proper noun) lilly
linga	लिंग	linga
linh	लचीलापन	efficacious (adj.)
links	लिंक:	links
linux	linux	linux server
lionel	लियोनेल	lionel
lisboa	लिस्बन	lisboa
lisbon	लिस्बन	a name
litva	लिथुआनिया	(proper noun) lithuania
liu	लियू	liu
liêm	ईमानदारी	good example
liên	उद्यम	relate
liêng	पहचाना	sacred
liêu	नौकरशाही	bureaucracy
liềm	दरांती	sickle
liều	खुराक	daring
liễu	विलो	a willow tree (n.)
liệng	फेंक दिया	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	पक्षाघात	impotent
liệu	चाहे	document
lleyton	लीटन	lleyton
lo	चिंता	to worry (v.)
loa	वक्ता	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	rippling	patchy
loch	झील	loch
locke	लोके	(proper noun) locke, as in philosopher john locke
lockheed	लॉकहीड	(proper noun) lockheed, as in lockheed martin
log	लॉग	log
logan	लोगन	a name
lon	कर सकते हैं	lon
london	लंडन	london
long	अजगर	dragon
lorenzo	लोरेंजो	lorenzo
los	लॉस	los, as in los angeles
louis	लुइस	louis
louisiana	लुइसियाना	(proper noun) the state of louisiana
louvre	लौवर	(proper noun) louvre
love	प्यार	yeu
loài	जाति	species
loát	धाराप्रवाह	overturn
loãng	पतला	wishy-washy
loét	अल्सर	gaping, as in a wound
loại	तरह	type
loạianh	loaianh	not a word
loạianime	एनीमे टाइप करें	type anime
loạibệnh	बीमारी का प्रकार	disease
loạichiến	loaichien	loaichien
loạicác	loaicac	item
loạicâu	loaicau	type: club
loạicông	loaicong	type: industry
loạicựu	loaicuu	kind former
loạigia	loaigia	loaigia
loạihuân	loaihuan	not a word
loạiluật	कानून का प्रकार	type: law
loạimáy	मशीन का प्रकार	kind plane
loạimôn	loaimon	type
loạingày	इसे टाइप करें	loaingay
loạiphim	फिल्म प्रकार	type movie
loạiphong	loaiphong	kind of movement
loạiscandal	loaiscandal	scandal type
loạithuật	कानून का प्रकार	type: lexicon
loạithành	loaithanh	kinds of payment
loạithần	loaithan	kind myth
loạitrường	स्कूल का प्रकार	type of school
loạitín	loaitin	type: belief
loạitổ	loaito	kind organization
loạivõ	की तरह	type: martial art
loạixã	loaixa	kind of society
loạn	विकार	disorderly
loạt	शृंखला	series
lp	एल.पी.	lp
lu	लू	dim
luang	लुआंग	a name
lucas	लुकास	(proper noun) lucas
lucia	लूसिया	lucia, as in the island of saint lucia
luciano	लुसियानो	luciano
ludendorff	ludendorff	luđenorff
ludovico	लुडोविको	ludovico
ludwig	लुडविग	ludwig
lui	पीछे हटना	withdrawal
luis	लुइस	(proper noun) luis, a first name
luiz	लुइज़	luiz
lula	लूला	lula
lung	फेफड़ा	shake
lustig	lustig	lusig
luther	लूथर	luther
luxembourg	लक्ज़मबर्ग	a name
luy	ढाल	luy
luyến	लोगाटो	love
luyện	गाड़ी	training
luận	टिप्पणियाँ	"(term should be ""xã luận"") an editorial"
luật	कानून	law
luồn	लड़ी पिरोया हुआ	wriggle
luồng	धारा	lane
luộc	उबला हुआ	boiled
luỹ	कमाई	rampart (n.)
ly	कांच	divorce
lydia	लिडा	lydia
lympho	लिंफोमा	lymphocyte
lyndon	लिंडन	lyndon
lyon	ल्यों	lyon
là	था	the verb to be
làm	करना	make
làn	लेन	wave
làng	गांव	village
lành	स्वस्थ	protestant
lào	लाओस	laos
lá	पत्ती	"(term should be ""lá thư"") a letter (n.)"
lác	तिर्यकदृष्टि	brag
lách	तिल्ली	to swerve (v.)
lái	ड्राइविंग	to drive (v.)
lán	झोंपड़ी	shack
láng	चमकदार	neighbours
lâm	वानिकी	lâm, a common vietnamese first name
lân	निकट	nearby
lâu	लंबे समय तक	long time
lây	विस्तार	to infect
lãi	ब्याज	a profit
lãm	शो	exhibition
lãnh	प्राप्त	to receive
lão	उम्र बढ़ने	old
lèo	लियो	"(term should be ""nước lèo"") broth (n.)"
lén	छल	sneak
lê	रहिला	le
lêmạc	lemac	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	ऊपर	on
lênh	आदेशों	"(should be ""lênh đênh"") adrift"
lênin	लेनिनवाद	lenin
lìa	रवाना	to leave (v.)
lình	linh	suddenly
lí	धागा	reason
lính	सैनिक	soldier
lít	लीटर	litre
líu	भांजनेवाला	"(term should be ""dính líu"") to have a connection with"
lò	ओवन	release
lòng	दिल	heart
lóc	snakehead	cry
lóe	फ्लैश	flash
lóng	के बीच का नाजुक	"entire term should be ""tieng long""; means ""slang"""
lót	अंडरवियर	undies
lô	पार्सल	batch
lôi	ढुलाई	encourage
lôn	बेबीलोन	"(term should be ""côn lôn"") a village in vietnam"
lông	बाल	hair
lõi	कोर	core
lõm	नतोदर	concave
lùi	पिछड़ा	back
lùn	बौना	dwarf
lùng	नीचे	hunt
lúa	धान	rice
lúc	समय	at the moment
lún	घटाव	subside
lúng	scratching	confused
lúp	आवर्धक	uneven
lút	डरपोक	surreptitiously
lăm	पांच	tens
lăn	रोलिंग	attack
lăng	मंदिर	tomb
lĩnh	नेता	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	बाढ़	a band or gang (n.)
lũng	घाटी	valley
lũy	संचित	rampart
lơ	उपेक्षित	to ignore
lơi	ढीला हो गया	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	बर्नर	an urn
lưng	वापस	back
lươn	एक प्रकार की मछली	eel
lương	वेतन	conscience
lưới	ग्रिड	a net (n.)
lướt	सर्फ़िंग	ski
lười	आलसी	lazy
lưỡi	जीभ	tongue
lưỡng	उभयलिंगी	"(term should be ""lưỡng tính"") bisexual"
