$	ps	dollars
масонството	masonería	freemasonry
мастодон	mastodonte	mastodon
мат	estera	matt
матей	madre	matthew
математика	matemáticas	mathematics
математиката	matemáticas	mathematics
математическа	matemático	mathematics
математическата	matemático	mathematical
математически	matemáticamente	mathematical
материал	material	material
материала	material	material
материали	materiales	materials
материалната	el material	material
материални	material	material
материя	importar	matter
материята	importar	matter
матрица	matriz	matrix
мафия	mafia	mafia
махал	mahal	mahal
махала	mahala	quarter
махаяна	mahayana	mahayana
мач	partido	game
мача	partido	match
мачове	partidos	matches
мачовете	partidos	matches
мачът	el partido	match
машина	máquina	machine
машината	la máquina	machine
машини	máquinas	machines
машиностроене	ingeniería mecánica	engineering
машиностроенето	ingeniería mecánica	manufacturing
мащаб	escala	scale
мащабни	gran escala	large
мая	mayo	maya
мбабане	mbabane	mbambane
мвр	мвр	home office
ме	yo	me
меандър	meandro	meander (name i think)
мед	miel	copper
медал	medalla	medal
меден	miel	copper
медии	medios de comunicación	media
медиите	los medios de comunicación	media
медикаменти	medicamentos	medicine
медицина	medicamento	medicine
медицината	medicamento	medicine
медицинска	médico	medicinal
медицински	médico	medical
медицинско	médico	medical
медичи	medicos	medici
медна	cobre	copper
медни	cobre	copper
медта	cobre	copper
между	entre	between
междувременно	mientras tanto	in the meantime
международен	internacional	international
международна	internacional	international
международната	internacional	the international
международни	internacional	international
международните	internacional	international
международния	internacional	international
международният	el internacional	international
международно	internacionalmente	international
международното	el internacional	international
междусъюзническата	entre aliados	between allies
мейн	maine	maine
мек	suave	soft
мека	suave	mecca
меки	suave	mild
меко	suave	soft
меконг	mekong	mekong (name)
мексико	mexico	mexico
мелник	molino	melnik
мелодрама	melodrama	melodrama
мембрана	membrana	membrane
мемоари	memorias	memoirs
мемфис	memphis	memphis
менелай	menelay	menelaus
мениджър	gerente	manager
менингит	meningitis	meningitis
мери	maría	mery
мерилин	marilyn	merilyn
мерки	medidas	measures
меркурий	mercurio	mercury
меркюри	mercurio	mercury
мероприятия	eventos	activities
месец	mes	month
месеца	meses	months
месеци	meses	months
месечна	mensual	monthly
месия	mesías	messiah
месо	carne	meat
месопотамия	mesopotamia	mesopotamia
места	lugares	places
местата	lugares	locations
местен	local	local
мести	venganza	placed
местна	local	local
местната	el local	local
местни	local	local
местните	los locales	local
местния	local	local
местният	el local	local
местно	en la zona	locally
местност	zona	area
местности	terreno	areas
местността	la zona	area
местното	el local	local
местоимения	pronombres	pronouns
местоположение	ubicación	location
метаболизъм	metabolismo	metabolism
метал	metal	metal
метали	rieles	metals
металика	metálico	metallica
металите	rieles	metals
метални	metal	metal
металургията	metalurgia	metallurgy
метан	metano	methane
метеора	meteorito	meteor
метод	método	method
метода	método	method
методи	métodos	methods
методий	métodos	metody
методите	métodos	the methods
метра	metros	meters
метро	subterraneo	metro
метродиаметър	diámetro del metro	metrodiameter
метрото	el metro	metro
метъл	metal	metal
метър	metro	meter
