$	ps	dollarsign
hartslag	latido del corazón	heartbeat
has	tiene	has
hasselt	hasselt	hasselt
have	tener	hebben
haven	puerto	port
havens	puertos	harbours
havenstad	ciudad portuaria	port town
hawaï	hawai	hawaii
hawking	hawking	hawking
haydn	haydn	haydn
haïti	haití	haiti
hd	hd	high definition
he	oye	he
head	cabeza	head
heart	corazón	heart
heavy	pesado	heavy
heb	tener	have
hebben	tener	relate, have been
hebreeuws	hebreo	hebrew
hebreeuwse	hebreo	hebrew
hebt	tener	has
heden	en la actualidad	now
hedendaagse	contemporáneo	contemporary
heeft	tiene	has
heel	muy	very
heelal	universo	universe
heen	lejos	around
heer	señor	lord
heerenveen	heerenveen	heerenveen
heerschappij	dominio	rulership
heersende	predominante	ruling, prevailing, governing
heerser	regla	ruler
heersers	gobernantes	rulers
heerst	reglas	rules
heerste	gobernado	prevailed
heet	caliente	hot
heette	fue llamado	named
heffen	levantar	lift
heftige	violento	heavy
hegel	hegel	hegel
hegemonie	hegemonía	hegemony
heide	brezo	heathland
heidense	pagano	heathen
height	altura	height
heijn	heijn	heijn
heil	salvación	heil
heilig	santo	sacred
heilige	santo	sacred
heiligen	santos	saints
heinrich	heinrich	hienrich
hel	infierno	hell
helaas	desafortunadamente	unfortunately
held	héroe	hero
helden	héroes	heroes
helder	brillante	clear
heldere	brillante	clear
helderheid	brillo	clarity
hele	todo	entire
helemaal	todo el camino	completely
helen	sanar	helen
helena	helena	helena
helft	medio	half
helium	helio	helium
helling	pendiente	slope
hellingen	pendientes	slopes
helpen	ayudar	support
helpt	ayuda	helps
hem	él	him
hemel	cielo	heaven
hemellichamen	cuerpos celestiales	celestial bodies
hemelse	celestial	heavenly
hemelvaart	dia de la ascension	ascension
hemiplegie	hemiplejia	hemiphlegia
hemoglobine	hemoglobina	hemoglobin
hen	ellos	them
hendrik	hendrik	a dutch name
hendrix	hendrix	hendrix
henk	henk	henk
henri	henri	henri
henry	enrique	henry
hepatitis	hepatitis	hepatitis
her	su	re
herbergt	casas	houses
herbert	herbert	herbert
hercules	hércules	hercules
herdacht	conmemorado	remembered
herdenking	conmemoración	memorial
herder	pastor	shepherd
heren	caballeros	gentlemen
hereniging	reunificación	reunification
herfst	otoño	autumn
herhaald	repetido	repeated
herhaalde	repetido	repeated
herhaaldelijk	repetidamente	repeatedly
herhaling	repetir	repetition
herinneren	recuerda	remember
herinnering	recordatorio	memory
herinneringen	recuerdos	memories
herinnert	recuerda	reminds
herkenbaar	reconocible	recognizable
herkenbare	reconocible	distinguishable
herkennen	reconocer	recognize
herkomst	origen	origin
herman	germán	herman
hermann	hermann	hermann
hermelien	hermione	hermaine
hernieuwde	renovado	renewed
heroes	héroes	heroes
heroïne	heroína	heroin
hersenen	cerebro	brain
herstel	recuperación	restoration
hersteld	restaurado	repaired
herstelde	recuperado	recovered
herstellen	para recuperar	restore
hertog	duque	duke
hertogdom	ducado	duchy
hervormde	reformado	reformed
hervorming	reforma	reformation
hervormingen	reformas	reforms
herzegovina	herzegovina	herzegovina
herziene	revisado	revised
het	eso	the
hete	caliente	hot
heten	llamado	called, named
heteroseksuele	heterosexual	heterosexual
hetgeen	cual	which
hetzelfde	lo mismo	the same
hetzij	ya sea	either
heuvel	colina	hill
heuvels	colinas	hills
hevig	intenso	violent
hevige	violento	violent
hey	oye	hey - part of song title
hield	amado	held
hielden	mantenido	hold
hielp	ayudado	helped
hier	aquí	here
hieraan	a esto	on this
hierbij	por la presente	hereby
hierboven	aquí arriba	above
hierdoor	debido a esto	this
hierin	aqui	in this
hiermee	con este	with this
hierna	después de este	after this
hiernaast	junto a	apart from
hierom	debido a esto	for this reason
hieronder	abajo	among
hierop	en este	hereon
hierover	sobre esto	about this
hiertegen	en contra de esto	against this
hiertoe	para este propósito	this
hieruit	de esto	from here on out
hiervan	de esta	this
hiervoor	para esto	for this
high	alto	high
hij	él	he
hijzelf	él mismo	himself
hilde	hilde	hilde
hill	colina	hill - proper noun
himmler	himmler	himmler
hindoes	hindúes	hindus
hindoeïsme	hinduismo	hinduism
hing	colgado	hung
hiphop	hip hop	hip hop
his	su	his
hispania	hispania	hispania
hispaniola	hispaniola	hispaniola
historici	historiadores	historians
historicus	historiador	historian
historie	historia	history
historisch	histórico	historically
historische	histórico	historical
history	historia	history
hit	golpear	hit
hitler	hitler	hitler
hitlers	hitlers	hitlers
hitlijsten	cartas	charts
hits	golpes	hits
hits||||||||||	hits ||||||||||	hits
hitte	calor	heat
hiv	vih	aids
hiërarchie	jerarquía	hierarchy
hn	hn	hn
ho	ho	ho
hoe	cómo	how
hoefde	hizo	need
hoeft	necesitar	needs
hoek	esquina	corner
hoeken	rincones	corners
hoes	cubrir	dust-sheet
hoessein	hussein	hussein
hoesten	tos	coughing
hoeveel	cuánto cuesta	how many
hoeveelheden	cantidades	quantities
hoeveelheid	cantidad	amount
hoeven	pezuñas	hooves
hoewel	a pesar de que	however
hof	corte	court
hoge	alto	high
hoger	mayor	higher
hogere	mayor	higher
hogescholen	colegios	colleges of higher education
hogeschool	universidad	university
hol	hueco	hole
hold	sostener	hold
holland	holanda	holland
hollands	holandés	dutch
hollandse	holandés	dutch
hollywood	hollywood	hollywood
holocaust	holocausto	holocaust - proper noun
home	hogar	home
homo	gay	homo
homoseksualiteit	homosexualidad	homosexuality
homoseksueel	homosexual	homosexual
homoseksuele	homosexual	homosexual
homoseksuelen	homosexuales	homosexuals
hond	perro	dog
honden	perros	dogs
honderd	cien	hundred
honderdduizenden	cientos de miles	hunderds of thousands
honderden	cientos	hundreds
honduras	honduras	honduras
hong	hong	hong
hongaars	húngaro	hongarian
hongaarse	húngaro	hongarian
hongaren	hungars	hungarians
hongarije	hungría	hongaria
honger	hambriento	starvation
hongersnood	hambruna	famine
hongkong	hong kong	hongkong
hoofd	cabeza	head
hoofdkantoor	sede	main office
hoofdkwartier	sede	headquarters
hoofdletter	letra mayúscula	capital
hoofdpijn	dolor de cabeza	headache
hoofdplaats	capital	county seat
hoofdrol	rol principal	lead
hoofdrollen	papeles principales	main roles
hoofdrolspelers	protagonistas	protagonists
hoofdstad	ciudad capital	capital
hoofdstedelijk	capital	capital
hoofdsteden	capitales	capital cities
hoofdstuk	capítulo	chapter
hoofdzakelijk	principalmente	mainly
hoog	alto	high
hoogendijk	hoogendijk	hoogendijk
hooggerechtshof	corte suprema	supreme court
hoogland	tierras altas	highlands
hooglanden	tierras altas	highlands
hoogleraar	profesor	professor
hoogst	más alto	highest
hoogste	más alto	supreme
hoogte	altura	altitude
hoogtepunt	realce	climax
hoogtepunten	destacar	highlights
hoop	esperanza	hope
hoopt	esperanzas	hopes
hoopte	esperado	hoped
hoorde	escuchó	heard
hoorn	cuerno	horn
hoornaar	avispón	hoornaar
hoornplaten	placas de cuerno	horn plates
hoort	oye	belongs
hope	esperanza	hope
horatius	horace	horace
hordelopen	obstáculos	hurdles
horeca	industria del catering	catering
horen	escuchar	heard
horizontale	horizontal	horizontal
hormonale	hormonal	hormonal
hormonen	hormonas	hormones
hormoon	hormona	hormone
hospital	hospital	hospital
hot	caliente	hot
hotel	hotel	hotel
hotels	hoteles	hotels
hotmail	hotmail	hotmail
hou	amor	keep
houd	sostener	hold
houden	mantener	to keep
houding	actitud	attitude
houdingen	posturas	positions
houdt	gustos	holds
houston	houston	houston
hout	madera	wood
houten	de madera	wooden
houtskool	carbón	charcoal
how	cómo	how
howard	howard	howard
hubbard	hubbard	hubbard
hudson	hudson	hudson
hughes	abrazos	hughes
hugo	hugo	hugo
huid	piel	skin
huidig	actual	current
huidige	actual	wooded
huidskleur	color de piel	color
huis	casa	house
huisarts	médico general	general practitioner
huisvest	casas	houses
huisvesting	alojamiento	housing
huizen	casas	houses
huizenprijzen	precios de la vivienda	house prices
hulp	ayuda	aid
hulpbronnen	recursos	resources
human	humano	human
humanisme	humanismo	humanism
humanisten	humanistas	humanists
humor	humor	humour
hun	su	their
hunt	cazar	hunt
hunter	cazador	hunter
huwde	casado	married
huwelijk	boda	marriage
huwelijken	matrimonios	marriages
huxley	huxley	huxley
huygens	huygens	huygens
hyde	hyde	hyde
hypofyse	pituitaria	pituitary
hypothalamus	hipotálamo	hypothalamus
hypotheken	hipotecas	mortgages
hypothese	hipótesis	assumption
hyves	hyves	hyves
höss	höss	höss
i	yo	i
ian	ian	ian
ibd	ibd	ibd
iberisch	ibérico	iberian
ibn	ibn	ibn
ice	hielo	ice
icoon	icono	icon
ida	ida	ida (proper noun - first name)
ideaal	ideal	idealism
ideale	ideal	ideal
idee	idea	idea
ideeën	ideas	ideas
idem	ídem	ditto
identiek	idéntico	identical
identiteit	identidad	identity
ideologie	ideología	ideology
ideologische	ideológico	ideological
idgray	idgray	id gray
ieder	cada	every
iedere	cada	each
iedereen	todos	everybody
iemand	alguien	someone
iemands	de alguien	someone
ierland	irlanda	ireland
ierse	irlandesa	irish
iets	alguna cosa	jets
if	si	als
ii	ii	ii
iii	iii	iii
ij	ij	ij
ijs	hielo	ice
ijsberg	iceberg	iceberg
ijskap	hoja de hielo	glacier
ijsland	islandia	iceland
ijslandse	islandés	icelandic
ijssel	ijssel	ijssel
ijstijd	era de hielo	ice age
ijzer	hierro	iron
ijzeren	hierro	iron
ijzererts	mineral de hierro	iron ore
ijzerslangen	mangueras de hierro	iron snakes
ik	yo	i
ike	ike	ike
il	illinois	il
illegaal	ilegal	illegal
illegale	ilegal	illegal
illusie	espejismo	illusion
illustratie	ilustración	illustration
im	estoy	in
imagesize	tamaño de la imagen	image size - beeldgrootte
imago	imagen	image
imdb	imdb	imdb
imf	imf	imf
immers	después de todo	indeed
immigranten	inmigrantes	immigrants
immigratie	inmigración	immigration
immuniteit	inmunidad	immunity
immuunsysteem	sistema inmunitario	immune system
impact	impacto	impact
imperial	imperial	imperial
imperium	imperio	empire
import	importar	import
impressionisme	impresionismo	impressionism
impuls	impulso	impulse
in	en	in
incas	incas	incas
inch	pulgada	inch
inchmm	pulgadasmm	inchmm
incident	incidente	incident
incidenten	incidentes	incidents
inclusief	incluso	including
increment	incremento	verhoging
indeling	diseño	stratifaction
inderdaad	en efecto	indeed
indertijd	en el momento	at that time
index	índice	index
india	india	india
indiaanse	nativo americano	indian
indian	indio	indian
indiana	indiana	indiana
indianen	nativos americanos	native americans/ indians
indiase	indio	indian
indicatie	indicación	indication
indien	si	in case of
indirect	indirectamente	indirect
indirecte	indirecto	indirect
indische	indio	indian
individu	individual	individual
individueel	individualmente	individual
individuele	individual	individual
individuen	individuos	individuals
indië	india	indie
indiërs	indios	indians
indoeuropese	indoeuropeo	indo-european
indonesische	indonesio	indonesian
indonesië	indonesia	indonesia
indruk	impresión	impression
industrialisatie	industrialización	industralisation
industrie	industria	industry
industrieel	industrial	industrial
industrieën	industrias	industries
industriële	industrial	industrial
ineens	de repente	suddenly
infanterie	infantería	infantry
infectie	infección	infection
infecties	infecciones	infections
inflatie	inflación	inflation
influenza	influenza	influenza
informatica	informática	informatics
informatie	información	information
informele	informal	informal
infrastructuur	infraestructura	infrastructure
ingalls	ingalls	ingalls
ingang	entrada	entrance
ingedeeld	clasificado	classified
ingenieur	ingeniero	engineer
ingenieurs	ingenieros	engineers
ingenomen	tomado	occupied
ingericht	amueblado	organized
ingesteld	conjunto	focussed
ingevoerd	implementado	implemented
ingewikkelde	complicado	complex
ingezet	desplegado	used
ingreep	cirugía	operation
ingrid	ingrid	ingrid
ingrijpen	intervenir	interfere
inheemse	nativo	indigenous
inhoud	contenido	content
inhoudt	implica	means
initiatief	iniciativa	initiative
initiatieven	iniciativas	initatives
inkomen	ingresos	incomings
inkomsten	ingresos	revenues
inleiding	prefacio	intro
inmenging	interferencia	interference
inmiddels	mientras tanto	meanwhile
inname	consumo	intake
innemen	ingerir	take in
inquisitie	inquisición	inquisition
inrichting	diseño	device
insect	insecto	insect
insecten	insectos	insects
inslag	inclinación	impact
inspanning	esfuerzo	exertion
inspanningen	esfuerzos	efforts
inspiratie	inspiración	inspiration
inspiratiebron	fuente de inspiración	source of inspiration
inspireerde	inspirado	inspired
inspireren	inspirar	to inspire
instantie	ejemplo	instance
instanties	organizaciones	authorities
instelling	institución	institution
instellingen	ajustes	institutions
institute	instituto	institute
instituten	institutos	institutes
instituut	instituto	institute
instrument	instrumento	instrument
instrumenten	instrumentos	instruments
insuline	insulina	insulin
intact	intacto	intact
integratie	integración	integration
intellectuele	intelectual	intellectual
intellectuelen	intelectuales	intellectuals
intelligent	inteligente	intelligent
intelligentie	inteligencia	intelligence
intense	intenso	intense
intensief	intensivo	intensive
intensieve	intensivo	intensive
intensiteit	intensidad	intensity
inter	enterrar	inter
interactie	interacción	interaction
interessant	interesante	interesting
interesse	interesar	interest
interieur	interior	interior
intern	interno	internal(ly)
internationaal	internacional	international
international	internacional	international
internationale	internacional	international
interne	interno	internal
internet	internet	internet
interpellatie	interpelación	interpellation
interpretatie	interpretación	interpretation
interpretaties	interpretaciones	interpretations
interview	entrevista	interview
interviews	entrevistas	interviews
into	dentro	into
intocht	entrada	entry
intrede	entrada	entry
introduceerde	introducido	introduced
introductie	introducción	introduction
intussen	mientras tanto	in the meantime
inval	redada	invasion
invallen	redadas	invasions
invasie	invasión	invasion
investeringen	inversiones	investments
invloed	influencia	influence
invloeden	influencias	influences
invloedrijke	influyente	influential
invloedssfeer	esfera de influencia	sphere of influence
invoer	importaciones	input
invoering	introducción	introduction
invulling	terminación	interpretation
inwendige	interior	internal
inwoner	residente	resident
inwoneraantal	población	number of inhabitants
inwoners	habitantes	inhabitants
inwonertal	población	inhabitants
inzake	en	concerning
inzet	esfuerzo	usage
inzetten	apuesta	involve
inzicht	visión	insight
inzichten	ideas	insights
inzittenden	ocupantes	passengers
ioc	ioc	international olympic committee
iq	i.q.	iq
iraanse	iraní	iranian
irak	irak	iraq
iran	iran	iran
