$	dollar təşkil edib	dollars
المسابقة	müsabiqə	for a competition
المساجد	məscidlər	mosques
المساحة	məkan	the area
المساعدات	kömək	the aid
المساعدة	kömək edin	helping
المسافات	məsafələr	distances
المسافة	məsafə	distance
المساكن	yaşayış yerləri	houses
المساهمة	töhfə	the contribution
المساواة	bərabərlik	equality
المسبار	zond	probe
المسببة	səbəb olur	resulting
المستخدم	i̇stifadəçi	the user
المستخدمة	i̇stifadə olunur	used
المستخدمين	i̇stifadəçilər	users
المستدامة	davamlıdır	continuous
المستشار	məsləhətçi	to counselor
المستشفى	xəstəxana	to hospital
المستشفيات	xəstəxanalar	the hospitals
المستعمرات	koloniyalar	colonies
المستعمرة	koloniya	inhabiting
المستعملة	i̇stifadə olunur	used
المستقبل	gələcək	the future
المستقبلية	gələcək	the futuristic
المستقلة	müstəqil	the independent
المستمر	davamlıdır	continuous
المستمرة	davamlıdır	the ongoing
المستوطنات	qəsəbələr	the settlements
المستوى	səviyyə	to a level
المستويات	səviyyə	levels
المسجد	məscid	mosque
المسرح	teatr	the theater
المسرحي	teatr	theater
المسرحيات	oynayır	theaters
المسرحية	tamaşa	the performing
المسلح	silahlı şəxs	the armed
المسلحة	silahlı	for armed
المسلسل	serial	series
المسلسلات	sabun operaları	series
المسلمة	postulat	the muslim
المسلمون	müsəlmanlar	muslims
المسلمين	müsəlmanlar	for muslims
المسمى	etiketli	also known as
المسيحي	xristian	christian
المسيحية	xristianlıq	the christian
المسيحيون	xristianlar	the christians
المسيحيين	xristianlar	the christians
المشاة	piyada	pedestrians
المشاركة	i̇ştirak edin	participation
المشاركين	i̇ştirakçılar	the participants
المشاريع	layihələr	the projects
المشاعر	hisslər	the emotions
المشاكل	problemlər	problems
المشاهد	i̇zləyicidir	the scenes
المشترك	abunəçi	the common
المشتركة	paylaşdı	common
المشترى	alıcı	jupiter
المشتري	alıcı	jupiter
المشرفة	nəzarətçi	supervisor
المشركين	müşriklər	polytheists
المشروبات	i̇çkilər	drinks
المشروع	layihə	project
المشروعات	layihələr	projects
المشعة	radioaktiv	radiant
المشكلات	problemlər	the problems
المشكلة	problem	promlem
المشهد	səhnə	scene
المشهور	məşhur	famous
المشهورة	məşhur	famous
المشهورين	məşhur	famous
المشير	sahə marşalı	marshal
المصاب	xəsarət alanlar	indicted
المصابة	yoluxmuşdur	infected
المصابين	xəsarət alanlar	afficted
المصاحف	quran	newspapers
المصادر	mənbələr	sources
المصارف	banklar	banks
المصالح	maraqlar	the concerns
المصانع	zavodlar	the factories
المصحف	quran	quran
المصدر	mənbə	source
المصري	misir	the egyptian
المصرية	misir	egyptian
المصريون	misirlilər	the egyptians
المصريين	misirlilər	egyptians
المصطلح	müddət	term
المصطلحات	terminologiya	the expressions
المضاد	qarşıdurma	counter
المضادة	mübarizə tədbirləri	counter
المضيف	ev sahibi	host
المضيفة	ev sahibəsi	the host
المطار	hava limanı	airport
المطارات	hava limanları	airports
المطاعم	restoranlar	restaurants
المطاف	sonu	destination for
المطبخ	mətbəx	the kitchen
المطر	yağış	the rain
المطلب	tələb	el-moteleb
المطلة	çarx	overlooking
المطلق	mütləqdir	absolute
المطلقة	boşanmışdır	for divorced
المطلوب	tələb olunur	required
المطلوبة	tələb olunur	needed
المطيرة	yağış meşəsi	for rain
المظاهرات	nümayişlər	demonstrations
المظلمة	qaranlıq	dark
المعابد	məbədlər	for temples
المعادن	minerallar	the metals
المعادية	düşmən	hostile
المعارض	sərgilər	the opposing
المعارضة	müxalifət	to oppose
المعارضين	müxaliflər	oppositionists
المعارف	bilik	encyclopedia
المعارك	döyüşlər	the battles
المعاصر	müasir	the current
المعاصرة	müasir	the current
المعاصرين	müasirlər	current
المعالم	mərhələlər	landmarks
المعاني	mənaları	meanings
المعاهد	i̇nstitutlar	colleges
المعاهدات	müqavilələr	treaties
المعاهدة	müqavilə	pact
المعايير	standartlar	the standards
المعبد	məbəd	temple
المعتدل	mülayimdir	the moderate
المعتزلة	mu&#39;tazilah	solitary
المعتقدات	i̇nanclar	beliefs
المعتمد	təsdiqləndi	approved
المعتمدة	təsdiqləndi	approved
المعدات	avadanlıqlar	equipment
المعدة	mədə	the stomach
المعدل	qiymətləndirin	rate
المعدلة	dəyişdirilib	modified
المعدنية	mineral	mineral
المعدية	yoluxucu	infectious
المعرض	şou	the exhibition
المعرفة	bilik	the knowledge
المعرفي	bilişsel	cognitive
المعرفية	bilişsel	epistemic
المعركة	döyüş	battle
المعروف	məlumdur	know for
المعروفة	məlumdur	well-known
المعري	maari	almaree
المعز	keçi	to moez
المعسكر	düşərgə	camp
المعقدة	kompleks	complicated
المعلم	müəllim	the teacher
المعلمين	müəllimlər	teachers
المعلومات	məlumat	information
المعماري	memar	architectural
المعمارية	memarlıq	architectural
المعنى	mənası	meaning
المعنية	narahatdır	specific
المعهد	i̇nstitut	institute
المعي	bağırsaq	intestine
المغاربة	mərakeşlilər	moroccans
المغرب	mərakeş	moroco
المغربي	mərakeş	the moroccan
المغربية	mərakeş	moroccan
المغلقة	qapalı	closed
المغناطيس	maqnet	the magnet
المغناطيسي	maqnetikdir	the magnetic
المغناطيسية	maqnetizm	magnatic
المغول	monqollar	mongols
المغولي	muğal	moguli
المغولية	monqol	mongolian
المفاتيح	açarlar	keys
المفاعلات	reaktorlar	reactors
المفاهيم	anlayışlar	the concepts
المفاوضات	danışıqlar	for negotiations
المفترض	fərz edilmişdir	supposed
المفتوحة	açıq	liberated
المفردات	lüğət	the vocabulary
المفروضة	tələsdi	placed
المفسرين	tərcüməçilər	interpreters
المفضلة	ən sevdiyim	favorite
المفكرين	düşüncələr	thinkers
المفهوم	anladı	concept
المقابر	qəbiristanlıqlar	graveyards
المقابل	qayıdış	return
المقابلة	müsahibə	meeting
المقارنة	müqayisə	comparing
المقاطعات	i̇llər	provinces
المقاطعة	boykot	province
المقاعد	oturacaqlar	the seats
المقال	məqalə	essay
المقالات	məqalələr	articles
المقالة	məqalə	essay
المقام	maqam	status
المقاومة	müqavimət	resistant
المقاييس	metrika	the standards
المقدس	müqəddəs	the wholly
المقدسة	müqəddəs	the holy
المقدسي	qüdslilər	el mokadasy
المقدمة	giriş	at the top
المقدوني	makedon	macedonian
المقر	qərargah	location
المقربين	yaxın olanları	close
المقرر	qərar	the determined
المقصود	təqdim olunur	i mean
المقيمين	sakinlər	residents
المكان	yer	plade
المكتب	ofis	the office
المكتبات	kitabxanalar	to libraries
المكتبة	kitabxana	for a library
المكتوبة	yazılıb	written
المكرمة	müqəddəs yer	the revered
المكسيك	meksika	to mexico
المكسيكية	meksikalı	mexican
المكون	komponent	constituting
المكونات	tərkibi	components
المكونة	komponent	composing
المكي	məkkə	mecca's
الملائكة	mələklər	angels
الملابس	paltar	clothes
الملاحة	naviqasiya	navigation
الملاحظات	qeydlər	notes
الملاحظة	qeyd	the note
الملايو	malay	malaya
الملايين	milyonlarla	milions
الملح	duz	salt
الملعب	stadion	field
الملفات	fayllar	files
الملقب	ləqəb	named
الملك	padşah	the king
الملكة	kraliça	queen
الملكي	kral	royal
الملكية	mülkiyyət	royal
الملوثات	çirkləndiricilər	contaminants
الملوثة	çirklənmişdir	contaminated
الملوك	krallar	kings
الممارسة	təcrübə	practiced
الممالك	krallıqlar	the kingdoms
المماليك	mamluks	the mamluks
الممتاز	əla	good
الممتدة	sərf etmək	the extended
الممتلكات	mülkiyyət	properties
الممثل	aktyor	actor,representative
الممثلة	aktrisa	actress
الممثلين	aktyorlar	actresses
الممكن	mümkündür	possible
المملكة	səltənət	kingdom
المملوكي	mamluk	mamluk (owned in turkish)
المملوكية	mamluk	the mamluk
المميزة	fərqli	the distinctive
المناخ	i̇qlimi	climate
المناخية	i̇qlim	climatic
المنازل	evlər	homes
المناسب	uyğun	the appropriate
المناسبات	vəziyyətlər	occasions
المناسبة	fürsət	occasion
المناصب	vəzifələr	positions
المناطق	bölgələr	regions
المناعة	toxunulmazlıq	immune
المناعي	i̇mmunofloresans	immune
المنافسة	rəqabət	to oppose
المناهج	kurikulumlar	the curricula
المناهضة	anti	against
المنتج	məhsul	the producer
المنتجات	məhsullar	products
المنتجة	i̇stehsal olunur	produced
المنتخب	seçin	national team
المنتخبات	komandalar	the team
المنتدى	forum	forum
المنتشرة	səpələnmiş	spread
المنتظر	gözləyirəm	the anticipated one
المنخفضة	aşağı	low
المندائية	mandaean	mandaean - a name of a religion in iraq
المنزل	ana səhifə	home
المنزلي	yerli	domestic
المنزلية	ev	home
المنشآت	müəssisələr	facilities
المنصب	mövqe	position
المنصور	əl-mənsur	al-mansour
المنصورة	mənsurə	mansoura
المنطق	məntiq	to the logic of
المنطقة	bölgə	region
المنظمات	təşkilatlar	organizations
المنظمة	təşkilat	organization
المنعم	munim	of monem
المنفى	sürgün	exile
المنهج	proqramlar	approach
المنورة	mədinə	lighted
المنوية	sperma	seminal
المهاجرين	köçkünlər	the migrants
المهارات	bacarıqlar	skills
المهام	tapşırıqlar	tasks
المهبل	vagina	vagina
المهدي	mehdi	el-mahdy
المهرجانات	şənliklər	festivals
المهلهل	səliqəli	el-mohalhel
المهم	əhəmiyyətli olan	important to
المهمة	missiya	the mission
المهنة	peşə	the job
المهندس	mühəndis	the engineer, almuhandes
المهندسين	mühəndislər	the engineers
المهنية	peşəkar	professional
المواجهة	qarşıdurma	conflect
المواد	məqalələr	material
الموارد	resurslar	resources
المواصلات	nəqliyyat	transportation
المواضيع	mövzular	for subjects
المواطن	vətəndaş	the citizen
المواطنين	vətəndaşlar	compatriots
الموافق	müvafiq	corresponding to
الموافقة	tamam	approval
المواقع	yerlər	locations
المواقف	vəzifələr	situations
الموالية	pro	loyal to
المواليد	yenidoğulmuşlar	born
الموانئ	limanlar	seaports
الموت	ölüm	die
الموتى	ölülər	dead people
الموجات	dalğalar	waves
الموجة	dalğa	wave
الموجهة	i̇stiqamətləndirilib	directed
الموجود	tapıldı	for an existence
الموجودة	mövcuddur	existing
الموجي	dalğa forması	wave
الموجية	dalğa şəkli	waviness
الموحد	birləşdirilib	consolidated
الموحدة	standart	united
الموحدين	unitarians	unitarians
المورثة	gen	gene
الموسم	mövsüm	season
الموسمية	mövsümlük	seasonal
الموسوعة	ensiklopediya	encyclopaedia of
الموسيقار	musiqiçi	musician
الموسيقى	musiqi	the music
الموسيقي	musiqiçi	music
الموسيقية	musiqili	musical
الموضوع	mövzu	the subject
الموضوعات	mövzular	topics
الموظفين	i̇şçilər	for officers
الموقع	yeri	website
الموقف	mövqe	position
المولد	generator	the birth
المولود	doğuldu	to live
المولى	sire	el-mawla
المياه	su	water
الميت	ölü	dead
الميثاق	nizamnamə	covenant
الميثان	metan	charter
الميدالية	medal	medal
الميدان	sahə	field
الميزانية	büdcə	balance
الميكانيكا	mexanika	the mechanics
الميكانيكية	mexaniki	mechanical
الميلاد	milad	birth
الميلادية	qriqoryan	after christ
الميلاديين	ad	centuries
الميناء	liman	port
الميول	meyllər	tendency
الناتج	çıxış	produced
الناتجة	nəticə	resulted
الناتو	nato	nato
الناجحة	uğurlu	successful
الناجمة	səbəb oldu	cause by
الناحية	rayon	side
النادرة	nadir	unique
النادي	klub	club
النار	atəş	the fire
النارية	motosiklet	fire
النازي	nasist	nazi
النازية	nazi	the nazism
الناس	i̇nsanlar	people
الناشئة	i̇nkişaf edir	resulting from
الناصر	nasir	al-naser
الناطقة	danışan	talking
الناطقين	natiqlər	speakers
النامية	i̇nkişaf edir	advanced
النبات	bitki	plant
النباتات	bitkilər	plants
النباتي	vegetarian	vegetarian
النباتية	vegetarianizm	plants
النبلاء	zadəganlar	nobles
النبوة	peyğəmbərlik	prophecy
النبوي	hz	prophet
النبوية	hz	related to the prophet
النبي	hz	the prophet
النبيذ	şərab	wine
النتائج	nəticələr	the results
النتيجة	nəticə	the result
النثر	nəsr	prose
النجاح	uğur	ssuccess
النجار	dülgər	ennejar
النجم	ulduz	the star
النجوم	ulduzlar	stars
النحاس	mis	copper
النحت	heykəltəraşlıq	sculpturing
