$ tỉ	مليار دولار	$ billion
kí	التوقيع	sign
kích	انقر	excite
kíchbom	انقر فوق الزر	bombers
kín	خاص	secretive or closed tight (adj.)
kính	زجاج	respect
kíp	الطاقم	esoterica
kít	كيت	wheelbarrow
ký	توقيع	"(""nhật ký"") a diary"
kĩ	بعناية	technique
kơnia	كايا	a tree found in southeast asia; sometimes called wild mango
kạn	كان	kan
kẹo	حلوى	candy
kẹp	المشبك	to clamp down (v.)
kẹt	تمسك	jam
kẻ	رفاق	guy
kẻo	لئلا	lest
kẽ	خلالي	crevice
kẽm	زنك	zinc
kế	التالي	a scheme (n.)
kết	النهاية	combine
kề	المجاورة	adjacent
kềnh	ضخم	bulky
kệ	رفوف	ignore
kỉ	القرن	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	الفرسان	ki
kịp	في الوقت المناسب	kip
kỵ	الفرسان	taboo
kỷ	القرن	"(term should be ""thế kỷ"") century (n.)"
l	ل	l.
label	التسمية	label
laboulaye	laboulaye	a name
ladakh	لاداخ	(proper noun) ladakh
lai	هجين	"(term should be ""tương lai"") the future (n.)"
lam	لام	lam
lama	لما	a name
lan	لان	a name
land	الأرض	land
landon	لاندون	a name
lang	لانج	lang
langdon	لانجدون	langdon
lange	لانج	lange, as in oscar lange
langue	لغة	langue
lanh	الكتان	ringing
lanka	لانكا	(proper noun) lanka, as in the island of sri lanka
lao	السل	labor
laos	لاوس	(proper noun) laos
lap	حضن	greek
larry	لاري	larry
lars	لارس	lars
las	لاس	(proper noun) las, as in las vegas
laser	الليزر	laser
lateran	لاتيران	lateran
latinh	لاتيني	latin
latvia	لاتفيا	(proper noun) latvia
lau	مسح	lau
laura	لورا	(proper noun) laura, as in laura bush
laurence	لورانس	(proper noun) laurence
lawrence	لورنس	(proper noun) lawrence
lay	تكمن	lay
lazarus	لازاروس	(proper noun) lazarus
leach	الرشح	(proper noun) leach
leaf	ورقة الشجر	leaf
leave	يغادر	leave
lebanon	لبنان	(proper noun) lebanon
lee	لي	lee
legacy	تراث	legacy
leiden	ليدن	leiden
lem	ليم	cinderella
lenin	لينين	lenin
lenins	لينين	lenin's
leo	التسلق	climb
leon	ليون	leon
leonard	ليونارد	leonard
leonardo	ليوناردو	(proper noun) leonardo, as in leonardo da vinci
leonid	ليونيد	leonid
les	ليه	les
leslie	ليزلي	a name
lesotho	ليسوتو	lesotho
lg	إل جي	lg
lhp	lhp	film festival
lhq	lhq	un
libby	ليبي	(proper noun) libby
libero	ليبرو	libero
libya	ليبيا	libya
lido	ليدو	lido
liechtenstein	ليختنشتاين	liechtenstein
liga	الدوري الاسباني	a name
lightning	برق	lightning
lilly	ليلي	(proper noun) lilly
linga	لغة	linga
linh	لينه	efficacious (adj.)
links	الروابط	links
linux	لينكس	linux server
lionel	ليونيل	lionel
lisboa	ليسبوا	lisboa
lisbon	لشبونة	a name
litva	ليتوانيا	(proper noun) lithuania
liu	ليو	liu
liêm	النزاهة	good example
liên	مشروع	relate
liêng	مقدس	sacred
liêu	البيروقراطية	bureaucracy
liềm	المنجل	sickle
liều	جرعة	daring
liễu	الصفصاف	a willow tree (n.)
liệng	إرم	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	شلل	impotent
liệu	خام	document
lleyton	ليتون	lleyton
lo	ص	to worry (v.)
loa	المتحدث	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	بقعة	patchy
loch	بحيرة	loch
locke	لوك	(proper noun) locke, as in philosopher john locke
lockheed	لوكهيد	(proper noun) lockheed, as in lockheed martin
log	سجل	log
logan	لوغان	a name
lon	علب	lon
london	لندن	london
long	طويل	dragon
lorenzo	لورينزو	lorenzo
los	لوس	los, as in los angeles
louis	لويس	louis
louisiana	لويزيانا	(proper noun) the state of louisiana
louvre	اللوفر	(proper noun) louvre
love	الحب	yeu
loài	الأنواع	species
loát	مبهرج	overturn
loãng	رقيق	wishy-washy
loét	قرحة	gaping, as in a wound
loại	اكتب	type
loạianh	اكتب	not a word
loạianime	اكتب أنيمي	type anime
loạibệnh	نوع المرض	disease
loạichiến	اكتب	loaichien
loạicác	اكتب	item
loạicâu	اكتب	type: club
loạicông	اكتب	type: industry
loạicựu	اكتب	kind former
loạigia	اكتب	loaigia
loạihuân	kindhuan	not a word
loạiluật	نوع القانون	type: law
loạimáy	نوع الجهاز	kind plane
loạimôn	اكتب	type
loạingày	اكتب هذا	loaingay
loạiphim	نوع الفيلم	type movie
loạiphong	اكتب	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	نوع القانون	type: lexicon
loạithành	اكتب	kinds of payment
loạithần	اكتب	kind myth
loạitrường	نوع المدرسة	type of school
loạitín	نوع	type: belief
loạitổ	اكتب	kind organization
loạivõ	اكتب نوع	type: martial art
loạixã	اكتب	kind of society
loạn	اضطراب	disorderly
loạt	سلسلة	series
lp	ليرة لبنانية	lp
lu	لو	dim
luang	لوانغ	a name
lucas	لوكاس	(proper noun) lucas
lucia	لوسيا	lucia, as in the island of saint lucia
luciano	لوسيانو	luciano
ludendorff	ludendorff	luđenorff
ludovico	لودوفيكو	ludovico
ludwig	لودفيج	ludwig
lui	العودة	withdrawal
luis	لويس	(proper noun) luis, a first name
luiz	لويز	luiz
lula	لولا	lula
lung	رئة	shake
lustig	lustig	lusig
luther	لوثر	luther
luxembourg	لوكسمبورج	a name
luy	لوي	luy
luyến	مرفق	love
luyện	الممارسة	training
luận	تعليق	"(term should be ""xã luận"") an editorial"
luật	القانون	law
luồn	مترابطة	wriggle
luồng	تيار	lane
luộc	مسلوق	boiled
luỹ	تراكمي	rampart (n.)
ly	ly	divorce
lydia	ليديا	lydia
lympho	سرطان الغدد الليمفاوية	lymphocyte
lyndon	ليندون	lyndon
lyon	ليون	lyon
là	هو	the verb to be
làm	افعل	make
làn	حارة	wave
làng	قرية	village
lành	تلتئم	protestant
lào	لاوس	laos
lá	يترك	"(term should be ""lá thư"") a letter (n.)"
lác	الحول	brag
lách	الطحال	to swerve (v.)
lái	قيادة	to drive (v.)
lán	كوخ	shack
láng	على نحو سلس	neighbours
lâm	لام	lâm, a common vietnamese first name
lân	يونيكورن	nearby
lâu	طويل	long time
lây	معدية	to infect
lãi	الفائدة	a profit
lãm	يظهر	exhibition
lãnh	تلقى	to receive
lão	قديم	old
lèo	ليو	"(term should be ""nước lèo"") broth (n.)"
lén	التسلل	sneak
lê	الكمثرى	le
lêmạc	ضوء	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	يصل	on
lênh	أمر	"(should be ""lênh đênh"") adrift"
lênin	لينين	lenin
lìa	يغادر	to leave (v.)
lình	فجأة	suddenly
lí	التخزين	reason
lính	جندي	soldier
lít	لتر	litre
líu	سجع	"(term should be ""dính líu"") to have a connection with"
lò	فرن	release
lòng	سحق	heart
lóc	رأس ثعبان	cry
lóe	تومض	flash
lóng	عامية	"entire term should be ""tieng long""; means ""slang"""
lót	البطانة	undies
lô	الكثير	batch
lôi	خطأ	encourage
lôn	هههه	"(term should be ""côn lôn"") a village in vietnam"
lông	الفراء	hair
lõi	الأساسية	core
lõm	مقعر	concave
lùi	إلى الوراء	back
lùn	قزم	dwarf
lùng	مطاردة	hunt
lúa	أرز	rice
lúc	في	at the moment
lún	هبوط	subside
lúng	اشتعال	confused
lúp	مكبرة	uneven
lút	متستر	surreptitiously
lăm	خمسة	tens
lăn	المتداول	attack
lăng	ضريح	tomb
lĩnh	المجالات	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	الفيضانات	a band or gang (n.)
lũng	الوادي	valley
lũy	تراكمي	rampart
lơ	إهمال	to ignore
lơi	ترخي	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	مبخرة	an urn
lưng	العودة	back
lươn	ثعبان البحر	eel
lương	الراتب	conscience
lưới	شبكة	a net (n.)
lướt	تصفح	ski
lười	كسول	lazy
lưỡi	لسان	tongue
lưỡng	ثنائي الجنس	"(term should be ""lưỡng tính"") bisexual"
lược	مشط	invasion
lượm	تلتقط	pick up
lượn	أنسل	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	غريب	strange or unusual (adj.)
lạc	خسر	camel
lạch	خور	"(term should be ""luồng lạch"") a narrow water passageway"
lại	مرة أخرى	reversed
lạn	فاسد	bright
lạng	لانج	lang
lạp	سجق	"(term should be ""hy lạp"") greek"
lạtma	لما	lama
lạy	يسجد	kowtow
lấn	زحف	to encroach on (v.)
lấp	شغل	sparkle
lấy	مأخوذ	taken
lầm	خطأ	wrong
lần	مرات	time
lầu	الكلمة	a story or level of a building (n.)
lầy	مستنقع	swamp
lẩu	هوت بوت	hotpot
lẩy	اقفز	get
lẫn	مرتبك	each other
lẫy	قرصة	illustrious
lận	الغش	fraudulent
lật	الوجه	turn
lậy	أوه نعم	"(term should be ""cai lậy"") the name of a rural district"
lắc	هز	to shake (v.)
lắm	جدا	do
lắng	لتسوية	"(should be ""lo lắ́́ng"") to worry"
lắp	مناسب	lap
lặng	صامت	quiet
lặp	كرر	repeat
lặt	متفرقات	means miscellaneous, part of the word lat vat
lẹ	سريع	quickly (adv.)
lẻ	غريب	"(the term should be ""bán lẻ"") retail"
lẻn	التسلل	sneak
lẻo	التراخي	climb
lề	الهامش	alignment
lều	خيمة	tent
lễ	حفل	ceremony
lệ	معدل	"(term should be ""tỷ lệ"") probability (n.)"
lệch	انحراف	difference
lệnh	الأمر	command
lị	الزحار	"(term should be ""tỉnh lị"") a township (n.)"
lịch	التقويم	history
lọc	مرشح	tricked
lọi	الحول	brilliant
lọng	المظلات	rope
lọt	تقع	enter
lỏi	الوبر	to enter
lỏng	فضفاض	loose
lố	انتهى	ridiculous
lốc	زوبعة	tornado
lối	المدخل	way or path
lốp	الإطارات	tyre
lốt	مظهر	lolot
lồ	عملاق	giant
lồi	محدب	convex
lồng	قفص	cage
lỗ	حفرة	hole
lộc	ثروة	loc
lội	واد	wade
lộn	انقلبت	wrong/mistake
lộng	رائع	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	تقشير	exploit
lớn	كبير	large
lớp	الطبقة	grade (n.)
lờ	تجاهل	turbid
lời	كلمة	advice
lở	القروح	to crack
lỡ	يغيب	miss
lợi	فائدة	benefit
lợn	الخنازير	pig
lợp	تسقيف	roof
lụa	حرير	silk
lục	أخضر	record
lụi	احترق	ruin
lụt	الفيضانات	flood
lụy	الآثار	consequence
lứa	القمامة	peer
lừa	خدعة	mislead
lừng	لامع	well-known
lửng	الغرير	lơ lửng= not clear/ something in between
lự	متردد	reluctant
lựa	تم التحديد	chosen
lựu	الرمان	grenade
ma	شبح	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	ماستريخت	maastricht
macarthur	ماكارثر	macarthur
macclesfield	ماكليسفيلد	macclesfield
macedonia	مقدونيا	(proper noun) macedonia
mach	ماخ	mach
machiavelli	مكيافيلي	machiavelli, as in philosopher niccolo machiavelli
machu	مفتول العضلات	machu
macintosh	ماكنتوش	macintosh
macma	الصهارة	magma
macromedia	ماكروميديا	macromedia
madeira	ماديرا	madeira
madhouse	جنون	madhouse
madison	ماديسون	madison
madonna	مادونا	(proper noun) madonna
madrid	مدريد	madrid, as in the capital of spain
mafia	المافيا	mafia
magiê	المغنيسيوم	magnesium
mahal	محل	(proper noun) mahal, as in the taj mahal
mai	غدا	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	المركزية	mainframe
major	الرئيسية	major
makemake	ماكيماكي	makemake
malacca	ملقا	malacca
malay	لغة الملايو	malaysia
malaysia	ماليزيا	(proper noun) the country of malaysia
malcolm	مالكولم	malcolm
maldini	مالديني	maldini
mali	مالي	mai
malta	مالطا	malta
maluku	مالوكو	maluku
manche	المانش	manche
manchester	مانشستر	manchester
mandela	مانديلا	mandela, as in nelson mandela
mandy	ماندي	mandy
mang	تحمل	to bring (v.)
manga	مانغا	manga
mangnall	مانجال	(proper noun) mangnall, as in ernest mangnall
manh	مانه	fragile
manila	مانيلا	manila, the capital of the philippines
mankiw	مانكيو	mankiw, as in gregory mankiw
manti	مانتي	mantle
manuel	مانويل	manuel
mao	ماو	capillary
maps	خرائط	maps
maradona	مارادونا	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	مارك	marc, as in marc chagall
marcel	مارسيل	(proper noun) marcel, a french name
marcos	ماركوس	(proper noun) marcos, as in ferdinand marcos
marcus	ماركوس	marcus, as in marcus aurelius (n.)
margaret	مارجريت	(proper noun) margaret
maria	ماريا	(proper noun) maria
marianne	ماريان	(proper noun) marianne
marie	ماري	marie
marina	مارينا	marina
marino	مارينو	marino
marić	marić	maric
marmara	مرمرة	(proper noun) marmara, as in the sea of marmara
marne	مارن	marne, as in the marne river (n.)
mars	المريخ	mars
marseille	مرسيليا	marseille
marshall	مارشال	marshall
marsu	مارسو	(proper noun) marsu
marta	مارتا	(proper noun) marta, as in the female brazilian soccer player
martin	مارتن	martin
marx	ماركس	this is a name
mary	ماري	(proper noun) mary
maryland	ماريلاند	a name
maría	ماريا	maria
mas	ماس	mas
massachusetts	ماساتشوستس	massachusetts
mat	حصيرة	mat
mathematica	الرياضيات	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	الحصير	mats, as in mats sundin
matthias	ماتياس	matthias, as in matthias erzberger
mau	بسرعة	fast
maurice	موريس	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	مكسيم	a name
may	خياطة	lucky
maya	مايا	(proper noun) maya
mcafee	مكافي	(proper noun) mcafee
mccain	ماكين	mccain
mccartney	مكارتني	a name
mccullough	مكولوغ	mccullough
mcdonald	ماكدونالدز	(proper noun) mcdonald
mchc	mcc	mchc
mclaren	ماكلارين	mclaren
mcmahon	مكماهون	(proper noun) mcmahon
mcnamara	مكنمارا	(proper noun) mcnamara, as in robert mcnamara
mcv	مكف	mean corpuscular volume
media	الوسائط	media
medici	ميديسي	(proper noun) medici, as in the medici family of italy
medina	المدينة المنورة	(proper noun) medina, as in ernest medina
medvedev	ميدفيديف	medvedev
mekong	ميكونغ	mekong
melbourne	ملبورن	melbourne
mendeleev	مندليف	mendeleev
menes	الرجال	(proper noun) menes
mercedes	مرسيدس	a name
messenger	رسول	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	ميسي	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	المسيح	messiah
meteora	النيزك	meteora
mext	mext	mext
meyer	ماير	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	مايرز	meyers
miami	ميامي	a name
michael	مايكل	michael
michaels	مايكلز	michaels
michelangelo	ميشيل أنجلو	michelangelo
michigan	ميشيغان	a name
micro	ميكروفون	micro
microbiology	علم الأحياء الدقيقة	microbiology
microeconomics	الاقتصاد الجزئي	microeconomics
micronesia	ميكرونيزيا	micronesia
microsoft	مايكروسوفت	(proper noun) the microsoft company
miguel	ميغيل	miguel
mike	مايك	mike
mikoyan	ميكويان	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	ميلان	milan
milano	ميلانو	milano
miley	مايلي	miley
mill	مطحنة	mill
miller	ميلر	miller
milton	ميلتون	milton
min	دقيقة	min
minas	ميناس	minas
mindanao	مينداناو	(proper noun) mindanao
ming	مينغ	ming
minnesota	مينيسوتا	minnesota
minoa	مينوا	minoa; the minoan civilization
miraflores	ميرافلوريس	miraflores
mirage	سراب	mirage
miroku	ميروكو	(proper noun) miroku, a japanese name
misfits	أخطأ	misfits
mississippi	ميسيسيبي	mississippi
missouri	ميزوري	(proper noun) the state of missouri
mitchel	ميتشل	mitchel
mitsubishi	ميتسوبيشي	mitsubishi
miên	التنويم المغناطيسي	mien
miêu	قطة	"(term should be ""miêu tả"") to describe (v.)"
miến	الشعيرية	burma
miếng	قطع	a piece (n.)
miếu	المعبد	temple
miền	المجال	area
miễn	مجانا	to exempt (v.)
miện	التاج	crown
miệng	الفم	mouth
mm	مم	millimeter
mobile	الجوال	mobile
mode	الوضع	mode
modul	الوحدة النمطية	module
modula	المعادلة	(proper noun) modula, as in modula-2
mohammad	محمد	mohammad
mohammed	محمد	mohammed
