$ tỉ	$ miliar	$ billion
thụ	reseptor	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	indentasi	clyster
thủ	prima	masturbate
thủa	thua	during childhood
thủng	perforasi	having holes
thứ	th	no.
thức	bangun	way
thừa	mubazir	redundant
thừng	tali	"(term should be ""thẳng thừng"") mercilessly"
thử	coba	try
thửa	parsel	square
thự	vila	mansion
thực	nyata	perform
ti	ti	titov
tia	sinar	ray
tiananmen	tiananmen	tiananmen
tiara	tiara	tiara
tibet	tibet	(proper noun) tibet
tigris	tigris	tigris
tiliaceus	tiliaceus	hoa dam but
tim	hati	heart
timor	timor	timor
timothy	timothy	timothy
tin	percaya	believe
tinbắc	pesan	file bac
tincầu	jembatan timah	file bridge
tinh	planet	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	berita	file river
tinthị	tinthị	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	tish	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	televisi	television
tizard	kadal	(proper noun) tizard
tiên	pertama	first
tiêu	merica	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	sayangnya	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	bodoh	seize
tiến	maju	operate
tiếng	jam	language
tiết	sekresi	abstinence/intensity
tiếu	konyol	"(should be ""đàm tiếu"") to sneer"
tiềm	potensial	potential
tiền	uang	money (n.)
tiều	sial	(proper noun) the name of a poet
tiểu	kencing	tiểu sử= biography
tiễu	tuan liu	patrol
tiệc	pesta	party
tiệm	salon	shop
tiện	nyaman	mean
tiệp	ceko	gustav franck
tiệt	sialan	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	terbatas	limited
toang	toang	fast
tobago	tobago	tobago
toei	toei	toei
tokugawa	tokugawa	tokugawa
tokyo	tokyo	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	tomas	(proper noun) tomas
tommy	tommy	tommy
tomoyo	tomoyo	tomoyo
tony	tony	tony
toonami	toonami	(proper noun) toonami
top	atas	top
torino	torino	torino, as in the italian city
toriyama	toriyama	(proper noun) toriyama
tottenham	t tottenham	tottenham
tourism	pariwisata	tourism
tourist	turis	tourist
toyama	toyama	toyama
toyota	toyota	(proper noun) toyota
toà	pengadilan	office
toàn	aman	entire or whole (adj.)
toán	matematika	team
toát	bagus	to exude or emit, as in sweat (v.)
toạ	koordinat	locate
toại	di	satisfaction
toả	memancarkan	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	kota	city ho
tpvĩnh	kota	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	trafford	trafford in greater manchester
trai	kerang	boy
trang	halaman	a page (n.)
tranh	gambar	to compete (v.)
trao	diberikan	reward
trau	trau	polish
tre	bambu	bamboo (n.)
treo	menggantung	hang
tri	tri	tri
tribune	tribun	a name
trinh	perawan	"(should be ""trinh bạch"") virtuous"
trinidad	trinidad	trinidad
trinity	trinitas	trinity
tristan	tristan	tristan
triết	filsafat	philosophy
triền	trien	"(should be ""triền miên"") endless"
triều	pasang	court
triện	meterai	stamp
triệt	secara menyeluruh	completely
triệu	juta	a million
tro	abu	ashes
troia	troia	troy
trondheim	trondheim	trondheim
trong	masuk	inside (adv.)
true	benar	true
truman	truman	(proper noun) truman
trung	tengah	"(term should be ""trung gian"") agent (n.)"
trungnhật	kejujuran	china-japan
truong	truong	truong
truyên	truyen	story
truyện	cerita	story
truân	benar	arduous
truất	pencela	cancel
truởng	kepala	leader (n.)
truỵ	berbohong	depraved
trà	teh	tea (n.)
tràm	cajuput	melaleuca
tràng	usus besar	"entire term should be ""truc trang""; means ""rectum"""
trào	letusan	movement
trác	trac	trac
trách	menyalahkan	blame
trái	kiri	against
trán	dahi	forehead
tráng	dilapisi	to coat (v.)
tránh	hindari	to avoid (v.)
tráo	secara curang	tráo trở= liar/betrayal/treacherous
tráp	peti mati	casket
trát	surat perintah	pile
trâm	bros	a type of elegant hairpin (n.)
trân	salam	respect
trâu	kerbau	a last name
trãi	tersebar	trai
trèo	memanjat	climb
trên	pada	above
trình	pengajuan	process
trí	pikiran	intellectual
trích	kutipan	to extract (v.)
trò	permainan	role
tròn	bulat	rounding
trói	diikat	tie
trôi	melayang	afloat
trông	terlihat	look
trùm	bos	cover
trùng	bertepatan	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	naik	residence
trúc	bambu	structure
trăm	seratus	hundred
trăn	ular sanca	"(term should be ""trăn trở"") to ponder (v.)"
trăng	bulan	moon
trĩ	wasir	hemorrhoids
trũng	cekung	medium
trơ	lembam	bare
trơn	halus	slippery (adj.)
trư	tru	a pig (n.)
trưa	siang	noon (n.)
trưng	permintaan	symbolic
trưngcông	dipamerkan	truongcong
trương	truong	policy
trước	sebelumnya	front
trước 	sebelumnya	front
trướng	ekspansi	expand
trườn	merangkak	crawl
trường	sekolah	case
trượng	caduceus	a unit of length used in vietnam equal to 4 meters (n.)
trượt	terpeleset	slide
trạch	trach	ze
trại	kemah	camp
trạm	stasiun	station
trạng	kondisi	situation
trạo	tao	trao
trả	bayar	to return
trải	penutup	spread
trảm	cajuput	beheaded
trảo	parang	trao
trấn	kota	town
trấu	sekam padi	rice skin
trầm	bass	depression
trần	telanjang	tran
trầu	sirih	trầu
trầy	tergores	scratch
trẩy	terpental	pilgrimage
trẫm	saya	i
trận	pertandingan	battle
trật	terkilir	order
trắc	biometrik	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	putih	white
trặc	cegukan	"entire phrase is ""truc trac""; means ""problem"""
trẻ	muda	youth
trễ	terlambat	late
trệ	stagnan	bamboo
trị	perawatan	cure
trịnh	phnh	trịnh, a vietnamese last name
trọ	penginapan	motel
trọn	penuh	whole
trọng	penting	serious
trỏ	pointer	index
trối	terakhir	last words
trốn	bersembunyi	to hide
trống	kosong	in
trồi	muncul	to emerge (v.)
trồng	penanaman	plant
trổ	tunjukkan	to burst open or display
trỗi	munculnya	rise
trội	dominan	better
trộm	pencuri	theft
trớn	sayang	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	tuhan	sun
trợ	dukungan	support
trụ	kantor	universe
trục	poros	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	telanjang	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	telur	egg
trừ	kecuali	except
trừng	silau	punish
trừu	abstrak	abstract
trữ	penyimpanan	reserve
trực	bertugas	direct
ts	ts	phd
tt	tt	news
tua	tentakel	fringe
tucker	tucker	tucker, an english last name
tudor	tudor	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	tulip	tulip
tum	tum	tum
tung	lempar	release
tupolev	tupolev	tupolev, as in alexei tupolev
tuscan	tuscan	(proper noun) tuscan
tutsi	tutsi	(proper noun) tutsi
tuvalu	tuvalu	(proper noun) tuvalu, a polynesian island nation
tuy	namun demikian	however
tuyên	menyatakan	"(should be ""tuyên ngôn"") a declaration"
tuyết	salju	snow (n.)
tuyền	tuyen	tuyen
tuyển	rekrutmen	recruit
tuyệt	bagus	excellent (adj.)
tuân	patuh	comply
tuông	siram	jealous
tuý	tuyý	drug
tuần	minggu	week
tuế	ikan kecil	years
tuệ	kebijaksanaan	intelligence
tuốc	pencabutan	turbine
tuổi	umur	age
tuộc	gurita	octopus
tuột	lolos	slip
tuỳ	opsional	depend
tv	tv	tv
tvb	tvb	tvb
twin	kembar	twin
twitter	twitter	twitter
ty	ty	company
type	jenis	type
typhon	typhon	typhon
tà	jahat	we
tài	keberuntungan	talent (n.)
tàn	abu	dying
tàng	museum	"(should be ""bảo tàng"") a museum"
tành	tanh	shatter
tàu	kapal	ship
tá	selusin	"(term should be ""thiếu tá"") major (n.)"
tách	cangkir	to separate
tái	kembali	return
tám	delapan	eight
tán	kanopi	support
tánh	tanh	life
táp	ketuk	to lap at (v.)
táu	bersalah	ashton
tâm	pikiran	tâm
tâu	tuanku	peach
tây	barat	western
tâynam	westnam	"(should be ""tây-nam"") southwest"
tã	popok	diaper
tét	pekik	tet
tê	mati rasa	numb
tên	nama	name (n.)
tì	limpa	to lean on (v.)
tìm	temukan	find
tìmdiệt	cari	find-kill
tình	cinta	sex
tía	ungu	dad
tích	produk	"(term should be ""tích cực"") to be zealous (adv.)"
tím	ungu	purple
tín	kredit	"(entire term should be ""tín dụng"") credit"
tít	berita utama	"(term should be ""tít mù"") very far away (adv.)"
tò	rasa ingin tahu	curious
tòa	pengadilan	a court
tòi	barang-barang	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	tong	tòng, a last name
tóm	ringkasan	summary
tô	mangkuk	car
tôi	saya	i
tôm	udang	shrimp
tôn	bergelombang	venerate
tông	kardus	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	penjara	prison
tùng	cadangan	tung
tùy	opsional	depend on
túc	kecukupan	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	tas	pocket
túm	ambil	catch
túng	canggung	confuse
túp	tapi	hut
túy	obat-obatan	"(term should be ""thuần túy"") pure (adj.)"
tý	tikus	mouse, as in year of the mouse
tăm	tusuk gigi	"(term should be ""tiếng tăm"") reputation"
tăng	meningkat	increase
tĩnh	statis	calm
tơi	saya	ragged
tư	dari	posture
tưng	goyah	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	segar	fresh
tương	serupa	"(term should be ""tương tự"") to be similar to"
tước	ditelanjangi	title (n.)
tưới	penyiraman	irrigation
tướng	umum	prime minister (thu tuong)
tường	dinding	"a common vietnamese first name; means ""wall"""
tạ	barbel	weight
tạc	memahat	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	di	survival
tạm	sementara	temporary
tạo	buat	create
tạp	majalah	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	deskripsi	describe
tản	disipasi	disperse
tảng	platform	platform
tấc	inci	inch
tấm	piring	mirror
tấn	ton	tan
tấp	ditarik	crowded
tất	kaus kaki	all
tấu	instrumental	tau
tầm	game	range or extent (n.)
tần	frekuensi	"(term should be ""tần số"") frequency (n.)"
tầng	lantai	layer
tầu	melatih	ship
tẩm	diresapi	soak
tẩy	penghapus	to bleach
tận	akhir	dedicated
tật	kecacatan	disease
tắc	sakelar	priciple
tắm	mandi	bathing
tắt	off	initial
tặc	peretas	"(term should be ""hải tặc"") a pirate (n.)"
tặng	menyumbang	donate
tẻ	menjemukan	lẻ tẻ= scattered
tết	tet	(proper noun) the vietnamese new year
tếxã	secara ekonomi	economy - society
tề	qi	tidy
tể	tuan	lord
tệ	buruk	bad
tệp	file	file
tỉa	dipangkas	"(term should be ""bắn tỉa"") to snipe"
tỉnh	provinsi	province
tị	iri	refugee
tịch	presiden	"(""chủ tịch"") president or chairman"
tọa	koordinat	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	diungkapkan	to
tỏa	memancarkan	radiate
tỏi	bawang putih	garlic
tốc	kecepatan	speed
tốn	biaya	to cost (v.)
tống	pengawalan	dispose
tốp	geng	top
tốt	bagus	good
tồi	buruk	bad
tồn	ada	exist
tổn	terluka	damage
tổng	total	president
tộc	klan	"(term should be ""dân tộc"") a race or people"
tội	kejahatan	crime
tột	ekstrim	extreme
tớ	saya	servant
tới	untuk	to the point
tờ	lembar	paper/document
tởm	menjijikkan	disgusting
tục	tidak senonoh	"(term should be ""tập tục"") customs or practices"
tụy	pankreas	"(term should be ""tận tụy"") devoted (adj.)"
tủ	lemari	shelf
tủi	buruk	humiliated
tủy	medula	spine
tức	instan	i.e.
từ	dari	from
từng	masing-masing	each
tử	kematian	lion (su tu)
tửu	minum	wine
tự	diri	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	judul	lean
tựu	prestasi	achievement
tỵ	ular	the han name for the year of the snake, according to the chinese zodiac
tỷ	miliar	billion
u	kamu	tumor
ua	ua	ua
uae	uae	uae
ubuntu	ubuntu	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	uefa	uefa
uh	uh	uh
uk	uk	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ukraina	ukraine
ulsan	ulsan	ulsan
umm	umm	umm
un	un	(proper noun) un, as in chung un chan of korea
und	und	und
under	di bawah	under
unesco	unesco	unesco
ung	ung	cancer
unicorn	unicorn	unicorn
unit	unit	unit
unix	unix	unix
up	up	up
ural	ural	ural, as in the ural mountains
urani	uranium	uranium
uri	uri	uri, a former political party in south korea
uruguay	uruguay	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	kita	uss
utah	utah	utah
utrecht	utrecht	(proper noun) utrecht
uy	kamu	"(term should be ""uy lực"") power (n.)"
uyghur	uyghur	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyen	scholarly
uyển	eufemisme	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	uzbekistan	uzbekistan
uông	uong	uong
uất	ya	busy
uốn	lentur	to curl (v.)
uống	untuk minum	to drink
uổng	buang-buang	vain
v	v	v
va	va	collide
vaccine	vaksin	vaccine
vai	bahu	shoulder
valencia	valencia	valencia
valentine	valentine	valentine
valley	lembah	valley
van	van	"(term should be ""van xin"") to beg (v.)"
vanessa	vanessa	vanessa
vargas	vargas	(proper noun) vargas
vasari	vasari	vasari
vay	pinjam	borrow
vectơ	vektor	vector
ven	ven	"(term should be ""ven biển"") coastal (adj.)"
vendôme	dendam	vendome
venezia	venezia	venice
venus	venus	venus
verdun	verdun	verdun
vermont	vermont	vermont
verona	verona	(proper noun) the city of verona
versailles	versailles	(proper noun) versailles
vhs	vhs	vhs
vi	id	behavior
viagra	viagra	viagra
victor	pemenang	(proper noun) victor
victoria	victoria	victoria, a province of australia
vienna	vienna	(proper noun) vienna, austria
viet	viet	vietnamese
vietnam	vietnam	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	viking	viking
villa	vila	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	vince	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	vincent	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	virginia	(proper noun) virginia, as in the state
virus	virus	virus
virút	virus	virus
vissarionovich	vissarionovich	vissarionovich
vista	pemandangan	vista, as in windows vista
vitamin	vitamin	vitamin
vitruvius	vitruvius	vitruvius
viz	yaitu	(proper noun) viz
viêm	peradangan	inflammation
viên	tablet	member
viêng	viang	vientiane
viêt	menulis	vietnam
viếng	kunjungi	visit
viết	tulis	write
việc	bekerja	thing
viện	institut	institute
việt	orang vietnam	viet
việtmường	muong vietnam	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	vn	vietnam
vnexpress	vnekspresikan	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	gajah	elephant
voip	voip	voip
voldemort	voldemort	(proper noun) voldemort, the villain from the harry potter series
von	von	compare
vonfram	tungsten	wolfram
vong	korban	injured
voyager	voyager	voyager
voọc	lutung	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	raja	king
vui	menyenangkan	happy
vulcan	vulcan	vulcan
vuông	persegi	square
vuốt	cakar	stroke
vv	dll.	etc.
vy	vy	vy
vyacheslav	vyacheslav	vyacheslav
và	dan	and
vài	sedikit	several
vàm	vm	the mouth of a rivulet (n.)
vàng	emas	gold
vành	pelek	coronary
vào	pada	into
vá	tambalan	patchy
vác	membawa	to shoulder (v.)
vách	dinding	wall
vái	ya	some
ván	papan	game
váng	sampah	film
váy	rok	skirt
vân	begitu seterusnya	"(term should be ""vân vân"") et cetera"
vây	sirip	encircle
vã	bergegas	rush
vãi	sial	to release
vãn	van	save
vè	kencing	to glance slyly (v.)
vé	tiket	ticket
vét	kapal keruk	plunder
vê	tentang	tremolo
vì	karena	because
ví	dompet	example
vía	dompet	soul
vít	sekrup	screw
vò	kusut	jar
vòi	selang	tap
vòm	lengkungan	upper jaw
vòng	bulat	around
vó	hoooo	hooves
vóc	fisik	"(should be ""vóc sương"") dew-like or delicate"
vô	tidak	"(term should be ""vô số"") countless (adj.)"
vôi	jeruk nipis	limestone
võ	bela diri	martial arts (n.)
võng	tempat tidur gantung	hammock
vùi	terkubur	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	wilayah	region
vú	payudara	breast (n.)
vút	melonjak	"entire term should be ""cong vut""; extreme curling"
văn	diposting	culture
văng	percikan	a name
vĩ	bagus	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	secara permanen	ving
vũ	vu	armed
vũng	genangan air	vung
vơ	tak berdaya	lost
vơi	dengan	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	mencapai	reach
vương	raja	kingdom
vướng	terjerat	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	taman	garden
vượn	kera	gibbon
vượt	lulus	to overcome
vạ	jadi	unfortunate problem
vạc	kuali	cauldron
vạch	bar	bar
vại	tangki	jar
vạn	sepuluh ribu	thousand
vạng	senja	twilight
vả	gbr	hard
vải	kain	fabric
vảy	sisik	scale
vấn	saran	vấn đề= problem
vấp	tersandung	stumble
vất	buang	hard
vần	sajak	spell
vầng	halo	moon (vang trang)
vẩn	tetap saja	wander
vẩy	serpih	scale
vẫn	tetap saja	still
vẫy	melambai	wave
vận	keberuntungan	active
vắc	vaksin	vaccine
vắcxin	vaksin	vaccine
vắn	singkat	short
vắng	absen	absent
vặn	sekrup	to twist (v.)
vặt	iklan baris	odd
vẹn	integritas	complete
vẹt	burung beo	parrots
vẽ	menggambar	draw
vết	noda	wound
vểnh	hinggap	warping
vệ	pertahanan	"(term should be ""bảo vệ"") to defend (v.)"
vệt	garis-garis	streak
vỉa	jahitan	"(term should be ""vỉa hè"") sidewalk"
vịnh	teluk	bay
vịt	bebek	duck
vọng	harapan	"(term should be ""hy vọng"") hope (n.)"
vọt	meroket	to spurt out (v.)
vỏ	cangkang	shell
vồ	palu	"(term should be ""gạch vồ"") a type of brick"
vỗ	pat	to clap
vội	cepat	hurriedly (adv.)
vớ	kaus kaki	"(term should be ""vớ vẩn"") silly (adj.)"
với	dengan	to
vớt	diselamatkan	salvage
vờ	berpura-pura	"(term should be ""giả vờ"") to pretend (v.)"
vời	bagus	wonderful
vở	notebook	"(term should be ""vở kịch"") a play"
vỡ	rusak	break
vợ	istri	wife
vụn	keripik	debris
vụng	kikuk	covert
vứt	buang	throw away
vừa	sedang	just (adv.)
vừng	wijen	sesame (n.)
vững	tegas	firm (adj.)
vực	bidang	place
vựng	kosakata	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	jadi	majestic
w	w	w
wa	wa	wa
walt	walt	(proper noun) walt, as in walt disney
walter	walter	walter
walther	walther	walther
wan	wan	wan
wang	wang	wang
wankel	wankel	(proper noun) wankel
wanna	mau	wanna
warren	warren	a name
warsaw	warsaw	warsaw
warszawa	warszawa	(proper noun) warsaw
washington	washington	(proper noun) washington
wat	wat	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	pintu air	watergate
waterloo	burung air	(proper noun) waterloo
waters	perairan	waters
wayne	wayne	wayne
wcdma	wcdma	w-cdma
weasley	weasley	weasley, as in ron weasley in the harry potter series
weblog	weblog	weblog
webmail	webmail	ưebmail
weimar	weimar	(proper noun) weimar
wellington	wellington	wellington
wells	sumur	wells, as in author orson wells
welsh	welsh	(proper noun) welsh, as in the welsh language
wembley	wembley	wembley, as in wembley stadium
werner	werner	werner
westermarck	westermarck	westermarck
western	barat	western
westlife	kehidupan barat	westlife
westview	pandangan barat	westview, as in westview press
wheeler	kendaraan roda	a name
widener	pelebar	widener
wien	wien	wien
wiener	wiener	wiener
wifi	wifi	wi-fi, a technology term
wiki	wiki	wiki
wikia	wikia	a name
wikibooks	wikibooks	(proper noun) wikibooks
wikimapia	wikimapia	wikimapia
wikimedia	wikimedia	wikimedia
wikitravel	perjalanan	a name
wild	liar	wild
wilder	lebih liar	(proper noun) wilder, as in billy wilder
wiley	licik	wiley
willard	willard	willard
wimbledon	wimbledon	wimbledon
windows	windows	windows
winer	pemenang	winer
wisconsin	wisconsin	(proper noun) wisconsin
within	di dalam	within
without	tanpa	without
wolfgang	wolfgang	wolfgang
won	menang	won
wong	wong	wong
woodrow	woodrow	woodrow
woods	hutan	(proper noun) woods, as in tiger woods
would	akan	would
wrestling	gulat	wrestling
wright	wright	a name
wu	wu	wu
wushu	wushu	wushu, a type of martial art
wwf	wwf	wwf
xa	jauh sekali	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	hijau	green
xao	lemah	xôn xao = chatting
xay	menggiling	grind
xe	mobil	a car (n.)
xem	lihat	watch
xen	interlaced	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	tolong	please
xinh	cantik	beautiful
xiv	xiv	fourteenth
xiêm	siam	(proper noun) xiêm, or siam
xiên	miring	oblique
xiêu	xiao	soften
xiếc	sirkus	circus
xiết	kencangkan	to twist tightly (v.)
xiềng	belenggu	chain
xo	xo	spring
xoa	gosok	massage
xoay	putar	turn
xong	selesai	completed
xoàng	biasa-biasa saja	mediocre
xoá	hapus	delete
xoáy	berputar	vortex
xoắn	memutar	coiled
xu	sen	trend
xua	menghilangkan	dispel
xuan	xuan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	sial	incite
xuka	xuka	xuka
xum	mewah	a name
xuyên	menusuk	frequently
xuyến	batang tubuh	manage
xuân	musim semi	spring
xuâncông	musim semi	xuan public
xuôi	tersapu	down
xuất	ekspor	ejaculate
xuấtnhập	ekspor	import/export
xuống	bawah	down
xuồng	sampan	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	xx	xx
xy	xy	cylinder
xài	menghabiskan	use
xào	tumis	stir fry
xách	tas tangan	to carry by the handle (v.)
xám	abu-abu	ustox
xán	digoreng	"(term should be ""xán lạn"") bright (adj.)"
xáo	gangguan	chaos
xát	menggosok	touch
xâm	tato	invasion
xâu	tali	string
xây	membangun	build
xã	komune	society
xãy	berubah-ubah	occur
xèo	xèo	xeo
xé	sobek	tear
xén	tanam	"(term should be ""biếu xén"") to gift (v.)"
xéo	miring	diagonally (adv.)
xét	pertimbangkan	examine
xê	bergerak	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	suneo	xeko
xì	kentut	scandal
xìu	kentut	to become flaccid (v.)
xí	pabrik	factory (xi nghiep)
xít	menarik	nazi
xíu	mungil	small
xòe	menyebar	spread
xóa	hapus	clear
xói	erosi	erode
xóm	tetangga	village
xót	belas kasihan	mercy
xô	ember	soviet
xôi	ketan	pierce
xôn	aduk	tumultuous
xông	bergegas	rush
xôphần	bagian ember	soviet-poland
xôviết	uni soviet	soviet
xù	mengacak-acak	gigantic
xú	kasar	xu
xúc	kontak	touch
xúi	memprovokasi	induce
xăm	tato	"(term should be ""xa xăm"") far away (adj.)"
xăng	bensin	gasoline
xơ	serat	xo
xưa	tua	old
xưng	mengaku	"(should be ""tự xưng"") self-proclaimed"
xương	tulang	bone (n.)
xước	tergores	scratch
xướng	paduan suara	provoke
xưởng	bengkel	workshop
xạ	radiasi	"(term should be ""phản xạ"") to reflect"
xả	debit	release
xảo	licik	detailed
xảy	terjadi	happen
xấp	sekitar	approximate
xấu	buruk	bad
xẩm	berbulu	a type of traditional vietnamese singing
xẩy	terjadi	occur
xắt	potong	cut
xẻo	sial	cut off
xếp	terlipat	rank
xỉ	terak	approximately
xỉa	benang	to pick (v.)
xỉu	pingsan	to faint
xốc	kaget	to lift up (v.)
xốp	keropos	porous
xổ	undian	rush into
xộn	berantakan	messy
xứ	dibuat	native
xứng	layak	appropriate
xử	mengobati	judge
y	y	medical
y=fracsin	y = fracsin	a function
ya	ya	(proper noun) ya, as in ya trang
yakovlev	yakovlev	yakovlev
yakushima	yakushima	yakushima
yalta	yalta	(proper noun) yalta
yankee	yankee	(proper noun) yankee
yard	halaman	yard
yasha	yasha	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	yeltsin	yeltsin, as in boris yeltsin
yemen	yemen	yemen
yersin	yersin	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	yo	yo
yomiuri	yomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	yorker	yorker
yorkshire	yorkshire	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	kamu	yu
yuan	yuan	(proper noun) yuan, as in yuan mu
yucatán	yucatán	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	yuri	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	yurt	yurt
yên	yen	peace or stillness (n.)
yêu	cinta	love
yếm	baju	tender
yến	sarang burung	a type of swallow (n.)
yết	daftar	yet
yếu	lemah	mainly
yểm	penutup	support
yển	yen	"is a name meaning, ""bird"""
yểu	indah	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	zambia	(proper noun) zambia, as in the nation
zealand	selandia	(proper noun) zealand, as in new zealand
zedong	zedong	mao zedong
zero	nol	zero
zeus	zeus	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	zimbabwe	zimbabwe
zinedine	zinedine	(proper noun) zinedine
zing	tenaga	zing, as in the website
zoe	zoe	zoe
zurich	zurich	(proper noun) zurich
zürich	zürich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	| mengapung	"(term should be ""nổi"") to float (v.)"
|petya	| petya	(proper noun) petya
|tên	| nama	"(should be ""tên"") name (n.)"
|việt	| vietnam	vietnam
 kg	kg	kg
 triệu	juta	million
 °c	° c	degrees celsius
°đến	° ke	up to
°độ	derajat °	degree
×	×	x
ào	wow	rush
á	á	asia
ác	jahat	evil
ách	kuk	yoke (n.)
ái	keinginan	ai
ám	merender	(with the word chi) to hint at
ánh	kilau	light
áo	mantel	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	tekanan	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	negatif	vagina
ân	nikmat	deed
én	menelan	swallow
ép	ditekan	press
êgê	ego	aegean
êm	halus	smooth
ích	bermanfaat	benefit
ílam	lamlam	tamil language name for the island of sri lanka
ít	sedikit	less
île	île	Île, as in Île de la cité, france
îledefrance	&quot;kemegahan	ile-de-france
ðiều	artikel	article
ðài	ðài	taiwan
ðường	gula	a road
ðảng	pesta	party
ðức	jerman	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	otak	brain
óng	berwarna-warni	"(term should be ""óng ả"") flexible"
ôi	oh	"vietnamese version of the exclamation ""oh"""
ôm	pelukan	hug
ôn	moderasi	peaceful (on hoa)
ông	tuan	a man (n.)
ôtô	mobil	car
ôxi	oksigen	oxygen
ôxy	oksigen	the element oxygen (n.)
ôxít	oksida	oxide
ôzôn	ozon	ozone
ùn	macet	congest
úng	tergenang air	flood
úp	menghadap ke bawah	upside
úy	letnan	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	italia	italian
ăn	makan	eat
ăng	semut	antenna
ăngten	antena	antenna
đa	multi	majority
