$ tỉ	мільярд доларів	$ billion
kíp	екіпаж	esoterica
kít	скриплять	wheelbarrow
ký	знак	"(""nhật ký"") a diary"
kĩ	ретельно	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	кан	kan
kẹo	цукерки	candy
kẹp	кліп	to clamp down (v.)
kẹt	застряг	jam
kẻ	хлопці	guy
kẻo	щоб не	lest
kẽ	проміжна	crevice
kẽm	цинку	zinc
kế	наступний	a scheme (n.)
kết	кінець	combine
kề	сусідній	adjacent
kềnh	громіздкий	bulky
kệ	полиці	ignore
kỉ	століття	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	кавалерія	ki
kịp	тримати	kip
kỵ	кавалерія	taboo
kỷ	століття	"(term should be ""thế kỷ"") century (n.)"
l	л	l.
label	етикетка	label
laboulaye	лабулеві	a name
ladakh	ладах	(proper noun) ladakh
lai	гібридний	"(term should be ""tương lai"") the future (n.)"
lam	лам	lam
lama	лама	a name
lan	лан	a name
land	земля	land
landon	приземлитись на	a name
lang	язик	lang
langdon	лангдон	langdon
lange	ланг	lange, as in oscar lange
langue	млявість	langue
lanh	білизна	ringing
lanka	ланка	(proper noun) lanka, as in the island of sri lanka
lao	туберкульоз	labor
laos	лаос	(proper noun) laos
lap	колінах	greek
larry	ларі	larry
lars	лари	lars
las	лас	(proper noun) las, as in las vegas
laser	лазер	laser
lateran	латеран	lateran
latinh	латинська	latin
latvia	латвія	(proper noun) latvia
lau	протирати	lau
laura	лора	(proper noun) laura, as in laura bush
laurence	лоранс	(proper noun) laurence
lawrence	законності	(proper noun) lawrence
lay	лежати	lay
lazarus	лазар	(proper noun) lazarus
leach	вилугати	(proper noun) leach
leaf	лист	leaf
leave	залишати	leave
lebanon	ліван	(proper noun) lebanon
lee	лі	lee
legacy	спадщина	legacy
leiden	leiden	leiden
lem	лем	cinderella
lenin	ленін	lenin
lenins	леніни	lenin's
leo	підйом	climb
leon	леон	leon
leonard	леонард	leonard
leonardo	леонардо	(proper noun) leonardo, as in leonardo da vinci
leonid	леонід	leonid
les	лес	les
leslie	леслі	a name
lesotho	лесото	lesotho
lg	lg	lg
lhp	л.с.	film festival
lhq	lhq	un
libby	лобі	(proper noun) libby
libero	ліберо	libero
libya	лівія	libya
lido	лідо	lido
liechtenstein	ліхтенштейн	liechtenstein
liga	ліга	a name
lightning	блискавка	lightning
lilly	лілі	(proper noun) lilly
linga	linga	linga
linh	лінх	efficacious (adj.)
links	посилання	links
linux	linux	linux server
lionel	ліонель	lionel
lisboa	лісбоа	lisboa
lisbon	лісабон	a name
litva	литва	(proper noun) lithuania
liu	лю	liu
liêm	цілісність	good example
liên	підприємство	relate
liêng	священний	sacred
liêu	бюрократія	bureaucracy
liềm	серп	sickle
liều	доза	daring
liễu	верба	a willow tree (n.)
liệng	кинути	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	параліч	impotent
liệu	будь	document
lleyton	ллейтон	lleyton
lo	турбуватися	to worry (v.)
loa	говорити	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	лоайта	loaita
loang	гладкий	patchy
loch	лох	loch
locke	локаке	(proper noun) locke, as in philosopher john locke
lockheed	замкнутий	(proper noun) lockheed, as in lockheed martin
log	журнал	log
logan	логан	a name
lon	може	lon
london	лондон	london
long	довго	dragon
lorenzo	лоренцо	lorenzo
los	лос	los, as in los angeles
louis	луї	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	жалюзі	(proper noun) louvre
love	любов	yeu
loài	види	species
loát	кричущий	overturn
loãng	змитий	wishy-washy
loét	виразка	gaping, as in a wound
loại	види	type
loạianh	тип	not a word
loạianime	введіть аніме	type anime
loạibệnh	тип захворювання	disease
loạichiến	тип	loaichien
loạicác	тип	item
loạicâu	тип	type: club
loạicông	тип	type: industry
loạicựu	тип	kind former
loạigia	тип	loaigia
loạihuân	добродушний	not a word
loạiluật	вид закону	type: law
loạimáy	тип машини	kind plane
loạimôn	тип	type
loạingày	наберіть це	loaingay
loạiphim	тип фільму	type movie
loạiphong	тип	kind of movement
loạiscandal	флейскандаль	scandal type
loạithuật	вид закону	type: lexicon
loạithành	тип	kinds of payment
loạithần	тип	kind myth
loạitrường	тип школи	type of school
loạitín	добрий	type: belief
loạitổ	тип	kind organization
loạivõ	тип типу	type: martial art
loạixã	тип	kind of society
loạn	розлад	disorderly
loạt	серія	series
lp	лп	lp
lu	лу	dim
luang	луанг	a name
lucas	лукас	(proper noun) lucas
lucia	люція	lucia, as in the island of saint lucia
luciano	лучано	luciano
ludendorff	лудендорф	luđenorff
ludovico	ludovico	ludovico
ludwig	людвіга	ludwig
lui	назад	withdrawal
luis	луїс	(proper noun) luis, a first name
luiz	луїз	luiz
lula	лула	lula
lung	легеня	shake
lustig	люстиг	lusig
luther	лютер	luther
luxembourg	люксембург	a name
luy	луй	luy
luyến	вкладення	love
luyện	навчання	training
luận	прокоментуйте	"(term should be ""xã luận"") an editorial"
luật	закон	law
luồn	різьбові	wriggle
luồng	потік	lane
luộc	варений	boiled
luỹ	кумулятивний	rampart (n.)
ly	скло	divorce
lydia	лідії	lydia
lympho	лімфома	lymphocyte
lyndon	ліндон	lyndon
lyon	ліон	lyon
là	був	the verb to be
làm	робити	make
làn	провулок	wave
làng	село	village
lành	зцілився	protestant
lào	лаос	laos
lá	листя	"(term should be ""lá thư"") a letter (n.)"
lác	косити	brag
lách	селезінка	to swerve (v.)
lái	привід	to drive (v.)
lán	халупа	shack
láng	глянцевий	neighbours
lâm	лам	lâm, a common vietnamese first name
lân	єдиноріг	nearby
lâu	довго	long time
lây	заразний	to infect
lãi	відсотки	a profit
lãm	показує	exhibition
lãnh	отримано	to receive
lão	старий	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	ковзати	sneak
lê	груша	le
lêmạc	світла	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	вгору	on
lênh	командування	"(should be ""lênh đênh"") adrift"
lênin	ленін	lenin
lìa	залишати	to leave (v.)
lình	раптом	suddenly
lí	зберігання	reason
lính	солдат	soldier
lít	літр	litre
líu	кухар	"(term should be ""dính líu"") to have a connection with"
lò	піч	release
lòng	розчавити	heart
lóc	зміїна голова	cry
lóe	спалахнув	flash
lóng	сленг	"entire term should be ""tieng long""; means ""slang"""
lót	слизова оболонка	undies
lô	багато	batch
lôi	помилка	encourage
lôn	лол	"(term should be ""côn lôn"") a village in vietnam"
lông	волосся	hair
lõi	серцевина	core
lõm	увігнуті	concave
lùi	відсталий	back
lùn	короткий	dwarf
lùng	полювати	hunt
lúa	рисовий	rice
lúc	у	at the moment
lún	осідання	subside
lúng	спалахнути	confused
lúp	збільшувальний	uneven
lút	підлий	surreptitiously
lăm	п’ять	tens
lăn	кочення	attack
lăng	мавзолей	tomb
lĩnh	домени	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	повінь	a band or gang (n.)
lũng	долина	valley
lũy	кумулятивний	rampart
lơ	зневага	to ignore
lơi	послабити	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	кадило	an urn
lưng	назад	back
lươn	вугор	eel
lương	зарплата	conscience
lưới	сітка	a net (n.)
lướt	серфінг	ski
lười	ледачий	lazy
lưỡi	язик	tongue
lưỡng	двостатеві	"(term should be ""lưỡng tính"") bisexual"
lược	гребінець	invasion
lượm	збиратися	pick up
lượn	ковзати	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	дивно	strange or unusual (adj.)
lạc	загублений	camel
lạch	струмок	"(term should be ""luồng lạch"") a narrow water passageway"
lại	знову	reversed
lạn	гнилий	bright
lạng	ланг	lang
lạp	ковбаса	"(term should be ""hy lạp"") greek"
lạtma	ламма	lama
lạy	простувати	kowtow
lấn	посягання	to encroach on (v.)
lấp	заливка	sparkle
lấy	забрати	taken
lầm	неправильно	wrong
lần	разів	time
lầu	підлогу	a story or level of a building (n.)
lầy	болотистий	swamp
lẩu	гарячий горщик	hotpot
lẩy	стрибати	get
lẫn	розгублений	each other
lẫy	щіпка	illustrious
lận	обманювати	fraudulent
lật	фліп	turn
lậy	о так	"(term should be ""cai lậy"") the name of a rural district"
lắc	струшувати	to shake (v.)
lắm	дуже	do
lắng	врегулювати	"(should be ""lo lắ́́ng"") to worry"
lắp	пристосування	lap
lặng	тихо	quiet
lặp	повторити	repeat
lặt	різне	means miscellaneous, part of the word lat vat
lẹ	швидкий	quickly (adv.)
lẻ	дивно	"(the term should be ""bán lẻ"") retail"
lẻn	підкрадатися	sneak
lẻo	в’ялий	climb
lề	маржа	alignment
lều	намет	tent
lễ	церемонія	ceremony
lệ	ставка	"(term should be ""tỷ lệ"") probability (n.)"
lệch	косий	difference
lệnh	комінанд	command
lị	дизентерія	"(term should be ""tỉnh lị"") a township (n.)"
lịch	календар	history
lọc	фільтр	tricked
lọi	косити	brilliant
lọng	парасолька	rope
lọt	падіння	enter
lỏi	ворсинка	to enter
lỏng	розпушений	loose
lố	над	ridiculous
lốc	вихор	tornado
lối	вихід	way or path
lốp	шина	tyre
lốt	вигляд	lolot
lồ	гігант	giant
lồi	опуклий	convex
lồng	клітка	cage
lỗ	отвір	hole
lộc	фортуна	loc
lội	плавати	wade
lộn	перевернутий	wrong/mistake
lộng	чудова	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	здирати	exploit
lớn	великий	large
lớp	клас	grade (n.)
lờ	ігнорувати	turbid
lời	слово	advice
lở	міс	to crack
lỡ	міс	miss
lợi	прибуток	benefit
lợn	свиня	pig
lợp	покрівельне покриття	roof
lụa	шовк	silk
lục	зелений	record
lụi	згорів	ruin
lụt	переповнення	flood
lụy	наслідки	consequence
lứa	послід	peer
lừa	хитрість	mislead
lừng	видатний	well-known
lửng	борсук	lơ lửng= not clear/ something in between
lự	вагається	reluctant
lựa	вибрано	chosen
lựu	гранат	grenade
ma	привид	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	маастрихт	maastricht
macarthur	макартур	macarthur
macclesfield	macclesfield	macclesfield
macedonia	македонія	(proper noun) macedonia
mach	мач	mach
machiavelli	макіавеллі	machiavelli, as in philosopher niccolo machiavelli
machu	мачу	machu
macintosh	macintosh	macintosh
macma	магма	magma
macromedia	макромедіа	macromedia
