$	usd	a sign of doller
ચીને	ķīna	by china
ચુંટણી	vēlēšanas	election
ચુંટણીમાં	vēlēšanās	election
ચુંટાઇ	ievēlēts	elected
ચુંટાઈ	ievēlēts	elected
ચુંટાય	ievēlēts	gets elected
ચુંટાયા	ievēlēts	elected
ચુંટાયેલા	ievēlēts	elected
ચુંબકીય	magnētisks	magnetic
ચુકાદો	spriedums	judgement
ચુકી	pietrūka	missed
ચુક્યા	apmaksāts	missed
ચુક્યું	pietrūka	missed
ચુક્યો	pietrūka	missed
ચુટણી	vēlēšanas	elections
ચુસ્ત	stingri	strict
ચૂંટણી	vēlēšanas	vote
ચૂંટણીમાં	vēlēšanās	in election
ચૂકવણી	apmaksāts	payment
ચૂકવવામાં	apmaksāts	paying
ચૂકેલા	pietrūka	done
ચૂક્યા	pietrūka	missed
ચૅરિટિ	labdarība	charity
ચેક	pārbaudīt	czech
ચેટ	čats	chat
ચેતવણી	brīdinājums	warning
ચેનલ	kanāls	channel
ચેનલો	kanāli	channels
ચેન્જ	pārmaiņas	change
ચેન્નઈ	čennai	chennai, name of the indian metro city
ચેન્નઈમાં	čennajā	in chennai
ચેપ	infekcija	infectious
ચેપની	infekcijas	of infection
ચેપી	infekciozi	lymphoma
ચેમ્પિયનશીપ	čempionāts	championship
ચેમ્પીયન	čempions	champion,
ચેમ્પીયનશીપ	čempionāts	championship
ચેરમેન	priekšsēdētājs	chair man
ચેસ	šahs	chess
ચૈતન્ય	apziņa	intelligence
ચૈત્ર	čaitra	sixth month of vikrama and first of shalivahana year
ચો	čo	square
ચોક	čau	square
ચોકસાઈ	precizitāte	cleanliness
ચોકિમી	chokimi	square kilometers
ચોક્કસ	tieši tā	specific
ચોક્કસપણે	noteikti	certainly
ચોખા	rīsi	rice
ચોટીલા	peaks	chotila
ચોતરફ	visapkārt	from all side
ચોથા	ceturtais	forth
ચોથી	ceturtais	fourth
ચોથું	ceturtais	forth
ચોથો	ceturtais	fourth
ચોપરા	chopra	chopra
ચોરસ	kvadrāts	square
ચોરી	zādzība	stolen
ચોરીથી	no zādzības	thieving
ચોળ	čola	highly,
ચૌદ	četrpadsmit	fourteen
ચૌધરી	chaudhary	choudhary
ચૌહાણ	šauhans	chouhan
છ	seši	six
છંતા	lai gan	still
છઠ્ઠા	sestā	sixth
છઠ્ઠી	sestā	sixth
છત	jumts	ceiling
છતરીઓ	lietussargi	umbrella
છતા	lai gan	in spite of
છતાં	lai gan	still
છત્તીસગઢ	čhatīsgarha	chhatisgad, name of state of india
છત્ર	lietussargs	ceiling
છત્રપતિ	čhatrapati	chhatrapati (is the indian title of nobility most equivalent to a european emperor)
છબી	attēls	image
છબીઓ	attēli	images
છવાયેલો	pārklāts	spread all over
છાપ	iespaidi	impression
છાપામાં	iespiests	in newspaper
છાયા	ēna	shadow
છીએ	skatos	for
છું	esmu	am
છુટ	atlaide	permission / exemption
છુટા	atbrīvots	left from
છૂટ	atlaide	exemption
છૂટા	atbrīvots	terminated
છૂટો	atlaidiet	generosity
છે	ir	is
છેઃ	ir:	is
છેઅને	ir un	is and
છેઅન્ય	ir cits	other
છેઆ	tas ir	is this
છેક	ciktāl	uttermost
છેકે	tas ir	it means
છેકેટલાક	daži	are there. some
છેજે	tas ir	are which
છેજેમ	kā	is like
છેજોકે	tomēr	are there, still,
છેજ્યારે	kad	when
છેડા	beidzas	ends
છેડે	beigās	at end / end point
છેતરપિંડી	krāpšana	cheating
છેતે	tas ir	is there that
છેપરંતુ	bet	is there, but
છેમાં	iekšā	is in
છેયુનાઇટેડ	ir vienots	is there. united
છેલ્લા	pēdējais	last
છેલ્લાં	pēdējais	last
છેલ્લી	pēdējais	last
છેલ્લુ	pēdējais	last,
છેલ્લું	pēdējais	last
છેલ્લે	visbeidzot	at last
છેલ્લો	pēdējais	last
છેવટે	visbeidzot	at last
છેસતિષચંદ્ર	satish chandra	"name ""satish chandur"""
છેસામાન્ય	ir normāli	is normal
છો	būtu	you can be
છોડ	augi	plant
છોડની	no augiem	of plant
છોડવા	aiziet	plants
છોડવાની	aiziet	left/leave
છોડવામાં	kurināts	leaving
છોડી	kreisais	to release
છોડીને	aiziešana	leave
છોડો	aiziet	leave
છોડોની	no augiem	leave
છોડ્યો	kreisais	left
જ	dž	j
જંગ	jungs	fight / war
જંગલ	mežs	jungle / forest /wood
જંગલના	no meža	of jungle
જંગલની	no meža	of forest / wood
જંગલમાં	mežā	in forest
જંગલી	savvaļas	wild
જંગલો	meži	jungles
જંગી	masīvs	huge
જંતુઓ	kukaiņi	insect
જઇ	ej	going
જઇને	ejot	went
જઈ	ej	gone
જઈને	ejam	lived
જગ	krūze	world
જગત	pasaule	world
જગતને	pasaulei	world
જગતમાં	pasaulē	in world
જગન્નાથ	jagannath	jagannath
જગ્યા	kosmoss	place
જગ્યાએ	vietā	at place
જગ્યાએથી	nevietā	from places
જગ્યાઓ	atstarpes	places
જગ્યાઓએ	vietās	at places
જગ્યાનાં	no kosmosa	at place
જગ્યાની	no kosmosa	of place
જગ્યામાં	kosmosā	place
જટિલ	komplekss	complex
જટિલતા	sarežģītība	complexity
જણ	cilvēks	persons
જણાય	šķiet	assume
જણાયું	ievērots	found
જણાવવામાં	paziņoja	informing
જણાવી	paziņoja	informed
જણાવે	štatos	informs
જણાવ્યા	paziņoja	knowing
જણાવ્યું	paziņoja	said
જતા	ejam	spending og going
જતાં	ejam	gone
જતી	lido	going
જતું	pagājis	go
જતો	pagājis	going
જથ્થાબંધ	vairumtirdzniecība	wholesale
જથ્થામાં	daudzumos	in lot,
જથ્થો	daudzums	volume
જન	cilvēki	civilian,
જનક	janak	name of king
જનતા	masas	masses
જનતાના	no masām	of the people
જનતાને	sabiedrībai	to public
જનરલ	vispārīgi	general
જનરેશન	paaudze	generation
જનસંખ્યા	populācija	human population
જન્મ	dzimis	birth
જન્મથી	no dzimšanas	from birth
જન્મદિવસ	dzimšanas diena	birthday
જન્મની	no dzimšanas	by birth
જન્મભૂમિ	dzimtene	motherland
જન્મમાં	dzimstot	in birth
જન્મસ્થળ	dzimšanas vieta	birthplace
જન્મી	dzimis	born
જન્મે	dzimis	takes birth
જન્મેલા	dzimis	born
જન્મો	dzimšanas	births
જન્મ્યા	dzimis	was born
જપ્ત	konfiscēts	confiscate
જબ	kad	when
જબરજસ્ત	pārlieku liels	solid
જમણા	taisnība	right
જમણી	taisnība	right
જમવાની	ēdināšana	to eat
જમા	depozīts	deposit
જમાનામાં	laikos	generation
જમાવી	izlikts	make base
જમાવ્યું	izlikts	spread
જમાવ્યો	izlikts	established
જમિયલશા	džamialša	jamiyalsha
જમીન	zeme	land
જમીનથી	no zemes	from land
જમીનના	no zemes	land's
જમીનની	no zemes	land's
જમીનનો	no zemes	land's
જમીનમાં	zemē	in earth
જમૈકા	jamaika	jamaica
જમ્મુ	džammu	city name
જમ્મૂ	džammu	city name
જય	džejs	win
જયંત	džejāns	jayant, name of boy or man
જયંતિ	jubileja	jubilee
જયદ્રથ	jayadratha	jaydrath
જયદ્રથનું	no jayadratha	of jaydarth
જયદ્રથને	jayadratha	to jaydrath
જયસિંહ	džaisings	jaisingh
જયા	džaja	jaya
જયાં	kur	where
જયાંથી	no kurienes	from where
જયારે	kamēr	when
જયોર્જ	džordžs	george
જરૂર	nepieciešams	required
જરૂરિયાત	nepieciešams	need / requirement
જરૂરિયાતો	prasības	necessities
જરૂરી	obligāti	necessary
જરૂરીયાત	prasība	requirement
જર્નલ	vēstnesis	journal
જર્મન	vācu	german
જર્મની	vācija	germany
જર્મનીએ	vācija	by germany
જર્મનીના	no vācijas	germany's
જર્મનીની	no vācijas	germany's
જર્મનીનું	no vācijas	germany's
જર્મનીમાં	vācijā	in germany
જર્મનો	vācieši	germans
જર્મનોએ	vācieši	germans
જલારામ	jalaram	jalaram
જલ્દી	drīzumā	quick
જલ્દીથી	drīzumā	immediately
જળ	ūdens	water
જળમાં	ūdenī	in water
જળવાઇ	uzturēts	maintain
જળવાઈ	uzturēts	preserved
જવલ્લેજ	reti	rare
જવા	iet	go
જવાથી	ejam	having happened
જવાના	iet	of going
જવાની	iet	young
જવાનું	iet	went
જવાનો	iet	step / run
જવાબ	atbilde	answer
જવાબદાર	atbildīgs	responsible
જવાબદારી	atbildība	responsibility
જવાબદારીઓ	pienākumi	responsibilities
જવાબમાં	atbildot	in answered
જવામાં	iet	to go, to taken
જવાય	iet	go
જવાળામુખી	vulkāns	volcano
જવાહરલાલ	jawaharlal	jawaharlal
જવું	iet	go
જવો	ej	to go(increment or decreament)
જશે	ies	will go
જશો	ies	[you will] go
જહાંગીર	džangirs	jahangir, name of muslim king
જહાજ	kuģis	vessel
જહાજો	kuģi	ships
જહોન	džons	john
જા	ej	go
જાગૃત	nomodā	aware / conscious
જાગૃતિ	izpratne	uprising
જાણ	ziņot	information
જાણકારી	informācija	information
જાણતા	ļaudis	known
જાણતો	zināja	knowing
જાણવા	mācīties	to know
જાણી	apzināti	knowing
જાણીએ	paziņojiet mums	know
જાણીતા	plaši pazīstams	known
જાણીતાં	zināms	known
જાણીતી	zināms	known
જાણીતુ	zināms	known
જાણીતું	zināms	famous
જાણીતો	zināms	known
જાણીને	apzināti	knowing
જાણે	zina	know
જાત	kvalitāte	self
જાતના	no sugām	of types
જાતનાં	sugas	different
જાતને	mēs paši	self
જાતા	ejam	done
જાતિ	sacensības	species
જાતિઓ	sugas	species
જાતિના	šķirne	cast
જાતિમાં	sacensībās	in species
જાતિય	seksuāls	sexual
જાતિવાદ	rasisms	racialism
જાતીય	seksuāls	personal
જાતે	sevi	own
જાતો	šķirnes	going
જાદુ	burvju	magic
જાદુઈ	burvju	magic
જાદુગરીની	burvība	of magic
જાન	jāņa	life
જાનકી	janaki	janki
જાને	džeina	to do
જાન્યુઆરી	janvārī	january
જાન્યુઆરીમાં	janvārī	in january
જાપાન	japāna	japan
જાપાનના	no japānas	japan's
જાપાનની	no japānas	japan's
જાપાનને	uz japānu	to japan
જાપાનમાં	japānā	in japan
જાપાની	japāņu	japanese
જાપાનીઝ	japāņu	japanese
જાપાને	japāna	japan
જામનગર	jamnagar	jamnagar
જામા	jama	jama
જાય	iet	do
જારી	izdots	continued
જાલંધર	jalandhar	jalndhar
જાળવણી	apkope	preservation
જાળવવા	saglabāt	maintain
જાળવી	uzturēt	maintained
જાળસ્થળ	tīmekļa vietne	website
જાળી	acu	grill
જાવ	ej	go
જાવા	java	java
જાહેર	publisks	open
જાહેરખબર	reklāma	advertisement
જાહેરખબરો	sludinājumi	advertisements
જાહેરમાં	publiski	in public
જાહેરાત	reklāma	advertisment
જાહેરાતકારો	reklāmdevēji	advertisers
જાહેરાતના	no reklāmas	advertisement,
જાહેરાતની	no reklāmas	of advertisement
જાહેરાતો	reklāmas	advertisements
જાહેરાતોના	no sludinājumiem	of advertisements
જાહેરાતોની	no reklāmām	of the advertisements
જાહેરાતોનું	no reklāmas	of advertisement
જાહેરાતોને	reklāmas	to advertisements
જાહેરાતોમાં	reklāmās	in advertisements
જિન	džina	those [hindi word in gujarati script]
જિલ્લા	apgabals	districts
જિલ્લાઓ	rajoni	districts
જિલ્લાના	no rajona	district's
જિલ્લાનાં	no rajona	of district
જિલ્લાની	no rajona	of district
જિલ્લાનું	no rajona	district
જિલ્લાનો	no rajona	district
જિલ્લામાં	rajonā	in district
જિલ્લો	apgabals	district
જિલ્‍લામાં	rajonā	in distric
જિસે	džīze	whom [hindi - urdu word]
જી	g	g.
જીએચ	gh	gh
જીએસએમ	gsm	gsm
જીડીપી	ikp	gdp
જીત	uzvarēt	victory
જીતવા	uzvarēt	to win
જીતી	uzvarēt	win
જીત્યા	uzvarēja	win
જીત્યો	uzvarēja	won
જીમેલ	gmail	gmail
જીર્ણોધાર	atjaunošana	repairing work
જીવ	radības	life
જીવંત	dzīvs	live
જીવણ	dzīve	jivan
જીવણને	uz dzīvību	to jivan
જીવણે	dzīvot	jivan, name of a person
જીવતા	dzīvo	living
જીવતો	dzīvs	living
જીવન	dzīve	life
જીવનકાળ	mūžs	lifetime
જીવનચરિત્ર	biogrāfija	biography
જીવનના	dzīves	in life
જીવનનાં	dzīves	life's
જીવનની	dzīves	life
જીવનનું	dzīves	of the life
જીવનને	uz dzīvību	life's
જીવનનો	dzīves	life's
જીવનમાં	dzīvē	in the life
જીવને	uz dzīvību	life
જીવલેણ	liktenīgs	fatal
જીવવિજ્ઞાન	bioloģija	biology
જીવિત	dzīvs	live
