$	usd	american dollar symbol
கடலூர்	cuddalore	cuddalore
கடலை	koķets	groundnut
கடலோர	piejūras	sea shore
கடலோரத்தில்	krastā	sea shore
கடலோரப்	krasts	near to sea
கடல்	jūras veltes	sea
கடல்கடந்த	aizjūras	overseas
கடவுளான	dievs	gods
கடவுளின்	dieva	god
கடவுளை	dievs	god
கடவுள்	dievs	god
கடவுள்கள்	dievi	god
கடாரம்	kataram	kadaram
கடி	dūrieni	bite
கடிகார	pulkstenis	clock
கடிகாரங்கள்	pulksteņi	watch
கடிகாரம்	pulkstenis	watch
கடிதம்	vēstule	letter
கடின	cietkoksne	hard
கடினமாக	grūti	be difficult
கடினமான	grūti	thick layer
கடினம்	grūtības	difficult
கடுமையான	smaga	cerious
கடும்	smaga	difficult
கடைசி	pēdējais	last
கடைசிப்	pēdējais	lastly
கடைசியில்	galu galā	last
கடோலினியம்	gadolīnijs	gadolinium atomic number
கட்சி	ballīte	team
கட்சிகள்	ballītes	parties
கட்சியாக	ballīte	party
கட்சியின்	ballīte	party
கட்சியில்	ballīte	in the party
கட்சியை	ballīte	belong to the party
கட்டங்களாக	fāzes	in buildings
கட்டங்களில்	posmi	stages
கட்டங்கள்	režģi	stages
கட்டடக்கலை	arhitektūras	architecture
கட்டடங்கள்	ēkas	buildings
கட்டடம்	celtnieks	building
கட்டணம்	zems	charge
கட்டத்தில்	fāze	in that coloumn
கட்டபொம்மன்	kattabomma	kattabomman , a king in tamilnadu
கட்டப்பட்ட	būvēts	build
கட்டப்பட்டது	būvēts	built
கட்டப்பட்டு	izbūvēts	construction
கட்டப்பட்டுள்ளது	būvēts	made
கட்டமைப்பின்	ietvars	of the structure
கட்டமைப்பு	konfigurācija	configuration
கட்டமைப்புகள்	konstrukcijas	infrastructures
கட்டமைப்பை	uzbūve	configuration
கட்டம்	režģis	box
கட்டற்ற	bezmaksas	a free
கட்டளை	pavēle	order
கட்டாய	obligāti	strictly
கட்டாயமாக	obligāts	compulsarily
கட்டாயம்	obligāts	important
கட்டி	audzējs	tumor
கட்டிகள்	audzēji	tumors
கட்டிட	ēka	building
கட்டிடக்	arhitektūra	building
கட்டிடக்கலைஞர்கள்	arhitekts	engineers
கட்டிடக்கலையின்	arhitektūra	architecture
கட்டிடக்கலையில்	arhitektūrā	architecture
கட்டிடக்கலையும்	arhitektūra	architect
கட்டிடங்களின்	siltumnīcas būvniecība	building
கட்டிடங்களில்	ēkās	buildings
கட்டிடங்களும்	ēkas	also buildings
கட்டிடங்களை	ēkas	building
கட்டிடங்கள்	ēkas	building
கட்டிடத்தின்	ēka	in building
கட்டிடம்	ēka	building
கட்டினார்	un uzbūvēts	constructed by
கட்டிய	būvēts	constructed by
கட்டுக்குள்	komandieris	under control
கட்டுப்படுத்த	kontrole	control
கட்டுப்படுத்தவும்	kontrolējams	restrict
கட்டுப்படுத்தி	kontrolieris	controller
கட்டுப்படுத்துகிறது	kontroles	to be controlled
கட்டுப்படுத்தும்	kontrolējošs	to control
கட்டுப்பட்டு	aprobežots	bounded
கட்டுப்பாடு	regula	control
கட்டுப்பாடுகள்	ierobežojumi	rules
கட்டுப்பாட்டின்	kontrole	under control
கட்டுப்பாட்டில்	tiek kontrolēts	under control
கட்டுப்பாட்டு	regula	under control
கட்டுப்பாட்டுக்குள்	kontrole	under control
கட்டுப்பாட்டை	kontrole	principles
கட்டுமான	būvniecība	structural
கட்டுமானம்	arhitektūra	construction
கட்டும்	ēka	building
கட்டுரை	raksts	research papers
கட்டுரைகளின்	raksti	scholarly work
கட்டுரைகளில்	raksti	feuilleton
கட்டுரைகளை	raksti	compositions
கட்டுரைகள்	raksti	essays
கட்டுரைத்	raksts	article
கட்டுரையில்	raksts	in article
கட்டுரையை	raksts	in this article
கணக்கான	desmitiem	countable
கணக்கிட	aprēķināt	to calculate
கணக்கிடப்படுகிறது	aprēķināts	calculated
கணக்கியல்	grāmatvedība	mathematics
கணக்கில்	skaitās	account
கணக்கு	grāmatvedība	maths
கணக்கெடுப்பின்படி	aptauja	as per the census
கணக்கெடுப்பு	aptauja	accounting
கணபதி	ganapati	lord ganesha
கணவன்	vīrs	husband
கணவர்	vīrs	husband
கணவாய்	pass	canal
கணிக்க	novērtējumi	calculare
கணிக்கப்படுகிறது	paredzētais	anterstant
கணிக்கப்பட்ட	paredzētais	calculated
கணிக்கும்	prognozēšana	to measure
கணிசமான	būtiski	sizeable
கணித	matemātika	mathematics
கணிதக்	matemātiskā	mathematics
கணிதத்தின்	no matemātikas	mathamates
கணிதத்தில்	matemātikā	maths
கணிதம்	matemātika	maths
கணினிகளில்	datori	computers
கணினிகளை	datori	computers
கணினிகள்	datori	computer
கணினிப்	dators	computer
கணினியில்	dators	computer
கணிப்பு	prognoze	calculation
கணிப்பொறி	dators	computer
கணுக்காலி	posmkāju	a sect of animals
கணையம்	aizkuņģa dziedzeris	gall bladder
கண்	acs	eye
கண்கள்	acis	eyes
கண்காட்சி	izstāde	exhibition
கண்காட்சியாக	izstāde	exhibition
கண்காணிக்கும்	trase	to supervise
கண்காணித்தல்	uzraudzība	monitoring
கண்காணிப்பு	izsekošana	supervision
கண்ட	kanda	saw
கண்டங்களின்	kontinenti	continents
கண்டங்களில்	kontinenti	in the contiments
கண்டங்கள்	kontinenti	continents
கண்டத்தின்	kontinents	continent's
கண்டத்தில்	kontinentā	in the continet
கண்டனம்	nosodīts	condemned
கண்டனர்	atrasts	had seen
கண்டமாகும்	goitre	goitre
கண்டம்	kontinents	continent
கண்டறிதல்	noteikšana	invention
கண்டறிந்து	identificēt	identified
கண்டறிந்துள்ளனர்	detektori	found
கண்டறிய	atrodi	search
கண்டார்	atrasts	seen
கண்டி	kandijs	kandi a town in sri lanka
கண்டிப்பாக	stingri	by all means
கண்டு	skats	to see
கண்டுகொண்டேன்	atrasts	found
கண்டுபிடிக்கப்பட்ட	atklāts	found
கண்டுபிடிக்கப்பட்டது	atklāts	findout
கண்டுபிடித்த	atrasts	invented
கண்டுபிடித்தார்	atklāts	found
கண்டுபிடித்து	meklējot	to discover
கண்டுபிடிப்பு	atklājums	invention
கண்டுபிடிப்புகள்	atklājumi	invention
கண்ணகி	kannagi	kannagi
கண்ணகியின்	kannagi&#39;s	kannagi
கண்ணகியை	kannagi	kanagi's
கண்ணதாசன்	kannadasan	kannadasan
கண்ணன்	kannans	kannan
கண்ணம்மா	kannamma	dear
கண்ணா	khanna	kanna
கண்ணாடி	stikls	mirror
கண்ணில்	s	in the eyes
கண்ணீர்	asaras	tears
கண்ணுக்குப்	acs	tiny particles
கதவு	durvis	door
கதாநாயகனாக	svins	hero
கதிரவனின்	rietoša saule	sun
கதிரவன்	sol	sun
கதிரியக்க	radioaktīvs	radiation
கதிர்	ray	radiation
கதிர்களை	starojums	rays
கதிர்கள்	stari	rays
கதிர்த்திருப்பம்	katirttiruppam	solstice
கதிர்வீச்சு	starojums	radiation
கதை	stāsts	story
கதைகளில்	stāstos	in stories
கதைகளை	stāsti	stories
கதைகள்	stāsti	stories
கதையில்	stāsts	in the stories
கத்தோலிக்க	katoļu	catholics in chrisitian religion
கத்தோலிக்கத்	katoļu	catholic
கந்தகம்	brimstone	magnet
கன	smags	heavy
கனடா	kanāda	canada
கனடாவின்	kanādas	canada
கனடிய	kanādietis	canadia
கனரக	smags	heavy works
கனவளவு	apjoms	volume
கனவு	sapnis	dream
கனவுகள்	sapņi	dreams
கனிம	neorganisks	chemical
கனிமொழி	kanimoži	kanimozhi a name
கன்னட	kannada	of kannada
கன்னடம்	kannada	kannda
கன்னி	jaunava	virgin
கன்னியாகுமரி	kanyakumari	kanyakumari
கன்று	teļš	young ones of an elephant are called baby elephant or calf.
கபிலர்	kapilar	kabilar
கப்பம்	tribute	tax
கப்பற்படை	flote	naval force
