$	dollarni tashkil etadi	dollars
конфликт	mojaro	conflict
конфликта	mojaro	conflict
конфликти	nizolar	conflicts
конфликтът	mojaro	conflict
конфуций	konfutsiy	confucius
концентрация	diqqat	concentration
концентрацията	diqqat	concentration
концентрира	kontsentratlar	concentrate
концентрирана	kontsentrlangan	concentrated
концентрирани	kontsentrlangan	concentrated
концепция	tushunchasi	conception
концепцията	tushunchasi	concept
концерт	konsert	concert
концерта	konsert	concert
концерти	konsertlar	concerts
концертите	konsertlar	concerts
концертна	konsert	concert
коня	ot	horse
конят	ot	the horse
координати	koordinatlari	coordinates
копенхаген	kopengagen	copenhagen
копие	nusxasi	copy
копия	nusxalari	copies
копривщица	uyalar	koprivshtica
кора	po&#39;stloq	cortex
кораб	kema	ship
кораба	kema	ship
кораби	kemalar	ships
корабите	kemalar	the ships
корабът	kema	life boat
коралови	marjon	coral
корана	qur’on	quran
кората	po&#39;stloq	core
корейската	koreys	korean
корейски	koreys	korean
корейския	koreys	korean
корем	qorin	abdomen
корема	qorin	abdomen
коремната	qorin bo&#39;shlig&#39;i	abdominal
корен	ildiz	root
корени	ildizlari	roots
корените	ildizlari	roots
коренно	tubdan	radically
коренното	ildiz	indigenous
корея	koreya	korea
коридор	yo&#39;lak	corridor
корона	toj	crown
корпус	uy-joy	housing
корупция	buzilish	corruption
корупцията	buzilish	corruption
коса	soch	hair
косата	soch	hair
космическа	bo&#39;sh joy	cosmic
космически	kosmik	space
космонавт	kosmonavt	astronaut
космоса	bo&#39;sh joy	the cosmos
косово	kosovo	kosovo
кост	suyak	bone
коста	qiymati	costa
костадин	kostadin	kostadin
костадинов	kostadinov	kostadinov
кости	suyaklar	kosti
костите	suyaklar	bones
костни	suyak	bone
костов	suyaklar	kostov
котел	qozon	caldron
котка	mushuk	cat
котката	mushuk	cat
котки	mushuklar	cats
котките	mushuklar	cats
котловина	ichi bo&#39;sh	valley
котловини	bo&#39;shliqlar	valleys
кош	savat	basket
коя	qaysi	which
която	qaysi	which
краен	haddan tashqari	terminal
краища	tugaydi	ends
краищата	uchlari	the edges
край	oxiri	near
крайбрежие	sohil	shore
крайбрежието	sohil	coast
крайбрежните	qirg&#39;oq bo&#39;yida	cost
крайна	haddan tashqari	region
крайната	final	final
крайни	haddan tashqari	end
крайните	final	ends
крайници	ekstremitalar	extremities
крайниците	oyoq-qo&#39;llar	limbs
крайния	yakuniy	final
крайно	nihoyatda	extremely
крак	oyoq	foot
крака	oyoqlari	feet
краката	oyoqlari	feet
кракра	krakra	krakra
крал	qirol	king
крале	shoh	kings
кралица	malika	queen
кралицата	malika	queen
кралската	qirol	royal
кралски	qirollik	royal
кралския	qirol	royal
кралското	qirol	royal
кралства	qirollar	kingdoms
кралство	qirollik	kingdom
кралството	qirollik	kingdom
краля	qirol	king
кралят	qirol	king
крас	go&#39;zallik	crassus
красив	chiroyli	beautiful
красива	chiroyli	beautiful
красивата	chiroyli	beautiful
красиви	chiroyli	beautiful
красимир	krasimir	krassimir
красота	go&#39;zallik	beauty
кратери	kraterlar	craters
кратка	qisqa	short
кратки	qisqa	short
кратко	qisqa	short
кратък	qisqa	short
крачка	qadam	step
края	tamom	end
краят	tamom	end
крепост	qal&#39;a	fortress
крепости	qal&#39;alar	castles
крепостна	serf	fortress
крепостни	serflar	fortress
крепостните	serflar	castles
крепостта	qal&#39;a	fortress
крива	egri chiziq	curve
крие	yashiradi	lies
криза	inqiroz	crisis
кризата	inqiroz	crisis
крило	qanot	wing
крис	kris	chris
кристали	kristallar	crystals
кристална	kristalli	crystal
кристиан	xristian	christian
крит	tanqidchi	crete
критерии	mezonlar	criteria
критик	tanqidchi	critic
критика	tanqid	criticism
критиката	tanqid	critics
критики	tanqid	critics
критикува	tanqid qiladi	criticized
критици	tanqidchilar	critics
критиците	tanqidchilar	critics
круз	kruiz	cruz
крум	krum	krum
кръв	qon	blood
кръвен	qon	blood
кръвната	qon	blood
кръвни	qon	blood
кръвното	qon	blood
кръвоносни	qonli	blood
кръвоносните	qon aylanishi	blood
кръвообращението	qon aylanishi	blood circulation
кръвта	qon	blood
кръг	aylana	range
кръга	aylana	circle
кръгла	dumaloq	round
кръгове	doiralar	circles
кръговрат	tsikl	circle
кръст	kesib o&#39;tish	cross
кръста	xoch	cross
кръстев	suvga cho&#39;mish marosimi	krystev
кръстен	nomlangan	named
кръстител	suvga cho&#39;mdiruvchi	baptist
кръстоносен	salib yuruvchisi	crusade
кръстоносците	salibchilar	the crusaders
кръсточовки	krossvord jumboqlari	duckbill
кръстьо	kesib o&#39;tish	krystio
куба	kuba	cuba
кубинската	kubaliklar	cuban
кубрат	kubrat	kubrat
кувейт	quvayt	kuwait
кук	pishirmoq	cook
куклен	qo&#39;g&#39;irchoq	puppet
кула	minora	tower
кулата	minora	tower
кули	minoralar	towers
кулон	marjon	kulon
култ	ibodat	cult
култа	ibodat	cult
култови	ibodat	cult
култура	madaniyat	culture
културата	madaniyat	culture
културен	madaniy	cultural
култури	ekinlar	cultures
културна	madaniy	cultural
културната	madaniy	cultural
културни	madaniy	cultural
културните	madaniy	the cultural
културния	madaniy	cultural
културно	madaniy	cultural
културното	madaniy	cultural
купа	kosa	cup
купата	piyola	cup
купи	sotib olmoq	buy
купол	gumbaz	dome
купува	sotib oladi	buys
курорт	kurort	resort
курорти	kurortlar	resorts
курс	kursi	rate
курсове	kurslar	courses
кутия	qutisi	case
куха	oshxona	hollow
кухина	bo&#39;shliq	cavity
кухня	oshxona	cuisine
куче	it	dog
кучета	itlar	dogs
кучетата	itlar	dogs
кучето	it	dog
къде	qayerda	where
където	qayerda	where
къклица	loviya	agrostemma
кълбо	orb	ball
към	ga	to
кънчев	kunchev	kanchev
кънчов	kanchov	kynchov
кърджали	kurjali	kardjali
кърлеж	shomil	tick
къса	qisqa	break up
къси	qisqa	short
късмет	omad	luck
късната	kech	late
късния	kech	late
късно	kech	late
къща	uy	house
къщамузей	muzey uyi	museum
къщата	uy	house
къщи	uylar	houses
къщите	uylar	houses
кьопен	ko&#39;pen	koppen
кюстендил	kyustendil	kyustendil
л	l	l
ла	la	la
лава	lavalar	lava
лавразия	lauraziya	laurasia
лаврови	dafna	laurel
лагер	lager	camp
лагера	lager	camp
лагери	lagerlar	bearings
лада	lada	lada
лаерт	laert	laertes
лазар	lazar	lazar
лазаров	lazarus	lazarov
лайпциг	leyptsig	leipzig
лайъл	layl	lyle
ламбда	lambda	lambada
лангедок-русийон	lanjedok-russillon	languedoc roussillon
ланка	havola	lanka
лас	las	las
лат	lat	lat
латвия	latviya	latvia
латиница	lotin	latin
латиницата	lotin alifbosi	latin
латинска	lotin	latin
латинската	lotin	latin
