$ tỉ	বিলিয়ন ডলার	$ billion
kant	kant	a name
kar	kar	(proper noun) kar
kara	কারা	kara
karaoke	কারাওকে	karaoke
karate	কারাতে	karate
karatedo	কারাতে কি	karatedo
karen	কারেন	(proper noun) karen
karim	করিম	(proper noun) karim
kashmir	কাশ্মীর	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	কাতাকানা	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	ক্যাথরিন	katherine
kathmandu	কাঠমান্ডু	kathmandu
katrina	ক্যাটরিনা	(proper noun) katrina, as in hurricane katrina
katz	কাট্স	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	ককেশাস্পর্বত	kavkaz
kawasaki	কাওয়াসাকি	(proper noun) kawasaki
kay	কে	kay
kazan	কাজান	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	কেলি	kelly
kelsi	kelsi	kelsi
kelvin	কেলভিন	kelvin
kem	ক্রিম	ice cream (n.)
ken	কেন	ken
kennedy	কেনেডি	(proper noun) kennedy, as in john f. kennedy
kenneth	কেনেথ	(proper noun) kenneth, a name
kenny	কেনি	kenny, an english first name
kentucky	কেনটাকি	(proper noun) kentucky
kepler	কেপলার	kepler
kerala	কেরল	(proper noun) kerala
kevin	কেভিন	kenvin
keynes	কিনস	keynes, as in economist john maynard keynes
kg	কেজি	kilogram
kha	খ	(proper noun) a vietnamese first name
khai	ঘোষণা	announce
khali	খালির	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	নির্জল	rare
khang	khang	khang
khanh	khanh	khanh
khao	আকাঙ্ক্ষা	desire
khay	ট্রে	tray
khe	ছেঁদা	chink
khem	khem	abstinence
khen	প্রশংসা	praise
kheo	বাধা	kheo
khi	যখন	when
khieu	বুঝিনি	(proper noun) khieu, as in khieu samphan
khiêm	বিনয়ী	khiem
khiên	ঢাল	a shield
khiêu	প্রেমমূলক	"('khiêu dâm"") pornographic"
khiếm	প্রতিবন্ধীদের	lack
khiến	কারণ	control
khiếp	আতঙ্কগ্রস্ত	horrible
khiếu	বীবর	talent (n.)
khiển	নিয়ন্ত্রণ	control
khleang	khleang	kh'leang
kho	গুদাম	warehouse
khoa	দক্ষতা	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	কসরত	drill
khoang	গহ্বর	brag
khoanh	ঘন্টা বাজানো	a slice (n.)
khoe	লোক দেখানো	to boast
khoá	লক	lock
khoác	উপরকার কোট	coat
khoán	স্টক	stock
khoáng	খনিজ	mineral
khoát	নির্ধারক	decisive
khoét	কাটা	carve
khoăn	জ্বালাতন	disturbed
khoả	নগ্ন	naked
khoản	পদ	an item (n.)
khoảng	প্রায়	about
khoảnh	মুহূর্ত	moment
khoẻ	জরিমানা	health
khrushchev	ক্রুশ্চেভ	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	ত্রৈমাসিক	section
khung	ফ্রেম	frame
khural	khural	khural
khuynh	বাম	trend
khuyên	পরামর্শ	advise
khuyết	ত্রুটিপূর্ণ	lack
khuyển	কুকুর	khuyen
khuất	গোপন	hidden
khuấy	নাড়া	stir
khuẩn	ব্যাকটেরিয়া	bacteria
khuếch	প্রশস্ত করা	amplification
khuỷu	কনুই	elbow
khá	বরং	quite
khác	অন্যান্য	different
khách	অতিথি	customer
khái	ধারণাসঙ্গত	concept
khám	পরীক্ষা	discover
khán	শ্রোতাবৃন্দ	audience
kháng	সহ্য করার ক্ষমতা	appeal
khánh	স্বাধীনতা	a type of chime made of stone (n.)
khát	তৃষ্ণার্ত	to be thirsty for (adj.)
khâm	kham	admire
khèn	হায়রে	a pan-pipe (n.)
khéo	প্রতিভাশালী	cleverly or skillfully (adv.)
khép	ঘনিষ্ঠ	close
khía	খাঁজ	"(term should be ""khía cạnh"") angle (n.)"
khích	উত্সাহিত করা	encourage
khít	ঘনিষ্ঠ	close
khó	কঠিন	difficulty
khóa	তালা	a session
khóc	কান্না	cry
khói	ধোঁয়া	smoke
khóm	আনারস	a cluster
khô	শুকনো	dry
khôn	জ্ঞানী	clever, intelligent
không	এটি না	not
khúc	অংশ	song
khăm	দুর্গন্ধময়	nasty (adj.)
khăn	গামছা	difficult
khơi	সমুদ্রতীরাতিক্রান্ত	sea
khư	khứ	grip
khưu	khưu	khuu
khước	অস্বীকার করা	waive
khả	সম্ভাবনা	"(term should be ""khả năng"") ability (n.)"
khải	উদ্ঘাটন	triumph
khảm	বিচিত্র	to encrust
khảo	পরীক্ষা	"(term should be ""tham khảo"") to consult (v.)"
khấm	অনুপ্রবিষ্ট	endure
khấn	প্রার্থনা করা	pray
khấu	ডিসকাউন্ট	"(term should be ""sân khấu"") a stage (n.)"
khẩn	জরুরী	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	খাঁজ	moment
khắp	সব শেষ	all over
khẳng	হাঁ-সূচক	"(term should be ""khẳng định"") to assert (v.)"
khế	তারা ফল	bond
khỉ	বানর	monkey or ape (n.)
khỏa	নগ্ন	nude
khỏe	শক্তিশালী	health
khỏi	এর বাইরে	leave
khố	ধুতি	loincloths
khốc	ভয়ানক	devastating
khối	গ্রেড স্তরের	a block or mass of (n.)
khốn	জারজ	miserable
khống	khong	control
khổ	দুর্ভোগ	miserable (adj.)
khổng	দৈত্য	huge
khởi	প্রারম্ভিক	start
khủng	ভয়ানক	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	জারজ	elbow
khứu	রঙের পেন্সিল	olfactory
khử	নিষ্কাশন করা	reduction
ki	কিশোরগঞ্জ	"entire phrase is ""ki lo""; means ""kilometer"""
kia	যে	other
kid	ছাগলছানা	kid
kiel	kiel	(proper noun) kiel
kierkegaard	কীয়েরকেগার্ড	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	কিলোমিটার	kilometer
kim	কিম	kim
kingdom	রাজ্য	kingdom
kinsey	kinsey	kisney
kiribati	কিরিবাতি	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	চুম্বন	kiss
kissinger	কিসিঞ্জার	kissinger
kitts	কিটস	kitts
kitô	খ্রীষ্টান	christian
kiêm	তথা	cum
kiên	রোগী	consistent
kiêng	বিরত থাকা	abstinence, as in abstaining from eating
kiêu	অহংকারী	showy
kiếp	জীবনকাল	a lifetime (n.)
kiết	kiệt	cheap (adj.)
kiềm	ক্ষারীয়	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	চেক	control
kiểu	আদর্শ	type
kiệm	লাভজনক	save
kiện	মামলা করা	event (su kien)
kiệt	মাষ্টারপিস	exhausted (adv.)
kiệu	পালকি	scallion
klaus	klaus	klaus
klein	ক্লেইন	klein
km	কিলোমিটার	kilometer
knesset	নেসেট	knesset
knuth	knuth	knuth, as in donald knuth
koch	কচ	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	কোমোডো	komodo
kon	কন	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	কং	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	কোরান	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	কোরুনা	koruna
kosovo	কসোভো	(proper noun) kosovo
kremli	kremli	kremil
kremlin	ক্রেমলিন দখল	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	কুয়ালা	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	উনিশ শতিকের রাশিয়ার ধনী কৃষক-জমিদার-মহাজন	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	কুং	danh vo
kungfu	কুং ফু	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	কুর্দ	kurd
kurt	কার্ট	(proper noun) kurt
kuwait	কুয়েত	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	কোন্দো	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	কিউশু	kyushu
kyūshū	কিউশু	kyushu, a japanese island
kèm	ঘিরা	included
kèn	ডঙ্কা	horn
kém	অন্তত	less
kén	গুটি	selective
kéo	টানা	scissors
kép	দ্বৈত	dual
két	সৌন্দর্য	"(term should be ""rốc két"") rocket (n.)"
kê	বাজরা	statistics
kênh	চ্যানেল	channel
kêu	বাদন	appeal
kìa	দেখ	that
kìm	প্লাস	bar
kình	চশমা	rivalry
kí	চিহ্ন	sign
kích	ক্লিক	excite
kíchbom	clickbutton	bombers
kín	ব্যক্তিগত	secretive or closed tight (adj.)
kính	চশমা	respect
kíp	নাবিকদল	esoterica
kít	screeched	wheelbarrow
ký	চিহ্ন	"(""nhật ký"") a diary"
kĩ	সাবধানে	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	মিছরি	candy
kẹp	ক্লিপ	to clamp down (v.)
kẹt	আটকে পড়া	jam
kẻ	বলছি	guy
kẻo	পাছে	lest
kẽ	কৌশলে	crevice
kẽm	দস্তা	zinc
kế	পরবর্তী	a scheme (n.)
kết	শেষ	combine
kề	সংলগ্ন	adjacent
kềnh	ভারী	bulky
kệ	তাক	ignore
kỉ	শতাব্দী	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	অশ্বারোহী বাহিনী	ki
kịp	রাখা	kip
kỵ	অশ্বারোহী বাহিনী	taboo
kỷ	শতাব্দী	"(term should be ""thế kỷ"") century (n.)"
l	ঠ	l.
label	লেবেল	label
laboulaye	laboulaye	a name
ladakh	লাদাখ	(proper noun) ladakh
lai	অকুলীন	"(term should be ""tương lai"") the future (n.)"
lam	প্রহার করা	lam
lama	লামা	a name
lan	ল্যান	a name
land	জমি	land
landon	জমির উপর	a name
lang	ল্যাঙ	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	লিনেন	ringing
lanka	শ্রীলঙ্কা	(proper noun) lanka, as in the island of sri lanka
lao	টিবি	labor
laos	লাত্তস	(proper noun) laos
lap	ভাঁজ	greek
larry	ল্যারি	larry
lars	lars	lars
las	লাস	(proper noun) las, as in las vegas
laser	লেজার	laser
lateran	lateran	lateran
latinh	ল্যাটিন	latin
latvia	ল্যাট্ভিআ	(proper noun) latvia
lau	মুছা	lau
laura	লরা	(proper noun) laura, as in laura bush
laurence	লরেন্স	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	লে	lay
lazarus	ভিখারি	(proper noun) lazarus
leach	লিচ	(proper noun) leach
leaf	গাছের পাতা	leaf
leave	ছুটি	leave
lebanon	লেবানন	(proper noun) lebanon
lee	আচ্ছাদন	lee
legacy	উত্তরাধিকার	legacy
leiden	লিডেন	leiden
lem	lem	cinderella
lenin	লেনিন	lenin
lenins	lenins	lenin's
leo	আরোহণ	climb
leon	leon	leon
leonard	লিওনার্ড	leonard
leonardo	লিওনার্দো	(proper noun) leonardo, as in leonardo da vinci
leonid	লিওনিদ	leonid
les	les	les
leslie	লেসলি	a name
lesotho	লেসোথো	lesotho
lg	এলজি	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	বিনামূল্যে	libero
libya	লিবিয়া	libya
lido	lido	lido
liechtenstein	লিচেনস্টেইন	liechtenstein
liga	লিগা	a name
lightning	বজ্র	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	লিংক	links
linux	লিনাক্স	linux server
lionel	লিওনেল	lionel
lisboa	lisboa	lisboa
lisbon	লিসবন	a name
litva	লিত্ভা	(proper noun) lithuania
liu	লিউ	liu
liêm	অখণ্ডতা	good example
liên	উদ্যোগ	relate
liêng	পবিত্র	sacred
liêu	আমলাতন্ত্র	bureaucracy
liềm	কাস্তে	sickle
liều	ডোজ	daring
liễu	ক্রিকেট খেলার ব্যাট	a willow tree (n.)
liệng	নিক্ষেপ	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	পক্ষাঘাত	impotent
liệu	কিনা	document
lleyton	lleyton	lleyton
lo	চিন্তা করবেন না	to worry (v.)
loa	কথা বলা	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	বাক্পটুতাপূর্ণ	patchy
loch	সমুদ্রের শাখা	loch
locke	লক	(proper noun) locke, as in philosopher john locke
lockheed	লকহীড	(proper noun) lockheed, as in lockheed martin
log	লগ	log
logan	লোগান	a name
lon	করতে পারা	lon
london	লণ্ডন	london
long	দীর্ঘ	dragon
lorenzo	lorenzo	lorenzo
los	লস	los, as in los angeles
louis	লুই	louis
louisiana	লুইসিয়ানা	(proper noun) the state of louisiana
