$	usd	dollarsign
heerschappij	valdīšana	rulership
heersende	dominējošais	ruling, prevailing, governing
heerser	valdnieks	ruler
heersers	valdnieki	rulers
heerst	noteikumiem	rules
heerste	valdīja	prevailed
heet	karsts	hot
heette	sauca	named
heffen	lai paceltu	lift
heftige	vardarbīgs	heavy
hegel	hegel	hegel
hegemonie	hegemonija	hegemony
heide	virši	heathland
heidense	pagānu	heathen
height	augums	height
heijn	heijn	heijn
heil	pestīšana	heil
heilig	svēts	sacred
heilige	svētais	sacred
heiligen	svētie	saints
heinrich	heinrihs	hienrich
hel	ellē	hell
helaas	diemžēl	unfortunately
held	varonis	hero
helden	varoņi	heroes
helder	spilgti	clear
heldere	spilgti	clear
helderheid	spilgtums	clarity
hele	vesela	entire
helemaal	visu ceļu	completely
helen	dziedēt	helen
helena	helēna	helena
helft	puse	half
helium	hēlijs	helium
helling	slīpums	slope
hellingen	nogāzes	slopes
helpen	izpalīdzēt	support
helpt	palīdz	helps
hem	viņu	him
hemel	debesis	heaven
hemellichamen	debess ķermeņi	celestial bodies
hemelse	debesu	heavenly
hemelvaart	debesbraukšanas diena	ascension
hemiplegie	hemiplegija	hemiphlegia
hemoglobine	hemoglobīns	hemoglobin
hen	viņiem	them
hendrik	hendriks	a dutch name
hendrix	hendrix	hendrix
henk	garīgi	henk
henri	henri	henri
henry	henrijs	henry
hepatitis	hepatīts	hepatitis
her	viņu	re
herbergt	mājas	houses
herbert	herberts	herbert
hercules	hercules	hercules
herdacht	pieminēja	remembered
herdenking	piemiņa	memorial
herder	gans	shepherd
heren	kungi	gentlemen
hereniging	atkalapvienošanās	reunification
herfst	rudens	autumn
herhaald	atkārtots	repeated
herhaalde	atkārtots	repeated
herhaaldelijk	atkārtoti	repeatedly
herhaling	atkārtot	repetition
herinneren	atceries	remember
herinnering	atgādinājums	memory
herinneringen	atmiņas	memories
herinnert	atceries	reminds
herkenbaar	atpazīstams	recognizable
herkenbare	atpazīstams	distinguishable
herkennen	atpazīt	recognize
herkomst	izcelsme	origin
herman	hermanis	herman
hermann	hermans	hermann
hermelien	hermione	hermaine
hernieuwde	atjaunota	renewed
heroes	varoņi	heroes
heroïne	heroīns	heroin
hersenen	smadzenes	brain
herstel	atgūšana	restoration
hersteld	atjaunots	repaired
herstelde	atguvusies	recovered
herstellen	atgūt	restore
hertog	hercogs	duke
hertogdom	hercogiste	duchy
hervormde	reformēts	reformed
hervorming	reforma	reformation
hervormingen	reformas	reforms
herzegovina	hercegovina	herzegovina
herziene	pārskatīts	revised
het	tā	the
hete	karsts	hot
heten	sauca	called, named
heteroseksuele	heteroseksuāls	heterosexual
hetgeen	kas	which
hetzelfde	tas pats	the same
hetzij	arī	either
heuvel	kalns	hill
heuvels	kalni	hills
hevig	intensīva	violent
hevige	vardarbīgs	violent
hey	čau	hey - part of song title
hield	mīlēja	held
hielden	turēti	hold
hielp	palīdzēja	helped
hier	šeit	here
hieraan	uz šo	on this
hierbij	ar šo	hereby
hierboven	augšā	above
hierdoor	šī dēļ	this
hierin	šeit	in this
hiermee	ar šo	with this
hierna	pēc tam	after this
hiernaast	līdzās	apart from
hierom	šī dēļ	for this reason
hieronder	zemāk	among
hierop	par šo	hereon
hierover	par šo	about this
hiertegen	pret to	against this
hiertoe	šim nolūkam	this
hieruit	no šī	from here on out
hiervan	no šī	this
hiervoor	priekš šī	for this
high	augstu	high
hij	viņš	he
hijzelf	pats	himself
hilde	hilde	hilde
hill	kalns	hill - proper noun
himmler	hemlers	himmler
hindoes	hinduisti	hindus
hindoeïsme	hinduisms	hinduism
hing	karājās	hung
hiphop	hip hop	hip hop
his	viņa	his
hispania	hispanija	hispania
hispaniola	hispaniola	hispaniola
historici	vēsturnieki	historians
historicus	vēsturnieks	historian
historie	vēsture	history
historisch	vēsturiskā	historically
historische	vēsturiskā	historical
history	vēsture	history
hit	sist	hit
hitler	hitlers	hitler
hitlers	hitleri	hitlers
hitlijsten	diagrammas	charts
hits	hits	hits
hits||||||||||	trāpījumi |||||||||||	hits
hitte	karstums	heat
hiv	hiv	aids
hiërarchie	hierarhija	hierarchy
hn	hn	hn
ho	ho	ho
hoe	kā	how
hoefde	izdarīja	need
hoeft	vajag	needs
hoek	stūra	corner
hoeken	stūriem	corners
hoes	piesegt	dust-sheet
hoessein	huseins	hussein
hoesten	klepus	coughing
hoeveel	cik daudz	how many
hoeveelheden	daudzumi	quantities
hoeveelheid	daudzums	amount
hoeven	nagi	hooves
hoewel	lai gan	however
hof	tiesa	court
hoge	augstu	high
hoger	augstāk	higher
hogere	augstāk	higher
hogescholen	koledžas	colleges of higher education
hogeschool	universitāte	university
hol	dobi	hole
hold	turēt	hold
holland	holande	holland
hollands	holandiešu	dutch
hollandse	holandiešu	dutch
hollywood	holivuda	hollywood
holocaust	holokausts	holocaust - proper noun
home	mājas	home
homo	gejs	homo
homoseksualiteit	homoseksualitāte	homosexuality
homoseksueel	homoseksuāls	homosexual
homoseksuele	homoseksuāls	homosexual
homoseksuelen	homoseksuāļi	homosexuals
hond	suns	dog
honden	suņi	dogs
honderd	simts	hundred
honderdduizenden	simtiem tūkstošu	hunderds of thousands
honderden	simtiem	hundreds
honduras	hondurasa	honduras
hong	honga	hong
hongaars	ungāru	hongarian
hongaarse	ungāru valoda	hongarian
hongaren	bagari	hungarians
hongarije	ungārija	hongaria
honger	izsalcis	starvation
hongersnood	bads	famine
hongkong	honkonga	hongkong
hoofd	galva	head
hoofdkantoor	galvenā mītne	main office
hoofdkwartier	galvenā mītne	headquarters
hoofdletter	lielais burts	capital
hoofdpijn	galvassāpes	headache
hoofdplaats	kapitāls	county seat
hoofdrol	galvenā loma	lead
hoofdrollen	vadošās lomas	main roles
hoofdrolspelers	varoņi	protagonists
hoofdstad	galvaspilsēta	capital
hoofdstedelijk	lielpilsēta	capital
hoofdsteden	galvaspilsētas	capital cities
hoofdstuk	nodaļa	chapter
hoofdzakelijk	galvenokārt	mainly
hoog	augstu	high
hoogendijk	hoogendijk	hoogendijk
hooggerechtshof	augstākā tiesa	supreme court
hoogland	augstiene	highlands
hooglanden	augstienes	highlands
hoogleraar	profesors	professor
hoogst	augstākais	highest
hoogste	augstākais	supreme
hoogte	augums	altitude
hoogtepunt	iezīmējiet	climax
hoogtepunten	izceļ	highlights
hoop	ceru	hope
hoopt	cer	hopes
hoopte	cerēja	hoped
hoorde	dzirdēts	heard
hoorn	rags	horn
hoornaar	hornet	hoornaar
hoornplaten	ragu plāksnes	horn plates
hoort	dzird	belongs
hope	ceru	hope
horatius	horace	horace
hordelopen	šķēršļi	hurdles
horeca	ēdināšanas nozare	catering
horen	dzirdēt	heard
horizontale	horizontāli	horizontal
hormonale	hormonālo	hormonal
hormonen	hormoni	hormones
hormoon	hormonu	hormone
hospital	slimnīca	hospital
hot	karsts	hot
hotel	viesnīca	hotel
hotels	viesnīcas	hotels
hotmail	karstais pasts	hotmail
hou	mīlestība	keep
houd	turēt	hold
houden	paturēt	to keep
houding	attieksme	attitude
houdingen	attieksmes	positions
houdt	patīk	holds
houston	hjūstona	houston
hout	koksne	wood
houten	koka	wooden
houtskool	kokogles	charcoal
how	kā	how
howard	howard	howard
hubbard	hubbards	hubbard
hudson	hudsons	hudson
hughes	hughes	hughes
hugo	hugo	hugo
huid	āda	skin
huidig	pašreizējais	current
huidige	pašreizējais	wooded
huidskleur	ādas krāsa	color
huis	māja	house
huisarts	ģimenes ārsts	general practitioner
huisvest	mājas	houses
huisvesting	mājoklis	housing
huizen	mājas	houses
huizenprijzen	māju cenas	house prices
hulp	palīdzēt	aid
hulpbronnen	resursiem	resources
human	cilvēku	human
humanisme	humānisms	humanism
humanisten	humānisti	humanists
humor	humors	humour
hun	viņu	their
hunt	medības	hunt
hunter	mednieks	hunter
huwde	precējies	married
huwelijk	kāzas	marriage
huwelijken	laulības	marriages
huxley	hokslijs	huxley
huygens	huygens	huygens
hyde	hyde	hyde
hypofyse	hipofīze	pituitary
hypothalamus	hipotalāmu	hypothalamus
hypotheken	hipotēkas	mortgages
hypothese	hipotēze	assumption
hyves	hyves	hyves
höss	höss	höss
i	i	i
ian	ian	ian
ibd	ibd	ibd
iberisch	ibērijas	iberian
ibn	ibn	ibn
ice	ledus	ice
icoon	ikona	icon
ida	ida	ida (proper noun - first name)
ideaal	ideāls	idealism
ideale	ideāls	ideal
idee	ideja	idea
ideeën	idejas	ideas
idem	idem	ditto
identiek	identiski	identical
identiteit	identitāte	identity
ideologie	ideoloģija	ideology
ideologische	ideoloģisks	ideological
idgray	idgray	id gray
ieder	katrs	every
iedere	katrs	each
iedereen	visiem	everybody
iemand	kāds	someone
iemands	kāds ir	someone
ierland	īrija	ireland
ierse	īru	irish
iets	kaut kas	jets
if	ja	als
ii	ii	ii
iii	iii	iii
ij	ij	ij
ijs	ledus	ice
ijsberg	aisbergs	iceberg
ijskap	ledus lapa	glacier
ijsland	islande	iceland
ijslandse	islandiešu	icelandic
ijssel	īsels	ijssel
ijstijd	ledus laikmets	ice age
ijzer	dzelzs	iron
ijzeren	dzelzs	iron
ijzererts	dzelzs rūda	iron ore
ijzerslangen	dzelzs šļūtenes	iron snakes
ik	es	i
ike	ike	ike
il	il	il
illegaal	pretlikumīgs	illegal
illegale	pretlikumīgs	illegal
illusie	ilūzija	illusion
illustratie	ilustrācija	illustration
im	es esmu	in
imagesize	attēla izmērs	image size - beeldgrootte
imago	attēls	image
imdb	imdb	imdb
imf	imf	imf
immers	galu galā	indeed
immigranten	imigranti	immigrants
immigratie	imigrācija	immigration
immuniteit	imunitāte	immunity
immuunsysteem	imūnsistēma	immune system
impact	trieciens	impact
imperial	impēriskais	imperial
imperium	impērija	empire
import	importēt	import
impressionisme	impresionisms	impressionism
impuls	impulss	impulse
in	iekšā	in
incas	inkas	incas
inch	collas	inch
inchmm	collas	inchmm
incident	starpgadījums	incident
incidenten	starpgadījumiem	incidents
inclusief	ieskaitot	including
increment	pieaugums	verhoging
indeling	izkārtojums	stratifaction
inderdaad	patiešām	indeed
indertijd	tajā laikā	at that time
index	indekss	index
india	indija	india
indiaanse	dzimtais amerikānis	indian
indian	indiānis	indian
indiana	indiāna	indiana
indianen	indiāņi	native americans/ indians
indiase	indiānis	indian
indicatie	norāde	indication
indien	ja	in case of
indirect	netieši	indirect
indirecte	netiešs	indirect
indische	indiānis	indian
individu	indivīds	individual
individueel	individuāli	individual
individuele	indivīds	individual
individuen	indivīdi	individuals
indië	indija	indie
indiërs	indiāņi	indians
indoeuropese	indoeiropietis	indo-european
indonesische	indonēzietis	indonesian
indonesië	indonēzija	indonesia
indruk	iespaids	impression
industrialisatie	industrializācija	industralisation
industrie	nozare	industry
industrieel	rūpniecības	industrial
industrieën	nozares	industries
industriële	rūpniecības	industrial
ineens	pēkšņi	suddenly
infanterie	kājnieki	infantry
infectie	infekcija	infection
infecties	infekcijas	infections
inflatie	inflācija	inflation
influenza	gripa	influenza
informatica	informātika	informatics
informatie	informācija	information
informele	neformāls	informal
infrastructuur	infrastruktūra	infrastructure
ingalls	ingalls	ingalls
ingang	ieeja	entrance
ingedeeld	klasificēts	classified
ingenieur	inženieris	engineer
ingenieurs	inženieri	engineers
ingenomen	ņemts	occupied
ingericht	mēbelēts	organized
ingesteld	komplekts	focussed
ingevoerd	ieviests	implemented
ingewikkelde	sarežģīts	complex
ingezet	izvietoti	used
ingreep	operācija	operation
ingrid	ingrīda	ingrid
ingrijpen	iejaukties	interfere
inheemse	dzimtā	indigenous
inhoud	saturs	content
inhoudt	nozīmē	means
initiatief	iniciatīvs	initiative
initiatieven	iniciatīvas	initatives
inkomen	ienākumi	incomings
inkomsten	ienākumi	revenues
inleiding	priekšvārds	intro
inmenging	iejaukšanās	interference
inmiddels	tikmēr	meanwhile
inname	uzņemšana	intake
innemen	norīt	take in
inquisitie	inkvizīcija	inquisition
inrichting	dizains	device
insect	kukainis	insect
insecten	kukaiņi	insects
inslag	slīpi	impact
inspanning	pūles	exertion
inspanningen	centieni	efforts
inspiratie	iedvesma	inspiration
inspiratiebron	iedvesmas avots	source of inspiration
inspireerde	iedvesmots	inspired
inspireren	iedvesmot	to inspire
instantie	piemēram	instance
instanties	organizācijas	authorities
instelling	institūcija	institution
instellingen	iestatījumi	institutions
institute	institūts	institute
instituten	institūti	institutes
instituut	institūts	institute
instrument	instrumentu	instrument
instrumenten	instrumenti	instruments
insuline	insulīns	insulin
intact	neskarts	intact
integratie	integrācija	integration
intellectuele	intelektuālais	intellectual
intellectuelen	intelektuāļi	intellectuals
intelligent	inteliģents	intelligent
intelligentie	inteliģence	intelligence
intense	intensīva	intense
intensief	intensīva	intensive
intensieve	intensīva	intensive
intensiteit	intensitāte	intensity
inter	inter	inter
interactie	mijiedarbība	interaction
interessant	interesanti	interesting
interesse	interese	interest
interieur	interjers	interior
intern	iekšējais	internal(ly)
internationaal	starptautiskā	international
international	starptautiskā	international
internationale	starptautiskā	international
interne	iekšējais	internal
internet	internets	internet
interpellatie	interpelēšana	interpellation
interpretatie	interpretācija	interpretation
interpretaties	interpretācijas	interpretations
interview	intervija	interview
interviews	intervijas	interviews
into	uz	into
intocht	ieraksts	entry
intrede	ieraksts	entry
introduceerde	ieviesa	introduced
introductie	ievads	introduction
intussen	tikmēr	in the meantime
inval	reids	invasion
invallen	reidi	invasions
invasie	iebrukums	invasion
investeringen	investīcijas	investments
invloed	ietekmēt	influence
invloeden	ietekmes	influences
invloedrijke	ietekmīgs	influential
invloedssfeer	ietekmes sfēra	sphere of influence
invoer	imports	input
invoering	ievads	introduction
invulling	pabeigšana	interpretation
inwendige	interjers	internal
inwoner	iedzīvotājs	resident
inwoneraantal	populācija	number of inhabitants
inwoners	iedzīvotāji	inhabitants
inwonertal	populācija	inhabitants
inzake	ieslēgts	concerning
inzet	pūles	usage
inzetten	bet	involve
inzicht	ieskats	insight
inzichten	atziņas	insights
inzittenden	iemītnieki	passengers
ioc	joc	international olympic committee
iq	i.q.	iq
iraanse	iranietis	iranian
irak	irāka	iraq
iran	irāna	iran
irene	irene	irene
is	ir	is
isaac	isaac	isaac
isabella	isabella	isabella
isbn	isbn	isbn
isla	isla	isla
islam	islāms	islam
islamitisch	islāma	islamic
islamitische	islāma	islamic
island	sala	eiland
islands	salas	islands
ismay	nav	ismay
iso	iso	iso
israël	izraēla	israel
israëlische	izraēlas	israeli
istanboel	istanbul	instanbul
istanbul	stambula	istanbul
it	tā	it
italiaans	itāļu valoda	italian
italiaanse	itālietis	italian
italianen	itāļi	italians
italië	itālijā	italia
its	tā	it's
it||||||||||	tas |||||||||||	it
ivan	ivan	ivan
j	j	j
ja	jā	yes
jaap	jaap	jaap
jaar	gados	years
jaarlijks	gadā	yearly
jaarlijkse	gada	yearly
jaartal	gadā	date
jaartelling	laikmets	yearcount
jacht	medības	hunt
jack	domkrats	jack
jackie	džeks	jackie
jackson	džeksons	jackson
jacksons	jacksons	jacksons
jacob	jakobs	jacob
jacqueline	žakarīna	jacqueline
jacques	žaks	jacques
jagen	medīt	hunt
jagger	džegers	jagger
jakarta	džakarta	jakarta
jakob	jēkabs	jakob
jam	ievārījums	jam
jamaica	jamaika	jamaica
jamal	jamal	jamal
james	džeimss	james
jan	jan	jan
jane	džeina	jane
janet	janet	janet
jansen	jansen	jansen
janssen	janssen	janssen
jansz	jans	jansz
jantje	jantje	jantje
januari	janvārī	january
japan	japāna	japan
japanners	japāņu	japanese
japanse	japāņu	japanese
jaren	gados	years. (if it says 'jaren 80' it should be translated 'the eighties' in english.
jarenlang	gadiem	for years
jarenlange	gadiem	years of
jarig	dzimšanas diena	birthday
jarige	dzimšanas diena	years old
jason	jasons	jason
jasper	džaspers	jasper
java	java	java
jay	džeks	jay
jayz	jayz	jayz
jazz	džezs	jazz
jazzy	džezains	jazzy
je	tu	you
jean	jean	jean
jeanbaptiste	žans baptists	jean baptiste
jeanne	žanna	jeanne
jeff	džefs	jeff
jefferson	džefersons	jefferson
jeffrey	džefrijs	jeffrey
jegens	virzienā	to
jehovas	jehovas	jehovas
jennifer	dženifera	jennifer
jenny	dženija	jenny/proper noun/ first name
jeremy	džeremijs	jeremy
jerry	džerijs	jerry
jersey	džērsija	jersey
jeruzalem	jeruzaleme	jerusalem
jesse	jesse	jesse
jessica	džesika	jessica
jeugd	jaunatne	youth
jeugdopleiding	jaunatnes akadēmija	youth training
jezus	jēzus	jezus
jicht	podagra	gout
jij	tu	you
jim	džims	jim
jimi	jimi	jimi
jimmy	džimijs	jimmy
jo	jo	jo
joan	joan	joan
job	ījabs	job
joden	ebreji	jews
jodendom	jūdaisms	jewishness
joe	džo	joe
joegoslavië	dienvidslāvija	yugoslavia
johan	johans	johan
johann	johann	johann
johanna	johanna	johanna
