$	dollar təşkil edib	dollars
ирландия	i̇rlandiya	ireland
ирландски	i̇rland	irish
исак	isaq	isaac
иска	istəmək	wants
искал	istədi	wanted
искане	istək	requested
искането	tələb	request
искания	istək	demans
искат	istəmək	want
искра	qığılcım	iskra
искър	qığılcım	iscar
исландия	i̇slandiya	iceland
ислям	i̇slam	islam
исляма	i̇slam	islam
ислямска	i̇slami	islamic
ислямската	i̇slami	islamic
ислямски	i̇slami	islamic
ислямското	i̇slami	islamic
ислямът	i̇slam	islam
испания	ispan	spain
испанската	i̇span	spanish
испански	i̇span	spanish
испанските	ispan dili	spanish
испанския	i̇span	spanish
испанският	ispan dili	spanish
испанското	i̇span	spanish
испанците	ispanlar	spaniards
испаньола	i̇span	hispaniola
истанбул	i̇stanbul	istanbul
истина	həqiqət	trully
истината	həqiqət	truth
истини	həqiqətlər	real
истинска	real	real
истинската	əsl	the real
истински	real	real
истинското	əsl şey	real
истории	tarixi	stories
историите	hekayələr	destroyed
историк	tarixçi	historian
историография	tarixşünaslıq	historiography
историографията	tarixşünaslıq	historiography
историци	tarixçilər	historians
историците	tarixçilər	historians
историческа	tarixi	historical
историческата	tarixi	the historical
исторически	tarixi	historical
историческите	tarixi	historical
историческия	tarixi	historical
историческият	tarixi	historical
историческо	tarixən	historical
историческото	tarixi	historical
история	tarixi	history
историята	hekayə	history
исус	i̇sa	jesus
италианска	i̇talyan	italian
италианската	italyan	italian
италиански	i̇talyan	italian
италианските	italyan	italian
италианския	italyan	italian
италианският	italyan	italian
италианското	italyan	italian
италия	i̇taliya	italy
иън	ian	ian
й	j	hers
йемен	yəmən	yemen
йероглифи	iyerogliflər	hieroglyphics
йерусалим	qüds	jerusalem
йоан	john	john
йовков	yovkov	yovkov
йозеф	yusif	joseph
йони	ionları	ions
йордан	i̇ordaniya	jordan
йордания	i̇ordaniya	jordan
йорданка	i̇ordaniya	yordanka
йорданов	yordandan	yordanov
йорк	york	york
йосиф	yusif	joseph
йохан	johan	johan
кабала	əsarət	cabala
кабинет	ofis	cabinet
кабинета	kabinet	the cabinet
кавала	kavala	kavala
кавказ	qafqaz	caucasus
каже	deyin	say
казал	dedi	said
казанлък	qazan	kazanlak
казано	dedi	said
казахстан	qazaxıstan	kazakhstan
казва	o deyir	said
казват	deyin	said
кайро	qahirə	cairo
как	necə	how
кака	kaka	kaka
каква	nə	what
каквато	nəysə	as
какви	nə	what
каквито	nəysə	as
какво	nə	what
каквото	nəysə	what
както	kimi	as well as
какъв	nə	what
какъвто	nəysə	how
калай	qalay	tin
калашников	kalaşnikovlar	kalashnikov
калвин	calvin	calvin
календар	təqvim	calendar
калиакра	kaliakra	kaliakra
калигула	kaligula	caligula
калина	viburnum	pomegranate
калифорния	kaliforniya	california
калория	kalori	calorie
калоян	kaloyan	kaloyan
кама	kama	kama
камара	kamera	chamber
камарата	palata	chamber
камари	otaqlar	chambers
камбоджа	kamboca	cambodia
камдън	camden	camden
камелия	kamelya	kamelia
камен	daş	stone
каменна	daş	stone
каменни	daş	stone
камера	kamera	chamber
камери	kameralar	cameras
камерите	kameralar	cameras
камиони	yük maşınları	trucks
кампании	kampaniyaları	campaigns
кампания	kampaniya	campaign
кампанията	kampaniyası	the campaign
камчия	qamçı	kamchia
камък	daş	stone
камъни	daşlar	gems
кан	bacarmaq	khan
кана	kana	cana
канада	kanada	canada
канал	kanal	canal
канали	kanallar	channels
канарските	kanar adaları	canary
кандидат	namizəd	candidate
кандидати	namizədlər	candidates
кандидатите	namizədlər	candidates
кани	dəvət edir	invites
канопус	çanaq	kanopus
кант	ed	kant
капацитет	tutumu	capacity
капиляри	kapilyarlar	capillaries
капитал	kapital	capital
капитали	kapital	capital
капитализма	kapitalizm	capitalism
капитан	kapitan	captain
капитулацията	kapitulyasiya	surrender
кара	sürücülük	make
карабинер	carabiner	carabinier
каравелов	karvanlar	karavelov
каракачаните	qaraqaçlar	karakachans
каракачански	karakaçan	karakachan
карамфил	mixəklər	cloves
карат	karat	carat
карате	karate	karate
карибско	karib	caribbean
кариера	karyera	career
кариерата	karyera	career
карл	carl	karl
карло	karlo	carlo
карлово	karlovo	karlovo
карлос	carlos	carlos
карме	karma	carme
карпатите	karpatlılar	the carpathian mountains
карстови	karst	kasrst
карта	xəritə	map
картаген	karfagen	carthage
картата	xəritə	the map
карти	kartlar	maps
картина	şəkil	picture
картината	şəkil	picture
картини	rəsmlər	pictures
картините	rəsmlər	pictures
картинки	şəkillər	pictures
картофи	kartof	potatoes
касандра	kassandra	kasandra
каспийско	xəzər	caspian
кастро	kastro	castro
каталог	kataloqu	catalog
катар	kataral	qatar
катастрофа	fəlakət	crash
категории	kateqoriyalar	categories
категорично	qəti şəkildə	categorically
категория	kateqoriya	category
категорияамерикански	kateqoriyaamerika	category:american
категориябългарска	kateqoriyabulqarian	category bulgarian
категориябългарски	kateqoriyabulqarian	category:bulgarian
категориягеография	kateqoriyageoqrafiya	category geography
категорияистория	kateqoriyalı tarix	category: history (two words)
категорияличности	kateqoriyalı	category: persons (two words)
категорияносители	kateqoriya daşıyıcıları	category: winners
категорияобекти	kateqoriya layihələri	a category of objects
категориясекс	kateqoriyasex	category sex
категорията	kateqoriya	category
категорияхристиянски	kateqoriyacristian	category: christian (two words)
