$	dollar təşkil edib	(dollar sign)
essais	sınaq	trials
essaye	cəhd edin	try
essayer	sınamaq	try
essayé	çalışdı	tried
essentiel	vacibdir	essential
essentielle	vacibdir	critical
essentiellement	əsasən	essentially
essentielles	vacibdir	essential
essentiels	əsaslar	essential
essor	bumu	development
est	edir	is
esthétique	estetik	aesthetic
esthétiques	estetik	aesthetic
estil	estil	is he
estimant	nəzərə alaraq	considering
estimations	qiymətləndirir	estimates
estime	hörmət	estimated (for motown) believe(for fisher and jean nouvel)
estiment	inanmaq	estimate
estimé	hörmətli	estimated
estimée	təxmini	valued
et	və	and
etc	və s	etc
ethnies	etniklər	races
ethnique	etnik	ethnic
ethniques	etnik	ethnic
etou	və	and / or
eu	idi	had
eugène	evgenik	eugene
eurent	idi	had
euro	avro	euro
europe	avropa	europe
européen	avropa	european
européenne	avropa	european
européennes	avropa	european
européens	avropa	european
eut	idi	was
eux	onları	them
euxmêmes	özləri	themselves
evan	evan	even
evans	evans	evans
ex	ex	ex
exact	dəqiq	exact
exacte	dəqiq	exact
exactement	tam olaraq	exactly
examen	imtahan	review
examens	imtahanlar	examinations
excellence	mükəmməllik	excellence
excellent	əla	excellent
exception	istisna	exception
exceptionnel	müstəsna	exceptional
exceptionnelle	müstəsna	outstanding
exceptions	istisnalar	exceptions
excepté	istisna olmaqla	excepted
exclusif	eksklüziv	exclusive
exclusive	eksklüziv	exclusive
exclusivement	müstəsna olaraq	exclusively
excès	artıqlaması	excess
exemplaire	surəti	exemplary
exemplaires	nüsxə	copies
exemple	nümunə	for instance
exemples	misallar	examples
exerce	məşqlər	practices
exercer	məşq	execute
exercice	məşq	exercise
exercé	həyata keçirilmişdir	exercised
exhaustive	tükənən	comprehensive
exige	tələb edir	requires
exigences	tələblər	demans
exil	sürgün	exile
existait	mövcuddur	existed
existant	mövcuddur	exisiting
existantes	mövcuddur	existing
existants	mövcuddur	existing
existe	mövcuddur	exist
existence	varlıq	existence
existent	mövcuddur	exist
exister	mövcud olmaq	exist
existé	mövcuddur	existed
expansion	genişlənməsi	growth
expert	mütəxəssis	expert
experts	mütəxəssislər	experts
explication	izahat	explanation
explications	izahatlar	explanations
explicitement	açıq şəkildə	explicitly
expliquant	izah edir	explaining
explique	izah edir	explain
expliquent	izah edin	explain
expliquer	izah edin	explain
expliqué	izah etdi	explained
exploitation	istismar	operation
exploite	istismar	use
exploité	istismar olunur	operated
exploités	istismar olunur	used
explorer	araşdırmaq	explore
explosion	partlayış	explosion
exportations	ixrac edir	exports
expose	eksponatlar	exposes
exposition	sərgi	exposition
expositions	sərgilər	expo
exposé	məruz qaldı	displayed
exposée	məruz qaldı	exposed
exposées	məruz qaldı	exposed
exposés	məruz qaldı	exposed
express	ifadə edin	express
expression	ifadəsi	expression
expressions	ifadələr	expressions
exprime	ifadə edir	expresses
exprimer	ifadə edin	express
exprimé	dilə gətirdi	declared
exprimée	dilə gətirdi	expressed
expédition	ekspedisiya	expedition
expéditions	ekspedisiyalar	expeditions
expérience	təcrübə	experiment
expériences	təcrübələr	experiments
expérimentale	eksperimental	experimental
extension	uzadılması	extension
externe	xarici	external
externes	xarici	outside (better in both cases in that context that external)
extrait	çıxarış	from
extraits	çıxarışlar	sample
extraordinaire	fövqəladə	extraordinary
extraordinaires	fövqəladə	extraordinary
extreme	həddindən artıq	extreme
extrémités	bitir	ends
extrême	həddindən artıq	extreme
extrêmement	son dərəcə	extremely
extrêmes	həddindən artıq	extremes
extérieur	kənarda	outside
extérieure	açıq havada	external
extérieures	xarici	outside /  foreign office(for talleyrand)
extérieurs	xarici görünüşlər	outside
exécuter	icra etmək	to execute
exécutif	icraçı	executive
exécution	edam	execution
exécutions	edamlar	executions
exécuté	edam edildi	execute
exécutés	edam edildi	executed
f	f	f
fa	fa	fa
fables	nağıllar	tales
fabricants	istehsalçıları	makers
fabrication	istehsal	making
fabrique	istehsal edir	build
fabriquer	etmək	produce
fabriqué	etdi	manufactured
face	üz	confront
facebook	facebook	facebook
faces	üzlər	tail
facile	asan	easy
facilement	asanlıqla	easily
faciliter	asanlaşdırmaq	ease
facilité	rahatlıq	eased
facteur	amil	point
facteurs	amillər	factors
facto	fakto	facto
faculté	fakültə	2 different for 2 phrases 1= ability 2nd sentence university
facultés	fakültələr	abilities
faible	zəifdir	small
faibles	zəifdir	weak
faiblesse	zəiflik	weakness
faiblesses	zəif cəhətləri	weaknesses
faille	qüsur	fault
failles	nöqsanlar	faults
faillite	iflas	bankrupt
faim	ac	starvation
faire	etmək	do
faisaient	edirdilər	did
faisait	edirdi	made
faisant	edir	doing
fait	etdi	do
faite	etdi	put
faites	etmək	do
faits	faktlar	facts
falciparum	falciparum	falciparum
fallait	etməli idi	had to
fame	şöhrət	fame
fameuse	məşhurdur	famous
fameux	məşhurdur	famous
familial	ailə	family
familiale	ailə	family
familiales	ailə	family
famille	ailə	family
familles	ailələr	families
family	ailə	fimily
famine	aclıq	famine
fan	fanat	fan
fans	azarkeşlər	fans
fantastique	fantastik	fantastic
fantastiques	fantastik	fantastic
fantasy	fantaziya	fantasy
fantôme	xəyal	ghost
fantômes	xəyallar	ghosts
fascination	füsunkarlıq	fascination
faso	faso	burkina faso, the name
fasse	etmək	make
fatigue	yorğunluq	tiredness
faudra	etməli olacaq	would be needed
faune	vəhşi təbiət	fauna
fausse	yalan	wrong
fausses	yalan	false
faut	olmalıdır	must be
faute	nöqsan	fault
faux	yalan	scythe
faveur	xeyir	favor
favorable	əlverişlidir	favourable
favorables	əlverişlidir	favourable
favori	sevimli	favorite
favorisant	üstünlük verən	favoring
favorise	nemətlər	favors
favoriser	xeyir	favor
favorisé	üstünlük verdi	promoted
favorite	sevimli	favored
fayard	fayard	fayard
façade	fasad	front
façades	fasadlar	facades
façon	yol	ways
façons	yolları	ways
fbi	fbi	fbi
fc	fc	canadian forces
feat	feat	avec
federation	federasiya	federation
federer	federer	federate
fellation	düşük	blow job
femelle	qadın	female
femelles	qadınlar	females
femme	qadın	woman
femmes	qadınlar	woman
fenêtre	pəncərə	window
fenêtres	pəncərələr	windows
fer	dəmir	"fer = iron, but ""chemin de fer"" = railroad"
fera	edəcək	will
ferait	edərdi	would make
ferdinand	ferdinand	ferdinand
ferme	möhkəm	firm
fermentation	mayalanma	fermentation
fermeture	bağlayan	closure
fermé	bağlıdır	closed
fermée	bağlıdır	closed
fernand	fernand	fernand
fernando	fernando	fernando
feront	edəcək	will
ferroviaire	dəmir yolu	railway (when used as an adjective)
ferroviaires	dəmir yolu	train
ferrées	dəmir yolları	rail
festival	festival	festival
festivals	şənliklər	festivals
feu	atəş	fire
feud	ədavət	feud
feuille	yarpaq	leaf
feuilles	yarpaqlar	leaves
feuilleton	sabun operası	series
feux	svetoforlar	fires
fiabilité	etibarlılıq	reliability
fiable	etibarlıdır	reliable
fibre	lif	fiber
fibres	liflər	roughage
fiche	qeyd	plug
fichier	sənəd	file
fichiers	sənədlər	files
fictif	uydurma	fictitious
fiction	fantastika	fiction
fidel	sadiq	(man's name - fidel castro)
fidèle	sadiq	faithful
fidèles	sadiq	believers
fidélité	sədaqət	fidelity
field	sahə	field
fifa	əla	fifa
figaro	figaro	figaro
fight	mübarizə	fight
figurant	görünən	in (for wilkepedia) on(for os map) amongst(for the chefs d'oeuvre)
figure	fiqur	lays
figurent	görünür	are amongst
figures	rəqəmlər	figures
fil	tel	over
file	sənəd	can only translate full context chef de file = leader
filet	xalis	net
filiale	filial	subsidiary
filiation	valideynlik	filiation
fille	qız	daughter
filles	qızlar	daughters
film	film	film
filmographie	filmoqrafiya	filmographie
films	filmlər	movies
filmé	filmə çəkilib	filmed
fils	oğul	son
fin	son	end
final	final	final
finale	final	final
finalement	nəhayət	finally
finales	final	finals
finaliste	finalçı	finalist
finance	maliyyə	finance
financement	maliyyələşdirmə	funding
financer	maliyyə	finance
finances	maliyyə	finances
financier	maliyyə	financial
financiers	maliyyə	financial
financière	maliyyə	financial
financièrement	maddi cəhətdən	financially
financières	maliyyə	financial
fincher	xırdaçı	fincher
fine	gözəl	fine
fines	gözəl	well written
fini	bitirdi	ended
finir	bitirmək	ends
finira	bitəcək	eventually
finissent	bitmək	finish
finit	bitir	ends
finlande	finlandiya	finland
fins	bitir	ends
firent	etdi	closed (firent fermer)
firme	möhkəm	firm
first	əvvəlcə	first
fiscale	maliyyə	tax
fiscales	maliyyə	tax
fiscalité	vergi	tax system
fit	uyğun	made
five	beş	five
fixation	fiksasiya	fixation
fixe	sabit	fix
fixer	düzəltmək	fix
fixes	sabit	fixed
fixé	sabit	fixed
fixée	sabit	fixed
fixés	sabit	fixed
fièvre	qızdırma	fever
flagellés	vurulub	flagellum
flair	flair	(name)
flamande	flamand	flamand
flamands	flamand	flemish
flammarion	alov	flammarion
flammes	alov	flames
flandre	flandriya	flanders
flandres	flandriya	flanders
flash	flaş	flash
flaubert	flaubert	flaubert
fleming	uçan	fleming
fleur	çiçək	blossom
fleurs	çiçəklər	flowers
fleuve	çay	river
fleuves	çaylar	river (but major ones)
fln	fln	front of national liberation
flore	flora	flora
florence	çiçək	florence (can be a person's name or the italian city)
floride	florida	florida
flotte	donanma	fleet
floyd	floyd	floyd
fluide	maye	fluid
flux	axın	stream
flèche	ox	arrow
fm	fm	fm
fmi	fmi	imf
foi	iman	faith
foie	qaraciyər	liver
fois	dəfə	time
foisci	dəfə	this time
folie	dəlilik	madness
folio	folio	folio (in french this is a luxury publisher name)
folk	xalq	folk
folklore	folklor	folkore
fonction	funksiyası	function
fonctionnaires	vəzifəli şəxslər	public servants
fonctionnalités	xüsusiyyətləri	features
fonctionnant	işləyir	operate
fonctionne	işləyir	works
fonctionnelle	funksional	functional
fonctionnement	fəaliyyət göstərir	operation
fonctionner	işləmək	work
fonctions	funksiyaları	functions
fond	fon	content
fondamental	fundamental	crucial
fondamentale	fundamental	core
fondamentales	fundamental	fundamental
fondamentaux	əsasları	fondamental
fondateur	qurucusu	fonder
fondateurs	təsisçiləri	founders
fondation	təməli	foundation
fondations	təməllər	foundations
fonde	tapdı	funds
fondement	təməli	foundation
fondements	təməllər	foundations
fondent	əridir	founded
fonder	tapdı	found
fonds	vəsait	funds
fondé	quruldu	founded
fondée	quruldu	founded
fondées	quruldu	founded
fondés	quruldu	funded
font	etmək	make
fontaine	bulaq	fountain
fonte	çuqun	melting
fontsizes	fontsize edir	fontsizes
footballeur	futbolçu	football player
for	üçün	for
force	gücü	forced
forcé	məcbur	forced
forcée	məcbur	forced
forcément	mütləq	necessarily
ford	ford	ford (name)
forest	meşə	forest
forever	əbədi	forever
forfait	paket	package
formant	formalaşdırmaq	forming
format	format	format
formation	təlim	training
formations	təlim	training
formats	formatları	formats
forme	forma	shape
formellement	formal olaraq	formely
forment	forma	form
former	qatar	create
formes	şekiller	shapes
formule	düsturu	formula
formules	düsturlar	formulas
formé	öyrədilmiş	formed
formée	formalaşmışdır	formed
formées	öyrədilmiş	established
formés	öyrədilmiş	educated
fort	güclü	strong
forte	güclü	strong
fortement	güclü	strongly
forteresse	qala	fortress
fortes	güclü	strong
fortifications	istehkamlar	fortifications
forts	güclü	strong
fortune	bəxt	fortune
forum	forum	forum
forêt	meşə	forest
forêts	meşələr	forests
fosse	çuxur	pit
fossiles	qalıqları	fossiles
fou	dəli	crazy
fouilles	qazıntılar	searches
fouine	çəngəl	fouine
foule	izdiham	crowd
foules	dəstə-dəstə	crowds
foulée	addım	wake
foundation	təməli	foundation
four	soba	oven
fourni	təmin olunur	provided
fournie	təmin olunur	lengthened
fournir	təmin etmək	provide
fournissent	təmin etmək	provide
fournisseur	təchizatçı	supplier
fournisseurs	təchizatçılar	suppliers
fournit	təmin edir	provides
fourrure	xəz	fur
fox	tülkü	fox
foyer	foye	a home
foyers	evlər	households
fr	fr	en
frac	fraq	frac
fraction	fraksiya	fraction
fragile	kövrək	fragile
fragments	fraqmentləri	bit
frais	təzə	fres
franc	səmimi	franc
france	fransa	france
francesco	fransko	francesco
francis	frank	francis
francisation	frankizasiya	francization
francisco	fransisko	francisco
franck	frank	franck
francmaçonnerie	masonluq	freemasonry
franco	sərbəst	franco
francophone	fransız dilli	french-speaking
francophones	fransız dilində danışanlar	french-speaking
francophonie	fransız dilli	french-speaking (but usually not translated)
francs	frank	franc
frank	səmimi	frank
franklin	franklin	franklin
franz	franz	franz
français	fransız	french
française	fransız	french
françaises	fransız	french
françois	fransız	françois
françoise	françayz	francoise
frappe	tətil	strike
frapper	vurdu	beat
frappé	vurdu	strike
fred	qızardın	fred
freddie	freddie	freddie
free	sərbəst	free
freedom	azadlıq	freedom
frein	əyləc	brake
french	fransız	french
fresques	freskalar	frescoes
freud	freud	freud
friedrich	fridrix	friedrich
friends	dostlar	friends
fritz	fritz	fritz
froid	soyuq	cold
froide	soyuq	cold
froides	soyuq	cold
froids	soyuq	cold
from	dən	from
fromage	pendir	cheese
front	aln	front
frontière	sərhəddi	border
frontières	sərhədləri	borders
fruit	meyvə	fruit
fruits	meyvə	benefits
fry	qızartmaq	fry
frère	qardaşı	brother
frères	qardaşları	brothers
frédéric	frederik	frédéric
fréquemment	tez-tez	frequently
fréquence	tezliyi	freqeuncy
fréquent	tez-tez	frequently
fréquentation	davamiyyət	frequectation
fréquente	tez-tez	see frequently
fréquentes	tez-tez	frequent
fréquents	tez-tez	fairly commun
ftp	ftp	ftp
fuir	qaçmaq	escape
fuite	uçuş	leak
funk	funk	funk
funès	cənazə	funes
funérailles	cənazə	funeral
fur	hirsli	as
furent	idi	were
fusion	qaynaşma	fusion
fut	idi	was
futur	gələcək	future
futurama	futurama	fururama
future	gələcək	future
futures	gələcək	future
futurs	gələcək	future
fès	fez	fez
fécondité	bərəkət	fertility
fédéral	federal	federal
fédérale	federal	federal
fédérales	federal	federal
fédération	federasiya	federation
fédérations	federasiyalar	federations
félix	feliks	félix
féminin	qadın	feminine
féminine	qadın	feminine
féminines	qadın	feminine
féminins	qadın	feminine
férié	tətil	holiday
fériés	tətil	holyday
féroé	faro	faroe
février	fevral	february
fête	tərəf	party
fêtes	qeyd etmələri	feasts
fût	idi	exist
führer	führer	fuhrer
fœtus	döl	fetus
g	g	g
gabriel	gabriel	gabriel
gabrielle	gabrielle	gabrielle
gaga	qaqa	senile
gagnant	qalib	winner
gagne	qalib	wins
gagnent	qazanmaq	win
gagner	qazanmaq	win
gagné	qazandı	won
gain	qazanc	gain
gainsbourg	qazancbourg	gainsbourg
gala	gala	gala
gale	qaşınma	gale (name)
galerie	qalereya	galery
galeries	qalereyalar	galleries
galilée	qaleya	galileo
gall	öd	gall
galles	uels	wales
gallimard	qallimard	gallimard
game	oyunu	game
gamme	menzil	range
gandhi	qandi	gandhi
gang	dəstə	gang
garantie	zəmanət	warranty
garantir	zəmanət	garantee
garantit	zəmanətlər	garanteed
garde	gözətçi	guard
garder	saxlamaq	keep
gardes	mühafizəçilər	guards
gardien	qəyyum	guardian
gardiens	qəyyumlar	guardians
gardé	mühafizə olunur	kept
gare	stansiyası	station
gares	stansiyaları	stations
garonne	oğlan	garonne
gary	gary	glass city
garçon	oğlan	boy
garçons	oğlanlar	boy
gaston	gaston	gaston
gastronomie	qastronomiya	gastronomy
gates	qapıları	gates
gauche	qalıb	left
gaule	fidan	gaul
gaules	fidan	gauls
gaulle	saqqız	gaulle
gaulois	qalli	gallic
gautier	gautier	gautier
gay	gey	gay
gaz	qaz	gas
gaza	qazi	gaza
gazon	ot	turf
gendarmerie	jandarma	police station
general	ümumi	general
genre	mehriban	kind
genres	janrlar	genres
gens	insanlar	people
genèse	genezisi	genesis
genève	cenevrə	geneva
george	dərə	george
georges	georges	georges
germain	germain	germain
germanique	alman	german
germaniques	alman	germanic
germe	mikrob	germ (in the botanical sense)
germes	mikroblar	seeds
geste	jest	move
gestes	jestlər	gestures
gestion	idarəetmə	management
ghetto	getto	ghetto
