+	+ +	plus sign
พระพันปีหลวง	মিলেনিয়াম লুয়াং	queen mother
พระพันวัสสาอัยยิกาเจ้า	হাজার বুদ্ধ	pra paunvatsaeyyigajao - name of a monk
พระพุทธชินราช	ফেরা বুদ্ধ চিন্নারাত	phra buddha chinnarat
พระพุทธบาท	বুদ্ধের পদচিহ্ন	phra phutthabat
พระพุทธศาสนา	বৌদ্ধধর্ম	buddhism
พระมงกุฏเกล้าเจ้าอยู่หัว	রাজা রাম চতুর্থ	phra mongkut klao chao yu hua
พระมเหสี	সঙ্গী	the wife of a king
พระยศขณะนั้น	সেই মুহূর্তে	the current title
พระยาชัยสุนทร	ফ্রেয়া চই সুনথর্ন	praya chaisoontorn - first mayor of thailand
พระยาราม	ফ্রেয়া রাম	prayaram - the governor of sukothai city (the ancient city of thailand)
พระยาวิเศษภักดี	ফ্রেয়া উইসেটফাকদি	praya wiset pakdi -a  name of a head of state in the ancient time
พระยาสุนทรสงคราม	ফ্রেয়া সানথর্নসংক্রাম	phraya sonthornsongkram (thai name)
พระยาไกรภักดีศรีนครลำดวน	ফ্রেয়া ক্রাইফখদি শ্রীনখোন লামদুয়ান	phraya kraiphakdi sinakhon lamduan
พระราชกรณียกิจ	রাজকীয় দায়িত্ব	royal duties
พระราชลัญจกรประจำพระองค์	রয়েল সিল	the king's body guard
พระราชวงศ์	রাজকীয় পরিবার	royal family
พระราชวรวงศ์เธอ	রাজকীয় পরিবার	the title of the princess
พระราชวังดุสิต	দুসিত প্রাসাদ	dusit palace
พระราชวังเดิม	আসল প্রাসাদ	phra racha wang derm
พระลอ	phra lor	phra lo
พระสมเด็จจิตรลดา	ফেরা সোমদেজ চিত্রালদা	pra jitlada - something that was built by the king
พระสัมมาสัมพุทธเจ้า	ভগবান বুদ্ধ	buddha
พระองค์เจ้าสิริวัณณวรีนารีรัตน์	এইচআরএইচ রাজকুমারী সিরিওয়ান্নাওয়ারি ওয়ালরাত	the name of one of the king's granddaughter
พระอังสาเบื้องซ้ายประดับเหรียญรัตนาภรณ์	বাম দিকে শুভ বুদ্ধ তাবিজ, রত্নপর্ণ মুদ্রায় সজ্জিত	diagonal sash for the princess
พระอัษฎามหาเจดีย์	ফরা আসদা মহা চেদি	(royal name/language)
พระอิศวร	শিব	the god shiva
พระอิสริยยศ	রয়েল উপাধি	given rank or honor by the monarchy
พระอุโบสถ	বৌদ্ধ মন্দির	the temple
พระเกียรติยศ	সম্মান	royal honour
พระเจ้าลูกยาเธอ	godশ্বর সন্তান	the royal princess
พระเจ้าหลานเธอ	yourশ্বর তোমার ভাগ্নি	hmh princess
พระโคตมพุทธเจ้า	বুদ্ধ তাবিজ	pra kotomputtachao - another name of buddha
พรานกระต่าย	শিকারী	prankatai - an area in thai province
พราหมณ์	ব্রাহ্মণ	brahman
พริกหยวก	বেল মরিচ	a type of thai pepper
พริกหวาน	বেল মরিচ	sweet pepper
พริกไทย	মরিচ	thai pepper
พฤกษศาสตร์	উদ্ভিদ্তত্ব	botany
พลตรี	বিমান বাহিনী	major general
พลตรีหญิง	মহিলা বিমানবাহিনী	a female officer
พลตำรวจเอก	পুলিশ জেনারেল	police general
พลทหาร	সৈনিক	first class, enlisted men
พลศักดิ์	polsak	polsak
พลอย	রত্ন পাথর	ploy
พลอสนธิ	পলসন জংশন	sonthi - a famous thai army officer
พลอากาศเอกหญิง	মহিলা এসিএম	air chief marshal
พลฯ	সাধারণ	private
พลังงานคลื่น	তরঙ্গ শক্তি	wave power
พลังงานนิวเคลียร์	পারমাণবিক শক্তি	nuclear power
พลังงานลม	বায়ু শক্তি	wind power
พลังงานไฟฟ้า	বৈদ্যুতিক শক্তি	electrical energy
พลัส	যোগ	plus
พลาซา	চক	plaza
พลาสติก	প্লাস্টিক	plastic
พลาสมา	রক্তরস	plasma
พลเรือเอก	নৌসেনাপতি	admiral
พลเอกสนธิ	জেনারেল সোনথি	sonthi - a thai army officer
พวกสัตว์ลำตัวกลม	গোলাকার শরীরের প্রাণী	animals with no backbones
พศ	শুক্র	b.e.
พอ	যথেষ্ট	col.
พอตเตอร์	কুলাল	potter
พอตเตอร์กับเจ้าชายเลือดผสม	পটার এবং হাফ-ব্লাড প্রিন্স	(harry) potter and the half-blood prince
พอยท์	বিন্দু	point
พอล	পল	paul
พัชรี	phachari	pacharee - a female's name
พัฒน์ชัย	phatchai	pattachai - a male's name, famous singer
พัทยาเหนือ	উত্তর পাতায়া	north pattaya
พัทยาใต้	দক্ষিণ পাতায়া	south pattaya - in thailand
พัน	হাজার	pan
พันธมิตร	জোট	alliance
พันธุศาสตร์	প্রজননশাস্ত্র	genetic
พันธุ์พืช	বৃক্ষ প্রজাতি	seed
พันธุ์สุนัข	কুকুর শাবক	dogs
พันธเสน	বন্ধন	panthasen (thai last name)
