$	$ $	(dollar sign)
gaston	gaston	gaston
gastronomie	gastronomia	gastronomy
gates	puertas	gates
gauche	izquierda	left
gaule	retoño	gaul
gaules	retoño	gauls
gaulle	gaulle	gaulle
gaulois	galo	gallic
gautier	más gautier	gautier
gay	gay	gay
gaz	gas	gas
gaza	gaza	gaza
gazon	hierba	turf
gendarmerie	gendarmería	police station
general	general	general
genre	amable	kind
genres	géneros	genres
gens	la gente	people
genèse	génesis	genesis
genève	ginebra	geneva
george	george	george
georges	georges	georges
germain	germain	germain
germanique	germánico	german
germaniques	germánico	germanic
germe	germen	germ (in the botanical sense)
germes	gérmenes	seeds
geste	gesto	move
gestes	gestos	gestures
gestion	gestión	management
ghetto	gueto	ghetto
giec	giec	giec (intergourvenemental expert group on climate)
gigantesque	gigantesco	gigantic
gilbert	gilbert	gilbert
gilles	gilles	gilles
giorgio	giorgio	giorgio
giovanni	giovanni	giovanni
girl	chica	girl
gironde	gironda	easy on the eye
girondins	girondins	girondins
giscard	giscard	giscard
gisements	depósitos	deposits
glace	helado	ice
glaces	helado	ice
gland	bellota	glans
glissement	deslizamiento	shift
global	global	global
globale	en general	global
globalement	en general	globally
globe	globo terráqueo	globe,world
globes	globos	globes
globules	glóbulos	globule
gloire	gloria	fame
gmail	gmail	gmail
go	ir	go
gogh	gogh	gogh
gold	oro	gold
golden	dorado	golden
golf	el golf	golf
golfe	golfo	gulf
google	google	google
gordon	gordon	gordon
gorge	garganta	throat
gothique	gótico	gothic
gouvernance	gobernanza	governance
gouvernement	gobierno	government
gouvernementale	gobierno	governemental
gouvernementales	gobierno	governmental
gouvernements	gobiernos	goverments
gouverneur	gobernador	governor
gouverneurs	gobernadores	governors
goût	probar	taste
grace	gracia	grace
grade	grado	grade
gradient	gradiente	gradient
graham	graham	graham
grains	granos	grains
grammaire	gramática	grammar
grammy	grammy	grammy
grand	grande	large
grandcroix	grandcross	great-cross
grande	grande	great
grandebretagne	gran bretaña	great-britain
grandement	mucho	greatly
grandes	grande	large  (des plus grandes=some of the largest)
grandeur	grandeza	size
grandissante	creciendo	growing
grandit	crece	grew up
grandmère	abuela	grandmother
grandpère	abuelo	grand-father
grands	genial	"here ""les grands brules"" means those who were badly (seriously) burned"
grant	conceder	pension
graphique	gráfico	graph
graphiques	gráficos	graphical
gras	negrita	fleshy
grasset	sofocar	grasset
gratteciel	rasca cielo	skycrappers
gratuit	libre	free of charge
gratuite	envío	free
gratuitement	gratuitamente	freely
grave	serio	alarming
gravement	en serio	severely
graves	serio	serious
gravité	la gravedad	seriousness
gravure	grabado	engraving
gray	gris	gray
grc	grc	rcmp
great	genial	great
grec	griego	greek
grecque	griego	greek
grecques	griego	greek
grecs	griego	greeks
greg	greg	greg
gregory	gregory	gregory
grenoble	grenoble	grenoble
grenoblois	grenoble	from grenoble
grenobloise	grenoble	from grenoble
grippe	gripe	caseworkers
gris	gris	gray
gros	grueso	large
grosse	gordo	large
grosses	grande	large
grossesse	embarazo	pregnancy
grotte	cueva	cave
groupe	grupo	band
groupes	grupos	bands
grâce	gracias	thanks
grèce	grecia	greece
grève	huelga	strike
gré	dispuesto	will
guadeloupe	guadalupe	guadeloupe
guatemala	guatemala	guatemala
guerre	la guerra	war
guerrero	guerrero	guerrero
guerres	guerras	wars
guerriers	guerreros	warriors
guetta	guetta	guetta
guevara	guevara	guevara
guide	guía	guide
guides	guías	guides
guild	gremio	guild
guillaume	guillermo	guillaume
guinée	guinea	guinea
guise	como	by way of
guitare	guitarra	guitar
guitares	guitarras	guitars
guitariste	guitarrista	guitarist
gustave	gustave	gustave
guy	chico	guy
guyane	guyana	guyana
guère	apenas	scarcely
guérilla	guerrilla	guerrilla
guérison	curación	healing
gène	malestar	gene
gènes	genes	genes
gère	administrar	manages
géant	gigante	gigantic
géants	gigantes	giants
génie	genio	genius
génocide	genocidio	genocide
génome	genoma	genome
génère	genera	generate
généalogie	genealogia	genealogy
général	general	general
générale	general	general
généralement	en general	generaly
générales	general	general
généralisée	generalizado	generalized
génération	generación	generation
générations	generaciones	generations
généraux	general	general
générer	generar	generate
générique	genérico	generic
génériques	genéricos	generic
génétique	genética	genetic
génétiquement	genéticamente	genetically
génétiques	genética	genetic
géographie	geografía	geography
géographique	geográfico	geographic
géographiques	geográfico	geographic
géologie	geologia	geology
géologique	geológico	geologic
géométrie	geometria	geometry
géométrique	geométrico	geometry
géopolitique	geopolítica	geopolitics
géorgie	georgia	georgia
géorgiens	georgianos	georgiens
gérard	gerard	(man's name)
gérer	administrar	manage
géré	gestionado	managed
gênes	génova	genoa
h	h	h
habitant	habitante	resident
habitants	habitantes	inhabitants
habitations	casas	housing
habitude	habito	habit
habitudes	hábitos	habits
habituellement	habitualmente	usually
habsbourg	habsburg	habsbourg
hachette	hacha	(the name of a famous publishing company)
hadiths	hadices	(muslim term)
haine	odio	hatred
hall	pasillo	hall
halle	pasillo	halle
halliwell	halliwell	halliwell
halloween	halloween	halloween
hallyday	hallyday	hallyday
hamas	hamás	hamas
hambourg	hamburgo	hamburg
han	han	han
handball	balonmano	handball
handicap	discapacidad	handicap
hannah	hannah	hannah
hans	hans	hans
hard	duro	hard
hardcore	hardcore	hardcore
hardy	resistente	hardy
harris	harris	harris
harrison	harrison	(surname)
harry	harry	harry
hart	hart	hart
harvard	harvard	harvard
hasard	casualidad	chance
hassan	hassan	hassan
hausse	elevarse	increase
haut	alto	high
haute	alto	high
hautement	altamente	highly
hautes	alto	high
hauteur	altura	height
hauts	tapas	high
havre	refugio	haven
haydn	haydn	haydn
haïti	haití	haiti
heart	corazon	coeur
hearts	corazones	hearts
heavy	pesado	heavy
hebdomadaire	semanalmente	weekly
hell	el infierno	hell
hellénistique	helenístico	hellenistic
hendrix	hendrix	hendrix
henri	henri	henri
henry	henry	henry
hercule	hércules	heracles
here	aqui	here
hermann	hermann	hermann
hermione	hermione	hermione (fictional character's name)
hero	héroe	hero
hervé	hervé	hervé
hetfield	hetfield	hetfield
heure	hora	time
heures	horas	hours
heureux	feliz	happy
heurte	golpear	bump into
hill	colina	hill
hindoue	hindú	hindu
hindous	hindú	hindu
hiphop	hiphop	hip hop
hippie	hippie	hippie
hippies	hippies	hippies
his	su	sa, ses, sa
histoire	historia	history
histoires	cuentos	story
historien	historiador	historian
historiens	historiadores	historians
historique	histórico	historical
historiquement	históricamente	historically
historiques	histórico	historic
history	historia	history
hitchcock	autoestop	hitchcock
hitler	hitler	hitler
hits	golpes	tubes
hiver	invierno	winter
hivers	inviernos	winters
hiérarchie	jerarquía	hierarchy
hn	hn	hn
hockey	hockey	hockey
hogan	hogan	hogan
hollandais	holandés	dutch
hollande	holanda	holland
hollywood	hollywood	hollywood
holmes	holmes	holmes
holothurie	pepino de mar	sea cucumber
home	casa	home
hommage	homenaje	tribute
hommages	homenajes	respects
homme	hombre	human
hommes	hombres	men
homogène	homogéneo	homogeneous
homosexuels	homosexuales	homosexuals
homère	jonrón	homer
hong	hong	hong
hongrie	hungría	hungary
hongrois	húngaro	hungarian
hongroise	húngaro	hungarian
honneur	honor	honor
honneurs	honores	honnors
honoré	honrado	honors
hormis	excepto	exept
hors	excepto	out of
hostile	hostil	sostile
hostiles	hostil	hostile
hot	caliente	hot
hotel	hotel	hotel
house	casa	house
how	como	how
howard	howard	(surname)
http	http	http
hubert	hubert	hubert
hudson	hudson	hudson
hugh	hugh	hugh
hugo	hugo	hugo
huile	aceite	oil
huit	ocho	eight
huitième	octavo	eight
humain	humano	human
humaine	humano	human
humaines	humano	human
humains	humanos	humans
human	humano	human
humaniste	humanista	humanistic
humanitaire	humanitario	humanitarian
humide	húmedo	humid
humides	mojado	wetland
humoristique	chistoso	humorous
humour	humor	humor
hurdler	aullar	hurdles
hydraulique	hidráulica	hydraulic
hymne	himno	hymn
hypothèse	hipótesis	hypothesis
hypothèses	supuestos	hypotheses
hébreu	hebreo	hebrew
hélène	helen	helene
héraclès	heracles	heracles
héritage	herencia	heritage
héritier	heredero	heir
héritiers	herederos	heirs
hérité	heredado	inherited
hérodote	herodoto	herodotus
héros	héroe	hero
hôpital	hospital	hospital
hôpitaux	hospitales	hospitals
hôte	anfitrión	host
hôtel	hotel	hotel
hôtels	hoteles	hotels
i	yo	i
ian	ian	ian
ibn	ibn	ibn
ibérique	ibérico	iberian
ici	aqui	here
identifié	identificado	identified
identifiés	identificado	identified
identique	idéntico	identical
identiques	idéntico	identical
identité	identidad	identity
idéal	ideal	ideal
idée	idea	idea
idées	ideas	ideas
idéologie	ideologia	ideology
idéologique	ideologico	ideology
ign	ign	ign
ignore	ignorar	ignore
igor	igor	igor
ii	ii	ii
iii	iii	iii
il	él	it
illustration	ilustracion	illustration
illustre	ilustra	famous
illustré	ilustrado	illustrated
illustrée	ilustrado	illustrated
ils	ellos	they
im	estoy	i'm
image	foto	image
images	imágenes	pictures
imaginaire	imaginario	imaginary
imagine	imaginar	imagined
immense	inmenso	huge
immeuble	edificio	building
immeubles	edificios	building
immigrants	inmigrantes	immigrants
immigration	inmigración	immigration
immigrés	inmigrantes	immigrants
immunitaire	inmune	immune
immédiat	inmediato	immediate
immédiate	inmediato	immediate
immédiatement	inmediatamente	immediately
impact	impacto	impact
impacts	impactos	impacts
impliquant	involucrando	involving
implique	implica	imply
impliqué	involucrado	involved
impliqués	involucrado	implies's
importance	importancia	importance
important	importante	important
importante	importante	important
importantes	importante	important
importants	importante	important
importations	importaciones	imports
importe	importa	imports
imposant	imponente	imposing
impose	imponer	impose
imposer	imponer	impose
impossible	imposible	impossible
imposé	impuesto	imposed
imposée	impuesto	imposed
impression	imprimir	impression
impressionné	impresionado	impressed
impérial	imperial	imperial
impériale	imperial	imperial
impôts	impuestos	taxes, duties
in	en	in
inachevé	inacabado	unfinished
inauguré	inaugurado	inaugurated
inaugurée	inaugurado	inaugurated
incapable	incapaz	unable
incarne	encarnar	incarnate
incarné	encarnado	embodied
incendie	fuego	fire
incident	incidente	incident
incidents	incidentes	incidents
incluant	incluyendo	including
incluent	incluir	include
inclus	incluido	included
inclut	incluye	include
inconnu	desconocido	unknown
inconnue	desconocida	unknown
inconscient	inconsciente	unconcious
inde	india	india
indes	india	india
indicateur	indicador	indicator
indicateurs	indicadores	indicators
indication	indicación	information
indications	indicaciones	informations
indice	pista	index
indices	pistas	indexes
indien	indio	indian
indienne	indio	indian
indiennes	indio	indians
indiens	indios	indians
indigènes	nativos	indigenous
indiquant	indicando	indicating
indique	indica	indicate
indiquent	indicar	indicate
indiqué	indicado	indicated
indirecte	indirecta	indirect
indirectement	indirectamente	indirectly
indispensable	indispensable	indispensible
individu	individual	individual
individuel	individual	individual
individuelle	individual	individual
individuelles	individual	individual
individuels	individual	individual
individus	individuos	individuals
indochine	indochina	indochina
indonésie	indonesia	indonesia
induit	inducido	induced
industrialisés	industrializado	industrialized
industrie	industria	industry
industriel	industrial	industrial
industrielle	industrial	industrial
industrielles	industrial	industrial
industriels	industrial	industrial
industries	industrias	industries
indépendamment	independientemente	independently
indépendance	independencia	independance
indépendant	independiente	independent
indépendante	independiente	independent
indépendantes	independiente	independent
indépendants	independiente	independent
infantile	infante	childish
infection	infección	infection
infections	infecciones	infections
inflation	inflación	inflation
influence	influencia	influence
influences	influencias	influences
influencé	influenciado	influenced
influencée	influenciado	influenced
influencés	influenciado	influenced
information	informacion	information
informations	informacion	informations
informatique	informática	informatics
informatiques	it	computer (servers)
infrastructures	infraestructura	infrastructures
inférieur	bajar	lower
inférieure	bajar	lower
inférieurs	bajar	lower
ingénieur	ingeniero	engineer
ingénieurs	ingenieros	engineer
initiale	inicial	intial
initialement	inicialmente	initially
initiales	iniciales	initials
initiative	iniciativa	initiative
initiatives	iniciativas	initiatives
initié	iniciar	initiated
injection	inyección	injection
innocent	inocente	innocent
innovations	innovaciones	innovations
inondations	inundaciones	floods
inscriptions	registros	inscriptions
inscrit	suscrito	registered
inscrite	registrado	written
inscrits	suscrito	registered
insectes	insectos	insects
insee	insee	insee
insiste	insistir	insists
inspiration	inspiración	inspiration
inspire	inspirar	based on
inspiré	inspirado	inspired
inspirée	inspirado	inspired
inspirées	inspirado	inspired
inspirés	inspirado	inspired
instable	inestable	instable
installation	instalación	installation
installations	instalaciones	facilities
installe	instala	installs
installé	instalado	installed
installée	instalado	installed
installées	instalado	settled
installés	instalado	settled
instance	instancia	instance
instances	instancias	instances
institut	instituto	institute
institute	instituto	institute
institution	institución	institution
institutions	instituciones	institution
instructions	instrucciones	directions
instrument	instrumento	instrument
instruments	instrumentos	instruments
intellectuel	intelectual	intellectual
intellectuelle	intelectual	intellectual
intellectuels	intelectuales	intellectuals
