$	dollarni tashkil etadi	dollars
المركب	qayiq	composite
المركبات	avtomobillar	cars
المركبة	avtomobil	for vehicles
المركز	markaz	center
المركزي	markaziy	the central
المركزية	markaziy	centralization
المرمى	maqsad	net
المرور	tirbandlik	traffic
المريخ	mars	the mars
المريض	bemor	patient
المزارعون	dehqonlar	the farmers
المزارعين	fermerlar	the farmers
المزروعة	kultivatsiya qilingan	planted
المزيد	ko&#39;proq	for more
المسألة	masala	the condition
المسؤول	ma&#39;mur	responsible
المسؤولة	mas&#39;uliyatli	responsible
المسؤولية	javobgarlik	responsibility
المسؤولين	mas&#39;uliyatli	responsible
المساء	oqshom	al-masa2 (name)
المسائل	masalalar	issues
المسابقات	musobaqalar	competitions
المسابقة	musobaqa	for a competition
المساجد	masjidlar	mosques
المساحة	bo&#39;shliq	the area
المساعدات	yordam	the aid
المساعدة	yordam	helping
المسافات	masofalar	distances
المسافة	masofa	distance
المساكن	uy-joy	houses
المساهمة	hissa	the contribution
المساواة	tenglik	equality
المسبار	prob	probe
المسببة	sabab bermoqda	resulting
المستخدم	foydalanuvchi	the user
المستخدمة	ishlatilgan	used
المستخدمين	foydalanuvchilar	users
المستدامة	barqaror	continuous
المستشار	maslahatchi	to counselor
المستشفى	kasalxona	to hospital
المستشفيات	kasalxonalar	the hospitals
المستعمرات	koloniyalar	colonies
المستعمرة	koloniya	inhabiting
المستعملة	ishlatilgan	used
المستقبل	kelajak	the future
المستقبلية	kelajak	the futuristic
المستقلة	mustaqil	the independent
المستمر	davomiy	continuous
المستمرة	doimiy	the ongoing
المستوطنات	aholi punktlari	the settlements
المستوى	darajasi	to a level
المستويات	darajalar	levels
المسجد	masjid	mosque
المسرح	teatr	the theater
المسرحي	teatr	theater
المسرحيات	o‘ynaydi	theaters
المسرحية	spektakl	the performing
المسلح	qurol egasi	the armed
المسلحة	qurolli	for armed
المسلسل	seriya	series
المسلسلات	seriyalar	series
المسلمة	postulat	the muslim
المسلمون	musulmonlar	muslims
المسلمين	musulmonlar	for muslims
المسمى	nomlangan	also known as
المسيحي	xristian	christian
المسيحية	xristianlik	the christian
المسيحيون	xristianlar	the christians
المسيحيين	xristianlar	the christians
المشاة	piyodalar	pedestrians
المشاركة	ishtirok eting	participation
المشاركين	ishtirokchilar	the participants
المشاريع	loyihalar	the projects
المشاعر	hissiyotlar	the emotions
المشاكل	muammolar	problems
المشاهد	tomoshabin	the scenes
المشترك	obunachi	the common
المشتركة	birgalikda	common
المشترى	xaridor	jupiter
المشتري	xaridor	jupiter
المشرفة	nazoratchi	supervisor
المشركين	mushriklar	polytheists
المشروبات	ichimliklar	drinks
المشروع	loyiha	project
المشروعات	loyihalar	projects
المشعة	radioaktiv	radiant
المشكلات	muammolar	the problems
المشكلة	muammo	promlem
المشهد	sahna	scene
المشهور	mashhur	famous
المشهورة	mashhur	famous
المشهورين	mashhur	famous
المشير	dala marshali	marshal
المصاب	jarohatlanganlar	indicted
المصابة	kasallangan	infected
المصابين	jarohatlanganlar	afficted
المصاحف	qur’on	newspapers
المصادر	manbalar	sources
المصارف	banklar	banks
المصالح	qiziqishlar	the concerns
المصانع	zavodlar	the factories
المصحف	qur’on	quran
المصدر	manba	source
المصري	misr	the egyptian
المصرية	misr	egyptian
المصريون	misrliklar	the egyptians
المصريين	misrliklar	egyptians
المصطلح	muddati	term
المصطلحات	terminologiya	the expressions
المضاد	qarshi hujum	counter
المضادة	qarama-qarshi choralar	counter
المضيف	mezbon	host
المضيفة	styuardessa	the host
المطار	aeroporti	airport
المطارات	aeroportlar	airports
المطاعم	restoranlar	restaurants
المطاف	tamom	destination for
المطبخ	oshxona	the kitchen
المطر	yomg&#39;ir	the rain
المطلب	talab	el-moteleb
المطلة	qovurg&#39;a	overlooking
المطلق	mutlaq	absolute
المطلقة	ajrashgan	for divorced
المطلوب	kerakli	required
المطلوبة	kerakli	needed
المطيرة	yomg&#39;ir o&#39;rmoni	for rain
المظاهرات	namoyishlar	demonstrations
المظلمة	qorong&#39;i	dark
المعابد	ma&#39;badlar	for temples
المعادن	minerallar	the metals
المعادية	dushman	hostile
المعارض	ko&#39;rgazmalar	the opposing
المعارضة	muxolifat	to oppose
المعارضين	muxoliflar	oppositionists
المعارف	bilim	encyclopedia
المعارك	janglar	the battles
المعاصر	zamonaviy	the current
المعاصرة	zamonaviy	the current
المعاصرين	zamondoshlar	current
المعالم	bosqichlar	landmarks
المعاني	ma&#39;nolari	meanings
المعاهد	institutlar	colleges
المعاهدات	shartnomalar	treaties
المعاهدة	shartnoma	pact
المعايير	standartlar	the standards
المعبد	ma&#39;bad	temple
المعتدل	mo&#39;&#39;tadil	the moderate
المعتزلة	mu&#39;tazila	solitary
المعتقدات	e&#39;tiqodlar	beliefs
المعتمد	tasdiqlangan	approved
المعتمدة	tasdiqlangan	approved
المعدات	apparat	equipment
المعدة	oshqozon	the stomach
المعدل	o&#39;rtacha	rate
المعدلة	o&#39;zgartirilgan	modified
المعدنية	mineral	mineral
المعدية	yuqumli	infectious
المعرض	shou	the exhibition
المعرفة	bilim	the knowledge
المعرفي	kognitiv	cognitive
المعرفية	kognitiv	epistemic
المعركة	jang	battle
المعروف	ma&#39;lum	know for
المعروفة	ma&#39;lum	well-known
المعري	maari	almaree
المعز	echki	to moez
المعسكر	lager	camp
المعقدة	kompleks	complicated
المعلم	muallim	the teacher
المعلمين	o&#39;qituvchilar	teachers
المعلومات	ma&#39;lumotlar	information
المعماري	me&#39;mor	architectural
المعمارية	arxitektura	architectural
المعنى	ma&#39;nosi	meaning
المعنية	xavotirga tushgan	specific
المعهد	institut	institute
المعي	ichak	intestine
المغاربة	marokashliklar	moroccans
المغرب	marokash, g&#39;arb, quyosh botishi	moroco
المغربي	marokash	the moroccan
المغربية	marokash	moroccan
المغلقة	qoplangan	closed
المغناطيس	magnit	the magnet
المغناطيسي	magnit	the magnetic
المغناطيسية	magnetizm	magnatic
المغول	mo&#39;g&#39;ullar	mongols
المغولي	mug‘al	moguli
المغولية	mo&#39;g&#39;ul	mongolian
المفاتيح	tugmalar	keys
المفاعلات	reaktorlar	reactors
المفاهيم	tushunchalar	the concepts
المفاوضات	muzokaralar	for negotiations
المفترض	taxmin qilingan	supposed
المفتوحة	ochiq	liberated
المفردات	lug&#39;at	the vocabulary
المفروضة	ta&#39;sir qilingan	placed
المفسرين	tarjimonlar	interpreters
المفضلة	sevimli	favorite
المفكرين	mutafakkirlar	thinkers
المفهوم	tushunarli	concept
المقابر	qabristonlar	graveyards
المقابل	qaytish	return
المقابلة	intervyu	meeting
المقارنة	taqqoslash	comparing
المقاطعات	viloyatlar	provinces
المقاطعة	boykot	province
المقاعد	o&#39;rindiqlar	the seats
المقال	maqola	essay
المقالات	maqolalar	articles
المقالة	maqola	essay
المقام	maqom	status
المقاومة	qarshilik	resistant
المقاييس	metrika	the standards
المقدس	muqaddas	the wholly
المقدسة	muqaddas	the holy
المقدسي	qudduslik	el mokadasy
المقدمة	kirish	at the top
المقدوني	makedon	macedonian
المقر	bosh ofis	location
المقربين	yaqinlari	close
المقرر	qaror	the determined
المقصود	niyat qilingan	i mean
المقيمين	aholi	residents
المكان	joy	plade
المكتب	stol	the office
المكتبات	kutubxonalar	to libraries
المكتبة	kutubxona	for a library
المكتوبة	yozilgan	written
المكرمة	al-mukarrama	the revered
المكسيك	meksika	to mexico
المكسيكية	meksikalik	mexican
المكون	komponent	constituting
المكونات	ingredientlar	components
المكونة	komponent	composing
المكي	makka	mecca's
الملائكة	farishtalar	angels
الملابس	kiyim	clothes
الملاحة	navigatsiya	navigation
الملاحظات	izohlar	notes
الملاحظة	kuzatuv	the note
الملايو	malay	malaya
الملايين	millionlar	milions
الملح	tuz	salt
الملعب	stadion	field
الملفات	fayllar	files
الملقب	taxallus	named
الملك	qirol	the king
الملكة	qirolicha	queen
الملكي	qirollik	royal
الملكية	mulk	royal
الملوثات	ifloslantiruvchi moddalar	contaminants
الملوثة	ifloslangan	contaminated
الملوك	shohlar	kings
الممارسة	amaliyot	practiced
الممالك	qirollar	the kingdoms
المماليك	mamlyuklar	the mamluks
الممتاز	zo&#39;r	good
الممتدة	spanning	the extended
الممتلكات	xususiyatlari	properties
الممثل	aktyor	actor,representative
الممثلة	aktrisa	actress
الممثلين	aktyorlar	actresses
الممكن	mumkin	possible
المملكة	qirollik	kingdom
المملوكي	mamluk	mamluk (owned in turkish)
المملوكية	mamluk	the mamluk
المميزة	alohida	the distinctive
المناخ	iqlimi	climate
المناخية	iqlimiy	climatic
المنازل	uylar	homes
المناسب	tegishli	the appropriate
المناسبات	hodisalar	occasions
المناسبة	vaqt	occasion
المناصب	lavozimlar	positions
المناطق	mintaqalar	regions
المناعة	immunitet	immune
المناعي	immunofloresans	immune
المنافسة	raqobat	to oppose
المناهج	o&#39;quv dasturlari	the curricula
المناهضة	anti	against
المنتج	mahsulot	the producer
المنتجات	mahsulotlar	products
المنتجة	ishlab chiqarilgan	produced
المنتخب	saylovchilar	national team
المنتخبات	jamoalar	the team
المنتدى	forum	forum
المنتشرة	tarqalgan	spread
المنتظر	kutmoqda	the anticipated one
المنخفضة	kam	low
المندائية	mandaean	mandaean - a name of a religion in iraq
المنزل	uy	home
المنزلي	mahalliy	domestic
المنزلية	uy xo&#39;jaligi	home
المنشآت	imkoniyatlar	facilities
المنصب	lavozim	position
المنصور	al-mansur	al-mansour
المنصورة	mansura	mansoura
المنطق	mantiq	to the logic of
المنطقة	viloyat	region
المنظمات	tashkilotlar	organizations
المنظمة	tashkilot	organization
المنعم	munim	of monem
المنفى	surgun	exile
المنهج	o&#39;quv dasturi	approach
المنورة	madina	lighted
المنوية	sperma	seminal
المهاجرين	immigrantlar	the migrants
المهارات	ko&#39;nikmalar	skills
المهام	vazifa	tasks
المهبل	qin	vagina
المهدي	mahdiy	el-mahdy
المهرجانات	bayramlar	festivals
المهلهل	yaltiroq	el-mohalhel
المهم	muhim	important to
المهمة	vazifa	the mission
المهنة	kasb	the job
المهندس	muhandis	the engineer, almuhandes
المهندسين	muhandislar	the engineers
المهنية	professional	professional
المواجهة	qarama-qarshilik	conflect
المواد	materiallar	material
الموارد	resurslar	resources
المواصلات	tashish	transportation
المواضيع	iplar	for subjects
المواطن	fuqaro	the citizen
المواطنين	fuqarolar	compatriots
الموافق	muvofiq	corresponding to
الموافقة	xop	approval
المواقع	joylar	locations
المواقف	lavozimlar	situations
الموالية	pro	loyal to
المواليد	yangi tug&#39;ilgan chaqaloqlar	born
الموانئ	portlar	seaports
الموت	o&#39;lim	die
الموتى	o&#39;lganlar	dead people
الموجات	to&#39;lqinlar	waves
الموجة	to&#39;lqin	wave
الموجهة	yo&#39;naltirilgan	directed
الموجود	topildi	for an existence
الموجودة	mavjud	existing
الموجي	to&#39;lqin shakli	wave
الموجية	to&#39;lqin shakli	waviness
الموحد	birlashtirilgan	consolidated
الموحدة	standart	united
الموحدين	birlashmalar	unitarians
المورثة	gen	gene
الموسم	mavsum	season
الموسمية	mavsumiylik	seasonal
الموسوعة	entsiklopediya	encyclopaedia of
الموسيقار	musiqachi	musician
الموسيقى	musiqa	the music
الموسيقي	musiqa	music
الموسيقية	musiqiy	musical
الموضوع	mavzu	the subject
الموضوعات	mavzular	topics
الموظفين	xodimlar	for officers
الموقع	sayt	website
الموقف	vaziyat	position
المولد	tug&#39;ilgan	the birth
المولود	tug&#39;ilgan	to live
المولى	sire	el-mawla
المياه	suv	water
الميت	o&#39;lik	dead
الميثاق	nizom	covenant
الميثان	metan	charter
الميدالية	medal	medal
الميدان	maydon	field
الميزانية	byudjet	balance
الميكانيكا	mexanika	the mechanics
الميكانيكية	mexanik	mechanical
الميلاد	rojdestvo	birth
الميلادية	grigoriyalik	after christ
الميلاديين	ad	centuries
الميناء	port	port
الميول	yengilliklar	tendency
الناتج	olingan natija	produced
الناتجة	natijada	resulted
الناتو	nato	nato
الناجحة	omadli	successful
الناجمة	sabab berdi	cause by
الناحية	tomoni	side
النادرة	kamdan kam	unique
