$ tỉ	milliard dollar	$ billion
sục	jakuzi	"(term should be ""sôi sục"") to boil"
sụn	xaftaga	cartilage
sụp	qulashi	collapse
sụt	pasayish	drop
sủa	po&#39;stloq	bright
sủi	haddan tashqari	sparkling
sủng	xarizmatik	favored
sứ	keramika	embassy
sứa	meduza	jellyfish (n.)
sức	kuch	strength
sứt	yiqilgan	cleft
sừng	shox	sừng sững= huge
sử	tarixi	"(term should be ""sử dụng"") to use (v.)"
sửa	ta&#39;mirlash	repair
sửng	larzaga keldi	startling
sửu	ox	cow
sữa	sut	milk
sự	the	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	teg	tag
tai	quloq	ear
taiji	taiji	(proper noun) taiji
taipei	taypey	taipei
taiwan	tayvan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tojikiston	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takaxashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoksifen	tamoxifen
tanaka	tanaka	tanaka
tang	motam	funeral
tanh	baliqqa oid	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzaniya	tanzania
tao	men	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	vazifa	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmaniya	tasmania, a place
tau	tau	tau
taxi	taksi	taxi
tay	qo&#39;l	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	texnik	technical
ted	ted	(proper noun) ted
teddy	teddi	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekom	telecom
telekom	telekom	telekom
telex	teleks	telex
telnet	telnet	telnet
tem	shtamp	stamp
temple	ma&#39;bad	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartel	tensor
teo	atrofik	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	hududlar	territories
terry	terri	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	tekaslar	(proper noun) the state of texas
tgv	tgv	tgv
tha	uzr	to forgive (v.)
thai	homilador	pregnant
thailand	tailand	thailand
tham	ochko&#39;zlik	involved
thames	temalar	thames
than	ko&#39;mir	coal
thang	narvon	ladder
thanh	bar	youth
thani	dan ortiq	thani
thao	sport	sport
thau	guruch	a basin (n.)
thay	o&#39;rniga	change
thcn	ming	vocational school
thcs	ming dona	secondary
thdq	ming	thdq
thebes	tebranishlar	thebes
their	ularning	their
them	ularni	plus
then	keyin	key
theo	ko&#39;ra	according to
theory	nazariya	thẻoy
theravada	teravada	theravada
theres	theres	there
theseus	buus	theseus, the greek hero
thi	imtihon	competition (n.)
thich	kabi	explanation
thien	thien	sky
third	uchinchi	thỉd
thiu	eskirgan	buồn thiu= sad/boring
thiêm	thim	thiem
thiêng	muqaddas	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	qalay	tin
thiến	yangi	castrate
thiếp	karta	concubine
thiết	o&#39;rnatildi	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	qisqa	lack
thiềm	o&#39;roq	crescent
thiền	meditatsiya	buddhist (adj.)
thiển	shou	superficial
thiểu	ahamiyatsiz	minimum
thiện	yaxshi	good
thiệp	karta	intervene
thiệt	haqiqatan ham	damage
thiệu	kirish	"(term should be ""giới thiệu"") to introduce (v.)"
tho	ming	tho
thoa	dab	combination
thoai	thai	gentle
thomas	tomas	thomas
thompson	tompson	thompson
thong	tayoq	(proper noun) thong, as in ang thong
those	o&#39;sha	those
thoái	regressiv	deterioration
thoán	taxmin qiling	usurpation
thoáng	havodor	"(term should be ""thoáng qua"") to pass quickly"
thoát	chiqish	drainage
thoại	telefon	telephone
thoạt	bir qarashda	just (adv.)
thoả	bitim	compromise
thoải	qulay	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	vaqti-vaqti bilan	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	tezkor	suddenly
thpt	ming marta	high school
thriller	triller	thriller
thskts	ming	phd- architect
thua	yo&#39;qotish	defeat
thumb|các	bosh barmoq |	thumb|many
thunderbolt	momaqaldiroq	thunderbolt
thung	vodiysi	valley
thuyên	joy almashtirish	a name
thuyết	nazariya	theory
thuyền	qayiq	boat
thuê	ijaraga olish	employ
thuần	sof	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	mojaro	support
thuận	taroziga soling	favourable
thuật	san&#39;at	term
thuế	soliq	tax
thuốc	dori	medicine (n.)
thuộc	tegishli	belong
thuớc	suv	"(term should be ""kích thước"") dimensions of an object"
thuờng	odatda	usually
thuở	bolalik	period
thuỵ	tuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	ming kv	vietnam television
thy	sizning	thy
thà	yaxshisi	honest
thành	fort	"(term should be ""hình thành"") to take shape"
thày	o&#39;qituvchi	teacher
thác	kaskad	harvest
thách	qiyinchilik	challenge
thái	tay	attitude
thám	detektiv	to spy (v.)
tháng	oy	month (n.)
thánh	sit	a holy person; a saint (n.)
tháo	olib tashlang	"(term should be ""tháo chạy"") to run with abandon"
tháp	minora	tower
thâm	chuqur	penetrate
thâu	lentali	to collect (v.)
thây	qarang	body
thãi	baqirish	superabundant
thèm	talab qilmoq	desire
thép	po&#39;lat	steel
thét	- qichqirdi u	shout
thê	the	category
thêm	ko&#39;proq	more
thêu	ijara	to embroider (v.)
thìa	qoshiq	spoon
thìn	keyin	(proper noun) thìn, the year of the dragon
thình	to&#39;satdan	"(term should be ""thình lình"") suddenly"
thí	tajribalar	(with word du) for example
thít	titrang	(proper noun) mân thít, a district in vietnam
thò	poklangan	tho
thòi	noqulaylik	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	poda	grain (n.)
thói	odat	a habit (n.)
thô	qo&#39;pol	rough, old-fashioned
thôi	kel	only
thông	xabardor qildi	"(term should be ""thông thường"") usual (adj.)"
thù	adovat	"entire term should be ""ke thu""; means ""enemy"""
thùng	axlat qutisi	barrel
thùy	lob	thuy
thú	qiziq	"(should be ""thích thú"") pleasurable"
thúc	oxiri	push
thúy	tuy	thuy
thăm	tashrif	visit
thăng	targ&#39;ib qilingan	helicopter
thơm	xushbo&#39;y	aromatic
thư	harflar	"(term should be ""ung thư"") cancer (n.)"
thưa	azizim	sparse
thương	sevgi	love
thước	hukmdori	ruler
thường	tez-tez	usually (adv.)
thưởng	sovrin	to reward (v.)
thược	thud	(proper noun) thược
thượng	yuqori	upper
thạc	ustalar	master
thạch	jele	rock or stone (n.)
thạnh	dan ortiq	thanh
thạo	mutaxassis	fluent
thả	tomchi	"(term should be ""thả lỏng"") to let loose (v.)"
thải	chiqindilar	waste
thảm	gilam	carpet or rug (n.)
thản	toza	calmly
thảo	chiroyli	"(term should be ""hội thảo"") a workshop (n.)"
thấp	qisqa	low (adj.)
thấu	penetrant	penetrate
thầm	jimgina	"(term should be ""thì thầm"") to whisper (v.)"
thần	xudo	"entire term should be ""tinh than""; means ""of the mind"""
thầy	o&#39;qituvchi	teacher (n.)
thẩm	sudyalar	osmotic/leak
thẫm	qorong&#39;i	dark
thận	buyrak	careful
thập	kesib o&#39;tish	tens
thật	haqiqiy	true (adj.)
thắm	gulbarg	tham
thắn	ochig&#39;ini aytganda	frank
thắng	yutuq	win
thắngthua	yutib olish	win-lose
thắp	yorug&#39;lik	light
thắt	bog&#39;lab qo&#39;ying	tense
thằn	kaltakesak	"entire term should be ""than lan""; means ""lizard"""
thằng	gay	a derogatory term for a man (n.)
thẳm	chuqur	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	to&#39;g&#39;riga	horizontal
thặng	ortiqcha	surplus
thẹn	uyalib	shameful
thẻ	karta	card
thế	shunday qilib	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	po&#39;lat	steel
thề	qasam ichmoq	swear
thềm	javon	shelf
thể	bo&#39;lmoq	maybe
thỉnh	taklif qilish	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	vogue	prosperous
thịt	go&#39;sht	meat (n.)
thọ	uzoq umr ko&#39;rish	phu tho
thọc	jabduq	jab
thỏ	quyon	rabbit
thỏa	kelishuv	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	ingot	a bar (n.)
thối	chirigan	smelly
thốt	aytdi	scream
thồ	qadoqlash	to transport via horse (v.)
thổ	yer	"(term should be ""lãnh thổ"") territory (n.)"
thổi	puflamoq	blow
thớt	maydalash taxtasi	sparse
thời	vaqt	period
thở	nafas	breathe
thợ	ishchi	craftman
thụ	retseptorlari	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	yozilgan	clyster
thủ	asosiy	masturbate
thủa	thua	during childhood
thủng	teshilish	having holes
thứ	narsalar	no.
thức	hushyor	way
thừa	ortiqcha	redundant
thừng	arqon	"(term should be ""thẳng thừng"") mercilessly"
thử	sinash	try
thửa	posilka	square
thự	villa	mansion
thực	haqiqiy	perform
ti	ti	titov
tia	nur	ray
tiananmen	tiananmen	tiananmen
tiara	tiara	tiara
tibet	tibet	(proper noun) tibet
tigris	yo&#39;lbars	tigris
tiliaceus	tiliaceus	hoa dam but
tim	yurak	heart
timor	taymer	timor
timothy	timoti	timothy
tin	ishonish	believe
tinbắc	xabari	file bac
tincầu	qalay ko&#39;prigi	file bridge
tinh	sayyora	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	yangiliklar	file river
tinthị	tintị	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	tishlamoq	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	televizor	television
tizard	tizer	(proper noun) tizard
tiên	birinchi	first
tiêu	murch	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	pushaymon	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	goofy	seize
tiến	yuqoriga	operate
tiếng	tili	language
tiết	sekretsiya	abstinence/intensity
tiếu	axmoq	"(should be ""đàm tiếu"") to sneer"
tiềm	potentsial	potential
tiền	pul	money (n.)
tiều	baqirish	(proper noun) the name of a poet
tiểu	qoziq	tiểu sử= biography
tiễu	janob liu	patrol
tiệc	ziyofat	party
tiệm	do&#39;kon	shop
tiện	qulay	mean
tiệp	chexiya	gustav franck
tiệt	jirkanch	sterilize
tncs	tonna	communist youth union
tngt	tngt	traffic accidents
tnhh	cheklangan	limited
toang	toang	fast
tobago	tobago	tobago
toei	toey	toei
tokugawa	tokugawa	tokugawa
tokyo	tokyo	tokyo, the capital of japan
tokyopop	tokoopop	tokyopop
tomas	tomas	(proper noun) tomas
tommy	tommy	tommy
tomoyo	tomoyo	tomoyo
tony	tony	tony
toonami	toonami	(proper noun) toonami
top	tepasida	top
torino	torino	torino, as in the italian city
toriyama	toriyama	(proper noun) toriyama
tottenham	t &quot;tottenxem&quot;	tottenham
tourism	turizm	tourism
tourist	sayyoh	tourist
toyama	toyama	toyama
toyota	toyota	(proper noun) toyota
toà	sud	office
toàn	xavfsiz	entire or whole (adj.)
toán	matematika	team
toát	yaxshi	to exude or emit, as in sweat (v.)
toạ	koordinatlari	locate
toại	da	satisfaction
toả	nurlantirmoq	spread
tp	tp	city
tphcm	tfcm	ho chi minh city
tphồ	shahar	city ho
tpvĩnh	shahar	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	savdogar	trafford in greater manchester
trai	midiya	boy
trang	sahifa	a page (n.)
tranh	rasmlar	to compete (v.)
trao	topshirilgan	reward
trau	jarohat	polish
tre	bambuk	bamboo (n.)
treo	osmoq	hang
tri	tri	tri
tribune	tribunasi	a name
trinh	bokira	"(should be ""trinh bạch"") virtuous"
trinidad	trinidad	trinidad
trinity	uchlik	trinity
tristan	tristan	tristan
triết	falsafa	philosophy
triền	trien	"(should be ""triền miên"") endless"
triều	to&#39;lqin	court
triện	muhr	stamp
triệt	yaxshilab	completely
triệu	million	a million
tro	kul	ashes
troia	troiya	troy
trondheim	trondxaym	trondheim
trong	ichida	inside (adv.)
true	rost	true
truman	truman	(proper noun) truman
trung	o&#39;rtasi	"(term should be ""trung gian"") agent (n.)"
trungnhật	halollik	china-japan
truong	truong	truong
truyên	truyen	story
truyện	hikoya	story
truân	tran	arduous
truất	zararli moddalar	cancel
truởng	boshliq	leader (n.)
truỵ	yolg&#39;on gapirish	depraved
trà	choy	tea (n.)
tràm	kajuput	melaleuca
tràng	yo&#39;g&#39;on ichak	"entire term should be ""truc trang""; means ""rectum"""
trào	otilib chiqish	movement
trác	trac	trac
trách	ayblash	blame
trái	chapga	against
trán	peshona	forehead
tráng	qoplangan	to coat (v.)
tránh	oldini olish	to avoid (v.)
tráo	firibgarlik bilan	tráo trở= liar/betrayal/treacherous
tráp	qutisi	casket
trát	kafolat	pile
trâm	broshka	a type of elegant hairpin (n.)
trân	yaxshi tilaklar	respect
trâu	qo&#39;tos	a last name
trãi	tarqoq	trai
trèo	ko&#39;tarilish	climb
trên	yoqilgan	above
trình	topshiring	process
trí	aql	intellectual
trích	parcha	to extract (v.)
trò	hiyla	role
tròn	dumaloq	rounding
trói	bog&#39;ladi	tie
trôi	cho&#39;kish	afloat
trông	ko&#39;rinadi	look
trùm	boshliq	cover
trùng	mos keladi	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	pansionat	residence
trúc	bambuk	structure
trăm	yuz	hundred
trăn	piton	"(term should be ""trăn trở"") to ponder (v.)"
trăng	oy	moon
trĩ	hemoroid	hemorrhoids
trũng	botgan	medium
trơ	inert	bare
trơn	sirg&#39;anchiq	slippery (adj.)
trư	tru	a pig (n.)
trưa	peshin	noon (n.)
trưng	rekvizitsiya	symbolic
trưngcông	ko&#39;rgazmaga qo&#39;yilgan	truongcong
trương	truong	policy
trước	oldin	front
trước 	oldin	front
trướng	kengaytirish	expand
trườn	emaklamoq	crawl
trường	maktab	case
trượng	kaduceus	a unit of length used in vietnam equal to 4 meters (n.)
trượt	suring	slide
trạch	xiyla	ze
trại	lager	camp
trạm	bekati	station
trạng	shart	situation
trạo	tao	trao
trả	to&#39;lash	to return
trải	qopqoq	spread
trảm	qutilar	beheaded
trảo	maketlar	trao
trấn	shahar	town
trấu	guruch qobig&#39;i	rice skin
trầm	chuqur	depression
trần	yalang&#39;och	tran
trầu	betel	trầu
trầy	tirnalgan	scratch
trẩy	sakramoq	pilgrimage
trẫm	menman	i
trận	gugurt	battle
trật	joylashtirilgan	order
trắc	biometriya	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	oq	white
trặc	hiqichoq	"entire phrase is ""truc trac""; means ""problem"""
trẻ	yosh	youth
trễ	kech	late
trệ	turg&#39;un	bamboo
trị	davolash	cure
trịnh	zigzag	trịnh, a vietnamese last name
trọ	kichik mehmonxona	motel
trọn	to&#39;la	whole
trọng	muhim	serious
trỏ	ko&#39;rsatkichlar	index
trối	yakuniy	last words
trốn	yashirish	to hide
trống	bo&#39;sh	in
trồi	paydo bo&#39;lgan	to emerge (v.)
trồng	o&#39;sadi	plant
trổ	shou	to burst open or display
trỗi	paydo bo&#39;lishi	rise
trội	dominant	better
trộm	o&#39;g&#39;rilar	theft
trớn	silliqlash	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	xudo	sun
trợ	qo&#39;llab-quvvatlash	support
trụ	idora	universe
trục	o&#39;qi	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	yalang&#39;och	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	tuxum	egg
trừ	minus	except
trừng	yarqirash	punish
trừu	qo&#39;ylar	abstract
trữ	saqlash	reserve
trực	hizmatda	direct
ts	ts	phd
tt	tt	news
tua	tentacle	fringe
tucker	taxta	tucker, an english last name
tudor	tudor	(proper noun) tudor, as in the tudor family
tukhachevsky	tuxachevskiy	(proper noun) tukhachevsky
tulip	lola	tulip
tum	tum	tum
tung	silkitmoq	release
tupolev	tupolev	tupolev, as in alexei tupolev
tuscan	tuskan	(proper noun) tuscan
tutsi	tutsi	(proper noun) tutsi
tuvalu	tuvalu	(proper noun) tuvalu, a polynesian island nation
tuy	ammo	however
tuyên	e&#39;lon qilmoq	"(should be ""tuyên ngôn"") a declaration"
tuyết	qor	snow (n.)
tuyền	tuyen	tuyen
tuyển	yollash	recruit
tuyệt	ajoyib	excellent (adj.)
tuân	bo&#39;ysuning	comply
tuông	flush	jealous
tuý	tuyi	drug
tuần	hafta	week
tuế	minnows	years
tuệ	donolik	intelligence
tuốc	terish	turbine
tuổi	yoshda	age
tuộc	sakkizoyoq	octopus
tuột	toyib ketmoq	slip
tuỳ	ixtiyoriy	depend
tv	televizor	tv
tvb	tvb	tvb
twin	egizak	twin
twitter	twitter	twitter
ty	ty	company
type	turi	type
typhon	tayfon	typhon
tà	yovuzlik	we
tài	omad	talent (n.)
tàn	kul	dying
tàng	muzey	"(should be ""bảo tàng"") a museum"
tành	tanx	shatter
tàu	kema	ship
tá	o&#39;nlab	"(term should be ""thiếu tá"") major (n.)"
tách	kubok	to separate
tái	re	return
tám	sakkiz	eight
tán	chodir	support
tánh	tanx	life
táp	ga teging	to lap at (v.)
táu	aybdor	ashton
tâm	markazi	tâm
tâu	mening qirolim	peach
tây	g&#39;arbiy	western
tâynam	westernnam	"(should be ""tây-nam"") southwest"
tã	tagliklar	diaper
tét	qichqiriq	tet
tê	xiralashmoq	numb
tên	ism	name (n.)
tì	taloq	to lean on (v.)
tìm	toping	find
tìmdiệt	qidirmoq	find-kill
tình	sevgi	sex
tía	siyohrang	dad
tích	mahsulot	"(term should be ""tích cực"") to be zealous (adv.)"
tím	binafsha	purple
tín	kreditlar	"(entire term should be ""tín dụng"") credit"
tít	sarlavha	"(term should be ""tít mù"") very far away (adv.)"
tò	qiziquvchanlik	curious
tòa	sud	a court
tòi	narsalar	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	tong	tòng, a last name
tóm	to&#39;plam	summary
tô	kosa	car
tôi	men	i
tôm	mayda qisqichbaqa	shrimp
tôn	vazalar	venerate
tông	karton	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	qamoqxona	prison
tùng	zaxira	tung
tùy	ixtiyoriy	depend on
túc	yetarlilik	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	sumka	pocket
túm	tortmoq	catch
túng	noqulay	confuse
túp	kulba	hut
túy	dori	"(term should be ""thuần túy"") pure (adj.)"
tý	kalamush	mouse, as in year of the mouse
tăm	tish pichog&#39;i	"(term should be ""tiếng tăm"") reputation"
tăng	o&#39;sish	increase
tĩnh	statik	calm
tơi	men	ragged
tư	dan	posture
tưng	titroq	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	yangi	fresh
tương	o&#39;xshash	"(term should be ""tương tự"") to be similar to"
tước	siqish	title (n.)
tưới	sug&#39;orish	irrigation
tướng	umumiy	prime minister (thu tuong)
tường	devor	"a common vietnamese first name; means ""wall"""
tạ	barbell	weight
tạc	haykal	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	ichida	survival
tạm	vaqtinchalik	temporary
tạo	yaratmoq	create
tạp	jurnal	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	tavsifi	describe
tản	tarqalish	disperse
tảng	platforma	platform
tấc	dyuym	inch
tấm	plitalari	mirror
tấn	tonna	tan
tấp	tortdi	crowded
tất	paypoq	all
tấu	instrumental	tau
tầm	o&#39;yinlar	range or extent (n.)
tần	chastotasi	"(term should be ""tần số"") frequency (n.)"
tầng	qavat	layer
tầu	poezd	ship
tẩm	singdirilgan	soak
tẩy	silgi	to bleach
tận	oxiri	dedicated
tật	nogironlik	disease
tắc	kalitlari	priciple
tắm	dush	bathing
tắt	o&#39;chirmoq	initial
tặc	xakerlar	"(term should be ""hải tặc"") a pirate (n.)"
tặng	ehson qilmoq	donate
tẻ	drab	lẻ tẻ= scattered
tết	tet	(proper noun) the vietnamese new year
tếxã	iqtisodiy	economy - society
tề	qi	tidy
tể	janob	lord
tệ	yomon	bad
tệp	fayl	file
tỉa	bezak	"(term should be ""bắn tỉa"") to snipe"
tỉnh	viloyat	province
tị	hasad	refugee
tịch	prezident	"(""chủ tịch"") president or chairman"
tọa	koordinatlari	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	ifoda etdi	to
tỏa	nurlantirmoq	radiate
tỏi	sarimsoq piyoz	garlic
tốc	tezlik	speed
tốn	qiymati	to cost (v.)
tống	eskort	dispose
tốp	guruh	top
tốt	yaxshi	good
tồi	yomon	bad
tồn	mavjud	exist
tổn	jarohat	damage
tổng	jami	president
tộc	urug&#39;-aymoq	"(term should be ""dân tộc"") a race or people"
tội	gunoh	crime
tột	haddan tashqari	extreme
tớ	meni	servant
tới	keyingi	to the point
tờ	varaq	paper/document
tởm	jirkanch	disgusting
tục	shafqatsiz	"(term should be ""tập tục"") customs or practices"
tụy	oshqozon osti bezi	"(term should be ""tận tụy"") devoted (adj.)"
tủ	shkaflar	shelf
tủi	yomon	humiliated
tủy	ilik	spine
tức	bir zumda	i.e.
từ	dan	from
từng	har doim	each
tử	o&#39;lim	lion (su tu)
tửu	alkogolga toqat	wine
tự	o&#39;zini	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	sarlavha	lean
tựu	yutuqlar	achievement
tỵ	ilon	the han name for the year of the snake, according to the chinese zodiac
tỷ	milliard	billion
u	u	tumor
ua	ua	ua
uae	uae	uae
ubuntu	ubuntu	ubuntu
uc	uc	uc
uchiha	uchixa	uchiha
uefa	uefa	uefa
uh	uh	uh
uk	uk	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ukraina	ukraine
ulsan	ulsan	ulsan
umm	umm	umm
un	un	(proper noun) un, as in chung un chan of korea
und	und	und
under	ostida	under
unesco	unesco	unesco
ung	chirigan	cancer
unicorn	bir jinsli	unicorn
unit	birligi	unit
unix	unix	unix
up	ups	up
ural	ural	ural, as in the ural mountains
urani	uran	uranium
uri	uri	uri, a former political party in south korea
uruguay	urugvay	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	uss	uss
utah	utah	utah
utrecht	utrecht	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	uyg&#39;ur	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyen	scholarly
uyển	evfemizm	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	uzbekistan	uzbekistan
uông	uong	uong
uất	uất	busy
uốn	jingalak	to curl (v.)
uống	ichmoq	to drink
uổng	isrof	vain
v	v	v
va	va	collide
vaccine	emlash	vaccine
vai	yelka	shoulder
valencia	valensiya	valencia
valentine	sevishganlar	valentine
valley	vodiysi	valley
van	vana	"(term should be ""van xin"") to beg (v.)"
vanessa	vanessa	vanessa
vargas	vargas	(proper noun) vargas
vasari	vasari	vasari
vay	qarz olmoq	borrow
vectơ	vektor	vector
ven	bo&#39;ylab	"(term should be ""ven biển"") coastal (adj.)"
vendôme	vendome	vendome
venezia	veneziya	venice
venus	vena	venus
verdun	verdun	verdun
vermont	vermont	vermont
verona	verona	(proper noun) the city of verona
versailles	versaillalar	(proper noun) versailles
vhs	vhs	vhs
vi	chunki	behavior
viagra	viagra	viagra
victor	g&#39;olib	(proper noun) victor
victoria	gororiya	victoria, a province of australia
vienna	vena	(proper noun) vienna, austria
viet	viet	vietnamese
vietnam	vietnam	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	viking	viking
villa	villa	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	vince	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	vincent	vincent
vinpearl	uzumzor	vinepeal
viqr	viqr	viqr
virginia	bokira	(proper noun) virginia, as in the state
virus	virus	virus
virút	virus	virus
vissarionovich	vissarionovich	vissarionovich
vista	vista	vista, as in windows vista
vitamin	vitamin	vitamin
vitruvius	vitruvius	vitruvius
viz	viz	(proper noun) viz
viêm	yallig&#39;lanish	inflammation
viên	planshetlar	member
viêng	viang	vientiane
viêt	yozish	vietnam
viếng	tashrif	visit
viết	yozish	write
việc	ish	thing
viện	instituti	institute
việt	vetnam	viet
việtmường	vetnam muong	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	vn	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	ovoz	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	fillar	elephant
voip	voip	voip
voldemort	voldemort	(proper noun) voldemort, the villain from the harry potter series
von	fon	compare
vonfram	volfram	wolfram
vong	qurbonlar	injured
voyager	sayohatchi	voyager
voọc	langurslar	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	shoh	king
vui	kulgili	happy
vulcan	vulqon	vulcan
vuông	kvadrat	square
vuốt	tirnoq	stroke
vv	va boshqalar.	etc.
vy	vy	vy
vyacheslav	vyacheslav	vyacheslav
và	va	and
vài	ozgina	several
vàm	vm	the mouth of a rivulet (n.)
vàng	sariq	gold
vành	jant	coronary
vào	ichiga	into
vá	yamoq	patchy
vác	tashish	to shoulder (v.)
vách	devor	wall
vái	ha	some
ván	taxta	game
váng	ko&#39;pik	film
váy	kiyinish	skirt
vân	va hokazo	"(term should be ""vân vân"") et cetera"
vây	fin	encircle
vã	yugurdi	rush
vãi	baqirish	to release
vãn	van	save
vè	qoziq	to glance slyly (v.)
vé	chipta	ticket
vét	zovur	plunder
vê	haqida	tremolo
vì	chunki	because
ví	hamyon	example
vía	hamyon	soul
vít	vint	screw
vò	qulab tushdi	jar
vòi	shlang	tap
vòm	tomi	upper jaw
vòng	uzuk	around
vó	hoooo	hooves
vóc	hajmi	"(should be ""vóc sương"") dew-like or delicate"
vô	yo&#39;q	"(term should be ""vô số"") countless (adj.)"
vôi	laym	limestone
võ	jangovar	martial arts (n.)
võng	bolakay	hammock
vùi	ko&#39;milgan	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	viloyati	region
vú	ko&#39;krak	breast (n.)
vút	ko&#39;tarilgan	"entire term should be ""cong vut""; extreme curling"
văn	adabiyot	culture
văng	chayqalish	a name
vĩ	ajoyib	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	doimiy ravishda	ving
vũ	vu	armed
vũng	ko&#39;lmak	vung
vơ	yordamsiz	lost
vơi	bilan	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	erishish	reach
vương	qirol	kingdom
vướng	chalkashib ketdi	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	bog &#39;	garden
vượn	maymunlar	gibbon
vượt	o&#39;tish	to overcome
vạ	shunday qilib	unfortunate problem
vạc	qozon	cauldron
vạch	bar	bar
vại	kavanoz	jar
vạn	o&#39;n ming	thousand
vạng	alacakaranlık	twilight
vả	anjir	hard
vải	mato	fabric
vảy	tarozi	scale
vấn	maslahat	vấn đề= problem
vấp	ustiga o&#39;ralgan	stumble
vất	tashqariga uloqtirib yubor	hard
vần	qofiya	spell
vầng	halo	moon (vang trang)
vẩn	hanuzgacha	wander
vẩy	yoriqlar	scale
vẫn	hanuzgacha	still
vẫy	silkitmoq	wave
vận	omad	active
vắc	emlash	vaccine
vắcxin	emlash	vaccine
vắn	qisqa	short
vắng	yo&#39;q	absent
vặn	vint	to twist (v.)
vặt	tasniflangan	odd
vẹn	yaxlitligi	complete
vẹt	to&#39;tiqushlar	parrots
vẽ	rasm	draw
vết	yamoq	wound
vểnh	perch	warping
