$ tỉ	$ r $	$ billion
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	cartel	tensor
teo	eeyan	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	awọn agbegbe	territories
terry	ilẹkun	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	ikewo	to forgive (v.)
thai	loyun	pregnant
thailand	thailand	thailand
tham	okanjuwa	involved
thames	thames	thames
than	eedu	coal
thang	akaba	ladder
thanh	pẹpẹ	youth
thani	ju	thani
thao	eré ìdárayá	sport
thau	idẹ	a basin (n.)
thay	dipo	change
thcn	thcn	vocational school
thcs	awọn ọrọ	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	wọn	their
them	wọn	plus
then	lẹhinna	key
theo	ni ibamu si awọn	according to
theory	yii	thẻoy
theravada	theravada	theravada
theres	awọn iṣan	there
theseus	wọnyi	theseus, the greek hero
thi	ayewo	competition (n.)
thich	fẹran	explanation
thien	ẹni	sky
third	kẹta	thỉd
thiu	stale	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	mimọ	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	tin	tin
thiến	alailoridan	castrate
thiếp	kaadi	concubine
thiết	ṣeto	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	kukuru	lack
thiềm	àrùn	crescent
thiền	iṣaro	buddhist (adj.)
thiển	ṣafihan	superficial
thiểu	kekere	minimum
thiện	o dara	good
thiệp	kaadi	intervene
thiệt	looto	damage
thiệu	ifihan	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	dab	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	thong	(proper noun) thong, as in ang thong
those	awon na	those
thoái	regress	deterioration
thoán	gboju	usurpation
thoáng	airi	"(term should be ""thoáng qua"") to pass quickly"
thoát	jade	drainage
thoại	foonu	telephone
thoạt	ni akọkọ kokan	just (adv.)
thoả	ibaṣowo	compromise
thoải	itunu	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	lẹẹkọọkan	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	tọ	suddenly
thpt	thpt	high school
thriller	asaragaga	thriller
thskts	awọn eegun	phd- architect
thua	padanu	defeat
thumb|các	atampako | awọn	thumb|many
thunderbolt	ãra	thunderbolt
thung	afonifoji	valley
thuyên	iyọkuro	a name
thuyết	yii	theory
thuyền	ọkọ oju omi	boat
thuê	lati yalo	employ
thuần	mimọ	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	rogbodiyan	support
thuận	aleebu	favourable
thuật	aworan	term
thuế	owo-ori	tax
thuốc	òògùn	medicine (n.)
thuộc	jẹ	belong
thuớc	omi	"(term should be ""kích thước"") dimensions of an object"
thuờng	nigbagbogbo	usually
thuở	ewe	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	tirẹ	thy
thà	yoo kuku	honest
thành	fort	"(term should be ""hình thành"") to take shape"
thày	olukọ	teacher
thác	kasikedi	harvest
thách	ipenija	challenge
thái	thai	attitude
thám	otelemuye	to spy (v.)
tháng	osù	month (n.)
thánh	st	a holy person; a saint (n.)
tháo	yọ kuro	"(term should be ""tháo chạy"") to run with abandon"
tháp	ile-iṣọ	tower
thâm	jinjin	penetrate
thâu	taped	to collect (v.)
thây	wo	body
thãi	nik	superabundant
thèm	ifẹ	desire
thép	irin	steel
thét	pariwo	shout
thê	awọn	category
thêm	diẹ sii	more
thêu	yiyalo	to embroider (v.)
thìa	sibi	spoon
thìn	lẹhinna	(proper noun) thìn, the year of the dragon
thình	lojiji	"(term should be ""thình lình"") suddenly"
thí	awọn adanwo	(with word du) for example
thít	ikere	(proper noun) mân thít, a district in vietnam
thò	mu	tho
thòi	alailanfani	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	paddy	grain (n.)
thói	ihuwasi	a habit (n.)
thô	ti o ni inira	rough, old-fashioned
thôi	kọja siwaju	only
thông	fun	"(term should be ""thông thường"") usual (adj.)"
thù	ariyanjiyan	"entire term should be ""ke thu""; means ""enemy"""
thùng	binrin	barrel
thùy	lobe	thuy
thú	awon	"(should be ""thích thú"") pleasurable"
thúc	ipari	push
thúy	thuy	thuy
thăm	ṣàbẹwò	visit
thăng	ni igbega	helicopter
thơm	oorun aladun	aromatic
thư	awọn lẹta	"(term should be ""ung thư"") cancer (n.)"
thưa	ololufe	sparse
thương	ni ife	love
thước	adarí	ruler
thường	nigbagbogbo	usually (adv.)
thưởng	ère	to reward (v.)
thược	ojiji	(proper noun) thược
thượng	loke	upper
thạc	ọga	master
thạch	jelly	rock or stone (n.)
thạnh	jù	thanh
thạo	iwé	fluent
thả	silẹ	"(term should be ""thả lỏng"") to let loose (v.)"
thải	egbin	waste
thảm	capeti	carpet or rug (n.)
thản	serene	calmly
thảo	lẹwa	"(term should be ""hội thảo"") a workshop (n.)"
thấp	kukuru	low (adj.)
thấu	onihun	penetrate
thầm	ipalọlọ	"(term should be ""thì thầm"") to whisper (v.)"
thần	ọlọrun	"entire term should be ""tinh than""; means ""of the mind"""
thầy	olukọ	teacher (n.)
thẩm	awọn jurors	osmotic/leak
thẫm	dudu	dark
thận	àrùn	careful
thập	rekọja	tens
thật	gidi	true (adj.)
thắm	petal	tham
thắn	sọ otitọ inu jade	frank
thắng	bori	win
thắngthua	bori	win-lose
thắp	ina	light
thắt	di soke	tense
thằn	alangba	"entire term should be ""than lan""; means ""lizard"""
thằng	guy	a derogatory term for a man (n.)
thẳm	jinjin	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	taara	horizontal
thặng	ajeseku	surplus
thẹn	tiju	shameful
thẻ	kaadi	card
thế	nitorinaa	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	irin	steel
thề	bura	swear
thềm	pẹpẹ	shelf
thể	jẹ	maybe
thỉnh	fiwepe	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	fojusi	prosperous
thịt	eran	meat (n.)
thọ	gigun	phu tho
thọc	jab	jab
thỏ	ehoro	rabbit
thỏa	àdéhùn	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	ọmọ inu	a bar (n.)
thối	ru	smelly
thốt	fọhùn	scream
thồ	idii	to transport via horse (v.)
thổ	ile aye	"(term should be ""lãnh thổ"") territory (n.)"
thổi	fẹ	blow
thớt	igbimọ gige	sparse
thời	aago	period
thở	ìmí	breathe
thợ	oṣiṣẹ	craftman
thụ	olugba	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	indented	clyster
thủ	nomba	masturbate
thủa	thua	during childhood
thủng	iyọnu	having holes
thứ	ohun	no.
thức	ji	way
thừa	airiṣẹṣe	redundant
thừng	okun	"(term should be ""thẳng thừng"") mercilessly"
thử	lati gbiyanju lori	try
thửa	ile	square
thự	villa	mansion
thực	gidi	perform
ti	ti	titov
tia	eegun	ray
tiananmen	tiananmen	tiananmen
tiara	tiara	tiara
tibet	tibet	(proper noun) tibet
tigris	tigris	tigris
tiliaceus	tiliaceus	hoa dam but
tim	obi	heart
timor	gẹẹsi	timor
timothy	timoti	timothy
tin	gbagbọ	believe
tinbắc	ifiranṣẹ	file bac
tincầu	tinrin afara	file bridge
tinh	ile aye	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	awọn iroyin	file river
tinthị	tinthị	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	tish	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	tẹlifisiọnu	television
tizard	eeyan	(proper noun) tizard
tiên	akoko	first
tiêu	ata	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	banujẹ	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	goofy	seize
tiến	sókè	operate
tiếng	ede	language
tiết	yomijade	abstinence/intensity
tiếu	goofy	"(should be ""đàm tiếu"") to sneer"
tiềm	agbara	potential
tiền	owo	money (n.)
tiều	nik	(proper noun) the name of a poet
tiểu	tọ	tiểu sử= biography
tiễu	ogbeni liu	patrol
tiệc	àse	party
tiệm	ṣọọbu	shop
tiện	rọrun	mean
tiệp	czech	gustav franck
tiệt	oniho	sterilize
tncs	tnc	communist youth union
tngt	tngt	traffic accidents
tnhh	lopin	limited
toang	toang	fast
tobago	tobago	tobago
toei	àe	toei
tokugawa	tokugawa	tokugawa
tokyo	tokyo	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	ibi isere	(proper noun) tomas
tommy	tommy	tommy
tomoyo	tomoyo	tomoyo
tony	ikan isere	tony
toonami	toonami	(proper noun) toonami
top	oke	top
torino	torino	torino, as in the italian city
toriyama	toriyama	(proper noun) toriyama
tottenham	t tottenham	tottenham
tourism	irin-ajo	tourism
tourist	oniriajo	tourist
toyama	toyama	toyama
toyota	toyota	(proper noun) toyota
toà	kootu	office
toàn	lailewu	entire or whole (adj.)
toán	eko isiro	team
toát	o dara	to exude or emit, as in sweat (v.)
toạ	ipoidojuko	locate
toại	ni	satisfaction
toả	tan	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	ilu	city ho
tpvĩnh	ilu	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	trafford	trafford in greater manchester
trai	igbin	boy
trang	oju-iwe	a page (n.)
tranh	awọn aworan	to compete (v.)
trao	fi jade	reward
trau	trau	polish
tre	oparun	bamboo (n.)
treo	idorikodo	hang
tri	mẹta	tri
tribune	tribune	a name
trinh	wundia	"(should be ""trinh bạch"") virtuous"
trinidad	trinidad	trinidad
trinity	metalokan	trinity
tristan	tristan	tristan
triết	imoye	philosophy
triền	trien	"(should be ""triền miên"") endless"
triều	ṣiṣan	court
triện	èdìdì	stamp
triệt	daradara	completely
triệu	million	a million
tro	eeru	ashes
troia	ẹja troia	troy
trondheim	ẹyọrin	trondheim
trong	ninu	inside (adv.)
true	ooto	true
truman	amunisin	(proper noun) truman
trung	àárín	"(term should be ""trung gian"") agent (n.)"
trungnhật	iyi	china-japan
truong	oko nla	truong
truyên	truyen	story
truyện	itan	story
truân	truân	arduous
truất	awọn olutọpa	cancel
truởng	olórí	leader (n.)
truỵ	parọ	depraved
trà	tii	tea (n.)
tràm	kaju	melaleuca
tràng	oluṣafihan	"entire term should be ""truc trang""; means ""rectum"""
trào	irukerudo	movement
trác	trac	trac
trách	jẹbi	blame
trái	osi	against
trán	iwaju	forehead
tráng	ti a bo	to coat (v.)
tránh	yago fun	to avoid (v.)
tráo	arekereke	tráo trở= liar/betrayal/treacherous
tráp	àpótí	casket
trát	atilẹyin	pile
trâm	pẹlẹbẹ	a type of elegant hairpin (n.)
trân	o dabo	respect
trâu	ẹtu	a last name
trãi	tuka	trai
trèo	gun oke	climb
trên	loju	above
trình	tẹriba	process
trí	lokan	intellectual
trích	yọ yiyan	to extract (v.)
trò	ẹtan	role
tròn	yika	rounding
trói	ti di	tie
trôi	yiyọ	afloat
trông	woni	look
trùm	ọga	cover
trùng	konge	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	wiwọ	residence
trúc	oparun	structure
trăm	ọgọrun	hundred
trăn	python	"(term should be ""trăn trở"") to ponder (v.)"
trăng	osupa	moon
trĩ	ida ẹjẹ	hemorrhoids
trũng	sun	medium
trơ	inert	bare
trơn	tẹẹrẹ	slippery (adj.)
trư	tru	a pig (n.)
trưa	ọsan	noon (n.)
trưng	ibeere	symbolic
trưngcông	han	truongcong
trương	truong	policy
trước	ṣaaju	front
trước 	ṣaaju	front
trướng	imugboroosi	expand
trườn	ra ko	crawl
trường	ile-iwe	case
trượng	caduceus	a unit of length used in vietnam equal to 4 meters (n.)
trượt	lati rọra	slide
trạch	ọkọ	ze
trại	àgọ́	camp
trạm	ibudo	station
trạng	majemu	situation
trạo	tao	trao
trả	sanwo	to return
trải	ideri	spread
trảm	kaju	beheaded
trảo	awọn ọrọ ọrọ	trao
trấn	ilu	town
trấu	iresi husk	rice skin
trầm	jinjin	depression
trần	si igboro	tran
trầu	tẹtẹ	trầu
trầy	rirun	scratch
trẩy	agbesoke	pilgrimage
trẫm	emi ni	i
trận	baramu	battle
trật	pin	order
trắc	biometiriki	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	funfun	white
trặc	hiccup	"entire phrase is ""truc trac""; means ""problem"""
trẻ	odo	youth
trễ	pẹ	late
trệ	alaigbọran	bamboo
trị	itọju	cure
trịnh	phnh	trịnh, a vietnamese last name
trọ	abirun	motel
trọn	kun	whole
trọng	pataki	serious
trỏ	awọn itọka	index
trối	ipari	last words
trốn	tọju	to hide
trống	ofo	in
trồi	nyoju	to emerge (v.)
trồng	dagba	plant
trổ	ṣafihan	to burst open or display
trỗi	farahan	rise
trội	jẹ gaba lori	better
trộm	olè	theft
trớn	iṣọra	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	ọlọrun	sun
trợ	atilẹyin	support
trụ	ọfiisi	universe
trục	àá	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	ihoho	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	ẹyin	egg
trừ	iyokuro	except
trừng	glare	punish
trừu	agutan	abstract
trữ	ibi ipamọ	reserve
trực	lori ise	direct
ts	ts	phd
tt	tt	news
tua	agọ	fringe
tucker	onigbọn	tucker, an english last name
tudor	tudor	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	tulip	tulip
tum	tum	tum
tung	sí	release
tupolev	tupolev	tupolev, as in alexei tupolev
tuscan	tuscan	(proper noun) tuscan
tutsi	tutsi	(proper noun) tutsi
tuvalu	tuvalu	(proper noun) tuvalu, a polynesian island nation
tuy	sibẹsibẹ	however
tuyên	kede	"(should be ""tuyên ngôn"") a declaration"
tuyết	yinyin	snow (n.)
tuyền	tuyen	tuyen
tuyển	rikurumenti	recruit
tuyệt	nla	excellent (adj.)
tuân	ṣègbọràn	comply
tuông	fọ danu	jealous
tuý	tuyý	drug
tuần	ọsẹ	week
tuế	minnows	years
tuệ	ọgbọn	intelligence
tuốc	yiyọ	turbine
tuổi	odun kan	age
tuộc	ẹja ẹlẹsẹ mẹjọ	octopus
tuột	isokuso kuro	slip
tuỳ	iyan	depend
tv	tẹlifisiọnu	tv
tvb	tvb	tvb
twin	ibeji	twin
twitter	twitter	twitter
ty	ty	company
type	oriṣi	type
typhon	typoni	typhon
tà	ibi	we
tài	ọrọ	talent (n.)
tàn	ru	dying
tàng	ile ọnọ	"(should be ""bảo tàng"") a museum"
tành	ede	shatter
tàu	ọkọ oju-omi	ship
tá	mejila	"(term should be ""thiếu tá"") major (n.)"
tách	ife	to separate
tái	tun	return
tám	mẹjọ	eight
tán	ibori	support
tánh	ede	life
táp	tẹ ni kia kia	to lap at (v.)
táu	ẹbi	ashton
tâm	aarin	tâm
tâu	oluwa mi	peach
tây	iwọ oorun	western
tâynam	iwọ oorun	"(should be ""tây-nam"") southwest"
tã	iledìí	diaper
tét	screech	tet
tê	nitosi	numb
tên	orukọ	name (n.)
tì	olorun	to lean on (v.)
tìm	wa	find
tìmdiệt	wa	find-kill
tình	ni ife	sex
tía	elese	dad
tích	ọja	"(term should be ""tích cực"") to be zealous (adv.)"
tím	awọ aro	purple
tín	kirediti	"(entire term should be ""tín dụng"") credit"
tít	akọle	"(term should be ""tít mù"") very far away (adv.)"
tò	iwariiri	curious
tòa	kootu	a court
tòi	nkan	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	tong	tòng, a last name
tóm	compendium	summary
tô	ekan	car
tôi	emi	i
tôm	awọn ede	shrimp
tôn	corrugated	venerate
tông	paali	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	ẹwọn	prison
tùng	apoju	tung
tùy	iyan	depend on
túc	itelorun	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	apamowo	pocket
túm	gbamu	catch
túng	iwuri	confuse
túp	ahere	hut
túy	oogun	"(term should be ""thuần túy"") pure (adj.)"
tý	iwọn	mouse, as in year of the mouse
tăm	aṣọ ọṣẹ	"(term should be ""tiếng tăm"") reputation"
tăng	pọ si	increase
tĩnh	aimi	calm
tơi	emi	ragged
tư	lati	posture
tưng	gbọn	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	alabapade	fresh
tương	jọra	"(term should be ""tương tự"") to be similar to"
tước	kọlu	title (n.)
tưới	agbe	irrigation
tướng	gbogboogbo	prime minister (thu tuong)
tường	ogiri	"a common vietnamese first name; means ""wall"""
tạ	barbell	weight
tạc	ere	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	ninu	survival
tạm	ipese	temporary
tạo	ṣẹda	create
tạp	iwe irohin	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	ijuwe	describe
tản	fifọ	disperse
tảng	pẹpẹ	platform
tấc	inch	inch
tấm	sii farahan	mirror
tấn	pupọ	tan
tấp	fa	crowded
tất	ibọsẹ	all
tấu	irinse	tau
tầm	awọn ere	range or extent (n.)
tần	igbohunsafẹfẹ	"(term should be ""tần số"") frequency (n.)"
tầng	ilẹ	layer
tầu	ọkọ oju-irin	ship
tẩm	impregnated	soak
tẩy	ìparun	to bleach
tận	ipari	dedicated
tật	ailera	disease
tắc	yipada	priciple
tắm	wẹ	bathing
tắt	paa	initial
tặc	olosa	"(term should be ""hải tặc"") a pirate (n.)"
tặng	ṣetọrẹ	donate
tẻ	drab	lẻ tẻ= scattered
tết	tita	(proper noun) the vietnamese new year
tếxã	ti ọrọ-aje	economy - society
tề	gba	tidy
tể	arabinrin	lord
tệ	buburu	bad
tệp	faili	file
tỉa	gige	"(term should be ""bắn tỉa"") to snipe"
tỉnh	ti agbegbe ilu	province
tị	ijowu	refugee
tịch	alakoso	"(""chủ tịch"") president or chairman"
tọa	ipoidojuko	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	ti ṣalaye	to
tỏa	tan	radiate
tỏi	ata ilẹ	garlic
tốc	iyara	speed
tốn	iye owo	to cost (v.)
tống	ikọlu	dispose
tốp	ẹgbẹ	top
tốt	o dara	good
tồi	buburu	bad
tồn	wa	exist
tổn	farapa	damage
tổng	lapapọ	president
tộc	idile	"(term should be ""dân tộc"") a race or people"
tội	ẹṣẹ	crime
tột	awọn iwọn	extreme
tớ	emi	servant
tới	itele	to the point
tờ	dì	paper/document
tởm	irira	disgusting
tục	agabagebe	"(term should be ""tập tục"") customs or practices"
tụy	ti oronro	"(term should be ""tận tụy"") devoted (adj.)"
tủ	awọn apoti ohun ọṣọ	shelf
tủi	buburu	humiliated
tủy	ọra	spine
tức	lẹsẹkẹsẹ	i.e.
từ	lati	from
từng	lailai	each
tử	iku	lion (su tu)
tửu	oti ifarada	wine
tự	iho	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	akọle	lean
tựu	awọn aṣeyọri	achievement
tỵ	ejo	the han name for the year of the snake, according to the chinese zodiac
tỷ	bilili	billion
u	u	tumor
ua	éù	ua
uae	uae	uae
ubuntu	ubuntu	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	uefa	uefa
uh	oh	uh
uk	uk	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ukraina	ukraine
ulsan	ulsan	ulsan
umm	ìyá	umm
un	un	(proper noun) un, as in chung un chan of korea
und	ati be be lo	und
under	labẹ	under
unesco	unesco	unesco
ung	ru	cancer
unicorn	alailoye	unicorn
unit	ẹyọkan	unit
unix	unix	unix
up	pipade	up
ural	éù	ural, as in the ural mountains
urani	kẹmika	uranium
uri	uri	uri, a former political party in south korea
uruguay	urur	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	us	uss
utah	utah	utah
utrecht	utrecht	(proper noun) utrecht
uy	éù	"(term should be ""uy lực"") power (n.)"
uyghur	uyghur	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyen	scholarly
uyển	ẹba	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	uzbekistan	uzbekistan
uông	uong	uong
uất	uất	busy
uốn	curling	to curl (v.)
uống	lati mu	to drink
uổng	jafara	vain
v	v	v
va	va	collide
vaccine	ajesara	vaccine
vai	ejika	shoulder
valencia	valencia	valencia
valentine	ololufe	valentine
valley	afonifoji	valley
van	àtọwọdá	"(term should be ""van xin"") to beg (v.)"
vanessa	vanessa	vanessa
vargas	vargas	(proper noun) vargas
vasari	vasari	vasari
vay	yawo	borrow
vectơ	fekito	vector
ven	pẹlú	"(term should be ""ven biển"") coastal (adj.)"
vendôme	vendôme	vendome
venezia	venezia	venice
venus	ẹṣẹ	venus
verdun	verdun	verdun
vermont	vermont	vermont
verona	verona	(proper noun) the city of verona
versailles	wapọ	(proper noun) versailles
vhs	vhs	vhs
vi	nitori	behavior
viagra	viagra	viagra
victor	segun	(proper noun) victor
victoria	iṣẹgun	victoria, a province of australia
vienna	vienna	(proper noun) vienna, austria
viet	viet	vietnamese
vietnam	vietnam	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	viking	viking
villa	villa	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	vince	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	vincent	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	wundia	(proper noun) virginia, as in the state
virus	kòkòrò àrùn fáírọọsì	virus
virút	kòkòrò àrùn fáírọọsì	virus
vissarionovich	vissarionovich	vissarionovich
vista	vista	vista, as in windows vista
vitamin	ajira	vitamin
vitruvius	fitila	vitruvius
viz	viz	(proper noun) viz
viêm	igbona	inflammation
viên	awọn tabulẹti	member
viêng	eré	vientiane
viêt	kikọ	vietnam
viếng	ṣàbẹwò	visit
viết	kọ	write
việc	iṣẹ	thing
viện	institute	institute
việt	vietnam	viet
việtmường	muong vietnamese	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	vn	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	erin	elephant
voip	voip	voip
voldemort	voldemort	(proper noun) voldemort, the villain from the harry potter series
von	von	compare
vonfram	tungsten	wolfram
vong	farapa	injured
voyager	irin ajo	voyager
voọc	awọn ile	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	ọba	king
vui	igbadun	happy
vulcan	àbuku	vulcan
vuông	square	square
vuốt	tapa	stroke
vv	abbl.	etc.
vy	vy	vy
vyacheslav	vyacheslav	vyacheslav
và	ati	and
vài	diẹ	several
vàm	vm	the mouth of a rivulet (n.)
vàng	odo	gold
vành	rim	coronary
vào	sinu	into
vá	abulẹ	patchy
vác	rù	to shoulder (v.)
vách	ogiri	wall
vái	bẹẹni	some
ván	plank	game
váng	itanjẹ	film
váy	aṣọ	skirt
vân	bẹbẹ lọ	"(term should be ""vân vân"") et cetera"
vây	pari	encircle
vã	sare	rush
vãi	nik	to release
vãn	fani	save
vè	tọ	to glance slyly (v.)
vé	tiketi	ticket
vét	àgbọn	plunder
vê	nipa	tremolo
vì	nitori	because
ví	apamọwọ	example
vía	apamọwọ	soul
vít	dabaru	screw
vò	isubu	jar
vòi	iho okun	tap
vòm	orule	upper jaw
vòng	òrùka	around
vó	hoooo	hooves
vóc	iwọn	"(should be ""vóc sương"") dew-like or delicate"
vô	rárá	"(term should be ""vô số"") countless (adj.)"
vôi	orombo wewe	limestone
võ	ogun	martial arts (n.)
võng	akùn	hammock
vùi	sin	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	ẹkùn	region
vú	igbaya	breast (n.)
vút	soaring	"entire term should be ""cong vut""; extreme curling"
văn	litireso	culture
văng	asesejade	a name
vĩ	nla	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	titilai	ving
vũ	vu	armed
vũng	ìwúwo	vung
vơ	ainiagbara	lost
vơi	pẹlu	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	de ọdọ	reach
vương	ọba	kingdom
vướng	tẹmọlẹ	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	ọgba	garden
vượn	awọn ẹwẹ	gibbon
vượt	rekoja	to overcome
vạ	nitorinaa	unfortunate problem
vạc	ẹyẹ	cauldron
vạch	pẹpẹ	bar
vại	idẹ	jar
vạn	egberun mewa	thousand
vạng	alẹ́	twilight
vả	eeya	hard
vải	aṣọ	fabric
vảy	irẹjẹ	scale
vấn	imọran	vấn đề= problem
vấp	pariwo	stumble
vất	ju danu	hard
vần	rhyme	spell
vầng	halo	moon (vang trang)
vẩn	tun	wander
vẩy	awọn flakes	scale
vẫn	tun	still
vẫy	waving	wave
vận	ọrọ	active
vắc	ajesara	vaccine
vắcxin	ajesara	vaccine
vắn	kukuru	short
vắng	isansa	absent
vặn	dabaru	to twist (v.)
vặt	awọn kilasika	odd
vẹn	iduroṣinṣin	complete
vẹt	awọn parrots	parrots
vẽ	kikun	draw
vết	abulẹ	wound
vểnh	perch	warping
vệ	olugbeja	"(term should be ""bảo vệ"") to defend (v.)"
vệt	ṣiṣan	streak
vỉa	awọn seams	"(term should be ""vỉa hè"") sidewalk"
vịnh	bay	bay
vịt	pepeye	duck
vọng	ireti	"(term should be ""hy vọng"") hope (n.)"
vọt	agekuru	to spurt out (v.)
vỏ	epo igi	shell
vồ	maul	"(term should be ""gạch vồ"") a type of brick"
vỗ	pat	to clap
vội	yiyara	hurriedly (adv.)
vớ	ibọsẹ	"(term should be ""vớ vẩn"") silly (adj.)"
với	pẹlu	to
vớt	ẹja	salvage
vờ	dibọn	"(term should be ""giả vờ"") to pretend (v.)"
vời	nla	wonderful
vở	ajako	"(term should be ""vở kịch"") a play"
vỡ	fifọ	break
vợ	iyawo	wife
vụn	awọn eerun	debris
vụng	pagunpagun	covert
vứt	ju danu	throw away
vừa	ibaamu	just (adv.)
vừng	sesame	sesame (n.)
vững	iduroṣinṣin	firm (adj.)
vực	pápá	place
vựng	fokabulari	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	nitorinaa	majestic
w	w	w
wa	wa	wa
walt	walt	(proper noun) walt, as in walt disney
walter	walter	walter
walther	amuwa	walther
wan	wan	wan
wang	wanj	wang
wankel	wankel	(proper noun) wankel
wanna	fẹ	wanna
warren	warren	a name
warsaw	warsaw	warsaw
warszawa	warszawa	(proper noun) warsaw
washington	aṣọ iwẹ	(proper noun) washington
wat	wo	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	pẹtẹlẹ	watergate
waterloo	waterloo	(proper noun) waterloo
waters	omi	waters
wayne	ọna	wayne
wcdma	wcdma	w-cdma
weasley	weasley	weasley, as in ron weasley in the harry potter series
weblog	wẹẹbu	weblog
webmail	adirẹsi wẹẹbu	ưebmail
weimar	weimar	(proper noun) weimar
wellington	alafia	wellington
wells	kanga	wells, as in author orson wells
welsh	àwæn	(proper noun) welsh, as in the welsh language
wembley	ara ẹni	wembley, as in wembley stadium
werner	werner	werner
westermarck	westermarck	westermarck
western	iwọ oorun	western
westlife	iwọ oorun	westlife
westview	iwo oorun	westview, as in westview press
wheeler	wheeler	a name
widener	ẹrọ ailorukọ	widener
wien	wi	wien
wiener	wiener	wiener
wifi	wifi	wi-fi, a technology term
wiki	wiki	wiki
wikia	wikia	a name
wikibooks	wikibooks	(proper noun) wikibooks
wikimapia	wikimapia	wikimapia
wikimedia	wikimedia	wikimedia
wikitravel	wikitravel	a name
wild	egan	wild
