$	ps	american dollar symbol
கனடா	canadá	canada
கனடாவின்	de canadá	canada
கனடிய	canadiense	canadia
கனரக	pesado	heavy works
கனவளவு	volumen	volume
கனவு	sueño	dream
கனவுகள்	sueños	dreams
கனிம	inorgánico	chemical
கனிமொழி	kanimozhi	kanimozhi a name
கன்னட	kannada	of kannada
கன்னடம்	kannada	kannda
கன்னி	virgo	virgin
கன்னியாகுமரி	kanyakumari	kanyakumari
கன்று	becerro	young ones of an elephant are called baby elephant or calf.
கபிலர்	kapilar	kabilar
கப்பம்	tributo	tax
கப்பற்படை	flota	naval force
கப்பலின்	buques	in the ship
கப்பலில்	envío	ship
கப்பல்	embarcacion	ship
கப்பல்களின்	de barcos	ships'
கப்பல்களும்	buques	ship
கப்பல்களை	buques	ships
கப்பல்கள்	buques	ships
கப்பி	polea	pulley
கமல்ஹாசன்	kamal	kamal hassan
கமிட்டி	comité	committee
கம்பன்	kamban	kambar
கம்பர்	kambar	kamban
கம்பி	cable	wire
கம்பியில்லா	sin cable	wireless
கம்போடிய	camboyano	kampodia
கம்போடியா	camboya	cambodia
கம்போடியாவின்	camboya	combodia
கம்யூனிச	comunista	communism
கம்யூனிஸ்ட்	comunista	communist
கயானா	guayana	gayana
கரடிகள்	osos	tear
கரம்சந்த்	karamchand	karamchand
கராங்கைடீ	karankaiti	carangidae a fish family
கரிகாலன்	karikala	karikalan
கரிம	orgánico	organic
கரியமில	carbón	carbon di oxide
கரீபியன்	caribe	carribean
கரு	fetal	sperm
கருக்கலைப்பு	aborto	abortion
கருணாநிதி	karunanidhi	karunanithi
கருணை	amabilidad	mercy
கருத	considerado	thought
கருதப்	considerado	to plan
கருதப்படுகின்றது	considerado	assumed
கருதப்படுகின்றன	considerado	thought
கருதப்படுகிறது	considerado	considered
கருதப்படுகிறார்	considerado	known
கருதப்படும்	considerado	considered
கருதப்படுவது	para ser considerado	thought
கருதப்பட்ட	articulado	think of
கருதப்பட்டு	considerado	considered
கருதலாம்	puede ser considerado	say
கருதி	considerando	considering
கருதினர்	considerado	thought
கருதினார்	considerado	considered
கருதினார்கள்	considerado	thinking
கருதிய	considerado	thought
கருதுகின்றனர்	considerar	assumed
கருதுகோள்	hipótesis	assumption
கருதும்	considera	to have that
கருதுவது	asumir	to think about
கருத்தடை	esterilización	abortion
கருத்தரிப்பு	el embarazo	pregnancy
கருத்தாகும்	proposición	opinion
கருத்தியல்	teórico	matter
கருத்தில்	considerando	in view of
கருத்து	comentario	opinion
கருத்துகளை	comentarios	comment
கருத்துக்களை	opiniones	opinion
கருத்துக்களைக்	comentarios	take the opinion
கருத்துக்களையும்	comentarios	all the points
கருத்துக்கள்	opiniones	opinions
கருத்துப்படி	de acuerdo con la	opinion
கருத்தும்	opiniones	thought
கருத்துரு	conceptual	concept
கருத்துருக்கள்	conceptos	conceptions
கருத்தை	idea	opinion
கருத்தோட்டம்	noción	intellectual things
கருநாடக	karnataka	karunadaka
கருப்பு	negro	black
கருப்பை	útero	uterus
கரும்பு	caña de azúcar	sugarcane
கரும்புலிகள்	tigre negro	black tigers
கருவறை	santuario	specific part
கருவிகளில்	en herramientas	instrument
கருவிகளை	herramientas	instruments
கருவிகள்	accesorios	machines
கருவை	fetos	egg
கரூர்	karur	karur
கரை	apuntalar	sea or river bank
கரையில்	apuntalar	shore
கரையை	apuntalar	shore's
கரையோரப்	costa	coastal
கரோலினா	carolina	carolina
கர்நாடக	karnataka	carnatic music
கர்நாடகத்தில்	en karnataka	in karnataka
கர்நாடகம்	karnataka	karnataka
கர்ம	karma	karma
கறுப்பின	negro	the black
கறுப்பு	negro	black
கற்க	aprender	to study
கற்கள்	gemas	stone
கற்கும்	estudiantes	to learn
கற்பனை	imagina	imaginations
கற்பனைக்	ficción	imaginary
கற்றல்	aprendizaje	learning
கற்றார்	aprendido	learner
கற்று	aprender	to learn
கலக்கிறது	mezclas	mixed
கலக்கும்	arrastramiento	mixed
கலங்கரை	faro	essay
கலசம்	ataúd	kalasam
கலந்த	mezclado	mixed
கலந்து	mezcla	discuse
கலன்	cubeta	cells
கலப்பின	híbrido	mixed
கலப்பு	mezcla	mixed
கலப்புப்	mezclado	mixed
கலம்	célula	cell
கலவை	composición	mixure
கலாசார	cultura	cultural
கலாச்சார	cultural	culture
கலாச்சாரத்தின்	de cultura	for culture
கலாச்சாரத்தில்	en la cultura	culture
கலாச்சாரம்	cultura	cultures
கலி	gali	a period of destruction
கலிபோர்னியா	california	california
கலை	letras	art
கலைகளை	las artes escénicas	arts
கலைகள்	letras	arts
கலைக்	letras	arts
கலைக்களஞ்சியங்கள்	enciclopedias	wikipedia
கலைச்சொற்கள்	glosario	cultural terms
கலைஞர்	artista	artist
கலைஞர்கள்	artistas	actors
கலைப்	letras	cultures
கலையாகும்	colgado	art
கலையின்	letras	art
கலையில்	en las artes	arts
கல்	roca	stone
கல்கத்தா	calcuta	calcutta
கல்கத்தாவின்	calcuta	kalkatha
கல்கி	kalki	janarlisum
கல்யாண	kalyana	marriage or wedding
கல்யாணம்	casado	marriage
கல்லறை	cementerio	death place
கல்லீரல்	hígado	lever
கல்லூரி	universidad	college
கல்லூரிகள்	colegios	colleges
கல்லூரியின்	universidad	college's
கல்லூரியில்	en la universidad	in college
கல்வி	educación	education
கல்வியிலும்	y educación	in the education also
கல்வியும்	educación	education
கல்வியை	educación	education
கல்வெட்டு	inscripción	sculpture
கல்வெட்டுகளில்	inscripciones	inscription
கல்வெட்டுகள்	inscripciones	inscriptions
கல்வெட்டுக்களில்	en inscripciones	inscription
கல்வெட்டுக்கள்	inscripciones	stone carvings
களங்களின்	dominios	for the fields
களங்கள்	dominios	domains
களஞ்சியம்	repositorio	wikidpedia
களப்பிரர்	kalabhra	a type of caste
களமாக	en el campo	a place for
களம்	loco	field
களின்	s	have that
களிலும்	temprano	in the years
களை	hierba	weast
கள்ளர்	ladrones	kallar a community in tamilnadu
கழகத்தின்	liga	club
கழகத்தில்	corporación	party
கழகத்தை	liga	a party
கழகம்	corporación	institute
கழித்தல்	menos	subtraction
கழித்து	luego	after
கழிவு	residuos	waste
கழிவுகள்	residuos	wastages
கழிவுநீர்	alcantarillado	ditch water
கழுகு	águila	eagle
கழுத்து	cuello	neck
கழுத்துப்பட்டை	collar	cervical
கவச	blindado	protective structure
கவனத்தில்	nota	make note of
கவனத்தை	atención	consentrat
கவனமாக	cuidadosamente	carefully
