$ tỉ	милијарду долара	$ billion
kiêng	уздржати се	abstinence, as in abstaining from eating
kiêu	арогантан	showy
kiếp	животни век	a lifetime (n.)
kiết	киет	cheap (adj.)
kiềm	алкални	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	проверавати	control
kiểu	тип	type
kiệm	економичан	save
kiện	да тужи	event (su kien)
kiệt	ремек-дело	exhausted (adv.)
kiệu	паланкуин	scallion
klaus	клаус	klaus
klein	клеин	klein
km	километар	kilometer
knesset	кнессет	knesset
knuth	кнутх	knuth, as in donald knuth
koch	коцх	koch
kodansha	кодансха	kodansha
kofun	кофун	kofun, as in the kofun period of japanese history
kogoro	когоро	kogoro
komodo	комодо	komodo
kon	кон	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	конг	(proper noun) kong, as in hong kong
konstantin	константин	(proper noun) konstantin
konversationslexikon	конверсатионслекикон	konversation-lexikon
kop	коп	kop
koran	коран	koran
kornai	корнаи	(proper noun) kornai, as in janos kornai
koruna	коруна	koruna
kosovo	косово	(proper noun) kosovo
kremli	кремли	kremil
kremlin	кремлин	kremlin
kristen	кристен	kristen
krông	кронг	krong
ku	ку	is a name
kuala	куала	(proper noun) kuala, as in kuala lumpur
kubrick	кубрицк	kubrick
kuen	куен	kuen
kuiper	куипер	(proper noun) kuiper, as in the kuiper belt
kulak	кулак	kulak
kune	куне	(proper noun) kune, as in the martial art jeet kune do
kung	кунг	danh vo
kungfu	кунг фу	kung fu
kunst	кунст	kunst, as in richard kunst
kurd	курд	kurd
kurt	курт	(proper noun) kurt
kuwait	кувајт	kuwait, the country (n.)
kwan	кван	kwan
kwen	квен	kwen
kwon	квон	kwon, as in tae kwon do; proper noun
kyrgyzstan	киринкистан	(proper noun) the country of kyrgyzstan
kyushu	киусху	kyushu
kyūshū	киусху	kyushu, a japanese island
kèm	у прилогу	included
kèn	труба	horn
kém	најмање	less
kén	кокон	selective
kéo	повуци	scissors
kép	дуал	dual
két	сефови	"(term should be ""rốc két"") rocket (n.)"
kê	просо	statistics
kênh	канала	channel
kêu	сондирање	appeal
kìa	ево	that
kìm	клијешта	bar
kình	наочаре	rivalry
kí	знак	sign
kích	кликни	excite
kíchbom	кликни дугме	bombers
kín	приватно	secretive or closed tight (adj.)
kính	наочаре	respect
kíp	посада	esoterica
kít	врискано	wheelbarrow
ký	знак	"(""nhật ký"") a diary"
kĩ	пажљиво	technique
kơnia	каиа	a tree found in southeast asia; sometimes called wild mango
kạn	кан	kan
kẹo	бомбона	candy
kẹp	клип	to clamp down (v.)
kẹt	заглавити	jam
kẻ	момци	guy
kẻo	да не би	lest
kẽ	међупросторни	crevice
kẽm	цинк	zinc
kế	следећи	a scheme (n.)
kết	крај	combine
kề	суседни	adjacent
kềnh	гломазан	bulky
kệ	полице	ignore
kỉ	век	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	коњица	ki
kịp	задржати	kip
kỵ	коњица	taboo
kỷ	век	"(term should be ""thế kỷ"") century (n.)"
l	л	l.
label	етикета	label
laboulaye	лабоулаие	a name
ladakh	ладакх	(proper noun) ladakh
lai	хибрид	"(term should be ""tương lai"") the future (n.)"
lam	лам	lam
lama	лама	a name
lan	лан	a name
land	земљиште	land
landon	дочекати се на	a name
lang	ланг	lang
langdon	лангдон	langdon
lange	ланге	lange, as in oscar lange
langue	лангуе	langue
lanh	постељина	ringing
lanka	ланка	(proper noun) lanka, as in the island of sri lanka
lao	тб	labor
laos	лаос	(proper noun) laos
lap	крило	greek
larry	ларри	larry
lars	ларс	lars
las	лас	(proper noun) las, as in las vegas
laser	ласер	laser
lateran	латеран	lateran
latinh	латински	latin
latvia	латвиа	(proper noun) latvia
lau	обришите	lau
laura	лаура	(proper noun) laura, as in laura bush
laurence	лауренце	(proper noun) laurence
lawrence	лавренце	(proper noun) lawrence
lay	лежати	lay
lazarus	лазарус	(proper noun) lazarus
leach	леацх	(proper noun) leach
leaf	лист	leaf
leave	отићи	leave
lebanon	либанон	(proper noun) lebanon
lee	лее	lee
legacy	наслеђе	legacy
leiden	леиден	leiden
lem	лем	cinderella
lenin	ленин	lenin
lenins	ленинс	lenin's
leo	попети се	climb
leon	леон	leon
leonard	леонард	leonard
leonardo	леонардо	(proper noun) leonardo, as in leonardo da vinci
leonid	леонид	leonid
les	лес	les
leslie	леслие	a name
lesotho	лесотхо	lesotho
lg	лг	lg
lhp	лхп	film festival
lhq	лхк	un
libby	либби	(proper noun) libby
libero	либеро	libero
libya	либија	libya
lido	лидо	lido
liechtenstein	лиецхтенстеин	liechtenstein
liga	лига	a name
lightning	муња	lightning
lilly	лили	(proper noun) lilly
linga	линга	linga
linh	линх	efficacious (adj.)
links	линкови	links
linux	линук	linux server
lionel	лионел	lionel
lisboa	лисбоа	lisboa
lisbon	лисбон	a name
litva	литванија	(proper noun) lithuania
liu	лиу	liu
liêm	интегритет	good example
liên	подухват	relate
liêng	свето	sacred
liêu	бирократија	bureaucracy
liềm	српасти	sickle
liều	доза	daring
liễu	врба	a willow tree (n.)
liệng	бацити	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	парализа	impotent
liệu	да ли је	document
lleyton	ллеитон	lleyton
lo	забринути	to worry (v.)
loa	говорити	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	лоаита	loaita
loang	гладак	patchy
loch	лоцх	loch
locke	лоцке	(proper noun) locke, as in philosopher john locke
lockheed	лоцкхеед	(proper noun) lockheed, as in lockheed martin
log	пријава	log
logan	логан	a name
lon	моћи	lon
london	лондон	london
long	дуго	dragon
lorenzo	лорензо	lorenzo
los	лос	los, as in los angeles
louis	лоуис	louis
louisiana	лоуисиана	(proper noun) the state of louisiana
louvre	лоувре	(proper noun) louvre
love	љубав	yeu
loài	врста	species
loát	блистав	overturn
loãng	васхи	wishy-washy
loét	чир	gaping, as in a wound
loại	врста	type
loạianh	тип	not a word
loạianime	упишите аниме	type anime
loạibệnh	врста болести	disease
loạichiến	тип	loaichien
loạicác	тип	item
loạicâu	тип	type: club
loạicông	тип	type: industry
loạicựu	тип	kind former
loạigia	тип	loaigia
loạihuân	киндхуан	not a word
loạiluật	врста закона	type: law
loạimáy	врста машине	kind plane
loạimôn	тип	type
loạingày	откуцајте ово	loaingay
loạiphim	врста филма	type movie
loạiphong	тип	kind of movement
loạiscandal	тип	scandal type
loạithuật	врста закона	type: lexicon
loạithành	тип	kinds of payment
loạithần	тип	kind myth
loạitrường	врста школе	type of school
loạitín	врста	type: belief
loạitổ	тип	kind organization
loạivõ	типе типе	type: martial art
loạixã	тип	kind of society
loạn	поремећај	disorderly
loạt	серија	series
lp	лп	lp
lu	лу	dim
luang	луанг	a name
lucas	луцас	(proper noun) lucas
lucia	луциа	lucia, as in the island of saint lucia
luciano	луциано	luciano
ludendorff	лудендорфф	luđenorff
ludovico	лудовицо	ludovico
ludwig	лудвиг	ludwig
lui	назад	withdrawal
luis	луис	(proper noun) luis, a first name
luiz	луиз	luiz
lula	лула	lula
lung	плућа	shake
lustig	лустиг	lusig
luther	лутхер	luther
luxembourg	луксембург	a name
luy	луи	luy
luyến	прилог	love
luyện	обука	training
luận	коментирај	"(term should be ""xã luận"") an editorial"
luật	закон	law
luồn	са навојем	wriggle
luồng	стреам	lane
luộc	куван	boiled
luỹ	кумулативно	rampart (n.)
ly	стакло	divorce
lydia	лидиа	lydia
lympho	лимфом	lymphocyte
lyndon	линдон	lyndon
lyon	лион	lyon
là	био	the verb to be
làm	урадити	make
làn	трака	wave
làng	село	village
lành	оздравио	protestant
lào	лаос	laos
lá	оставља	"(term should be ""lá thư"") a letter (n.)"
lác	шкљоцати	brag
lách	слезине	to swerve (v.)
lái	погон	to drive (v.)
lán	схацк	shack
láng	сјајан	neighbours
lâm	лам	lâm, a common vietnamese first name
lân	једнорог	nearby
lâu	дуго	long time
lây	заразан	to infect
lãi	камате	a profit
lãm	емисије	exhibition
lãnh	примљен	to receive
lão	стари	old
lèo	лео	"(term should be ""nước lèo"") broth (n.)"
lén	склизнути	sneak
lê	крушка	le
lêmạc	светлост	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	горе	on
lênh	команда	"(should be ""lênh đênh"") adrift"
lênin	лењин	lenin
lìa	отићи	to leave (v.)
lình	одједном	suddenly
lí	складиште	reason
lính	војник	soldier
lít	литра	litre
líu	гугутање	"(term should be ""dính líu"") to have a connection with"
lò	рерна	release
lòng	сломити	heart
lóc	снакехеад	cry
lóe	трептао	flash
lóng	сленг	"entire term should be ""tieng long""; means ""slang"""
lót	подстава	undies
lô	пуно	batch
lôi	грешка	encourage
lôn	лол	"(term should be ""côn lôn"") a village in vietnam"
lông	коса	hair
lõi	језгро	core
lõm	конкавно	concave
lùi	уназад	back
lùn	кратак	dwarf
lùng	ловити	hunt
lúa	неолушан	rice
lúc	у	at the moment
lún	пропадање	subside
lúng	фларе	confused
lúp	увећавајуће	uneven
lút	лукав, препреден	surreptitiously
lăm	пет	tens
lăn	ваљање	attack
lăng	маузолеј	tomb
lĩnh	домени	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	поплава	a band or gang (n.)
lũng	долина	valley
lũy	кумулативно	rampart
lơ	занемаривање	to ignore
lơi	опусти	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	кадионица	an urn
lưng	назад	back
lươn	јегуља	eel
lương	плата	conscience
lưới	решетка	a net (n.)
lướt	сурфинг	ski
lười	лијен	lazy
lưỡi	језик	tongue
lưỡng	бисексуалан	"(term should be ""lưỡng tính"") bisexual"
lược	чешаљ	invasion
lượm	скупити	pick up
lượn	клизање	to glide over (v.)
lǐ	ли	(proper noun) li, as in jet li
lạ	чудан	strange or unusual (adj.)
lạc	изгубљен	camel
lạch	поток	"(term should be ""luồng lạch"") a narrow water passageway"
lại	опет	reversed
lạn	труло	bright
lạng	ланг	lang
lạp	кобасица	"(term should be ""hy lạp"") greek"
lạtma	ламма	lama
lạy	простран	kowtow
lấn	посезање	to encroach on (v.)
lấp	испунити	sparkle
lấy	бирати	taken
lầm	погрешно	wrong
lần	пута	time
lầu	под	a story or level of a building (n.)
lầy	мочварно	swamp
lẩu	хот пот	hotpot
lẩy	скочи	get
lẫn	збуњен	each other
lẫy	прстохват	illustrious
lận	варати	fraudulent
lật	окрени	turn
lậy	ох да	"(term should be ""cai lậy"") the name of a rural district"
lắc	мућкати	to shake (v.)
