$	$ $	dollars
الطب	medicina	medicine
الطباشيري	cretáceo	cretaceous
الطباعة	imprimir	printing
الطبري	al-tabari	al-tabari
الطبعة	edicion	edition
الطبقة	clase	class
الطبي	médico	the medical
الطبيب	el doctor	doctor
الطبية	médico	medical
الطبيعة	la naturaleza	natural
الطبيعي	natural	natural
الطبيعية	natural	the natural
الطرائد	el juego	preys
الطراز	estilo	style
الطرف	fiesta	side
الطرفين	las dos partes	the two sides
الطرق	caminos	ways
الطريق	el camino	the road
الطريقة	camino	the method
الطعام	la comida	food
الطفل	el niño	the child
الطفولة	infancia	childhood
الطقس	tiempo	weather
الطقوس	rituales	rituals
الطلاب	estudiantes	students
الطلب	la solicitud	demand
الطلبة	estudiantes	students
الطوائف	sectas	communities
الطور	fase	tor
الطول	longitud	length
الطويل	el largo	long
الطويلة	largo	long
الطيب	lo bueno	el tayeb
الطيران	volando	aviation
الطيف	espectro	spectrum
الطين	arcilla	mud
الطيور	los pájaros	birds
الظاهر	aparente	addaher
الظاهرة	fenómeno	phenomenon
الظاهري	virtual	virtual
الظروف	condiciones	circumstances
الظلام	la oscuridad	the dark
الظلم	injusticia	injustice
الظهر	mediodia	noon
الظهور	apareciendo	appearance
الظواهر	fenómenos	phenomena
العائلات	familias	the families
العائلة	la familia	the family
العابدين	adoradores	el-abedin
العادات	hábitos	habits
العادة	hábito	usual
العادل	justo	the just
العادي	normal	normal
العادية	regular	normal
العاشر	el décimo	the tenth
العاشرة	el décimo	the tenth
العاص	el aas	el aas
العاصمة	la capital	the capital
العالم	el mundo	the world
العالمي	universal	international
العالمية	global	international
العالمين	mundos	the two worlds
العالي	superior	the high
العالية	alta	high
العام	año	the year
العامة	general	public
العامل	el trabajador	the factor
العاملة	trabajando	working
العاملين	trabajadores	workers
العامية	vernáculo	colloquial
العامّة	general	the common
العباد	sirvientes	worshipers
العبادات	adoración	the worshippen
العبادة	adoración	worship
العبارة	el ferry	the term
العباس	al abbas	abbas
العباسي	abbasid	abbasid
العباسية	abbasid	abbasid
العباسيون	los abasidas	abbasids
العباسيين	los abasidas	abbasids
العبد	el sirviente	el-abd
العبرية	hebreo	hebrew
العبودية	servidumbre	slavery
العبّاسية	el abbassieh	the abbasid
العثماني	el otomano	ottoman
العثمانية	otomano	ottoman
العثمانيون	los otomanos	the ottomans
العثمانيين	los otomanos	ottomans
العثور	encontrar	find
العجز	impotencia	deficit
العدالة	justicia	justice
العدد	el numero	number
العدل	justicia	justice
العدو	el enemigo	enemy
العدوان	agresión	attack
العدوى	infección	infection
العديد	muchos	many
العديدة	numerosos	many
العذبة	fresco	fresh water
العذراء	la virgen	the virgin
العراق	iraq	iraq
العراقية	iraquí	iraqi
العراقيين	iraquíes	iraqi
العرب	los árabes	arab
العربي	el árabe	arabi
العربية	árabe	the arabic
العرش	el trono	throne
العرض	el show	demonstration
العرق	carrera	origin
العرقي	étnico	mass killing
العرقية	étnico	ethnic
العروض	ofertas	poetics
العريضة	la petición	wide
العريقة	antiguo	ancient
العزيز	querido	dear
العسكر	el militar	soldiers
العسكري	militar	military
العسكرية	militar	martial
العسكريين	el militar	military
العسل	miel	honey
العش	el nido	al-esh
العشاء	la cena	the dinner
العشائر	clanes	families
العشر	los diez	the tenth
العشرة	los diez	ten
العشرين	veinte	twentieth
العشرينات	veinte	the twenty's
العصابات	pandillas	gangs
العصبي	nervioso	the neurological
العصبية	nerviosismo	the neurotic
العصر	la edad	era
العصور	las edades	ages
العضلات	músculos	muscles
العضو	usuario	member
العضوية	membresía	membership
العطل	vacaciones	vacations
العظام	los huesos	the bones
العظم	el hueso	aladem
العظمى	genial	great
العظمي	el esqueleto	great
العظيم	el gran	the great
العظيمة	genial	great
العفو	perdón	amnesty
العقائد	doctrinas	beliefs
العقائدية	dogmático	ideological
العقاد	akkad	el akkad
العقبة	el obstáculo	aqaba
العقد	el contrato	decade
العقل	la mente	brain
العقلي	mental	mental
العقلية	mental	mentality
العقوبات	sanciones	sanctions
العقود	contratos	decades
العقول	cerebros	minds
العقيد	coronel	colonel
العقيدة	credo	the believe
العكس	lo contrario	the opposite
العلاء	el alto	alaa
العلاج	tratamiento	therapy
العلاجية	curativo	therapeutic
العلاقات	relaciones	relations
العلاقة	relación	the relation
العلامة	la marca	genius
العلل	males	ills
العلم	ciencia	flag
العلماء	los cientificos	the scientists
العلمانية	laicismo	secular
العلمي	científica	the scientific
العلمية	científica	the scientific
العلوم	ciencia	the sciences
العلوي	superior	el-olwey
العلوية	de arriba	alawites
العلويين	alauitas	alawites
العلي	más alto	al-ali
العمارة	arquitectura	architecture
العمال	trabajadores	workers
العمالة	empleo	employment
العمالية	trabajo	labor
العمر	edad	age
العمران	urbanismo	building
العمراني	urbano	architectural
العمرانية	urbanismo	imran
العمرة	umrah	omrah
العمري	al-omari	age
العمق	profundidad	depth
العمل	trabajo	work
العملاق	el gigante	the huge
العملاقة	el gigante	huge
العملة	moneda	currency
العملي	práctico	practical
العمليات	operaciones	operations
العملية	operación	operation
العمود	columna	amood (name)
العموم	los comunes	commons
العمومية	generalidad	public
العميق	profundo	the deep
العميقة	profundo	deap
العناصر	los elementos	elements
العناية	cuidate	deal with
العنب	uvas	grape
العنصر	el elemento	the element
العنف	violencia	violence
العهد	el pacto	the era
العواصف	tormentas	the storms
العوام	plebeyos	floater
العوامل	factores	factors
العود	el laúd	el oud
العودة	volver	back
العولمة	globalización	the globalization of
العيد	eid	el eid
العيش	vivir	living
العين	el ojo	eye
العينين	ojos	eyes
العيون	ojos	eyes
الغابات	los bosques	forests
الغابة	la jungla	forest
الغاز	el gas	gas
الغازات	gases	gases
الغازي	invasor	gaseous
الغالب	mayormente	usually
الغالبية	la mayoria	the vast
الغبار	el polvo	dust
الغدد	glándulas	glands
الغذاء	comida	nutriment
الغذائي	comida	alimentary
الغذائية	comida	food
الغرب	oeste	west
الغربي	occidental	occidental
الغربية	occidental	western
الغربيين	occidentales	westerners
الغرض	propósito	reason
الغرفة	el cuarto	chamber (of commerce)
الغزاة	los invasores	invaders
الغزالي	al-ghazali	el-ghazaly
الغزل	girando	spinning
الغزو	la invasión	invasion
الغزوات	invasiones	forays
الغشاء	la membrana	the membrane
الغطاء	la portada	cover
الغلاف	cubierta	cover
الغلوكوز	glucosa	glucose
الغليون	tubo	pipe
الغموض	misterio	mystery
الغني	rico	rich
الغنية	rico	rich
الغير	otros	not
الـ	el	the
الفئات	categorias	groups
الفئة	categoría	category
الفائدة	interés	benefit
الفائز	el ganador	winner
الفاتح	al fateh	conqueror
الفاتحة	al-fatiha	al-fatiha
الفاتيكان	vaticano	vatican
الفارابي	al-farabi	el farabi
الفارسي	persa	persian, farsi
الفارسية	persa	persian
الفاشية	fascismo	fascism
الفاصل	el separador	deviding
الفاطمي	fatimí	the fatimid
الفاطمية	fatimidismo	fatimid
الفاطميين	los fatimíes	fatimids
الفتاة	la niña	the girl
الفتح	la conquista	the conquering
الفترات	períodos	periods
الفترة	periodo	period
الفتنة	discordia	conflict
الفتوح	al-futouh	liberations
الفتوحات	conquistas	conquers
الفجر	amanecer	dawn
الفجوة	la brecha	the gap
الفحص	examen	inspection
الفحم	carbón	coal
الفخار	cerámica	pottery
الفدرالي	federal	federal
الفدرالية	federalismo	federal
الفرات	eufrates	al-furat
الفراش	la ropa de cama	el ferash
الفراعنة	faraones	pharaohs
الفراغ	vacío	void
الفرج	vulva	the vagina
الفرد	el individuo	the individual
الفردي	solteros	individual
الفردية	individual	individual
الفرس	los persas	the persians
الفرسان	caballeros	knights
الفرصة	oportunidad	chance
الفرع	la rama	branch
الفرعونية	faraónico	pharaonic
الفرعية	sub	sub-
الفرق	la diferencia	difference
الفرقة	la banda	the band
الفرن	el horno	oven
الفرنجة	los francos	franks
الفرنسي	francés	the french
الفرنسية	francés	the french
الفرنسيون	los franceses	the french
الفرنسيين	los franceses	the french
الفروع	ramas	branches
الفريدة	único	unique
الفريق	el equipo	team
الفريقان	los dos equipos	the two teams
الفريقين	los dos equipos	the two teams
الفساد	la corrupción	corruption
الفصائل	las facciones	factions
الفصح	pascua	easter
الفصحى	clasico	standard
الفصل	capitulo	chapter
الفضاء	espacio	the space
الفضائي	extranjero	of space
الفضائية	satélite	satellite
الفضة	plata	silver
الفضل	el credito	favor
الفطر	hongos	feast
الفعالة	eficaz	effective
الفعل	el acto	verb
الفعلي	el actual	the actual
الفعلية	el actual	executive
الفقر	la pobreza	poverty
الفقراء	los pobres	poor
الفقري	columna vertebral	spinal
الفقه	jurisprudencia	jurisprudence
الفقهاء	juristas	scholars
الفقهية	jurisprudencia	juristic
الفقيرة	pobre	poor
الفقيه	faqih	the faqih
الفكر	pensamiento	thought
الفكرة	la idea	the idea
الفكري	intelectual	intellectual
الفكرية	intelectual	the intellectual
الفلاحين	campesinos	farmers
الفلاسفة	filósofos	philosophers
الفلبين	las filipinas	philippines
الفلبينية	filipino	philippine
الفلسطيني	palestino	the palestinian
الفلسطينية	palestino	palestinian
الفلسطينيون	los palestinos	the palestines
الفلسطينيين	palestinos	palestinians
الفلسفة	filosofía	phylosophy
الفلسفي	filosófico	philosophical
الفلسفية	filosófico	philosophical
الفلك	astronomía	astronomy
الفلكي	astrónomo	astronomer
الفلكية	astronómico	the astronomy
الفلكيون	astrónomos	astronomers
الفلم	la pelicula	movie
الفم	la boca	the mouth
الفن	arte	the art
الفنادق	hoteles	hotels
الفنان	el artista	the artist
الفنانة	el artista	artist
الفنانين	artistas	artists
الفنلندي	finlandés	finnish
الفنلندية	finlandés	the finnish
الفنون	artes	arts
الفني	ilustraciones	the art
الفنية	artístico	the technician
الفهد	leopardo	the leopard
الفهم	comprensión	understanding
الفوائد	beneficios	benefits
الفور	el lugar	four
الفوز	ganar	winning
الفوضى	caos	chaos
الفولاذ	acero	steel
الفوهات	boquillas	craters
الفيدرالي	federal	federal
الفيدرالية	federalismo	federal
الفيديو	el video	the video
الفيروس	el virus	virus
الفيروسات	virus	viruses
الفيروسي	viral	viral
الفيروسية	viral	viral
الفيزياء	física	the physics
الفيزيائية	fisico	physical
الفيس	elvis	elvis
الفيضان	inundación	flood
الفيضانات	inundaciones	floods
