$	dollarni tashkil etadi	(dollar sign)
définir	aniqlash	defin
définis	belgilangan	defined
définissant	aniqlash	defining
définissent	belgilang	define
définit	belgilaydi	defined
définitif	yakuniy	definitive
définition	aniqlash	definition
définitions	ta&#39;riflar	definitions
définitive	yakuniy	definitive
définitivement	albatta	definitively
déforestation	o&#39;rmonlarni yo&#39;q qilish	deforestation
déformation	deformatsiyaga uchraydi	deformation
défunt	marhum	deceased
dégager	ravshan	give off
dégradation	buzilish	deterioration
dégypte	shifrni ochadi	egypt
dégâts	zarar	damages
déjà	allaqachon	already
délai	vaqt chegarasi	delay
délais	muddati	delays
délectricité	elektr energiyasi	electricity
déliminer	yo&#39;q qiling	eliminate
délégation	delegatsiya	delegation
déléments	elementlar	elements
démarche	qadamlar	approach
démarrage	ish boshlash	start
démarre	boshlandi	tired of
démence	dementia	dementia
démission	iste&#39;foga chiqish	résignation
démissionne	iste&#39;foga chiqadi	quits
démocrate	demokrat	democrate
démocrates	demokratlar	democrats
démocratie	demokratiya	democracy
démocratique	demokratik	democratic
démographie	demografiya	demography
démographique	demografik	demographic
démographiques	demografik	demographic
démon	shayton	deamon
démons	jinlar	demons
démonstration	namoyish	demonstration
démontre	namoyish qilish	demonstrates
démontrer	isbotlash	demonstrate
démontré	namoyish etdi	demonstrate
déménage	harakat qiladi	move
dénergie	energiya	of energy
dénombre	hisoblash	count
dénomination	denominatsiya	denomination
dénommé	deb nomlanadi	referred to as
dénonce	qoralaydi	denounced
déoliennes	shamol turbinalari	of wind mills
départ	ketishi	outset
département	bo&#39;lim	department (country subdivision)
départements	bo&#39;limlari	departments
dépassant	oshib ketdi	surpassing
dépasse	oshadi	exceeds
dépassent	oshib ketmoq	exceed
dépasser	oshib ketmoq	exceed
dépassé	dan oshdi	exceeded
dépend	bog&#39;liq	depends
dépendance	giyohvandlik	dependency
dépendances	bog&#39;lanishlar	dependencies
dépendant	qaram	dependent
dépendent	bog&#39;liq	dependent
dépenses	xarajatlar	outgoings
dépisodes	epizodlar	episodes
dépit	nafrat	in spite
déplace	harakat qiladi	moves
déplacement	siljish	displacement
déplacements	joy almashtirish	moves
déplacer	ko&#39;chirish	move
dépolarisation	depolarizatsiya	depolarisation
déportation	deportatsiya	deportation
déportés	deportatsiya qilinganlar	deportees
dépose	omonat	files
déposé	omonat	registered
dépression	tushkunlik	depression
député	deputat	deputy
députés	deputatlar	deputy members
dépôt	omonat	depot
dépôts	konlari	deposits
dérive	lotin	derive
dérivé	lotin	derivative
dérivée	lotin	derivative
dérivés	sanab chiqing	derivative
déroulant	ochiladigan ro&#39;yxat	unfolding
déroule	joy oladi	unrolls
déroulement	rivojlanayotgan	course
déroulent	sodir bo&#39;lmoq	take place
désaccord	kelishmovchilik	disaccord
désastre	falokat	disaster
désert	sahro	desert
désignant	belgilash	designating
désignation	belgilash	name / designation
désigne	belgilaydi	indicate
désignent	tayinlamoq	dub
désigner	tayinlamoq	designate
désigné	tayinlangan	designated
désignée	tayinlangan	designated
désignés	tayinlangan	designated
désir	istak	desire
désire	orzu qilgan	dÉsir
désormais	shundan buyon; hozirdan boshlab	henceforth
détablir	o&#39;rnatmoq	to establish
détail	batafsil	detail
détaillé	batafsil	detailed
détaillée	batafsil	detailed
détails	tafsilotlar	details
détat	davlat	state
détats	davlatlar	of states
détecter	aniqlash	detect
détection	aniqlash	detection
détective	detektiv	detective
détenu	ushlangan	detained
détenus	mahkumlar	detained
déterminant	belgilaydigan	determinant
détermination	qat&#39;iyat	determination
détermine	aniqlangan	specifies
déterminer	aniqlang	to determine
déterminé	aniqlangan	prepended
déterminée	aniqlangan	determined
détient	ushlab turadi	holds
détracteurs	tanqidchilar	detractors
détriment	zarar	detriment
détroit	bo&#39;g&#39;oz	sound
détruire	yo&#39;q qil	destroy
détruit	yo&#39;q qil	destroyed
détruite	yo&#39;q qilindi	destroyed
détruits	yo&#39;q qilindi	destroyed
détude	o&#39;rganish	of studies
détudes	tadqiqotlar	of surveys
détudier	o&#39;rganish	study
dété	yoz	summer
dévaluation	devalvatsiya	devaluation
dévaluer	devalvatsiya	evaluate
développe	rivojlangan	develops
développement	rivojlanish	development
développent	rivojlantirmoq	develop
développer	rivojlantirmoq	developed
développé	rivojlangan	developped
développée	rivojlangan	developed
développées	rivojlangan	developed
développés	rivojlangan	developed
déviter	oldini olish	avoid
déçu	ko&#39;ngli qolgan	disappointed
dêtre	bolmoq	to be
dîner	kechki ovqat	dinner
dû	ning	had to
dœil	ko&#39;z	of the eye
dœuvre	ishlash	piece
dœuvres	ishlaydi	writings
e	e	e
east	sharqda	east
eastwood	sharq daraxti	eastwood
eau	suv	water
eaux	suvlari	water
ecclésiastique	ruhoniy	ecclesiastic
ecw	ecw	ecw
ed	tahrirlangan	edition
eddie	eddie	eddie
edgar	edgar	writer
edge	chekka	edge
editions	nashrlar	editions
edmond	edmond	(name)
edward	oldinga	edward
effectif	samarali	datteindre
effectifs	ishchi kuchi	headcounts
effective	samarali	effective
effectivement	samarali	effectively
effectue	ijro etadi	perform
effectuer	amalga oshirmoq	perform
effectué	amalga oshirildi	placed
effectuée	amalga oshirildi	effected
effectuées	amalga oshirildi	carried
effectués	qilingan	carried out
effet	ta&#39;siri	effect
effets	effektlari	effects
efficace	samarali	efficient
efficaces	samarali	efficient
efficacité	samaradorlik	efficiency
effort	harakat	effort
efforts	harakatlar	efforts
eiffel	eyfel	eiffel
einstein	eynshteyn	einstein
el	el	el
elimination	yo&#39;q qilish	elimination
elizabeth	elizabet	elizabeth
elle	u	it (in that context)
ellemême	o&#39;zi	itself
elles	ular	they
ellesmêmes	o&#39;zlari	themselves
elvis	elvis	elvis
emblématique	ikonik	iconic
emblématiques	ramziy	symbolical
emi	emi	emi
eminem	eminem	eminem
emirates	amirliklar	emirates
emma	emma	emma
emmanuel	emmanuel	emmanuel
emmy	emmy	emmy
emo	emo	opinion and marketing survey
empereur	imperator	emperor
empereurs	imperatorlari	emperor
empire	imperiya	empire
empires	imperiyalar	empires
empirique	empirik	empirical
emplacement	manzil	place
emploi	bandlik	employment
emploie	ish	use
emplois	ish o&#39;rinlari	employement
employé	xodim	employee
employée	xodim	employee
employées	ish bilan band	employed
employés	xodimlar	employed
emprunté	qarzga olingan	borrowed
empêche	to&#39;xta	prevent
empêcher	oldini olish	forbid
en	ichida	in
enceinte	homilador	enclosure
enceintes	homilador	pregnant
enchaîne	zanjir	switches
enchères	kim oshdi savdosi	auction
encore	yana	again
encourage	rag&#39;batlantirish	encourages
encouragé	rag&#39;batlantirildi	encouraged
end	oxiri	end
endroit	joy	place
endroits	joylar	locations
enfance	bolalik	childhood
enfant	bola	infant
enfants	bolalar	children
enfer	jahannam	hell
enfin	nihoyat	finally
engage	shug&#39;ullanmoq	starts
engagement	majburiyat	engagement
engagements	majburiyatlar	bookings
engagé	unashtirilgan	engaged
engagée	unashtirilgan	engaged
engagés	unashtirilgan	undertakes's
engendre	hosil qiladi	give rise to
english	inglizcha	anglais
englobe	o&#39;z ichiga oladi	embody
enjeu	ustun	stake
enjeux	paylar	issues
ennemi	dushman	enemy
ennemis	dushmanlar	enemy
enquête	tergov	investigation
enquêtes	anketalar	surveys
enregistre	belgilangan	records
enregistrement	yozib olish	recording
enregistrements	yozuvlar	records
enregistrent	yozib olish	record
enregistrer	yozib olish	record
enregistré	belgilangan	records
enregistrée	yozib olingan	recorded
enregistrées	saqlandi	registered
enregistrés	saqlandi	registered
enseigne	o&#39;rgatadi	teaches
enseignement	ta&#39;lim	teaching
enseignements	darslar	teachings
ensemble	birga	all
ensembles	to&#39;plamlar	sets
ensuite	keyin	then
entame	boshlash	starts
entend	eshitadi	intends
entendre	eshitish	hear
entendu	eshitildi	known
enterré	ko&#39;milgan	buried
enthousiaste	g&#39;ayratli	enthusiastic
entier	butun	entire
entiers	butun	entire
entité	tashkilot	entity
entités	shaxslar	entities
entière	butun	entire
entièrement	butunlay	entirely
entières	butun	entire
entourage	atrofdagilar	entourage
entourant	atrofida	surrounding
entourent	o&#39;rab olish	surrounding
entouré	o&#39;ralgan	surrounded
entourée	o&#39;ralgan	surrounded
entraînant	kirish	resulting
entraîne	olib boradi	leads
entraînent	qo&#39;rg&#39;oshin	caused
entraîner	poezd	cause
entraîneur	murabbiy	trainer
entraîné	tarbiyalangan	resulted
entre	orasida	between
entrelacement	interlacing	interweaving
entrent	kiring	come in
entreprend	o&#39;z zimmasiga oladi	began
entrepris	amalga oshirildi	undertaken
entreprise	biznes	company
entreprises	kompaniyalari	companies
entrer	kiriting	enter
entretemps	shu vaqitning o&#39;zida	in between
entretien	intervyu	interview
entretient	saqlaydi	has
entrevue	intervyu	interview
entré	orasida	came in
entrée	kirish	entrance
entrées	boshlanuvchilar	entered
envers	tomon	towards
environ	haqida	about
environnement	atrof-muhit	environment
environnemental	atrof-muhit	environmental
environnementale	atrof-muhit	environmental
environnementales	atrof-muhit	environmental
environnementaux	atrof-muhit	environmental
environs	atrofi	surrounding
envisage	hisobga olib	plans
envisagé	deb hisoblanadi	considered
envoie	yuborish	sends
envoyer	yubormoq	upload
envoyé	yuborilgan	envoy
envoyée	yuborilgan	sent
envoyés	yuborilgan	sent
en 	ichida	in
ep	ep	ep
er	er	rst
eric	erik	eric
ernest	ernest	ernest
ernst	ernst	ernst ( name )
erreur	xato	mistake
erreurs	xatolar	mistakes
es	es	es
escargots	shilliq qurtlar	snails
esclaves	qullar	slaves
espace	bo&#39;sh joy	space
espaces	bo&#39;shliqlar	spaces
espagne	ispaniya	spain
espagnol	ispan	le e'spagnol
espagnole	ispan	spanish
espagnoles	ispan	spanish
espagnols	ispan	spanish
espoir	umid	hope
esprit	aql	mind
esprits	ruhlar	spirits
espèce	turlari	species
espèces	naqd pul	cash
espère	umid	hopes
espérance	umid	expectancy
essai	sinov	try
essaie	harakat qilib ko&#39;ring	tries
essais	sinov	trials
essaye	harakat qilib ko&#39;ring	try
essayer	harakat qilib ko&#39;ring	try
essayé	harakat qildi	tried
essentiel	muhim	essential
essentielle	muhim	critical
essentiellement	mohiyatan	essentially
essentielles	muhim	essential
essentiels	zaruriy narsalar	essential
essor	portlash	development
est	hisoblanadi	is
esthétique	estetik	aesthetic
esthétiques	estetik	aesthetic
estil	bu	is he
estimant	hisobga olib	considering
estimations	taxminlar	estimates
estime	qadrlanadi	estimated (for motown) believe(for fisher and jean nouvel)
estiment	ishonish	estimate
estimé	qadrlanadi	estimated
estimée	taxmin qilingan	valued
et	va	and
etc	va boshqalar	etc
ethnies	etnik guruhlar	races
ethnique	etnik	ethnic
ethniques	etnik	ethnic
etou	va	and / or
eu	edi	had
eugène	evgenik	eugene
eurent	edi	had
euro	evroga tushdi	euro
europe	evropa	europe
européen	evropa	european
européenne	evropa	european
européennes	evropa	european
européens	evropa	european
eut	edi	was
eux	ularni	them
euxmêmes	o&#39;zlari	themselves
evan	evan	even
evans	evanslar	evans
ex	sobiq	ex
exact	aniq	exact
exacte	aniq	exact
exactement	aniq	exactly
examen	imtihon	review
examens	imtihonlar	examinations
excellence	hurmat bilan	excellence
excellent	a&#39;lo	excellent
exception	istisno	exception
exceptionnel	favqulodda	exceptional
exceptionnelle	favqulodda	outstanding
exceptions	istisnolar	exceptions
excepté	tashqari	excepted
exclusif	eksklyuziv	exclusive
exclusive	eksklyuziv	exclusive
exclusivement	faqat	exclusively
excès	ortiqcha	excess
exemplaire	nusxa ko&#39;chirish	exemplary
exemplaires	nusxalari	copies
exemple	misol	for instance
exemples	misollar	examples
exerce	mashqlar	practices
exercer	mashq	execute
exercice	mashq	exercise
exercé	mashq qilinadi	exercised
exhaustive	to&#39;liq	comprehensive
exige	talab qilinadi	requires
exigences	talablar	demans
exil	surgun	exile
existait	mavjud edi	existed
existant	mavjud	exisiting
existantes	mavjud	existing
existants	mavjud	existing
existe	mavjud	exist
existence	mavjudlik	existence
existent	mavjud	exist
exister	mavjud bo&#39;lishi	exist
existé	mavjud	existed
expansion	kengaytirish	growth
expert	mutaxassis	expert
experts	mutaxassislar	experts
explication	tushuntirish	explanation
explications	tushuntirishlar	explanations
explicitement	aniq	explicitly
expliquant	tushuntirish	explaining
explique	tushuntiring	explain
expliquent	tushuntirib bering	explain
expliquer	tushuntirib bering	explain
expliqué	tushuntiring	explained
exploitation	ekspluatatsiya	operation
exploite	ekspluatatsiya	use
exploité	ekspluatatsiya	operated
exploités	ekspluatatsiya	used
explorer	o&#39;rganmoq	explore
explosion	portlash	explosion
exportations	eksport	exports
expose	eksponatlar	exposes
exposition	chalinish xavfi	exposition
expositions	ko&#39;rgazmalar	expo
exposé	fosh qilingan	displayed
exposée	fosh qilingan	exposed
exposées	fosh qilingan	exposed
exposés	fosh qilingan	exposed
express	ifoda eting	express
expression	ifoda	expression
expressions	iboralar	expressions
exprime	ekspress	expresses
exprimer	ekspress	express
exprimé	ekspress	declared
exprimée	ifoda etdi	expressed
expédition	ekspeditsiya	expedition
expéditions	ekspeditsiyalar	expeditions
expérience	tajriba	experiment
expériences	kechinmalar	experiments
expérimentale	eksperimental	experimental
extension	kengaytma	extension
externe	tashqi	external
externes	tashqi	outside (better in both cases in that context that external)
extrait	ekstrakti	from
extraits	ekstraktlar	sample
extraordinaire	favqulodda	extraordinary
extraordinaires	favqulodda	extraordinary
extreme	haddan tashqari	extreme
extrémités	tugaydi	ends
extrême	haddan tashqari	extreme
extrêmement	nihoyatda	extremely
extrêmes	haddan tashqari	extremes
extérieur	tashqarida	outside
extérieure	ochiq havoda	external
extérieures	tashqi	outside /  foreign office(for talleyrand)
extérieurs	tashqi ko&#39;rinishi	outside
exécuter	bajarmoq	to execute
exécutif	ijrochi	executive
exécution	ijro	execution
exécutions	qatllar	executions
exécuté	qatl qilindi	execute
exécutés	qatl qilindi	executed
f	f	f
fa	fa	fa
fables	masallar	tales
fabricants	ishlab chiqaruvchilar	makers
fabrication	ishlab chiqarish	making
fabrique	qilingan	build
fabriquer	qilmoq	produce
fabriqué	qilingan	manufactured
face	yuzi	confront
facebook	facebook	facebook
faces	yuzlar	tail
facile	oson	easy
facilement	osonlikcha	easily
faciliter	osonlashtiradi	ease
facilité	qulaylik	eased
facteur	pochtachi	point
facteurs	omillar	factors
facto	fakto	facto
faculté	fakulteti	2 different for 2 phrases 1= ability 2nd sentence university
facultés	fakultetlar	abilities
faible	past	small
faibles	kuchsiz	weak
faiblesse	zaiflik	weakness
faiblesses	kamchiliklari	weaknesses
faille	xato	fault
failles	yoriqlar	faults
faillite	bankrotlik	bankrupt
faim	ochlik	starvation
faire	qilmoq	do
faisaient	qilardilar	did
faisait	qilardi	made
faisant	qilish	doing
fait	haqiqat	do
faite	qilingan	put
faites	qilmoq	do
faits	faktlar	facts
falciparum	falciparum	falciparum
fallait	majbur bo `ldim	had to
fame	shon-sharaf	fame
fameuse	mashhur	famous
fameux	mashhur	famous
familial	oila	family
familiale	oila	family
familiales	oila	family
famille	oila	family
familles	oilalar	families
family	oila	fimily
famine	ochlik	famine
fan	fanat	fan
fans	muxlislar	fans
fantastique	hayoliy	fantastic
fantastiques	hayoliy	fantastic
fantasy	xayol	fantasy
fantôme	arvoh	ghost
fantômes	arvohlar	ghosts
fascination	jozibasi	fascination
faso	faso	burkina faso, the name
fasse	qilmoq	make
fatigue	charchagan	tiredness
faudra	kerak bo&#39;ladi	would be needed
faune	yovvoyi hayot	fauna
fausse	yolg&#39;on	wrong
fausses	yolg&#39;on	false
faut	kerak	must be
faute	xato	fault
faux	yolg&#39;on	scythe
faveur	iltifot	favor
favorable	qulay	favourable
favorables	qulay	favourable
favori	sevimli	favorite
favorisant	yoqtiradigan	favoring
favorise	ne&#39;matlar	favors
favoriser	iltifot	favor
favorisé	ma&#39;qullangan	promoted
favorite	sevimli	favored
fayard	fayard	fayard
façade	fasad	front
façades	jabhalar	facades
