$ tỉ	$ బిలియన్	$ billion
họ	ఇంటిపేరు	they (n.)
họa	ఆర్ట్	picture
họach	ప్రణాళిక	"(term should be ""quy hoạch"") a project (n.)"
học	తెలుసుకోవడానికి	study (v.)
họng	గొంతు	throat
họp	సమావేశం	meet
hỏa	ఫైర్	fire
hỏng	విరిగిన	corruption
hố	గొయ్యి	hole
hốc	గూళ్లు	cavity
hồ	సరస్సు	ho
hồi	సొంపు	muslim
hồn	ఆత్మ	soul
hổ	పులి	tiger
hổi	అహ్	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	ఆవలింత	hole
hỗ	మద్దతు	"(should be ""hỗ trợ"") to support or assist"
hỗn	మిశ్రమ	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	పండుగ	society
hộp	బాక్స్	box
hới	ఓపెన్	hoi
hớn	అరుస్తూ	"(term should be ""hớn hở"") radiant (adj.)"
hờn	sulky	hatred
hở	ఓపెన్	reveal
hỡi	oi	dear
hợi	పిగ్	pig (n.)
hợp	బాగా సరిపోయింది	appropriate
hợpquận	సమ్మతి	general district
hụt	లోటు	loss
hủi	కుష్టు	reject
hủy	రద్దు చేయండి	to erase or destroy
hứa	వాగ్దానం	promise
hử	హుహ్	hu
hửu	హుహ్	"(term should be ""sở hửu"") to own (v.)"
hữu	ఆస్తి	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	ఐసీసీ	icc
iceland	ఐస్లాండ్	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	ఇగోర్	igor
iii	iii	third
ilene	ilene	ilence
illusion	భ్రాంతిని	illusion
ilyich	ఇల్యిచ్	ilyich
im	im	still
imam	ఇమామ్	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	ఇమ్మాన్యుయేల్	(proper noun) immanuel, as in immanuel kant
impact	ప్రభావం	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indian	indian
indiana	ఇండియానా	indiana
indochina	ఇండోచైనా	indochina
indonesia	ఇండోనేషియా	indonesia
indrapura	indrapura	(proper noun) indrapura
info	సమాచారం	info
innsbruck	ఇన్న్స్బ్రక్	innsbruck
insulin	ఇన్సులిన్	insulin
int	పూర్ణాంకానికి	int
intel	ఇంటెల్	(proper noun) intel, as in the name of the company
interpol	ఇంటర్పోల్	interpol
inu	ఇను	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	ఇను	(proper noun) inư
io	io	io
ioc	ఐఒసి	ioc
ion	అయాన్	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	ఇరాక్	iraq
ireland	ఐర్లాండ్	ireland
irgun	irgun	irgun
irony	వ్యంగ్యం	irony
irving	ఇర్వింగ్	(proper noun) irving
isaac	ఐజాక్	isaac
isla	ఇస్లా	isla
islam	ఇస్లాం మతం	islam
islamabad	ఇస్లామాబాద్	(proper noun) islamabad
israeli	ఇస్రేల్	israeli
istanbul	ఇస్తాంబుల్	istabbul
italia	ఇటాలియా	italy
italiano	italiano	(proper noun) italiano
itanium	ఇటానియం	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	జాక్	jack
jackie	జాకీ	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	జాకబ్	jacob
jae	జే	jae
jakarta	జకార్తా	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	జనీరో	janeiro
janet	జానెట్	janet
japan	జపాన్	japan
jared	జారెడ్	jared
jarvis	జార్విస్	(proper noun) jarvis, as in jarvis cocker
jasper	పచ్చ	(proper noun) jasper
jean	జీన్	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	జీన్స్	jeans
jeet	జీత్	(proper noun) jeet, as in jeet kune do
jeff	జెఫ్	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	జెఫ్రీ	jeffrey
jeju	జేజు	jeju
jenda	jenda	jenda
jenny	జెన్నీ	jenny
jericho	జెరిఖో	jericho, as in wrestler chris jericho
jerome	జెరోమ్	jerome, as in fred jerome
jerry	జెర్రీ	(proper noun) jerry
jersey	జెర్సీ	jersey
jerusalem	జెరూసలేం	jerusalem
jesse	జెస్సీ	a name
jesus	jesus	chua jesus
jetstar	jetstar	jetstar
jewish	యూదు	jewish
jiao	జియావో	jiao
jimmy	జిమ్మీ	jimmy
jin	జిన్	jin
jing	జింగ్	jing
jiraiya	స్నేహితుడే మరీ!	(proper noun) jiraiya
joachim	జోచిం	joachin
joan	జోన్	a name
joe	జో	(proper noun) joe
johan	జోహన్	johan
johann	జోహన్	johann
johannes	జోహాన్నెస్	johannes
johannesburg	జొహ్యానెస్బర్గ్	(proper noun) johannesburg, south africa
johnny	జానీ	johnny
johns	జాన్స్	johns
johnston	జాన్స్టన్	johnston, as in harry johnston
johor	జోహోర్	johor
joint	ఉమ్మడి	joint
jonathan	జోనాథన్	(proper noun) jonathan
jones	జోన్స్	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	జోసెయాన్	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	జుడిత్	judith
judo	జూడో	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	ఎగిరి దుముకు	jump
june	జూన్	june, as in the month
jung	జుంగ్	jung
junsu	junsu	junsu
jupiter	బృహస్పతి	(proper noun) jupiter, as in the planet
jura	జురా	(proper noun) jura
juventus	జువెంటస్	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	కాహ్న్	kahn
kai	కై	kai
kakashi	kakashi	kakashi
kaká	కాకా	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	పొటాషియం	potassium
kama	కామ	(proper noun) kama, as in the kama sutra
kamakura	కమకురా	kamakura
kamov	కమోవ్	kamov
kampf	కంప్ఫ్	kampf
kampong	kampong	kampong
kampuchea	కంపూచియా	cambodian
kana	కన	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	కంజి	kanji
kant	కాంట్	a name
kar	కర్	(proper noun) kar
kara	కారా	kara
karaoke	కచేరీ	karaoke
karate	కరాటే	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	కరీం	(proper noun) karim
kashmir	కాశ్మీర్	kashmir
kaspersky	కాస్పెర్స్కే	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	కటకానా	katakana, a type of japanese script
kate	కేట్	(proper noun) kate, as in actress kate winslet
katherine	కాథరిన్	katherine
kathmandu	ఖాట్మండు	kathmandu
katrina	కత్రినా	(proper noun) katrina, as in hurricane katrina
katz	కాట్జ్	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	కాకసస్	kavkaz
kawasaki	కవసాకి	(proper noun) kawasaki
kay	కే	kay
kazan	కజాన్	kazan, the name of a city
kcn	kcn	industrial zone
ke	కే	"(term should be ""boong ke"") a bunker (n.)"
kelly	కెల్లీ	kelly
kelsi	kelsi	kelsi
kelvin	కెల్విన్	kelvin
kem	క్రీమ్	ice cream (n.)
ken	కెన్	ken
kennedy	కెన్నెడీ	(proper noun) kennedy, as in john f. kennedy
kenneth	కెన్నెత్	(proper noun) kenneth, a name
kenny	కెన్నీ	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	కెప్లెర్	kepler
kerala	కేరళ	(proper noun) kerala
kevin	kevin	kenvin
keynes	కీన్స్	keynes, as in economist john maynard keynes
kg	కిలొగ్రామ్	kilogram
kha	phrae,	(proper noun) a vietnamese first name
khai	డిక్లరేషన్	announce
khali	ఖలీ	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	ఖాంను	endure
khan	అనార్ద్ర	rare
khang	khang	khang
khanh	khanh	khanh
khao	కోరికతో	desire
khay	ట్రే	tray
khe	స్లాట్	chink
khem	khem	abstinence
khen	ప్రశంసలు	praise
kheo	స్టిల్ట్స్ మీద	kheo
khi	ఎప్పుడు అయితే	when
khieu	అర్థం కాలేదు	(proper noun) khieu, as in khieu samphan
khiêm	నమ్రత	khiem
khiên	డాలు	a shield
khiêu	శృంగార	"('khiêu dâm"") pornographic"
khiếm	మందగించిన	lack
khiến	కారణం	control
khiếp	భయభ్రాంతులయ్యారు	horrible
khiếu	గృహం	talent (n.)
khiển	నియంత్రణ	control
khleang	khleang	kh'leang
kho	గిడ్డంగి	warehouse
khoa	అధ్యాపకులు	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	డ్రిల్	drill
khoang	కుహరం	brag
khoanh	మ్రోగుతుండగా	a slice (n.)
khoe	డాబుతనం	to boast
khoá	లాక్	lock
khoác	ఓవర్కోట్	coat
khoán	స్టాక్	stock
khoáng	ఖనిజ	mineral
khoát	నిశ్చయాత్మక	decisive
khoét	కట్	carve
khoăn	కోపము	disturbed
khoả	నగ్న	naked
khoản	అంశం	an item (n.)
khoảng	సుమారు	about
khoảnh	క్షణాలు	moment
khoẻ	జరిమానా	health
khrushchev	క్రుష్చెవ్	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	క్వార్టర్స్	section
khung	ఫ్రేమ్లను	frame
khural	khural	khural
khuynh	ఎడమ	trend
khuyên	సలహా	advise
khuyết	లోపభూయిష్ట	lack
khuyển	కుక్క	khuyen
khuất	దాగి	hidden
khuấy	కదిలిస్తుంది	stir
khuẩn	బాక్టీరియా	bacteria
khuếch	అధికంచెయ్యి	amplification
khuỷu	మోచేతి	elbow
khá	కాకుండా	quite
khác	ఇతర	different
khách	గెస్ట్	customer
khái	సంభావిత	concept
khám	పరీక్ష	discover
khán	ప్రేక్షకులు	audience
kháng	ప్రతిఘటన	appeal
khánh	స్వాతంత్ర్య	a type of chime made of stone (n.)
khát	ఆశ	to be thirsty for (adj.)
khâm	ఖాంను	admire
khèn	అయ్యో	a pan-pipe (n.)
khéo	తెలివిగల	cleverly or skillfully (adv.)
khép	దగ్గరగా	close
khía	గీత	"(term should be ""khía cạnh"") angle (n.)"
khích	ప్రోత్సహిస్తున్నాము	encourage
khít	దగ్గరగా	close
khó	కష్టం	difficulty
khóa	కారాగారం లో వేయడం	a session
khóc	క్రై	cry
khói	పొగ	smoke
khóm	అనాస పండు	a cluster
khô	ఎండిన	dry
khôn	తెలివైన	clever, intelligent
không	కాదు	not
khúc	సెగ్మెంట్	song
khăm	అనారోగ్యంతో-స్మెల్లింగ్	nasty (adj.)
khăn	టవల్	difficult
khơi	ఆఫ్షోర్	sea
khư	khu	grip
khưu	khưu	khuu
khước	తిరస్కరించాలని	waive
khả	అవకాశం	"(term should be ""khả năng"") ability (n.)"
khải	ద్యోతకం	triumph
khảm	మొజాయిక్	to encrust
khảo	పరీక్ష	"(term should be ""tham khảo"") to consult (v.)"
khấm	కుట్టిన	endure
khấn	ప్రే	pray
khấu	డిస్కౌంట్	"(term should be ""sân khấu"") a stage (n.)"
khẩn	తక్షణ	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	గీత	moment
khắp	మొత్తం మీద	all over
khẳng	నిశ్చయాత్మక	"(term should be ""khẳng định"") to assert (v.)"
khế	స్టార్ ఫ్రూట్	bond
khỉ	కోతి	monkey or ape (n.)
khỏa	నగ్న	nude
khỏe	బలమైన	health
khỏi	బయటకు	leave
khố	సింహపుచర్మాన్ని	loincloths
khốc	డైర్	devastating
khối	హోదా స్థాయి	a block or mass of (n.)
khốn	బాస్టర్డ్	miserable
khống	కోంగ్	control
khổ	బాధ	miserable (adj.)
khổng	దిగ్గజం	huge
khởi	కార్యకలాపాలను	start
khủng	భయంకరమైన	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	బాస్టర్డ్	elbow
