$	dollarni tashkil etadi	american dollar symbol
காரணிகள்	omillar	reasonings
காரணியாக	faktor	factor
காரைக்கால்	qorayol	karaikal
கார்சினோமா	karsinoma	carcinoma
கார்த்திகை	noyabr	tamil month
கார்த்திக்	karthik	karthick
கார்பன்	uglerod	carbon
கார்ல்	karl	carl
காற்றின்	shamol	air
காற்றில்	havoda	in air
காற்று	havo	wind
காற்றை	shamol	air
கால	muddati	period
காலகட்ட	davr	during that stage
காலகட்டங்களில்	davrlarda	different periods
காலகட்டத்தில்	davrda	stage
காலகட்டம்	davriylik	time period
காலக்	vaqt	time
காலக்கட்டத்தில்	davr davomida	during that period
காலக்கோடு	yilnomasi	line
காலங்கள்	yoshlar	periods
காலத்தால்	davr bo&#39;yicha	period
காலத்தின்	vaqt	time
காலத்திய	vaqt	time
காலத்திலிருந்து	vaqtdan boshlab	from that place
காலத்திலும்	vaqt	period
காலத்து	davr	old age
காலத்துக்கு	davr uchun	during that period
காலத்துக்குக்	vaqt	years by years
காலத்துக்குப்	vaqt	period
காலத்தை	vaqt	age
காலத்தைக்	vaqt	period
காலத்தைச்	zamonaviy	time
காலத்தையும்	vaqt	period
காலநிலை	iqlimi	time line
காலனி	mustamlaka	colony
காலப்	vaqt	periods
காலப்பகுதி	davr	period
காலப்பகுதியில்	davrda	during that period
காலப்போக்கில்	o&#39;z vaqtida	in due course of time
காலமாக	vaqt	for a long time
காலமாகவே	vaqt	for a long time
காலமாகும்	qayta tiklash	period
காலமான	usher	age
காலமும்	egalik	period and the
காலமே	vaqt	duration
காலம்	davomiyligi	period
காலவெளி	bo‘sh vaqt	a time gap
காலை	ertalab	morning
காலையில்	ertalab	in the morning
கால்	oyoq	quarter
கால்களில்	oyoqlarda	legs
கால்கள்	oyoqlari	legs
கால்நடை	chorvachilik	veterinary
கால்பந்தின்	futbol	food-ball
கால்பந்து	futbol	foot ball
கால்வாய்	kanal	canal
காளான்	qo&#39;ziqorin	fungus
காவற்துறை	politsiya	police department
காவலர்கள்	soqchilar	gaurds
காவல்	vasiylik	security
காவல்துறை	politsiya	police department
காவி	safron	saffron
காவிய	epik	epical literature
காவியம்	she&#39;riyat	kaviam
காவிரி	xavfsizlik	cauvery
காவிரியின்	kaveri	in the river cauvery
காவிரியுடன்	cauvery bilan	with cauvery
காஷ்மீர்	kashmir	kashmir
கி	g	christ
கிங்	qirol	king
கிசாவின்	giza	kisa
கிடக்கின்றன	sizlar	having that
கிடைக்க	mavjud	want
கிடைக்கக்கூடிய	mavjudligi	available
கிடைக்கப்	mavjud	there
கிடைக்கப்பெறும்	availab	obtained
கிடைக்கின்றது	mavjud	obtained
கிடைக்கின்றன	mavjud	is available
கிடைக்கிறது	mavjud	obtained
கிடைக்கும்	mavjud	will get
கிடைத்தது	topildi	received
கிடைத்துள்ளன	mana	have been found
கிடைப்பருமை	qashshoqlik	mass
கிடையாது	mana	no problems
கிட்டத்தட்ட	deyarli	nearly
கினி	gvineya	guinea
கினி-பிசாவு	gvineya-bisau	republic of guinea bissau
கிபி	miloddan avvalgi	b.c (before christ)
கிமர்	khmer	kimar
கிமீ	km	km
கிமு	miloddan avvalgi	bc
கிமுல்	kimul	b.c
கிம்ப்	kimbol	kimp
கியூபா	kuba	cuban
கிரக	sayyoraviy	planet
கிரகங்களில்	sayyoralar	planet
கிரகம்	sayyora	planet
கிரந்த	granth	granth
கிரனாதா	granada	granada
கிராண்ட்	grand	granite
கிராம	qishloq	village
கிராமங்கள்	qishloqlar	villages
கிராமம்	qishloq	village
கிரிக்கெட்	kriket	cricket
கிரீன்	yashil	green
கிரீஸ்	gretsiya	greece
கிருத்துவ	xristian	christian
கிருப்டான்	kripton	krypton
கிருமி	mikrob	gems
கிருஷ்ண	krishna	krishna
கிருஷ்ணன்	krishnan	krishnan,
கிருஷ்ணமூர்த்தி	krishnamurthy	krishnamurthy
கிருஷ்ணா	krishna	krishna
கிரேக்க	gretsiya	greek
கிரேக்கக்	yunon	greek
கிரேக்கச்	yunon	greek
கிரேக்கத்	gretsiya	of greek
கிரேக்கம்	yunon	greek
கிரேக்கர்கள்	yunonlar	greks
கிரேட்	ajoyib	great
கிறித்தவ	xushxabarchi	christian
கிறித்தவம்	xristianlik	christians
கிறித்தவர்	xristian	christians
கிறித்தவர்கள்	xristianlar	christians
கிறித்து	masih	chiristian
கிறிஸ்டோபர்	kristofer	christoper
கிறிஸ்தவ	xristian	christian
கிறிஸ்தவம்	xristianlik	christianity
கிறிஸ்தவர்கள்	xristianlar	christians
கிறிஸ்து	masih	christ
கிறிஸ்துமஸ்	rojdestvo	christmas
கிறிஸ்துவ	xristian	christian
கிலோ	kg	kilo gram
கிளப்	klub	club
கிளர்ச்சி	isyonchi	revolution
கிளாஸ்	klaus	glass
கிளி	to&#39;tiqush	parrot
கிளிநொச்சி	kilinochchi	kilinochi
கிளை	filial	tributaries
கிளைகள்	filiallar	branches
கிழக்கிந்தியக்	sharq	east indian
கிழக்கிலும்	sharq	east
கிழக்கில்	sharq	in east
கிழக்கு	sharq	east
கிழக்குக்	sharq	east
கிழக்குத்	sharq	east
கிழக்குப்	sharq	east
கிழக்கே	sharq	east
கிழங்கு	pancar	pottato
கிழார்	qilar	kilar
கீட்டோடொன்டைடீ	kittotontaiti	it is the family of fish
கீதம்	madhiya	anthem
கீதை	gita	holy book of hindu
கீரை	ismaloq	spinach
கீல்வாதம்	osteoartrit	gout
கீழுள்ள	ostida	below
கீழே	pastga	down
கீழேயே	ostida	in bottom side
கீழைச்	keyin	name
கீழ்	ostida	below
கீழ்காணும்	quyidagi	following
கீழ்க்கணக்கு	orqaga	it is an ancient poet of tamil nadu
கீழ்நிலை	pastda	lower grade
கீழ்வருமாறு	dod	below
குகை	g&#39;or	cave
குங்குமம்	vermilion	kungumam
குஜராத்	gujarat	it's place in india
குஜராத்தி	gujarati	gujarathi
குடகு	kodagu	goorg
குடா	ko&#39;rfaz	bay
குடிகள்	aholi	circles
குடிசார்	fuqaro	civilians
குடிநீர்	ichimlik suvi	drinking water
குடிமக்களின்	fuqarolari	citison
குடிமக்கள்	fuqarolar	citizens
குடியரசாக	respublika	rupublic
குடியரசு	shtatlar	republic
குடியரசுக்	respublika	republic
குடியரசுத்	prezident	republic
குடியியல்	fuqarolik	immigrants
குடியிருப்புகள்	kvartira	residence
குடியிருப்புக்கள்	aholi punktlari	houses
குடியுரிமை	fuqarolik	nationality
குடியேறினர்	o&#39;rnatilgan	migrated
குடியேற்ற	immigratsiya	domacaracy
குடியேற்றங்கள்	aholi punktlari	settlement
குடியேற்றம்	immigratsiya	imigration
குடியேற்றவாசிகள்	immigrantlar	imigrants
குடியேற்றவாத	immigratsiya	relating to emigration
குடும்ப	oila	family
குடும்பத்தின்	oila a&#39;zolaridan	in the family
குடும்பத்தில்	oilada	family
குடும்பத்தைச்	oila	family of
குடும்பப்	oila	family
குடும்பம்	oila	family
குட்டி	kub	kutty , a name in tamil parlance
குட்டுவன்	kuttuvan	duke
குணங்கள்	fazilatlar	characteristics
குணம்	sog&#39;aytiring	characters
குண்டலகேசி	kuntalakeci	gundalakesy
குண்டு	stew	bomb
குண்டுகள்	chig&#39;anoqlar	bombs
குதிரை	ot	horse
குதிரைகள்	otlar	horses
குத்து	soqish	a vertical metal stand
குநோம்	gnome	knome
குனூ	gnu	gnu
குன்றி	buzilib qolgan	failure
குமரன்	yosh yigit	kumaran
குமரி	kumari	kumari, a district in tamilnadu
குமார்	qumor	kumar
கும்பகோணத்தில்	kumbakonam	in kumbakonam
கும்பகோணம்	kumbakonam	kumbakanam - name of a place
குயிபேர்	kuiper	quebare
குரங்கு	maymun	monkey
குரல்	ovoz	voice
குரு	guru	monk
குருதி	qon	blood
குருதியின்	qondan	through blood
குருதியில்	qonda	in blood
குருந்தம்	korundum	kuruntham
குரோ-மாகுநன்	cro-makunan	kuro maugunan
குர்ஆன்	qur&#39;on	quran
குறள்	reuters	kural
குறி	belgilash	mark
குறிக்க	belgilash	mention
குறிக்கப்	ga qarang	categorised
குறிக்கப்படுகிறது	belgilash	represents
குறிக்கப்படும்	belgilangan	marking
குறிக்கின்றன	belgilash	represent
குறிக்கிறது	stendlar	conditions
குறிக்கும்	belgilash	refers
குறித்த	the	note
குறித்தது	belgilangan	pointed
குறித்து	the	of
குறித்தும்	the	denoting
குறிபிட்ட	xususan	specific
குறிப்பது	hujjatlar	mention
குறிப்பாக	ayniqsa	in particular
குறிப்பிட	zikr	particular
குறிப்பிடத்	muhim ahamiyatga ega	mentionable
குறிப்பிடத்தகுந்த	e&#39;tiborga loyiq	importantly
குறிப்பிடத்தக்க	e&#39;tiborga loyiq	particular
குறிப்பிடத்தக்கது	e’tiborga loyiq	notable
குறிப்பிடத்தக்கவை	e&#39;tiborga loyiq	significant
