$	dollarni tashkil etadi	your
dulmiya	zulm	their own souls
dulqaad	sabrli bo&#39;ling	patience
dulqaadaan	sabrli bo&#39;ling	dulqaadaan
dultaagi	to&#39;xtab tur	dultaagi
dulucda	mavzu	the argument
dulugle	masxaraboz	dulugle
dumaal	qayin-opa	marry brother's widow
dumar	ayollar	women
dumarka	ayollar	women
dumarkii	ayollar	women
dumay	qulab tushdi	he organized
dumey	dumey	dumey
dumin	axlat	tear
duminayaa	buzilgan	duminayaa
dumis	buzish	destrucoon
dumiyo	yo&#39;q qil	destroy
dun	mazali	thread
duni	dunyo	world
dunida	dunyo	world
dunidalaakiin	lekin dunyo	dunidalaakiin
dunidana	dunyo	he was
dunidda	dunyo	world
dunuub	ajinlar	accusations
duq	qari	old
duqa	shahar hokimi	the mayor
duqayn	bombardimon	crush
duqeeyay	bombardimon qilingan	warplanes
duqsan	qari	duqsan
duqsansoomaalida	soqolli	duqsansoomaalida
duqsanwaxyaabaha	eski narsalar	duqsanwaxyaabaha
duray	qarshi	cold
durba	allaqachon	already
durbaan	baraban	drum
durbadiiba	allaqachon	already
durdur	oqim	stream
durdurkii	oqim	may you find your
during	davomida	u
durkoo	nima bo&#39;lsa ham	durkoo
duruufaheeda	uning holatlari	transitional conditions each
duruufihii	holatlar	duruufihii
duryaad	tumanli	duryaad
dusha	yuzasi	on top
dusheeda	tepasida	on top of
duub	rulon	wrap up
duuban	yozib olingan	rolled up
duubay	yozib olingan	he wrapped up
duubi	yozib olish	tie up
duud	buta	escarpment
duudka	tabiatda	the upper part
duudsiiyey	buzilgan	duudsiiyey
duufaan	bo&#39;ron	dufaan
duug	qari	funeral
duugey	dafn qilmoq	duugey
duugmay	eskirgan	duugmay
duugta	massaj	the funeral
duul	pashsha	fly
duulaan	bostirib kirmoq	attack
duulay	uchib ketdi	he flew
duuliye	uchuvchi	pilot
duuliyihii	uchuvchi	invisible sas captain
duulka	parvoz	the group of people
duullaankii	bosqinchilik	the
duumaa	tugmani o&#39;ynating	duumaa
duunyo	hayvon	herds
duur	yovvoyi	wild animals
duurgalay	qovog&#39;ini soldi	duurgalay
duurka	dalada	the forest
duwan	boshqacha	different
duwanaa	boshqacha edi	he was different
duwanyahay	farq qiladi	most surely various
dvdx	dvdx	dv/dx
e	e	e
each	har biri	kasta
east	sharqda	east
eastleigh	sharqona	eastleigh
eastliegh	sharqona	eastleigh
eau	eau	eau
ebbow	qarg&#39;ish	ebbow
ebekargaab	juda tez-tez	ebekargaab
economy	iqtisodiyot	economy
education	ta&#39;lim	education
ee	ha	of
eebbaa	ha deb ayting	it is god who
eebbaana	ha	eebbaana
eebbaha	boshida	allah who created
eebbahay	mening otam	you be
eebbana	yo&#39;q	eebbana
eebbe	xudo	god
eebbow	qidirmoq	oh god!
eebe	xudo	allah
eed	ayblash	blame
eedaysay	ayblanmoqda	eedaysay
eedeeyay	ayblanmoqda	he accused
eedeeyey	ayblanmoqda	he blamed
eedeyay	ayblanmoqda	are accused
eeerland	ichki	eeerland
eeg	qarang	egg
eegaayey	qarab	eegaayey
eegay	qaradi	he looked at
eegayeen	qarab	again
eegayo	ga qarash	look for
eegno	qarang	let us
eego	qarang	look
eegto	qarang	eegta
een	een	they did
eersadaye	xudo hohlasa	eersadaye
eesan	keyinroq	eesan
eey	it	dog
eeysan	it	eeysan
eg	masalan	like
egyihiin	kabi ko&#39;rinadi	alike?
eheed	qaysi	was
eheen	anavi	eheen
eheyd	edi	eheyd
eight	sakkiz	eight
ekaa	haqida	it was
el	el	el
elarab	elarab	elarab
elektrooniga	elektronika	e-mail
elements	elementlar	elements
elmi	ilmiy	elmi
email	elektron pochta	email
emailkiisa	uning elektron pochtasi	emailkiisa
embedded	o&#39;rnatilgan	embedded
en	uz	reports also say they
eng	eng	eng
engineer	muhandis	engineer
engineering	muhandislik	). although
engineerku	muhandis	engineerku
engiriiska	ingliz tilida	engiriiska
england	ingliz	england
english	inglizcha	english
equipment	uskunalar	alaab
eraga	so&#39;z	eraga
eratareya	bu so&#39;z	eratareya
erataria	eratariya	erataria
eratiya	so&#39;z	eratiya
eray	so&#39;z	word
erayada	so&#39;zlar	the words
eraydan	bu so&#39;z	eraydan
erayga	so&#39;z	the word
eraygan	bu so&#39;z	this
erega	erektsiya	erega
eretereya	o&#39;yin	eretereya
ereteriya	sportchi	ereteriya
eretrie	eretrie	eretrie
erey	bir so&#39;z	words
ereyada	so&#39;zlar	words
ereyga	so&#39;z	the word
ereygaasi	bu so&#39;z	ereygaasi
ergo	ergo	delegation
eriga	eriga	playing card game
erigavo	erigavo	erigavo
ertariya	eritreya	ertariya
eryada	ketidan quvmoq	eryada
eryaday	ta&#39;qib	he ran after
eryay	ishdan bo&#39;shatilgan	he drove away
eryey	ishdan bo&#39;shatilgan	he drove away
es	es	dar es
esperanto	esperanto	esperanto
estoniya	estoniya	estoniya
et	va boshqalar	our
ethiopa	etiopa	ethiopa
ethiopia	etiopiya	ethiopia
ethopia	etopiya	ethopia
ethopiakenya	etopiakenya	ethopiakenya
etoobiya	efiopiya	etoobiya
europe	evropa	europe
european	evropa	the european
ex	sobiq	ex
example	misol	tusaale
exchange	almashish	exchange
explorer	tadqiqotchi	explorer
express	ifoda eting	dhaqso
external	tashqi	external
ey	ey	dog
eyl	eyl	eyl
f	f	f
faadir	xayrlashdi	faadir
faadumo	oqim	fatima
faafay	tarqalish	it spread
faafinta	tarqatish	journal
faafiyeen	tarqatildi	spread
faafiyey	targ&#39;ib qilingan	he published
faago	xayrlashdi	dig
faah	tafsilotlar	for details
faahfaahsan	batafsil	explained in detail
faaiidada	ustunlik	benefit
faaiido	daromad	wo
faaloota	sharh	faaloota
faano	shon-sharaf	boast
faanoole	bokschi	faanoole
faanto	maqtanish	dung
faarax	emish	farah
faarisiyiinta	farziylar	faarisiyiinta
faatikaan	bu doirada	vatican
faatikanaka	dastxat	faatikanaka
faatikanka	taktika	stated publicly
faca	uzmoq	the age-group
faculty	fakulteti	faculty
facween	qirrali	facween
fadal	xiralik	foot-print
fadhida	o&#39;tirib	sitting
fadhido	o&#39;tir	sits
fadhiisan	o&#39;tir	sit
fadhiisimo	muzlatmoq	fadhiisimo
fadhiistay	o&#39;tirdi	he sat down
fadhiisto	o&#39;tir	sit
fadhino	o&#39;tir	fadhino
fadhiso	o&#39;tir	by voting
fadhiya	o&#39;tirgan	seated
fadhiyaa	o&#39;tirgan	is on
fadhiyay	o&#39;tirgan edi	setting
fadhiyey	o&#39;tirdi	he was sitting
fadlan	iltimos	please
fadliga	inoyat	grace
fadligeeda	uning inoyati	fadligeeda
fahamka	tushunish	understanding
fahamno	tushunmoq	so that we can understand;
fahmaan	tushunmoq	understand
fahmay	tushundi	he understood
fahmeen	tushundi	understood their special
fahmeyna	bizni tushun	fahmeyna
fahmeynaa	tushunamiz	the bread
fahmi	tushunmoq	understand
fahmin	tushunmaslik	understand
fahmo	tushunmoq	understand
faisal	faysal	faisal
fakaday	qochib ketdi	he escaped
fakerayey	tasavvur qilingan	fakerayey
fal	harakat qilmoq	verb
falaa	qiling	i do
falaha	ishlab chiqaruvchi	falaha
falal	harakatlar	acts
falalka	harakatlar	the actions
falanqayno	muhokama qilmoq	falanqayno
falastiin	falastin	palestine
falastiiniyiintu	falastinliklar	station
fale	plitka	subject
faleedka	plitka	faleedka
falidda	etishtirish	them
falka	akt	the verb
falkaab	harakat	adverb
fanaan	rassom	vocalist
fanaanad	fanat	fanaanad
fanaaniinta	rassomlar	drama bands
fanansuwela	farasingiz	fanansuwela
fanka	san&#39;at	arts
faqashta	hushidan ketish	the loyalists
faqay	- pichirladi u	he consulted secretly
faqi	tor	take counsel secretly
faqiih	faqih	faqiih
faqiiq	gap	faqiiq
far	uzoq	writings
fara	boshlamoq	fingers
faraaciinta	o&#39;ziga tegishli	faro
faraana	mening ismim	faraana
farabadan	juda ko&#39;p	clinics
farac	urug &#39;	offspring
faragelin	xalaqit bermoq	intervention
farah	uzoq	male somali name
faraha	barmoqlar	finger
faransiis	fransuz	french
faransiisk	fransuz	faransiisk
faransiiska	fransuz	french
faransiisku	frantsuzlar	the french
faras	ot	horse
faraska	ot	the horse
faraskii	ot	touched
farasku	sizning otingiz	track that led
farax	xursand	happiness
faraxsan	xursand	happy
faraxsanahay	xursand	am
faray	uzoq	he sent a message
farayso	yo&#39;naltirilgan	bid us? and it adds
farcanmeen	urug &#39;	farcanmeen
fardaha	otlar	horses
fardo	otlar	horses
fariin	xabar	a message
fariistay	nafaqaga chiqqan	he sat down
fariisto	o&#39;tir	where decisions are made
farlibaax	pashsha	farlibaax
farmaajo	pishloq	cheese
farnnsiisku	farishtalik	the french
farnsiiku	muzlash	farnsiiku
farnsiiska	fransuz	french
farnsiisku	fransuz	farnsiisku
faro	barmoq	digits
farqi	farq	difference
farraaciintii	o&#39;tkazadi	farraaciintii
farsamada	texnologiya	technical
farsamo	texnik	technical
farshaxan	san&#39;at	craft
farshaxanka	san&#39;at	the arts and crafts
farta	barmoq	the finger
farxad	baxt	joy
farxeen	xursand bo&#39;ldi	were delighted
farxiyo	zavq	please
fasax	qoldiring	holiday
fashilmay	bajarilmadi	failed
fasir	talqin qilmoq	explain
fasirtada	talqin	fasirtada
faso	o&#39;tmoq	faso
father	otasi	father
feb	feb	withdrawn
febayaa	yuqumli	febayaa
febraayo	fevral oyida	february
february	fevral	february
federaal	federal	federal
federaalka	federal	federal
feerfeer	bokschi	ferfer
fekaray	o&#39;yladi	fekaray
femmes	urg&#39;ochi	femmes
ferde	ferde	ferde
feysal	fayl	feysal
ficil	harakat	activity
ficilku	harakat	action took place
fiday	tarqalish	he expanded
fideen	yoyib	fideen
fidin	tarqalish	spread
fidinka	tarqalish	fidinka
fidinta	cho&#39;zish	the stretching
fiditaankii	tarqalishi	fiditaankii
fidiyey	cho&#39;zilgan	spread
fido	fido	spread
fidsan	tekis	spread
fidsantahay	tekis	fidsantahay
field	maydon	field
fiican	yaxshi	perfect
fiicanna	yaxshi	good
fiid	kechqurun	in the evening
fiidow	oqshom	fidow
fiidshe	so&#39;radi	fiidshe
fiil	vilkasi	fiil
fiiq	o&#39;tkir	sweep
fiiri	qarang	see
fiirino	qidirmoq	when indeep looking
fiiriyo	qarang	look for
fiiro	qarang	observation
fikrad	fikr	idea
fikrada	o&#39;yladi	cultivating
fiktoriya	o&#39;yladi	fiktoriya
filaan	to&#39;satdan	was unexpected action
filaanka	miltillaydi	time
filaayaa	kutilmoqda	filaayaa
filan	yetarli	enough
filayo	kutilmoqda	is expected
fileyn	kutilmagan	when she doesn't call
fille	boshini kesish	fille
film	film	film
filmada	filmlar	filmada
filmaha	filmlar	filmaha
finland	finlandiya	finland
finnishakana	finlar	finnishakana
fiqi	ilohiyot	whisper
fiqiga	ilohiyot	the sheikh
fircoon	faol	firon
firefox	firefox	firefox
firfircoon	faol	active
firfircooni	faol	activity
firkoodi	sochmoq	firkoodi
first	birinchi	first
fog	uzoq	far
fogaa	uzoq	it was far
fogaadaa	undan saqlaning	get rid of a mold problem
fogaado	o&#39;zini tiyish	avoid
fogaayeene	ular juda uzoqda	fogaayeene
fogeeyaan	qo&#39;ydi	distance
fogeyn	masofalar	far
fogfog	uzoq	do not begin with
foodhida	qichqiradi	foodhida
fool	yuzi	forehead
foolka	yuzi	the forehead
foolmaroodi	fil suyagi	elephant's trunk
foore	ta&#39;zim	win
for	uchun	for
forces	kuchlar	ciidameed
forgotten	beparvo	forgotten
form	shakl	foomka
four	to&#39;rtta	four
franchwadnkan	bu franchise	franchwadnkan
fransiiska	fransiyada	the french
fransiisku	fransisko	fransiisku
français	fransuzcha	francais
françois	fransuzcha	fracois
frasiiska	ishqalanish	frasiiska
free	ozod	free
frequency	chastotasi	frequency
friesland	friziya	friesland
from	dan	from
fudud	oddiy	easy
fududaanta	oddiylik	the state of being impatient
fududeeyay	osonlashtirildi	bared witness
fulay	qo&#39;rqoqlik bilan	coward
fuley	yo&#39;tal	adventure type
full	to&#39;la	full
fura	ochmoq	open
furaat	kalit	ones along
furaha	kalit	key
furan	ochiq	open
furay	ochildi	he opened
furayaasha	tugmachalar	spare house keys outside
furayo	qulflarini oching	opening  opening
fureen	gul	they opened
furo	ochiq	open
furqaan	jo&#39;yak	furqaan
fursad	imkoniyat	opportunity
fursadaha	imkoniyatlar	options
future	kelajak	future
fuula	minish	get on
fuulay	ko&#39;tarildi	he climbed on
fuuli	ko&#39;tarilish	put on top of
g	g	g
ga	qiladi	ga
gaab	qisqa	short
gaabaha	shortilar	gaabaha
gaaban	qisqa	short
gaabiyaa	sekin	travels more slowly than
gaabiyo	sekin	set
gaacuur	kiyik	gaacuur
gaadha	yetadi	enable
gaadhaa	yetadi	reaches to
gaadhay	ga yetdi	he reached
gaadhaya	erishish	article 7
gaadhayaan	erishish	reach
gaadhayo	erishish	decisions
gaadhaysaa	yetib boradi	gaadhaysaa
gaadheen	ga yetdi	so they arrived
gaadhin	yetib bormadi	acquired
gaadho	erishish	majority
gaadhsiinayeen	etkazmoq	gaadhsiinayeen
gaadhsiinlahayd	erishmoq	gaadhsiinlahayd
gaadhsiisanayd	ga yetdi	gaadhsiisanayd
gaadhsiisnayd	ga yetdi	gaadhiisnayd
gaadhsiiya	etkazmoq	triumphal procession
gaadhsiiyaan	etkazmoq	take them very
gaadhsiiyey	etkazdi	he promoted
gaadiid	tashish	transportation
gaadiidka	transport	transportation
gaagaaban	qisqasi	short
gaajo	ochlik	hunger
gaal	dinsiz	infidel
gaalada	kofirlar	unbelievers
gaaljecel	holsiz	galjel
gaalkaan	bu kofir	gaalkaan
gaalkacayo	dinsiz	itself
gaalkacyo	kofirlar	galka�io
gaalo	kofirlar	unbelievers
gaandi	to&#39;da	gandi
gaar	xususiy	special
gaara	erishish	attention
gaaraa	yetadi	reach
gaaraayo	erishish	gaaraayo
gaarane	erishmoq	gaarane
gaaray	ga yetdi	he reached
gaaraya	erishish	coming from
gaarayaan	erishish	receive
gaarayo	erishish	reviewing
gaareen	ga yetdi	reached
gaareeso	erishmoq	gaareeso
gaarey	ga yetdi	reached
gaareysa	erishish	10.000
gaari	transport vositasi	car
gaarin	kirish	by
gaarka	xususiy	special
gaarkiisa	uning tanasi	gaarkiisa
gaaro	erishish	reach
gaarsiinta	etkazib berish	communications
gaarsiisan	erishish	reached
gaarsiiyey	etkazdi	he promoted
gaarsiyeyna	etkazdi	gaarsiyeyna
gaashaaman	qalqon	armored vehicles
gaashaan	qalqon	shield
gaashaanbuurta	ittifoq	the alliance
gaashaandhiga	mudofaa	mining
gaashaanka	qalqon	the full-back
gaashaanle	polkovnik	major
gabadh	qizi	girl
gabadha	qiz	the girl
gabadhii	qiz	the girl
gabanka	bayonot	the young
gabar	qiz	girl
gabay	qo&#39;shiq	poem
gabayadiisa	uning she&#39;rlari	gabayadiisa
gabayga	she&#39;r	the poem form
gabaygii	shoir	the poem
gabaygu	she&#39;r	the poem
gabayle	shoir	gabayle
gabayo	she&#39;r	poems
gabdhaha	qizlar	girls
gabdhahooda	ularning qizlari	, and surely
gabdhihii	qizlari	women
gabdhood	qizlari	girls
gabdhoodna	ularning qizlari	gaddhoodna
gabeyre	shoir	gabeyre
gabi	to&#39;liq	the whole of
gabiahaanba	bularning barchasi	gabiahaanba
gabiley	gorilla	hargeisa a
gabownimadii	qarilikda	gabownimadii
gabyaa	shoir	poet
gabyaagii	shoir	gabyaagii
gacal	azizim	beloved
gacan	qo&#39;l	hand
gacanka	ko&#39;rfaz	the gulf
gacansiiyo	yordam	gacansiiyo
gacanta	qo&#39;l	the hand
gacantiisa	uning qo&#39;li	his
gacmaha	qo&#39;llar	hands
gacmeedyo	qo&#39;llar	with handguns
gacmood	qo&#39;llar	hands
gadaal	keyinroq	back
gadaashiiye	orqasida	gadaashiiye
gadabuursi	zaxira	gadabuursi
gadabuursiga	orqa tomonda	gadabuursiga
gadabuursigu	orqa hovli	gadabuursigu
gaday	sotib oldi	he sold
gadaye	stullar	gadaye
gadiid	sotmoq	barren land
gadiidka	tashish	gadiidka
gadisan	to&#39;shak	different factions conferencing
gado	meros olish	buy
gaduud	qizil	good
gaheyr	gaheyr	gaheyr has made a ballad where he said
gaheyrkuliyada	geologiya	gaheyrkuliyada
gal	jurnal	enter
gala	kiriting	enter
galaa	kiradi	it enters
galaal	papka	whitewash whitewash
galaan	kiriting	enter
galab	tushdan keyin	afternoon
galabsan	bugun tushdan keyin	full stop
galabtaas	bugun tushdan keyin	later
galadaystay	ketdi	galadaystay
galaddiisu	uning inkor qilishi	galaddiisu
galay	ichiga	activities
galayda	makkajo&#39;xori	corn
galaydh	makkajo&#39;xori	galaydh
galaye	kiriting	there had never been a problem
galayno	biz	on no account enter
galayr	gallon	galaydh
galbaday	tushdan keyin	they went home
galbe	g&#39;arbiy	galbe
galbeed	g&#39;arbiy	west
galbeeditoobiya	g&#39;arbiy efiopiya	east ethiopia
galbeedka	g&#39;arbga	west
galbeedkana	g&#39;arbga	galbeedkana
galbeedkenya	g&#39;arbda	galbeedkenya
galbeedku	g&#39;arbiy	western
galbeedna	g&#39;arbga	galbeedna
galdogob	chinni	mayor of
galeen	ichiga	entered
galeeyda	mening gale	galeeyad
galeyda	makkajo&#39;xori	corn
galgaduud	blackberry	galgaduud
galguduud	emaklamoq	galgaduud
gali	kiriting	enter
galin	qo&#39;ymoq	entered
galinayo	joylashtirilgan	youth
galinaysaa	joylashtirilgan	bandits arrest
galine	galin	galine
galinsoor	qo&#39;shish	galinsoor
galisay	joylashtirilgan	turn enabled
galiyaan	qo&#39;ymoq	right
galiyey	infuziya	have been achieved
galiyo	qo&#39;ymoq	makes
galka	ichida	the pond
galkacyo	gallon	galakacyo
galleyda	makkajo&#39;xori	corn
galmaax	gallon	galmah
galmoodka	jinsiy aloqada bo&#39;lish	galmoodka
galo	ichiga	enter
galow	kirmoq	throat
gambia	gambiya	gambia
ganac	savdo	, pancreas
ganacasade	savdogar	ganacasade
ganacsade	savdogar	merchant
ganacsan	savdo qilingan	traded
ganacsatada	savdogarlar	the traders
ganacsato	savdogarlar	gabacsato
ganacsi	biznes	trade
ganacsiga	biznes	trade
ganacu	savdo	ganacu
gandi	qoida	tse-tse fly
ganey	tushunmoq	ganey
gar	gar	chin
garaacay	urmoq	he knocked
garaaco	uradi	beaten
garaad	aql	garad
garaadka	aql	the understanding
garab	yelka	shoulder
garabsocday	hamrohlik qildi	garabsocday
garad	bilasiz	garad
garadag	mashhur	garadag
garadba	tushunmoq	garadba
garan	biling	don't know
garanayn	bilmadi	don't know
garanayo	biling	don't know
garansiiyo	yordam	was chosen to explain to everyone this plan
garashada	idrok	perception
garasho	anglamoq	understanding
garatay	bilasiz	he understood
garbaha	yelkalar	shoulders
garbahaarey	elkama-elka	garbahaarey
garbihiisa	yelkasida	his shoulders
gardhaale	munozarali	gardhaale
gardheere	xayoliy	gardhere
gargaar	yordam	help
gargaaray	yordam beradi	he helped
gargaarka	yengillik	assistance
gariis	hirqiroq	gariis
garjante	garjante	garjante
garoomada	aeroportlar	grounds
garoomaha	kuyov	garoomaha
garoon	stadion	field
garoonka	stadion	the airport
garoonkaan	ushbu aeroportda	garoonkaan
garoowe	garowe	garowe
garowe	rahmat	garowe
garre	garre	ocean fish
garsoor	sudya	justice
garsoore	sudya	judge
garsoorka	sudya	the judiciary
gartada	buni anglab yet	gartada
gartay	tushundi	he knew
garto	tan oling	understand
garyaqaan	yurist	lawyer
garçon	gulchambar	garcon
gashaa	kirmoq	decreases
gashaandhiga	qalqon	gashaandhiga
gashay	kirdi	he entered
gashiyo	soch	gashiyo
gates	darvozalar	gates
gateyba	shlyuz	gateyba
gato	sotib olmoq	hire purchase
gauda	nafas olish	gauda
gaule	qo&#39;ltiq	gaule
gaulle	galele	gaulle
gaussian	gaussian	gaussian
gawracii	so&#39;yish	gawracii
gayiga	gey	the universe
gaysatay	erishdi	had given support
gaysay	yetkazib berildi	high
gaystay	qilingan	had inflicted
gbanaadir	juda mashhur	gbanaadir
gebi	umuman	the whole of
gedisan	distal	different
gedo	bezak	gedo
gedoshabeelaha	traktor	gedoshabeelaha
geed	daraxt	tree
geedaha	daraxtlar	the trees
geeddi	jarayon	traveling
geedi	daraxt	gedi
geedka	o&#39;simlik	the tree
geedkii	daraxt	tree
geedo	giyohlar	plants
geel	tuya	camel
geela	tuya	the camel
geelii	tuya	the camels
geeliisii	tuya	drove in a herd of camels to water at
geelka	tuya	geelka
geella	tuya	camel song)
geelle	tuya	gelle
geelo	tuya	him
geelu	tuya	the camels
geeri	o&#39;lim	death
geerida	o&#39;lim	the death
geeridii	o&#39;limda	the death of
geerisa	o&#39;lim	geerisa
geeriyooday	vafot etdi	he died
geeriyoodeen	ular vafot etdilar	wounded
geeriyoodey	vafot etdi	offered
geeriyootay	marhum	he died
gees	chekka	horn
geesi	inglizcha	brave
geesinimo	jasorat	courage
geesiyaashii	qahramonlar	administered with roughness had the
geeska	burchak	horn
geesteen	bizga qarshi	geesteen
geeyaa	olib kel uni	submit
geeyay	yetkazib berildi	he took
geeyey	yetkazib berildi	delivered
geeyo	olib kel uni	bring
gelaya	kirib	enter
geledi	jelli	geledi
geli	kirish	enter
gelin	qo&#39;ymoq	enter
gelinta	qo&#39;shish	the importing
gelisay	joylashtirilgan	resin
geliya	ichida	burning
geliyaan	qo&#39;ymoq	tried to
geliyay	joylashtirilgan	he put in
geliyeen	qo&#39;ymoq	him
geliyo	joylashtirilgan	in order to inject
gelle	g&#39;ildirak	through telephone
gelyo	soyalar	goodbye!
gen	gen	gen.
general	umumiy	military general
generalka	umuman olganda	generalka
generation	avlod	generation
gens	genlar	gens
geography	geografiya	also with knowledge
georges	georges	georges
geri	panjara	giraffe
geyiga	uyda	the territory
geysatay	qilingan	he hurt
geystey	qilingan	had contributed to
ghazi	tashkil qilmoq	ghazi
gidaar	uy	wall
gidir	uy	woman that gives no milk
giinbaarta	nafas olish	giinbaarta
giriig	yunon	greece
giriiga	yunon	giriiga
giriigga	yunon	giriigga
giriigii	yunon	giriigii
giscard	qiyqiriq	giscard
glay	glay	glay
global	global	global
gmsk	gmsk	gsmk
