$	dollar təşkil edib	a sign of doller
ગાળો	marj	span
ગાવામાં	səsləndi	sing / sang / sung
ગિરનાર	girnar	girnar
ગિરનારનાં	girnar	girnar's
ગિરનારની	girnar	of girnar, girnar's
ગિરનારનું	girnar	of girnar
ગિરનારને	girnar	girnar
ગિરનારમાં	girnarda	in girnar
ગિરનારી	girnari	girnari
ગિરા	gira	gira, name of the river in gujarat
ગીચ	dolu	dense / conjested
ગીચતા	sıxlıq	density
ગીઝાના	gizanın	of giza
ગીત	mahnı	song
ગીતમાં	mahnıda	in song
ગીતા	gita	gita
ગીતાના	gitadan	gita's
ગીતાનો	gitadan	gita's
ગીતો	sözləri	songs
ગીર	gir	"tourist place ""gir"""
ગુંડાલકેનાલ	gündəlkanal	gundal canal
ગુગલ	google	google
ગુજરાત	gujarat	gujarat state
ગુજરાતના	gujarat&#39;ın	of gujarat
ગુજરાતનાં	gujarat&#39;ın	of the gujarat
ગુજરાતની	gujarat&#39;ın	of gujarat
ગુજરાતનું	gujarat&#39;ın	gujarat state
ગુજરાતનો	gujarat&#39;ın	gujarat's
ગુજરાતમાં	gujaratda	in gujarat
ગુજરાતી	gujarati	gujarati
ગુજરાતીઓ	gujaratis	gujaratis
ગુજરાતીમાં	gujarat dilində	in gujarati
ગુજરાતે	gujarat	by gujarat
ગુજવિકિને	gujwiki	to gujwiki
ગુડ	yaxşı	good
ગુણ	i̇şarələri	marks,
ગુણધર્મો	xüsusiyyətləri	quality perspiration
ગુણવત્તા	keyfiyyətlidir	excellence
ગુણવત્તાના	keyfiyyətlidir	of the quality
ગુણવત્તાની	keyfiyyətlidir	of quality
ગુણો	xallar	quality
ગુણોત્તર	nisbət	ratio
ગુનાઓ	cinayətlər	crimes
ગુનેગાર	günahkar	convict
ગુપ્ત	gizli	hidden, secret
ગુફા	mağara	cave
ગુફાઓ	mağaralar	caves
ગુમાવી	i̇tirildi	to loss
ગુમાવ્યા	i̇tirildi	lossed
ગુરુ	yupiter	master
ગુરુત્વાકર્ષણ	ağırlıq	gravitation
ગુરુદેવ	gurudev	gurudev [in hindi]
ગુરુવાર	cümə axşamı	thursday
ગુરૂ	yupiter	teacher, guru
ગુરૂત્વાકર્ષણ	ağırlıq	gravitation
ગુરૂની	yupiter	jupiter's
ગુલાબ	güllər	rose
ગુલામ	qul	servant or slave
ગૂગલ	google	google
ગૂગલે	google	by google
ગૂઢ	sirli	complecated/difficult
ગૃહ	ev	home
ગૃહસ્થ	ev sahibi	gentleman
ગેટ	get	gate
ગેટવે	keçid yolu	gateway
ગેટ્સ	qapılar	gates
ગેટ્સે	qapılar	by gates
ગેમ	oyun	game
ગેમિંગ	oyun	gaming
ગેમ્સ	oyunlar	games
ગેરકાયદેસર	qanunsuz	illegal
ગેરહાજરીમાં	yoxluğunda	in absent
ગેલેરી	qalereya	gallery
ગેસ	qaz	gas
ગેસના	qazdan	of gas
ગોંડલ	gondal	gondal
ગોઆ	goa	"name tourisam place ""goa"""
ગોઆન	goan	goa
ગોઠવણ	tənzimləmə	adjustment
ગોઠવણી	konfiqurasiya	arrangement / formation
ગોઠવવામાં	konfiqurasiya edilmişdir	setting
ગોઠવાય	tutuldu	arranges
ગોડ	allah	god
ગોડસે	godse	godse
ગોદમાં	qucağında	in the lap of
ગોદાવરી	godavari	"rive name ""the godavari"""
ગોધરા	godhra	godhra(name of railway station)
ગોપનીયતા	məxfilik	secrecy / privacy
ગોપાલ	qopal	gopal
ગોરખનાથ	goraxnath	gorakhnath
ગોરા	ağ	white
ગોરાઓનાં	ağlardan	foreigner's
ગોલ્ડન	qızıl	golden
ગોલ્ફ	golf	golf
ગોળ	dəyirmi	round
ગોળા	sahələr	sphere shaped
ગોળાઓ	sahələr	balls
ગોળાકાર	dairəvi	round
ગોળાર્ધમાં	yarımkürədə	hemisphere
ગોળી	vuruldu	bullet
ગોવા	goa	goa
ગોવાના	goa	of goa
ગોવાની	goa	goa's
ગોવાનું	goa&#39;dan	goa's
ગોવાનો	goa	goa
ગોવામાં	goa&#39;da	in state of goa
ગોવિંદ	govind	govind name
ગોસેવા	goseva	caring of cow
ગોસ્વામી	goswami	goswami
ગોહિલ	gohil	gohil
ગૌડીય	gaudia	gaudiya, name of the hindu religion follower
ગૌણ	orta	auxiliary
ગૌતમ	qautam	gautam
ગૌરવ	qürur	pride
ગૌરવપૂર્ણ	qürur duyur	prestigious
ગૌશાળા	qaushala	cowshed
ગ્રંથ	qrant	volume / complex
ગ્રંથમાં	kitabda	in the book
ગ્રંથમાળા	biblioqrafiya	book series
ગ્રંથો	mətnlər	texts
ગ્રંથોના	mətnlərdən	of the books
ગ્રંથોમાં	mətnlərdə	in books
ગ્રહ	planet	planet
ગ્રહણ	tutulma	eclipse
ગ્રહની	planetin	planet
ગ્રહો	planetlər	planets
ગ્રહોના	planetlərdən	of planets
ગ્રહોની	planetlərdən	of planets
ગ્રહોને	planetlərə	to the planets
ગ્રાઉન્ડ	zəmin	ground
ગ્રાન્ડ	böyük	grand
ગ્રાફિક	qrafik	graphic
ગ્રાફિક્સ	qrafika	graphics
ગ્રામ	g	gram
ગ્રામીણ	kənd	rural
ગ્રામ્ય	kənd	rural
ગ્રાહક	müştəri	customer
ગ્રાહકો	müştərilər	customers
ગ્રાહકોની	müştərilərin	of the customers
ગ્રાહકોને	müştərilər	to customers
ગ્રીક	yunan	greek
ગ્રીકો	yunanlar	greek's
ગ્રીન	yaşıl	green
ગ્રીનહાઉસ	i̇stixana	greenhouse
ગ્રીનહાઉસની	i̇stixanadan	greenhouse's
ગ્રીસ	yunanıstan	greece
ગ્રીસના	yunanıstanın	of greece
ગ્રુપ	qrup	group
ગ્રૂપ	qrup	group
ગ્રેગોરીયન	qriqoryan	gregorian
ગ્રેટ	əla	great
ગ્રેટર	böyükdür	greater
ગ્લેશિયરહીમનદી	buzlaq buzlaqı	glacier
ગ્લોબ	qlobus	globe
ગ્લોબલ	qlobal	global
ઘંટ	zənglər	bell
ઘઉં	buğda	wheat
ઘટક	tərkibi	component
ઘટકો	tərkibi	constituents
ઘટના	hadisə	incident
ઘટનાઓ	hadisələr	incidents
ઘટનાઓની	hadisələrin	of the events
ઘટનાઓનું	hadisələrin	of events
ઘટનાઓમાં	hadisələr	in the events
ઘટનાની	tədbirin	of incident
ઘટનાને	tədbirə	incidence
ઘટનાનો	tədbirin	process
ઘટનામાં	tədbirdə	in the event
ઘટવા	düşmək	decrease
ઘટાડવા	azaltmaq üçün	less / mearge
ઘટાડી	azaldılmışdır	decreased
ઘટાડો	azaldılması	reduction
ઘટી	düşən	low
ઘટીને	düşdü	decreased
ઘટે	azalır	decreases,
ઘટોત્કચ	ghatotkach	ghatotkach
ઘડવામાં	çerçeveli	in construction
ઘડિયાળ	saat	watch / clock
ઘડી	tərtib edilmişdir	moments
ઘણા	bir çoxu	very
ઘણાં	çoxlu	lots of
ઘણાખરા	bir çoxu	most of
ઘણી	çoxlu	many
ઘણીબધી	çoxdur	many
ઘણીવાર	tez-tez	many times
ઘણુ	çox	more
ઘણું	çox	much
ઘણો	çox	much
ઘન	qatı	solid
ઘનતા	sıxlıq	density
ઘનશ્યામ	ganshyam	dhanshyam
ઘર	ev	house
ઘરની	evin	of the house
ઘરમાં	evdə	house
ઘરે	evdə	(at) home
ઘરેલુ	yerli	household
ઘરેલું	yerli	stationed at home
ઘરો	evlər	houses
ઘવાયા	yaralı	injured
ઘસી	ovuşdurulub	twril
ઘાટ	kif	pass
ઘાયલ	yaralı	injured
ઘાસ	ot	grass
ઘાસના	otdan	grass
ઘી	ghee	the
ઘુમ્મટ	günbəz	vault
ઘુમ્મટની	günbəzdən	dome's
ઘુસી	nüfuzlu	forceful entry
ઘેડ	qoyun	ghed
ઘેર	ev	home
ઘેરાયેલું	ətrafı	spread
ઘેરાયેલો	ətrafı	surrounded
ઘેરી	ətrafı	dark
ઘેરો	qaranlıq	dark
ઘોંઘાટ	səs-küy	noise
ઘોડા	atlar	horses
ઘોષણા	elan	manifesto
ઘોષિત	bəyan olundu	declared
ચ	ç	also [sanskrit word]
ચંડીગઢ	çandigarh	chandigarh
ચંદ્ર	ay	moon
ચંદ્રક	medal	medal
ચંદ્રગુપ્ત	chandragupta	chandragupt
ચંદ્રનાં	ayın	of chandar
ચંદ્રની	ayın	of the moon
ચંદ્રને	aya	to moon
ચકાસણી	doğrulama	verification
ચક્ર	dövrə	revolve
ચક્રવર્તી	çakravarti	supreme
ચક્રવાત	siklon	tsunami
ચડવા	dırmaşmaq	to have
ચડાઈ	qalxmaq	invasion
ચડી	qalxmaq	climb
ચડીને	qalxmaq	climbed,
ચડે	qalxma	climbs
ચડ્યો	qalxdı	climbed up
ચઢાણ	qalxmaq	climbings
ચતુર	ağıllıdır	able / claver
ચતુર્થ	iv	fourth
ચન્દ્ર	ay	chandar
ચમત્કાર	möcüzələr	miracle
ચયાપચય	metabolizm	digestive system
ચરણ	addım	feet
ચરમ	ekstremal	top
ચરિત્ર	xarakter	character
ચર્ચ	kilsə	church
ચર્ચા	müzakirə	discussion
ચર્ચાઓ	müzakirələr	discussions
ચલચિત્ર	film	movie
ચલણ	valyuta	currency
ચલતે	hərəkətdə	by walk
ચલાવતા	qaçış	runner
ચલાવવા	qaçmaq	to run
ચલાવવામાં	i̇cra olunur	run by
ચલાવી	çalışın	doing
ચલાવે	qaçır	running
ચલાવ્યું	i̇cra olunur	ran
ચલિત	hərəkət edir	run
ચળવળ	hərəkat	activity
ચળવળના	hərəkətin	of the movement
ચળવળની	hərəkətin	of agitation
ચળવળને	hərəkat	of the movement, to the movement
ચળવળમાં	hərəkətdə	in the agitation
ચા	çay	tea
ચાંદી	gümüş	silver
ચાઇના	çin	china
ચાઇનીઝ	çin	chinese
ચાણક્ય	çanakya	"name ""chanakaya"""
ચામડી	dəri	skin
ચામુંડા	çamunda	chamunda
ચાર	dörd	four
ચારણ	ayaq	rhapsody
ચારે	dörd	all four
ચાર્લ્સ	çarlz	charles
ચાલ	daşın	trick
ચાલક	sürücü	motive
ચાલતા	gəzir	running
ચાલતી	qaçış	running
ચાલતું	qaçış	running
ચાલતો	gəzir	went on
ચાલવાનું	gəzir	to walk
ચાલી	qaçış	lasted for
ચાલીને	gəzir	by walking
ચાલુ	davam edir	current
ચાલું	davam edir	current
ચાલે	qaçır	running
ચાલ્યા	getdi	went
ચાલ્યાં	getdi	gone
ચાલ્યું	davam etdi	ran
ચાલ્યો	uzaqlaşdı	ran
ચાવલા	çawla	chawla
ચાવી	açar	key
ચાહતા	tərəfdarlar	loved
ચાહે	olsun	whether
ચિંતન	düşünmək	thinking
ચિંતા	narahatlıq	tension
ચિકિત્સા	terapiya	cure
ચિકિત્‍સા	dərman	cure
ચિતાર	çit	picture
ચિત્ર	şəkil	picture
ચિત્રકાર	rəssam	painter
ચિત્રણ	i̇llüstrasiya	to draw
ચિત્રપટ	film	movie
ચિત્રો	şəkillər	pictures
ચિત્રોં	şəkillər	pictures / photos / paintings
ચિન્હ	qeyd	sign,
ચિન્હો	i̇şarələr	symbols
ચિહ્ન	nişan	symbol
ચીકણો	qumaq	glace
ચીજ	şey	thing
ચીજો	şeylər	things
ચીન	çin	country name
ચીનના	çinin	china's
ચીનની	çinin	china's
ચીનમાં	çində	in china
ચીની	çin	chinese
ચીને	çin	by china
ચુંટણી	seçki	election
ચુંટણીમાં	seçkidə	election
ચુંટાઇ	seçilmiş	elected
ચુંટાઈ	seçilmiş	elected
ચુંટાય	seçilmiş	gets elected
ચુંટાયા	seçilmiş	elected
ચુંટાયેલા	seçilmiş	elected
ચુંબકીય	maqnetikdir	magnetic
ચુકાદો	hökm	judgement
ચુકી	darıxdı	missed
ચુક્યા	ödənişlidir	missed
ચુક્યું	darıxdı	missed
ચુક્યો	darıxdı	missed
ચુટણી	seçki	elections
ચુસ્ત	sıx	strict
ચૂંટણી	seçki	vote
ચૂંટણીમાં	seçkidə	in election
ચૂકવણી	ödənişlidir	payment
ચૂકવવામાં	ödənişlidir	paying
ચૂકેલા	darıxdı	done
ચૂક્યા	buraxılmış	missed
ચૅરિટિ	xeyriyyə	charity
ચેક	yoxlamaq	czech
ચેટ	sohbet	chat
ચેતવણી	xəbərdarlıq	warning
ચેનલ	kanal	channel
ચેનલો	kanallar	channels
ચેન્જ	dəyiş	change
ચેન્નઈ	çennai	chennai, name of the indian metro city
ચેન્નઈમાં	çennayda	in chennai
ચેપ	i̇nfeksiya	infectious
ચેપની	i̇nfeksiyanın	of infection
ચેપી	yoluxucu	lymphoma
ચેમ્પિયનશીપ	çempionat	championship
ચેમ્પીયન	çempion	champion,
ચેમ્પીયનશીપ	çempionat	championship
ચેરમેન	sədr	chair man
ચેસ	şahmat	chess
ચૈતન્ય	şüur	intelligence
ચૈત્ર	çaitra	sixth month of vikrama and first of shalivahana year
ચો	cho	square
ચોક	chowk	square
ચોકસાઈ	dəqiqlik	cleanliness
ચોકિમી	çokimi	square kilometers
ચોક્કસ	tamamilə	specific
ચોક્કસપણે	əlbətdə	certainly
ચોખા	düyü	rice
ચોટીલા	zirvələr	chotila
ચોતરફ	hər tərəfdə	from all side
