$	dollarni tashkil etadi	dollarsign
haai	akula	shark
haaien	akulalar	sharks
haakjes	qavslar	pleats, parentheses
haalde	olib kelindi	took
haalden	olib kelindi	made
haalt	olib keladi	makes
haan	xo&#39;roz	cock
haar	uni	her
haarlem	haarlem	haarlem
haarlemmermeer	haarlemmermeer	haarlemmermeer
haarlemse	haarlem	harlem
haat	nafrat	hatred
habsburgers	habsburglar	habsburgers
habsburgse	habsburg	habsburg
had	edi	had
hadden	edi	had
hadith	hadis	hadith
hadrianus	hadrian	hadrianus
hagedissen	kertenkele	lizards
halen	uni olish	persuade, get
haley	galey	haley
half	yarmi	half
halfbloed	yarim qon	mestizo
halfrond	yarim sharda	hemisphere
hall	zal	hall
halloween	halloween	halloween
hallucinaties	gallyutsinatsiyalar	hallucinations
hals	bo&#39;yin	hals
halve	yarmi	half
halverwege	o&#39;rtada	halfway
hamas	hamas	hamas
hamburg	gamburg	hamborg
hamilton	hamilton	hamilton
hammond	hammom	hammond
hand	qo&#39;l	hand
handboek	qo&#39;llanma	handbook (1st sentence), reference guide (2nd and 5th sentence)
handel	savdo	commerce
handelaren	savdogarlar	traders
handelen	savdo qilmoq	bin
handeling	harakat qilmoq	action
handelingen	harakatlar	operations
handen	qo&#39;llar	hands
handhaven	saqlamoq	maintain
handicap	jismoniy nogironlik	handicap
handig	foydali	skilful
handvest	nizom	charter
hangbrug	osma ko&#39;prik	hanging bridge
hangen	osmoq	to hang
hangt	bog&#39;liq	depends
hannah	xanna	hannah
hannibal	gannibal	hannibal
hans	hans	hans
hanteert	tutqichlar	handles
hanteren	dastasi	handle
happy	xursand	happy
harbor	port	harbor
hard	qattiq	hard
harde	qattiq	hard
harder	kuchliroq	louder
haren	soch	hair
hari	hari	day
harmonie	garmoniya	harmony
harold	qo&#39;pol	harold
harris	harris	harris
harrison	xarrison	harrison
harry	xiyla	harry
hart	yurak	heart
hartaanval	yurak huruji	heart attack
hartslag	yurak urishi	heartbeat
has	ega	has
hasselt	hasselt	hasselt
have	bor	hebben
haven	port	port
havens	portlar	harbours
havenstad	port shahri	port town
hawaï	xovayi	hawaii
hawking	qirg&#39;iy	hawking
haydn	xaydn	haydn
haïti	gaitida	haiti
hd	hd	high definition
he	hey	he
head	bosh	head
heart	yurak	heart
heavy	og&#39;ir	heavy
heb	bor	have
hebben	bor	relate, have been
hebreeuws	ibroniycha	hebrew
hebreeuwse	shayton	hebrew
hebt	bor	has
heden	hozirgi kun	now
hedendaagse	zamondosh	contemporary
heeft	ega	has
heel	juda	very
heelal	koinot	universe
heen	uzoqda	around
heer	lord	lord
heerenveen	heerenveen	heerenveen
heerschappij	hukmronlik	rulership
heersende	ustunlik	ruling, prevailing, governing
heerser	hukmdori	ruler
heersers	hukmdorlar	rulers
heerst	qoidalari	rules
heerste	hukmronlik qildi	prevailed
heet	issiq	hot
heette	deb nomlandi	named
heffen	ko&#39;tarish	lift
heftige	zo&#39;ravon	heavy
hegel	hegel	hegel
hegemonie	gegemonlik	hegemony
heide	heather	heathland
heidense	butparast	heathen
height	balandligi	height
heijn	heijn	heijn
heil	najot	heil
heilig	muqaddas	sacred
heilige	avliyo	sacred
heiligen	azizlar	saints
heinrich	geynrix	hienrich
hel	jahannam	hell
helaas	afsuski	unfortunately
held	qahramon	hero
helden	qahramonlar	heroes
helder	yorqin	clear
heldere	yorqin	clear
helderheid	yorqinlik	clarity
hele	butun	entire
helemaal	butun yo&#39;l	completely
helen	davolamoq	helen
helena	helena	helena
helft	yarmi	half
helium	geliy	helium
helling	qiyalik	slope
hellingen	qiyaliklar	slopes
helpen	yordamlashmoq	support
helpt	yordam beradi	helps
hem	uni	him
hemel	osmon	heaven
hemellichamen	samoviy jismlar	celestial bodies
hemelse	samoviy	heavenly
hemelvaart	osmonga ko&#39;tarilish kuni	ascension
hemiplegie	gemiplegiya	hemiphlegia
hemoglobine	gemoglobin	hemoglobin
hen	ularni	them
hendrik	hendrik	a dutch name
hendrix	hendrix	hendrix
henk	tovuq	henk
henri	henri	henri
henry	genri	henry
hepatitis	gepatit	hepatitis
her	uni	re
herbergt	uylar	houses
herbert	gerbert	herbert
hercules	herkullar	hercules
herdacht	esladi	remembered
herdenking	xotira	memorial
herder	cho&#39;pon	shepherd
heren	janoblar	gentlemen
hereniging	birlashish	reunification
herfst	kuz	autumn
herhaald	takrorlandi	repeated
herhaalde	takrorlandi	repeated
herhaaldelijk	qayta-qayta	repeatedly
herhaling	takrorlang	repetition
herinneren	eslaylik	remember
herinnering	eslatma	memory
herinneringen	xotiralar	memories
herinnert	eslaylik	reminds
herkenbaar	taniqli	recognizable
herkenbare	taniqli	distinguishable
herkennen	tan	recognize
herkomst	kelib chiqishi	origin
herman	german	herman
hermann	germann	hermann
hermelien	germiona	hermaine
hernieuwde	yangilandi	renewed
heroes	qahramonlar	heroes
heroïne	geroin	heroin
hersenen	miya	brain
herstel	tiklash	restoration
hersteld	tiklandi	repaired
herstelde	tuzalib ketdi	recovered
herstellen	tiklanish	restore
hertog	gertsog	duke
hertogdom	gersoglik	duchy
hervormde	isloh qilingan	reformed
hervorming	islohot	reformation
hervormingen	islohotlar	reforms
herzegovina	gersegovina	herzegovina
herziene	qayta ko&#39;rib chiqilgan	revised
het	u	the
hete	issiq	hot
heten	chaqirdi	called, named
heteroseksuele	heteroseksual	heterosexual
hetgeen	qaysi	which
hetzelfde	xuddi shu	the same
hetzij	yoki	either
heuvel	tepalik	hill
heuvels	tepaliklar	hills
hevig	qizg&#39;in	violent
hevige	zo&#39;ravon	violent
hey	hey	hey - part of song title
hield	sevdi	held
hielden	saqlandi	hold
hielp	yordam berdi	helped
hier	bu yerda	here
hieraan	bunga	on this
hierbij	shu bilan	hereby
hierboven	yuqoriga	above
hierdoor	shuni dastidan; shu sababdan	this
hierin	shu yerda	in this
hiermee	shu bilan	with this
hierna	shundan keyin	after this
hiernaast	yonida	apart from
hierom	shuni dastidan; shu sababdan	for this reason
hieronder	quyida	among
hierop	bu haqida	hereon
hierover	bu haqida	about this
hiertegen	bunga qarshi	against this
hiertoe	shu maqsadda	this
hieruit	bundan	from here on out
hiervan	bu	this
hiervoor	buning uchun	for this
high	baland	high
hij	u	he
hijzelf	o&#39;zi	himself
hilde	hilde	hilde
hill	tepalik	hill - proper noun
himmler	himmler	himmler
hindoes	hindular	hindus
hindoeïsme	hinduizm	hinduism
hing	osilgan	hung
hiphop	hip hop	hip hop
his	uning	his
hispania	ispaniya	hispania
hispaniola	ispaniola	hispaniola
historici	tarixchilar	historians
historicus	tarixchi	historian
historie	tarixi	history
historisch	tarixiy	historically
historische	tarixiy	historical
history	tarixi	history
hit	urdi	hit
hitler	urishqoq	hitler
hitlers	hitlerchilar	hitlers
hitlijsten	grafikalar	charts
hits	xitlar	hits
hits||||||||||	xitlar ||||||||||	hits
hitte	issiqlik	heat
hiv	oiv	aids
hiërarchie	ierarxiya	hierarchy
hn	hn	hn
ho	ho	ho
hoe	qanday	how
hoefde	qildi	need
hoeft	kerak	needs
hoek	burchak	corner
hoeken	burchaklar	corners
hoes	qopqoq	dust-sheet
hoessein	hussein	hussein
hoesten	yo&#39;tal	coughing
hoeveel	necha pul	how many
hoeveelheden	miqdorlar	quantities
hoeveelheid	miqdori	amount
hoeven	tuyoqlar	hooves
hoewel	garchi	however
hof	sud	court
hoge	baland	high
hoger	yuqori	higher
hogere	yuqori	higher
hogescholen	kollejlar	colleges of higher education
hogeschool	universitet	university
hol	ichi bo&#39;sh	hole
hold	tutmoq	hold
holland	gollandiya	holland
hollands	golland	dutch
hollandse	golland	dutch
hollywood	gollivud	hollywood
holocaust	holokost	holocaust - proper noun
home	uy	home
homo	gey	homo
homoseksualiteit	gomoseksualizm	homosexuality
homoseksueel	gomoseksual	homosexual
homoseksuele	gomoseksual	homosexual
homoseksuelen	gomoseksuallar	homosexuals
hond	it	dog
honden	itlar	dogs
honderd	yuz	hundred
honderdduizenden	yuz minglab	hunderds of thousands
honderden	yuzlab	hundreds
honduras	gonduras	honduras
hong	xong	hong
hongaars	venger	hongarian
hongaarse	osilgan	hongarian
hongaren	hangarlar	hungarians
hongarije	vengriya	hongaria
honger	och	starvation
hongersnood	ochlik	famine
hongkong	gonkong	hongkong
hoofd	bosh	head
hoofdkantoor	bosh ofis	main office
hoofdkwartier	shtab-kvartirasi	headquarters
hoofdletter	bosh harf	capital
hoofdpijn	bosh og&#39;rig&#39;i	headache
hoofdplaats	poytaxt	county seat
hoofdrol	asosiy rol	lead
hoofdrollen	bosh rollar	main roles
hoofdrolspelers	bosh qahramonlar	protagonists
hoofdstad	poytaxt shahar	capital
hoofdstedelijk	poytaxt	capital
hoofdsteden	poytaxtlar	capital cities
hoofdstuk	bob	chapter
hoofdzakelijk	asosan	mainly
hoog	baland	high
hoogendijk	hoogendijk	hoogendijk
hooggerechtshof	oliy sud	supreme court
hoogland	baland tog&#39;	highlands
hooglanden	tog&#39;lar	highlands
hoogleraar	professor	professor
hoogst	eng yuqori	highest
hoogste	eng yuqori	supreme
hoogte	balandligi	altitude
hoogtepunt	ajratib ko&#39;rsatish	climax
hoogtepunten	diqqatga sazovor joylar	highlights
hoop	umid	hope
hoopt	umidlar	hopes
hoopte	umid qildi	hoped
hoorde	eshitildi	heard
hoorn	shox	horn
hoornaar	shox	hoornaar
hoornplaten	shox plitalari	horn plates
hoort	eshitadi	belongs
hope	umid	hope
horatius	horace	horace
hordelopen	to&#39;siqlar	hurdles
horeca	ovqatlanish sanoati	catering
horen	eshitmoq	heard
horizontale	gorizontal	horizontal
hormonale	gormonal	hormonal
hormonen	gormonlar	hormones
hormoon	gormon	hormone
hospital	kasalxona	hospital
hot	issiq	hot
hotel	mehmonxona	hotel
hotels	mehmonxonalar	hotels
hotmail	hotmail	hotmail
hou	sevgi	keep
houd	tutmoq	hold
houden	saqlamoq	to keep
houding	munosabat	attitude
houdingen	duruşlar	positions
houdt	yoqadi	holds
houston	huston	houston
hout	o&#39;tin	wood
houten	yog&#39;och	wooden
houtskool	ko&#39;mir	charcoal
how	qanday	how
howard	qanday qilib	howard
hubbard	hubbard	hubbard
hudson	gudson	hudson
hughes	quchoq	hughes
hugo	hugo	hugo
huid	teri	skin
huidig	joriy	current
huidige	joriy	wooded
huidskleur	teri rangi	color
huis	uy	house
huisarts	umumiy amaliyot	general practitioner
huisvest	uylar	houses
huisvesting	uy-joy	housing
huizen	uylar	houses
huizenprijzen	uy narxlari	house prices
hulp	yordam	aid
hulpbronnen	manbalar	resources
human	inson	human
humanisme	gumanizm	humanism
humanisten	gumanistlar	humanists
humor	hazil	humour
hun	ularning	their
hunt	ov qilish	hunt
hunter	ovchi	hunter
huwde	uylangan	married
huwelijk	to&#39;y	marriage
huwelijken	nikohlar	marriages
huxley	xoksley	huxley
huygens	gyuygens	huygens
hyde	gid	hyde
hypofyse	gipofiz	pituitary
hypothalamus	gipotalamus	hypothalamus
hypotheken	ipoteka kreditlari	mortgages
hypothese	faraz	assumption
hyves	qushlar	hyves
höss	hoshs	höss
i	i	i
ian	ian	ian
ibd	ibd	ibd
iberisch	iberian	iberian
ibn	ibn	ibn
ice	muz	ice
icoon	belgisi	icon
ida	ida	ida (proper noun - first name)
ideaal	ideal	idealism
ideale	ideal	ideal
idee	fikr	idea
ideeën	fikrlar	ideas
idem	idem	ditto
identiek	bir xil	identical
identiteit	kimligi	identity
ideologie	mafkura	ideology
ideologische	mafkuraviy	ideological
idgray	idgray	id gray
ieder	har biri	every
iedere	har bir	each
iedereen	hamma	everybody
iemand	kimdir	someone
iemands	kimnidir	someone
ierland	irlandiya	ireland
ierse	irish	irish
iets	nimadur	jets
if	agar	als
ii	ii	ii
iii	iii	iii
ij	ij	ij
ijs	muz	ice
ijsberg	aysberg	iceberg
ijskap	muz qatlami	glacier
ijsland	islandiya	iceland
ijslandse	muzlik	icelandic
ijssel	ijssel	ijssel
ijstijd	muzlik davri	ice age
ijzer	temir	iron
ijzeren	temir	iron
ijzererts	temir ruda	iron ore
ijzerslangen	temir shlanglar	iron snakes
ik	men	i
ike	ike	ike
il	il	il
illegaal	noqonuniy	illegal
illegale	noqonuniy	illegal
illusie	xayol	illusion
illustratie	rasm	illustration
im	im	in
imagesize	rasmlar	image size - beeldgrootte
imago	rasm	image
imdb	imdb	imdb
imf	imf	imf
immers	oxirida	indeed
immigranten	muhojirlar	immigrants
immigratie	immigratsiya	immigration
immuniteit	immunitet	immunity
immuunsysteem	immunitet tizimi	immune system
impact	ta&#39;sir	impact
imperial	imperial	imperial
imperium	imperiya	empire
import	import	import
impressionisme	impressionizm	impressionism
impuls	turtki	impulse
in	ichida	in
incas	incas	incas
inch	dyuym	inch
inchmm	dyuym	inchmm
incident	voqea	incident
incidenten	voqealar	incidents
inclusief	shu jumladan	including
increment	o&#39;sish	verhoging
indeling	tartib	stratifaction
inderdaad	haqiqatdan ham	indeed
indertijd	vaqtida	at that time
index	indeks	index
india	hindiston	india
indiaanse	tug&#39;ma amerikalik	indian
indian	hind	indian
indiana	indiana	indiana
indianen	tub amerikaliklar	native americans/ indians
indiase	hind	indian
indicatie	ko&#39;rsatma	indication
indien	agar	in case of
indirect	bilvosita	indirect
indirecte	bilvosita	indirect
indische	hind	indian
individu	individual	individual
individueel	individual ravishda	individual
individuele	individual	individual
individuen	shaxslar	individuals
indië	hindiston	indie
indiërs	hindular	indians
indoeuropese	hind-evropa	indo-european
indonesische	indoneziyalik	indonesian
indonesië	indoneziya	indonesia
indruk	taassurot	impression
industrialisatie	sanoatlashtirish	industralisation
industrie	sanoat	industry
industrieel	sanoat	industrial
industrieën	tarmoqlar	industries
industriële	sanoat	industrial
ineens	to&#39;satdan	suddenly
infanterie	piyodalar	infantry
infectie	infektsiya	infection
infecties	infektsiyalar	infections
inflatie	inflyatsiya	inflation
influenza	gripp	influenza
informatica	informatika	informatics
informatie	ma `lumot	information
informele	norasmiy	informal
infrastructuur	infratuzilma	infrastructure
ingalls	ichaklar	ingalls
ingang	kirish	entrance
ingedeeld	tasniflangan	classified
ingenieur	muhandis	engineer
ingenieurs	muhandislar	engineers
ingenomen	olingan	occupied
ingericht	jihozlangan	organized
ingesteld	o&#39;rnatildi	focussed
ingevoerd	amalga oshirildi	implemented
ingewikkelde	murakkab	complex
ingezet	joylashtirilgan	used
ingreep	jarrohlik	operation
ingrid	ingrid	ingrid
ingrijpen	aralashmoq	interfere
inheemse	mahalliy	indigenous
inhoud	tarkibi	content
inhoudt	nazarda tutadi	means
initiatief	tashabbus	initiative
initiatieven	tashabbuslar	initatives
inkomen	daromad	incomings
inkomsten	daromad	revenues
inleiding	muqaddima	intro
inmenging	aralashish	interference
inmiddels	bu orada	meanwhile
inname	qabul qilish	intake
innemen	yutish	take in
inquisitie	tergov	inquisition
inrichting	dizayn	device
insect	hasharot	insect
insecten	hasharotlar	insects
inslag	qiyalik	impact
inspanning	harakat	exertion
inspanningen	harakatlar	efforts
inspiratie	ilhom	inspiration
inspiratiebron	ilhom manbai	source of inspiration
inspireerde	ilhomlangan	inspired
inspireren	ilhomlantiradi	to inspire
instantie	misol	instance
instanties	tashkilotlar	authorities
instelling	muassasa	institution
instellingen	sozlamalari	institutions
institute	instituti	institute
instituten	institutlari	institutes
instituut	instituti	institute
instrument	asbob	instrument
instrumenten	asboblar	instruments
insuline	insulin	insulin
intact	buzilmagan	intact
integratie	integratsiya	integration
intellectuele	intellektual	intellectual
intellectuelen	ziyolilar	intellectuals
intelligent	aqlli	intelligent
intelligentie	aql	intelligence
intense	qizg&#39;in	intense
intensief	intensiv	intensive
intensieve	intensiv	intensive
intensiteit	intensivlik	intensity
inter	oraliqda	inter
interactie	o&#39;zaro aloqalar	interaction
interessant	qiziq	interesting
interesse	qiziqish	interest
interieur	ichki	interior
intern	ichki	internal(ly)
internationaal	xalqaro	international
international	xalqaro	international
internationale	xalqaro	international
interne	ichki	internal
internet	internet	internet
interpellatie	interpellatsiya	interpellation
interpretatie	talqin	interpretation
interpretaties	talqin	interpretations
interview	intervyu	interview
interviews	intervyular	interviews
into	ichiga	into
intocht	kirish	entry
intrede	kirish	entry
introduceerde	tanishtirdi	introduced
introductie	kirish	introduction
intussen	bu orada	in the meantime
inval	reyd	invasion
invallen	reydlar	invasions
invasie	bosqinchilik	invasion
investeringen	investitsiyalar	investments
invloed	ta&#39;sir qiladi	influence
invloeden	ta&#39;sir qiladi	influences
invloedrijke	ta&#39;sirli	influential
invloedssfeer	ta&#39;sir doirasi	sphere of influence
invoer	import	input
invoering	kirish	introduction
invulling	tugatish	interpretation
inwendige	ichki	internal
inwoner	rezident	resident
inwoneraantal	aholisi	number of inhabitants
inwoners	aholisi	inhabitants
inwonertal	aholisi	inhabitants
inzake	yoqilgan	concerning
inzet	harakat	usage
inzetten	bahs	involve
inzicht	aql	insight
inzichten	tushunchalar	insights
inzittenden	ishg&#39;ol qiluvchilar	passengers
ioc	ioc	international olympic committee
iq	i.q.	iq
iraanse	iraniy	iranian
irak	iroq	iraq
iran	eron	iran
irene	irene	irene
is	hisoblanadi	is
isaac	isaak	isaac
isabella	izabella	isabella
isbn	isbn	isbn
isla	isla	isla
islam	islom	islam
islamitisch	islomiy	islamic
islamitische	islomiy	islamic
island	orol	eiland
islands	orollar	islands
ismay	ismay	ismay
iso	iso	iso
israël	isroil	israel
israëlische	israeli	israeli
istanboel	istanbul	instanbul
istanbul	istanbul	istanbul
it	u	it
italiaans	italyancha	italian
italiaanse	italiyalik	italian
italianen	italiyaliklar	italians
italië	italiya	italia
its	uning	it's
it||||||||||	uni ||||||||||	it
ivan	ivan	ivan
j	j	j
ja	ha	yes
jaap	yaap	jaap
jaar	yillar	years
jaarlijks	har yili	yearly
jaarlijkse	yillik	yearly
jaartal	yil	date
jaartelling	davri	yearcount
jacht	ov qilish	hunt
jack	uyasi	jack
jackie	jakka	jackie
jackson	jekson	jackson
jacksons	jekson	jacksons
jacob	jakob	jacob
jacqueline	jaklin	jacqueline
jacques	jakkalar	jacques
jagen	ovlamoq	hunt
jagger	jagger	jagger
jakarta	jakarta	jakarta
jakob	yoqub	jakob
jam	murabbo	jam
jamaica	yamayka	jamaica
jamal	jamol	jamal
james	jeyms	james
jan	yanvar	jan
jane	jeyn	jane
janet	janet	janet
jansen	jansen	jansen
janssen	yanssen	janssen
jansz	jansz	jansz
jantje	jantje	jantje
januari	yanvar	january
japan	yaponiya	japan
japanners	yapon	japanese
japanse	yaponcha	japanese
jaren	yillar	years. (if it says 'jaren 80' it should be translated 'the eighties' in english.
jarenlang	yillar davomida	for years
jarenlange	yillar davomida	years of
jarig	tug&#39;ilgan kun	birthday
jarige	tug&#39;ilgan kun	years old
