$	dollar təşkil edib	american dollar symbol
குளிர்காலம்	qışlar	winter
குளிர்ந்த	sərin	cold
குளிர்ந்து	soyudulur	cool
குளூக்கொகான்	kulukkokan	glucagon
குள்ள	cırtdan	short
குழந்தை	körpə	child
குழந்தைகளின்	uşaqlar	children's
குழந்தைகளில்	uşaqlarda	children's
குழந்தைகளுக்கான	uşaqlar	childist
குழந்தைகளுக்கு	uşaqlar üçün	to the children
குழந்தைகளை	uşaqlar	childrens
குழந்தைகள்	uşaqlar	children
குழந்தைத்	uşaq	child
குழந்தைப்	uşaqlıq	childhood
குழந்தையாக	uşaq kimi,	childish
குழந்தையின்	körpənin	the child's
குழப்பம்	mesaj	confusion
குழம்பு	broth	sambhar
குழாய்	boru	pipe
குழாய்கள்	santexnika	pipes
குழு	qrup	group
குழுக்களாக	qruplar	committee
குழுக்களில்	qruplar	in groups
குழுமம்	qrup	the community
குழுவின்	qrup	a group of people
குழுவில்	qrup	in the group
குழுவை	qrup	in group
குவாண்டம்	kvant	quantum
குவாம்	guam	quam
குவிமாடங்கள்	qübbə	place
குவிமாடம்	günbəz	minaret
குவேரா	guevara	kuvera sect
கூகிள்	google	google
கூகுள்	google	google
கூட	həm də	even
கூடத்தில்	zal	in the tomp
கூடம்	idman zalı	museum
கூடல்	qovşağı	interact
கூடவே	nəticə etibarilə	besides
கூடாது	olmalıdır	should not
கூடி	good	cooperate
கூடிய	səs	in addition to
கூடியதாக	bacarmaq	in addition to that
கூடியது	buruq	can
கூடியவை	meylli	to join
கூடு	qabıq	nest
கூடுதலாக	əlavə olaraq	moreover
கூடுதலான	daha çox	additionally
கூடுதல்	əlavə	in addition to
கூடும்	bilər	may
கூடைப்பந்து	basketbol	basketball
கூட்டணி	koalisiya	joint alliance
கூட்டத்தில்	i̇zdiham	annual conference
கூட்டமைப்பின்	federasiya	federal
கூட்டமைப்பில்	federasiya	conference
கூட்டமைப்பு	federasiya	cooperative
கூட்டம்	görüş	traffic
கூட்டல்	əlavə	addition
கூட்டாட்சி	əmirliklər	federal
கூட்டு	əməkdaşlıq	combined
கூட்டுத்தாபனம்	korporasiya	corporation
கூட்டுப்	birgə	joint
கூம்பு	konus	cone
கூம்புகள்	konuslar	triangle
கூரை	dam	mind set
கூர்ந்து	diqqətlə	to look into
கூற	üçün	tell
கூறப்படுகின்றது	bu deyilib	saying
கூறப்படுகின்றன	var	telling
கூறப்படுகிறது	bildirilir	said
கூறப்படும்	i̇ddiaya görə	was said by
கூறப்பட்டது	deyildi	was explained
கூறப்பட்டுள்ள	bildirilib	said
கூறப்பட்டுள்ளது	deyilib	said
கூறப்பட்டுள்ளன	təklif olunur	according to that
கூறலாம்	bacarmaq	can be called
கூறவில்லை	demir	not said by them
கூறினர்	- dedi	they said
கூறினார்	- dedi	said
கூறிய	i̇ddia edir	revealed
கூறியுள்ளார்	izah etdi	informed by them
கூறு	komponent	tell
கூறுகளும்	komponentlər	sayings
கூறுகளை	komponentlər	divisions
கூறுகளைக்	komponentlər	divisons
கூறுகள்	komponentlər	elements
கூறுகின்றது	i̇ddialar	that tells
கூறுகின்றன	təci̇li̇	telling
கூறுகிறது	oxuyur	telling
கூறுகிறார்	deyir	saying
கூறுகிறார்கள்	deyin	according to
கூறுகையில்	yekunlaşdırır	informed by them
கூறும்	i̇ddialar	element
கூறுவது	i̇ddia etmək	to say
கூறுவர்	operator	is told by
கூற்று	bəyanat	concepte
கூற்றுப்படி	görə	as per the said
கூலி	cooley	maid
கூலும்	qulum	coulomb a unit
கூழைக்கடா	pelikanlar	pelican
கெமர்	gamer	khmer
கெம்பெ	kempe	comedy actor
கெயின்சியன்	keyneslilər	it is a name of keins
கெரீடீ	keriti	gerreidae
கே	k	k
கேடு	tərslik	detriment
கேட்கும்	soruşur	ask
கேட்ட	eşitmə	asked for
கேட்டல்	eşitmə	to ask
கேட்டார்	soruşdu	heard
கேட்டு	eşitmə	hear
கேட்ஸ்	qapılar	gates
கேணல்	polkovnik	colonel
கேண்டெலா	kentela	kendela
கேபிள்	kabel	cable
கேப்	cape	cape an island
கேப்டன்	kapitan	captain
கேம்பிரிட்ஜ்	kembric	cambridge
கேம்ப்ரிட்ஜ்	kembric	cambridge university
கேரள	kerala	kerala
கேரளத்தின்	kerala	of kerala
கேரளத்தில்	keralada	keralam
கேரளம்	kerala	keralam
கேரளா	kerala	kerala
கேரளாவில்	keralada	in kerala
கேலிக்	gaelic	gaelic
கேளிக்கை	əyləncə	entertainment
கேள்வி	sual	question
கேள்விகளுக்கு	suallar	for the questions
கேள்விகள்	suallar	questions
கை	əl	kai
கைகள்	əllər	hands
கைக்	kike	hands
கைது	həbs olundu	arrest
கைபேசி	əl telefonu	mobile
கைப்பந்து	voleybol	hand ball
கைப்பற்ற	tutmaq	capture
கைப்பற்றப்பட்ட	tutuldu	handover
கைப்பற்றி	tutmaq	capture
கைப்பற்றிக்	tutma	take over
கைப்பற்றினர்	ələ keçirildi	captured
கைப்பற்றினான்	tutuldu	confiscate
கைப்பற்றிய	fəth etdi	capture
கைப்பற்றியது	qəbul	caught
கைமாற்றம்	ötürmək	handover
கையால்	əl işi	by hand
கையாள	tutaq	handle
கையாளும்	i̇şləmə	to use
கையில்	əl	in the hands
கைவிடப்பட்ட	tərk edildi	left out or abondon
கொங்கு	kongu	congo
கொச்சி	koçi	cochin
கொஞ்சம்	balaca	smaller
கொடி	bayraq	flag
கொடிய	ölümcül	deadly
கொடியாக	bir üzüm kimi	as a flag
கொடியின்	üzüm	in the flag
கொடியில்	bayraqda	flag
கொடியை	bayraq	umblical cord
கொடுக்க	ödəyin	give
கொடுக்கப்	verilmişdir	to give
கொடுக்கப்படும்	verilmişdir	to be given
கொடுக்கப்பட்ட	verilmişdir	bring
கொடுக்கப்பட்டது	verilmişdir	was given
கொடுக்கப்பட்டுள்ளது	verilmişdir	given
கொடுக்கிறது	qayıdır	is giving
கொடுக்கும்	verəcəyəm	giving
கொடுத்த	the	given
கொடுத்தது	verdi	to provide
கொடுத்தார்	verdi	he given
கொடுத்து	verir	give
கொடுப்பது	verir	giving
கொடுமை	dəhşətli	cruelty
கொடை	donor	generosity
கொட்லாந்து	şotlandiya	kotland
கொண்ட	i̇lə	having that
கொண்டதாக	ardıcıl	as
கொண்டதாகவும்	tərkibində	with
கொண்டதாகும்	yaradılır	having included
கொண்டதால்	sahib olmaq	given
கொண்டதும்	ardıcıllıq	with
கொண்டன	i̇çəri	had that
கொண்டனர்	aldı	had that
கொண்டவர்	i̇lə	has
கொண்டவர்கள்	var	having
கொண்டவை	edirsiniz	contains
கொண்டவையாக	var	contain
கொண்டவையாகும்	edirsiniz	contained
கொண்டாடப்படுகிறது	qeyd etdi	celebrating
கொண்டாடப்படும்	qeyd etdi	celebrated by
கொண்டாடுகின்றனர்	qeyd edin	celebrated
கொண்டாடும்	qeyd edir	celebrates
கொண்டாட்டங்களில்	şadlıqlarda	celebrations
கொண்டாட்டங்கள்	qeyd etmələr	celebrations
