$ tỉ	$ พันล้าน	$ billion
jacob	jacob	jacob
jae	jae	jae
jakarta	จาการ์ตา	(proper noun) jakarta
jan	มกราคม	(proper noun) jan
janeiro	จาเนโร	janeiro
janet	เจเน็ต	janet
japan	ประเทศญี่ปุ่น	japan
jared	jared	jared
jarvis	จาร์วิส	(proper noun) jarvis, as in jarvis cocker
jasper	นิล	(proper noun) jasper
jean	กางเกงยีน	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	กางเกงยีนส์	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	เจฟฟ์	jeff, as in jeff drake
jefferson	เจฟเฟอร์สัน	jefferson
jeffrey	เจฟฟรีย์	jeffrey
jeju	เกาะเชจู	jeju
jenda	jenda	jenda
jenny	สัตว์ตัวเมีย	jenny
jericho	เมืองเยรีโค	jericho, as in wrestler chris jericho
jerome	เจอโรม	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	เสื้อ	jersey
jerusalem	เยรูซาเล็ม	jerusalem
jesse	jesse	a name
jesus	พระเยซู	chua jesus
jetstar	เจ็ทสตา	jetstar
jewish	กล้า	jewish
jiao	เจียว	jiao
jimmy	ชะแลงขนาดสั้น	jimmy
jin	จิน	jin
jing	จิง	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	โจอาคิม	joachin
joan	โจแอนนา	a name
joe	joe	(proper noun) joe
johan	โจฮาน	johan
johann	โยฮันน์	johann
johannes	โยฮันเน	johannes
johannesburg	โจฮันเน	(proper noun) johannesburg, south africa
johnny	จอห์นนี่	johnny
johns	กางเกงใน	johns
johnston	จอห์นสัน	johnston, as in harry johnston
johor	ยะโฮร์	johor
joint	ร่วมกัน	joint
jonathan	โจนาธาน	(proper noun) jonathan
jones	โจนส์	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	โชซอน	(proper noun) joseon
joseph	โจเซฟ	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	จูดิ ธ	judith
judo	ยูโด	judo, the martial art
julesverne	ฌูลแวร์น	jules verne
julliard	julliard	(proper noun) julliard
jump	กระโดด	jump
june	มิถุนายน	june, as in the month
jung	jung	jung
junsu	จุนซู	junsu
jupiter	ดาวพฤหัสบดี	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	ยูเวนตุส	juventus
k	k	k
kaede	คาเอเดะ	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	คาห์น	kahn
kai	ไก่	kai
kakashi	kakashi	kakashi
kaká	กาก้า	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	โพแทสเซียม	potassium
kama	กามารมณ์	(proper noun) kama, as in the kama sutra
kamakura	คามาคุระ	kamakura
kamov	kamov	kamov
kampf	คัมพฟ์	kampf
kampong	กำปง	kampong
kampuchea	กัมพูชา	cambodian
kana	คะ	kana, the japanese phonetic alphabet
kangin	คังอิน	(proper noun) kangin
kanji	ตัวอักษรคันจิ	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	คาร่า	kara
karaoke	คาราโอเกะ	karaoke
karate	คาราเต้	karate
karatedo	คาราเต้	karatedo
karen	ชาวกะเหรี่ยง	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	แคชเมียร์	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	คาตาคานะ	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	แคเธอรีน	katherine
kathmandu	ฐมา ณ ฑุ	kathmandu
katrina	แคทรีนา	(proper noun) katrina, as in hurricane katrina
katz	แคทซ์	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kavkaz	kavkaz
kawasaki	คาวาซากิ	(proper noun) kawasaki
kay	เคย์	kay
kazan	คาซาน	kazan, the name of a city
kcn	iz	industrial zone
ke	คิคิ	"(term should be ""boong ke"") a bunker (n.)"
kelly	เคลลี่	kelly
kelsi	kelsi	kelsi
kelvin	เคลวิน	kelvin
kem	ไอศครีม	ice cream (n.)
ken	เคน	ken
kennedy	เคนเนดี้	(proper noun) kennedy, as in john f. kennedy
kenneth	เคนเน็ ธ	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	เคนตั๊กกี้	(proper noun) kentucky
kepler	เคปเลอร์	kepler
kerala	เกรละ	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	กก.	kilogram
kha	คา	(proper noun) a vietnamese first name
khai	ประกาศ	announce
khali	กาลี	(proper noun) khali
khalip	พระเจ้ากาหลิบ	(proper noun) khalip
kham	ขาม	endure
khan	ไม่มีน้ำ	rare
khang	สภาพ	khang
khanh	เลขานุการ	khanh
khao	เขา	desire
khay	ถาด	tray
khe	สล็อต	chink
khem	เขม	abstinence
khen	บุญ	praise
kheo	บนเสา	kheo
khi	ที่	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	ความนอบน้อม	khiem
khiên	โล่	a shield
khiêu	ทางเพศสัมพันธ์	"('khiêu dâm"") pornographic"
khiếm	ผ้าม่าน	lack
khiến	การทำ	control
khiếp	ความหวาดกลัว	horrible
khiếu	ร้องเรียน	talent (n.)
khiển	การควบคุม	control
khleang	khleang	kh'leang
kho	คลังสินค้า	warehouse
khoa	คณะ	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	เจาะ	drill
khoang	โพรง	brag
khoanh	โทรออก	a slice (n.)
khoe	อวด	to boast
khoá	หลักสูตร	lock
khoác	แจ็คเก็ต	coat
khoán	หุ้น	stock
khoáng	แร่	mineral
khoát	อย่างเด็ดขาด	decisive
khoét	เจาะ	carve
khoăn	สงสัย	disturbed
khoả	khoa	naked
khoản	ประโยค	an item (n.)
khoảng	ช่องว่าง	about
khoảnh	ช่วงเวลา	moment
khoẻ	สุขภาพ	health
khrushchev	ครุชชอ	khrushchev
khrushchyov	ครุชชอ	khrushchyov
khu	ภูมิภาค	section
khung	กรอบ	frame
khural	khural	khural
khuynh	ความโน้มเอียง	trend
khuyên	แนะนำ	advise
khuyết	ที่สามารถเข้าถึงได้	lack
khuyển	สุนัข	khuyen
khuất	ปิดบัง	hidden
khuấy	คน	stir
khuẩn	เชื้อแบคทีเรีย	bacteria
khuếch	โปรโมชั่น	amplification
khuỷu	ข้อศอก	elbow
khá	ค่อนข้าง	quite
khác	อื่น ๆ	different
khách	แขก	customer
khái	ภาพรวม	concept
khám	การตรวจสอบ	discover
khán	ผู้ชม	audience
kháng	ความต้านทาน	appeal
khánh	เปิดงาน	a type of chime made of stone (n.)
khát	กระหายน้ำ	to be thirsty for (adj.)
khâm	สิ่งที่น่าชมเชย	admire
khèn	บางเขน	a pan-pipe (n.)
khéo	กระฉับกระเฉง	cleverly or skillfully (adv.)
khép	ปิด	close
khía	ความนับถือ	"(term should be ""khía cạnh"") angle (n.)"
khích	การปลอบใจ	encourage
khít	ใกล้	close
khó	ยาก	difficulty
khóa	ล็อค	a session
khóc	ร้องไห้	cry
khói	ควัน	smoke
khóm	สับปะรด	a cluster
khô	แห้ง	dry
khôn	ฉลาด	clever, intelligent
không	ไม่	not
khúc	เพลง	song
khăm	เล่นพิเรนทร์	nasty (adj.)
khăn	ผ้าขนหนู	difficult
khơi	ชายฝั่ง	sea
khư	ตบเบา ๆ	grip
khưu	khưu	khuu
khước	การสละสิทธิ	waive
khả	ความพร้อมใช้งาน	"(term should be ""khả năng"") ability (n.)"
khải	เปิดเผย	triumph
khảm	กระเบื้องโมเสค	to encrust
khảo	การอ้างอิง	"(term should be ""tham khảo"") to consult (v.)"
khấm	prospered	endure
khấn	สาบาน	pray
khấu	น่าทึ่ง	"(term should be ""sân khấu"") a stage (n.)"
khẩn	กรณีฉุกเฉิน	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	แกะสลัก	moment
khắp	ทั่ว	all over
khẳng	ได้รับการยืนยัน	"(term should be ""khẳng định"") to assert (v.)"
khế	ผลไม้ดาว	bond
khỉ	ลิง	monkey or ape (n.)
khỏa	การชอบแสดงออก	nude
khỏe	สุขภาพ	health
khỏi	ออกจาก	leave
khố	คลัง	loincloths
khốc	อย่างรุนแรง	devastating
khối	หน่วย	a block or mass of (n.)
khốn	ความฉิบหาย	miserable
khống	โมฆะ	control
khổ	ความทุกข์ทรมาน	miserable (adj.)
khổng	ยักษ์	huge
khởi	ยิง	start
khủng	วิกฤติ	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	ข้อศอก	elbow
khứu	เกี่ยวกับจมูก	olfactory
khử	กำจัด	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	อื่น ๆ	other
kid	เด็ก	kid
kiel	คีล	(proper noun) kiel
kierkegaard	เคอ	kierkegaard, as in soren kierkegaard
kiernan	แนนส์	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	กิโลเมตร	kilometer
kim	kim	kim
kingdom	อาณาจักร	kingdom
kinsey	ซีส์	kisney
kiribati	ประเทศคิริบาส	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	จุ๊บ	kiss
kissinger	ซิงเกอร์	kissinger
kitts	คิตส์	kitts
kitô	คริสเตียน	christian
kiêm	ลบ.ม.	cum
kiên	บริษัท	consistent
kiêng	การละเว้น	abstinence, as in abstaining from eating
kiêu	ทะนง	showy
kiếp	ตลอดชีวิต	a lifetime (n.)
kiết	โซ่ตรวน	cheap (adj.)
kiềm	ด่าง	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	การตรวจสอบ	control
kiểu	ชนิด	type
kiệm	บันทึก	save
kiện	เหตุการณ์ที่เกิดขึ้น	event (su kien)
kiệt	ผลงานชิ้นเอก	exhausted (adv.)
kiệu	palankeen	scallion
klaus	เคลาส์	klaus
klein	klein	klein
km	กม.	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	โคดันฉะ	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	โคโมโด	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	คอนสแตนติ	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	เดอะค็อป	kop
koran	คัมภีร์โกหร่าน	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	วัก	koruna
kosovo	โคโซโว	(proper noun) kosovo
kremli	เครมลิน	kremil
kremlin	เครมลิน	kremlin
kristen	คริสเต	kristen
krông	krong	krong
ku	ku	is a name
kuala	กัวลาลัมเปอร์	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	ไคเปอร์	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	กุ้ง	danh vo
kungfu	กังฟู	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	ชาวเคิร์ด	kurd
kurt	เคิร์ต	(proper noun) kurt
kuwait	คูเวต	kuwait, the country (n.)
kwan	ขวัญ	kwan
kwen	kwen	kwen
kwon	เทควันโด	kwon, as in tae kwon do; proper noun
kyrgyzstan	คีร์กีสถาน	(proper noun) the country of kyrgyzstan
kyushu	คิวชู	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	ร่วมกัน	included
kèn	แตรลำโพง	horn
kém	น้อยที่สุด	less
kén	รังไหมดิบ	selective
kéo	ดึง	scissors
kép	คู่	dual
két	ตู้นิรภัย	"(term should be ""rốc két"") rocket (n.)"
kê	สถิติ	statistics
kênh	ช่อง	channel
kêu	ร้องไห้	appeal
kìa	ดูเถิด	that
kìm	ก้ามปู	bar
kình	ปลาวาฬ	rivalry
kí	สมัครสมาชิก	sign
kích	ไฟไหม้	excite
kíchbom	kichbom	bombers
kín	ลับ	secretive or closed tight (adj.)
kính	แว่นตา	respect
kíp	หนังลูกวัว	esoterica
kít	screeched	wheelbarrow
ký	สัญญาณ	"(""nhật ký"") a diary"
kĩ	รอบคอบ	technique
kơnia	konia	a tree found in southeast asia; sometimes called wild mango
kạn	กาญจน์	kan
kẹo	ลูกอม	candy
kẹp	แหนบ	to clamp down (v.)
kẹt	ติดกับดัก	jam
kẻ	ใคร	guy
kẻo	เพื่อว่า	lest
kẽ	แหว่ง	crevice
kẽm	สังกะสี	zinc
kế	ออกแบบ	a scheme (n.)
kết	ลิงค์	combine
kề	ถ้อยคำ	adjacent
kềnh	ยุ่งยาก	bulky
kệ	ชั้นวาง	ignore
kỉ	ศตวรรษ	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	กองทหารม้า	ki
kịp	ในเวลา	kip
kỵ	กองทหารม้า	taboo
kỷ	th	"(term should be ""thế kỷ"") century (n.)"
l	ล.	l.
label	ฉลาก	label
laboulaye	laboulaye	a name
ladakh	ลาดัคห์	(proper noun) ladakh
lai	ผสมกัน	"(term should be ""tương lai"") the future (n.)"
lam	หวด	lam
lama	พระในธิเบตและมองโกเลีย	a name
lan	กระจาย	a name
land	ที่ดิน	land
landon	แลน	a name
lang	lang	lang
langdon	แลงดอน	langdon
lange	มีเหตุมีผล	lange, as in oscar lange
