$ tỉ	milliarden dollar	$ billion
thụ	rezeptor	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	eingerückt	clyster
thủ	prime	masturbate
thủa	thua	during childhood
thủng	perforation	having holes
thứ	dinge	no.
thức	wach	way
thừa	redundant	redundant
thừng	seil	"(term should be ""thẳng thừng"") mercilessly"
thử	versuche es	try
thửa	paket	square
thự	villa	mansion
thực	echt	perform
ti	ti	titov
tia	strahlen	ray
tiananmen	tiananmen	tiananmen
tiara	tiara	tiara
tibet	tibet	(proper noun) tibet
tigris	tigris	tigris
tiliaceus	tiliaceus	hoa dam but
tim	herz	heart
timor	timor	timor
timothy	timothy	timothy
tin	glaube	believe
tinbắc	nachricht	file bac
tincầu	zinnbrücke	file bridge
tinh	planet	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	nachrichten	file river
tinthị	zehntel	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	tish	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	fernsehen	television
tizard	assistent	(proper noun) tizard
tiên	zuerst	first
tiêu	pfeffer	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	leider	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	goofy	seize
tiến	vorwärts	operate
tiếng	stunden	language
tiết	sekretion	abstinence/intensity
tiếu	doof	"(should be ""đàm tiếu"") to sneer"
tiềm	potenzial	potential
tiền	geld	money (n.)
tiều	scheiße	(proper noun) the name of a poet
tiểu	pinkeln	tiểu sử= biography
tiễu	herr liu	patrol
tiệc	party	party
tiệm	salon	shop
tiện	bequem	mean
tiệp	tschechisch	gustav franck
tiệt	verdammt	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	begrenzt	limited
toang	toang	fast
tobago	tobago	tobago
toei	toei	toei
tokugawa	tokugawa	tokugawa
tokyo	tokio	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	tomas	(proper noun) tomas
tommy	tommy	tommy
tomoyo	tomoyo	tomoyo
tony	tony	tony
toonami	toonami	(proper noun) toonami
top	oben	top
torino	turin	torino, as in the italian city
toriyama	toriyama	(proper noun) toriyama
tottenham	t tottenham	tottenham
tourism	tourismus	tourism
tourist	tourist	tourist
toyama	toyama	toyama
toyota	toyota	(proper noun) toyota
toà	gericht	office
toàn	sicher	entire or whole (adj.)
toán	mathe	team
toát	gut	to exude or emit, as in sweat (v.)
toạ	koordinaten	locate
toại	bei	satisfaction
toả	ausstrahlen	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	stadt	city ho
tpvĩnh	stadt	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	trafford	trafford in greater manchester
trai	muscheln	boy
trang	seite	a page (n.)
tranh	bilder	to compete (v.)
trao	ausgezeichnet	reward
trau	trau	polish
tre	bambus	bamboo (n.)
treo	hängen	hang
tri	tri	tri
tribune	tribüne	a name
trinh	jungfrau	"(should be ""trinh bạch"") virtuous"
trinidad	trinidad	trinidad
trinity	dreifaltigkeit	trinity
tristan	tristan	tristan
triết	philosophie	philosophy
triền	trien	"(should be ""triền miên"") endless"
triều	flut	court
triện	dichtung	stamp
triệt	gründlich	completely
triệu	millionen	a million
tro	asche	ashes
troia	troia	troy
trondheim	trondheim	trondheim
trong	in	inside (adv.)
true	wahr	true
truman	truman	(proper noun) truman
trung	mitte	"(term should be ""trung gian"") agent (n.)"
trungnhật	ehrlichkeit	china-japan
truong	wahr	truong
truyên	truyen	story
truyện	geschichte	story
truân	wahr	arduous
truất	kritiker	cancel
truởng	chef	leader (n.)
truỵ	lügen	depraved
trà	tee	tea (n.)
tràm	cajuput	melaleuca
tràng	doppelpunkt	"entire term should be ""truc trang""; means ""rectum"""
trào	eruption	movement
trác	trac	trac
trách	schuld	blame
trái	links	against
trán	stirn	forehead
tráng	beschichtet	to coat (v.)
tránh	vermeiden	to avoid (v.)
tráo	krabbeln	tráo trở= liar/betrayal/treacherous
tráp	schatullen	casket
trát	gewähr	pile
trâm	brosche	a type of elegant hairpin (n.)
trân	viele grüße	respect
trâu	büffel	a last name
trãi	verstreut	trai
trèo	klettern	climb
trên	auf	above
trình	einreichung	process
trí	geist	intellectual
trích	auszug	to extract (v.)
trò	spiele	role
tròn	rund	rounding
trói	gefesselt	tie
trôi	treiben	afloat
trông	sieht aus	look
trùm	chef	cover
trùng	zusammenfallen	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	einsteigen	residence
trúc	bambus	structure
trăm	hundert	hundred
trăn	python	"(term should be ""trăn trở"") to ponder (v.)"
trăng	mond	moon
trĩ	hämorrhoiden	hemorrhoids
trũng	versunken	medium
trơ	inert	bare
trơn	glatt	slippery (adj.)
trư	tru	a pig (n.)
trưa	mittag	noon (n.)
trưng	anforderung	symbolic
trưngcông	ausgestellt	truongcong
trương	truong	policy
trước	vorher	front
trước 	vorher	front
trướng	erweiterung	expand
trườn	kriechen	crawl
trường	schule	case
trượng	caduceus	a unit of length used in vietnam equal to 4 meters (n.)
trượt	rutschen	slide
trạch	trach	ze
trại	lager	camp
trạm	station	station
trạng	zustand	situation
trạo	tao	trao
trả	bezahlen	to return
trải	abdeckung	spread
trảm	cajuput	beheaded
trảo	macheten	trao
trấn	stadt	town
trấu	reisschale	rice skin
trầm	bass	depression
trần	nackt	tran
trầu	betel	trầu
trầy	zerkratzt	scratch
trẩy	springen	pilgrimage
trẫm	ich bin	i
trận	das spiel	battle
trật	ausgerenkt	order
trắc	biometrie	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	weiß	white
trặc	schluckauf	"entire phrase is ""truc trac""; means ""problem"""
trẻ	jung	youth
trễ	sei zu spät	late
trệ	stagniert	bamboo
trị	behandlung	cure
trịnh	phnh	trịnh, a vietnamese last name
trọ	gasthaus	motel
trọn	voll	whole
trọng	wichtig	serious
trỏ	zeiger	index
trối	finale	last words
trốn	verstecken	to hide
trống	leer	in
trồi	entstehen	to emerge (v.)
trồng	pflanzen	plant
trổ	zeigen	to burst open or display
trỗi	entstehung	rise
trội	dominant	better
trộm	dieb	theft
trớn	liebkosung	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	gott	sun
trợ	unterstützung	support
trụ	büro	universe
trục	achse	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	nackt	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	eier	egg
trừ	außer	except
trừng	blendung	punish
trừu	abstrakt	abstract
trữ	lagerung	reserve
trực	im dienst	direct
ts	ts	phd
tt	tt	news
tua	tentakel	fringe
tucker	tucker	tucker, an english last name
tudor	tudor	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	tulpe	tulip
tum	tum	tum
tung	werfen	release
tupolev	tupolev	tupolev, as in alexei tupolev
tuscan	toskanisch	(proper noun) tuscan
tutsi	tutsi	(proper noun) tutsi
tuvalu	tuvalu	(proper noun) tuvalu, a polynesian island nation
tuy	jedoch	however
tuyên	erklären	"(should be ""tuyên ngôn"") a declaration"
tuyết	schnee	snow (n.)
tuyền	tuyen	tuyen
tuyển	rekrutierung	recruit
tuyệt	großartig	excellent (adj.)
tuân	gehorche	comply
tuông	spülen	jealous
tuý	tuyý	drug
tuần	woche	week
tuế	minnows	years
tuệ	weisheit	intelligence
tuốc	zupfen	turbine
tuổi	alter	age
tuộc	krake	octopus
tuột	abrutschen	slip
tuỳ	optional	depend
tv	tv	tv
tvb	tvb	tvb
twin	zwilling	twin
twitter	twitter	twitter
ty	ty	company
type	typ	type
typhon	taifun	typhon
tà	böse	we
tài	glück	talent (n.)
tàn	asche	dying
tàng	museum	"(should be ""bảo tàng"") a museum"
tành	tanh	shatter
tàu	schiff	ship
tá	dutzend	"(term should be ""thiếu tá"") major (n.)"
tách	tasse	to separate
tái	re	return
tám	acht	eight
tán	baldachin	support
tánh	tanh	life
táp	tippen sie auf	to lap at (v.)
táu	schuldig	ashton
tâm	geist	tâm
tâu	mein herr	peach
tây	westen	western
tâynam	westnam	"(should be ""tây-nam"") southwest"
tã	windeln	diaper
tét	kreischen	tet
tê	taub	numb
tên	der name	name (n.)
tì	milz	to lean on (v.)
tìm	finden	find
tìmdiệt	suche	find-kill
tình	liebe	sex
tía	lila	dad
tích	produkt	"(term should be ""tích cực"") to be zealous (adv.)"
tím	lila	purple
tín	credits	"(entire term should be ""tín dụng"") credit"
tít	überschrift	"(term should be ""tít mù"") very far away (adv.)"
tò	neugier	curious
tòa	gericht	a court
tòi	zeug	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	tong	tòng, a last name
tóm	kompendium	summary
tô	schüssel	car
tôi	ich	i
tôm	garnelen	shrimp
tôn	gewellt	venerate
tông	karton	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	gefängnis	prison
tùng	ersatz	tung
tùy	optional	depend on
túc	genügsamkeit	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	tasche	pocket
túm	greifen	catch
túng	umständlich	confuse
túp	hütte	hut
túy	droge	"(term should be ""thuần túy"") pure (adj.)"
tý	ratte	mouse, as in year of the mouse
tăm	zahnstocher	"(term should be ""tiếng tăm"") reputation"
tăng	erhöhen	increase
tĩnh	statisch	calm
tơi	ich	ragged
tư	von	posture
tưng	wackelig	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	frisch	fresh
tương	ähnlich	"(term should be ""tương tự"") to be similar to"
tước	ausgezogen	title (n.)
tưới	gießen	irrigation
tướng	allgemein	prime minister (thu tuong)
tường	wand	"a common vietnamese first name; means ""wall"""
tạ	langhantel	weight
tạc	skulptur	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	bei	survival
tạm	vorläufig	temporary
tạo	erstellen	create
tạp	magazin	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	beschreibung	describe
tản	dissipation	disperse
tảng	plattform	platform
tấc	zoll	inch
tấm	teller	mirror
tấn	tonnen	tan
tấp	gezogen	crowded
tất	socken	all
tấu	instrumental	tau
tầm	spiele	range or extent (n.)
tần	frequenz	"(term should be ""tần số"") frequency (n.)"
tầng	boden	layer
tầu	zug	ship
tẩm	imprägniert	soak
tẩy	radiergummi	to bleach
tận	ende	dedicated
tật	behinderung	disease
tắc	schalter	priciple
tắm	nimm ein bad	bathing
tắt	aus	initial
tặc	hacker	"(term should be ""hải tặc"") a pirate (n.)"
tặng	spenden	donate
tẻ	eintönig	lẻ tẻ= scattered
tết	tet	(proper noun) the vietnamese new year
tếxã	wirtschaftlich	economy - society
tề	qi	tidy
tể	herr	lord
tệ	schlecht	bad
tệp	datei	file
tỉa	getrimmt	"(term should be ""bắn tỉa"") to snipe"
tỉnh	provinz	province
tị	neid	refugee
tịch	präsident	"(""chủ tịch"") president or chairman"
tọa	koordinaten	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	ausgedrückt	to
tỏa	ausstrahlen	radiate
tỏi	knoblauch	garlic
tốc	geschwindigkeit	speed
tốn	kosten	to cost (v.)
tống	eskorte	dispose
tốp	bande	top
tốt	gut	good
tồi	schlecht	bad
tồn	existieren	exist
tổn	verletzt	damage
tổng	insgesamt	president
tộc	clan	"(term should be ""dân tộc"") a race or people"
tội	verbrechen	crime
tột	extrem	extreme
tớ	ich	servant
tới	zu	to the point
tờ	blatt	paper/document
tởm	widerlich	disgusting
tục	profan	"(term should be ""tập tục"") customs or practices"
tụy	bauchspeicheldrüse	"(term should be ""tận tụy"") devoted (adj.)"
tủ	schränke	shelf
tủi	schlecht	humiliated
tủy	medulla	spine
tức	sofort	i.e.
từ	von	from
từng	jeweils	each
tử	tod	lion (su tu)
tửu	trinken	wine
tự	selbst	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	titel	lean
tựu	erfolge	achievement
tỵ	schlange	the han name for the year of the snake, according to the chinese zodiac
tỷ	milliarden	billion
u	u	tumor
ua	ua	ua
uae	vae	uae
ubuntu	ubuntu	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	uefa	uefa
uh	äh	uh
uk	großbritannien	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ukraine	ukraine
ulsan	ulsan	ulsan
umm	umm	umm
un	un	(proper noun) un, as in chung un chan of korea
und	und	und
under	unter	under
unesco	unesco	unesco
ung	ung	cancer
unicorn	einhorn	unicorn
unit	einheit	unit
unix	unix	unix
up	ups	up
ural	ural	ural, as in the ural mountains
urani	uran	uranium
uri	uri	uri, a former political party in south korea
uruguay	uruguay	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	uss	uss
utah	utah	utah
utrecht	utrecht	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	uigurisch	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyen	scholarly
uyển	euphemismus	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	usbekistan	uzbekistan
uông	uong	uong
uất	uất	busy
uốn	biegen	to curl (v.)
uống	zu trinken	to drink
uổng	verschwenden	vain
v	v	v
va	va	collide
vaccine	impfstoff	vaccine
vai	schulter	shoulder
valencia	valencia	valencia
valentine	valentinstag	valentine
valley	tal	valley
van	van	"(term should be ""van xin"") to beg (v.)"
vanessa	vanessa	vanessa
vargas	vargas	(proper noun) vargas
vasari	vasari	vasari
vay	ausleihen	borrow
vectơ	vektor	vector
ven	ven	"(term should be ""ven biển"") coastal (adj.)"
vendôme	vendôme	vendome
venezia	venezia	venice
venus	venus	venus
verdun	verdun	verdun
vermont	vermont	vermont
verona	verona	(proper noun) the city of verona
versailles	versailles	(proper noun) versailles
vhs	vhs	vhs
vi	en	behavior
viagra	viagra	viagra
victor	sieger	(proper noun) victor
victoria	victoria	victoria, a province of australia
vienna	wien	(proper noun) vienna, austria
viet	viet	vietnamese
vietnam	vietnam	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	wikinger	viking
villa	villa	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	vince	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	vincent	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	virginia	(proper noun) virginia, as in the state
virus	virus	virus
virút	virus	virus
vissarionovich	vissarionovich	vissarionovich
vista	aussicht	vista, as in windows vista
vitamin	vitamine	vitamin
vitruvius	vitruvius	vitruvius
viz	nämlich	(proper noun) viz
viêm	entzündung	inflammation
viên	tabletten	member
viêng	viang	vientiane
viêt	schreiben	vietnam
viếng	besuchen	visit
viết	schreibe	write
việc	arbeit	thing
viện	institut	institute
việt	vietnamesisch	viet
việtmường	vietnamesischer muong	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	vn	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	elefant	elephant
voip	voip	voip
voldemort	voldemort	(proper noun) voldemort, the villain from the harry potter series
von	von	compare
vonfram	wolfram	wolfram
vong	opfer	injured
voyager	reisende	voyager
voọc	languren	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	könig	king
vui	spaß	happy
vulcan	vulkanisch	vulcan
vuông	quadrat	square
vuốt	krallen	stroke
vv	usw.	etc.
vy	vy	vy
vyacheslav	vyacheslav	vyacheslav
và	und	and
vài	wenige	several
vàm	vm	the mouth of a rivulet (n.)
vàng	gold	gold
vành	felge	coronary
vào	auf	into
vá	patch	patchy
vác	tragen	to shoulder (v.)
vách	wand	wall
vái	ja	some
ván	planke	game
váng	abschaum	film
váy	rock	skirt
vân	so weiter	"(term should be ""vân vân"") et cetera"
vây	fin	encircle
vã	eilte	rush
vãi	scheiße	to release
vãn	van	save
vè	pinkeln	to glance slyly (v.)
vé	tickets	ticket
vét	bagger	plunder
vê	über	tremolo
vì	wegen	because
ví	geldbörse	example
vía	brieftasche	soul
vít	schraube	screw
vò	zerknittert	jar
vòi	schlauch	tap
vòm	bögen	upper jaw
vòng	rund	around
vó	hoooo	hooves
vóc	körperbau	"(should be ""vóc sương"") dew-like or delicate"
vô	nein	"(term should be ""vô số"") countless (adj.)"
vôi	kalk	limestone
võ	kriegerisch	martial arts (n.)
võng	hängematte	hammock
vùi	begraben	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	region	region
vú	brüste	breast (n.)
vút	hochfliegend	"entire term should be ""cong vut""; extreme curling"
văn	gepostet	culture
văng	spritzen	a name
vĩ	großartig	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	dauerhaft	ving
vũ	vu	armed
vũng	pfütze	vung
vơ	hilflos	lost
vơi	mit	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	erreichen	reach
vương	könig	kingdom
vướng	verwickelt	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	garten	garden
vượn	affen	gibbon
vượt	passieren	to overcome
vạ	so	unfortunate problem
vạc	kessel	cauldron
vạch	bar	bar
vại	tank	jar
vạn	zehntausend	thousand
vạng	dämmerung	twilight
vả	abb	hard
vải	tuch	fabric
vảy	skalen	scale
vấn	beratung	vấn đề= problem
vấp	stolperte	stumble
vất	wegwerfen	hard
vần	reim	spell
vầng	heiligenschein	moon (vang trang)
vẩn	immer noch	wander
vẩy	flocken	scale
vẫn	immer noch	still
vẫy	winken	wave
vận	glück	active
vắc	impfstoff	vaccine
vắcxin	impfstoff	vaccine
vắn	kurz	short
vắng	abwesend	absent
vặn	schraube	to twist (v.)
vặt	kleinanzeigen	odd
vẹn	integrität	complete
vẹt	papageien	parrots
vẽ	zeichnen	draw
vết	fleck	wound
vểnh	barsch	warping
vệ	verteidigung	"(term should be ""bảo vệ"") to defend (v.)"
vệt	streifen	streak
vỉa	nähte	"(term should be ""vỉa hè"") sidewalk"
vịnh	bucht	bay
vịt	ente	duck
vọng	hoffnung	"(term should be ""hy vọng"") hope (n.)"
vọt	explodieren	to spurt out (v.)
vỏ	shell	shell
vồ	hammer	"(term should be ""gạch vồ"") a type of brick"
vỗ	pat	to clap
vội	beeilen sie sich	hurriedly (adv.)
vớ	socken	"(term should be ""vớ vẩn"") silly (adj.)"
với	mit	to
vớt	gerettet	salvage
vờ	so tun als ob	"(term should be ""giả vờ"") to pretend (v.)"
vời	großartig	wonderful
vở	notizbuch	"(term should be ""vở kịch"") a play"
vỡ	kaputt	break
vợ	frau	wife
vụn	chips	debris
vụng	ungeschickt	covert
vứt	wegwerfen	throw away
vừa	mittel	just (adv.)
vừng	sesam	sesame (n.)
vững	fest	firm (adj.)
vực	feld	place
vựng	wortschatz	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	so	majestic
w	w	w
wa	wa	wa
walt	walzer	(proper noun) walt, as in walt disney
walter	walter	walter
walther	walther	walther
wan	wan	wan
wang	wang	wang
wankel	wankel	(proper noun) wankel
wanna	will wollen	wanna
warren	warren	a name
warsaw	warschau	warsaw
warszawa	warszawa	(proper noun) warsaw
washington	washington	(proper noun) washington
wat	wat	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	wassertor	watergate
waterloo	waterloo	(proper noun) waterloo
waters	wasser	waters
wayne	wayne	wayne
wcdma	wcdma	w-cdma
weasley	weasley	weasley, as in ron weasley in the harry potter series
weblog	weblog	weblog
webmail	webmail	ưebmail
weimar	weimar	(proper noun) weimar
wellington	wellington	wellington
wells	brunnen	wells, as in author orson wells
welsh	walisisch	(proper noun) welsh, as in the welsh language
wembley	wembley	wembley, as in wembley stadium
werner	werner	werner
westermarck	westermarck	westermarck
western	westlich	western
westlife	westleben	westlife
westview	westview	westview, as in westview press
wheeler	wheeler	a name
widener	verbreiterung	widener
wien	wien	wien
wiener	wiener	wiener
wifi	wifi	wi-fi, a technology term
wiki	wiki	wiki
wikia	wikia	a name
wikibooks	wikibooks	(proper noun) wikibooks
wikimapia	wikimapia	wikimapia
wikimedia	wikimedia	wikimedia
wikitravel	wikitravel	a name
wild	wild	wild
wilder	wilder	(proper noun) wilder, as in billy wilder
wiley	wiley	wiley
willard	willard	willard
wimbledon	wimbledon	wimbledon
windows	fenster	windows
winer	weiner	winer
wisconsin	wisconsin	(proper noun) wisconsin
within	innerhalb	within
without	ohne	without
wolfgang	wolfgang	wolfgang
won	gewonnen	won
wong	wong	wong
woodrow	woodrow	woodrow
woods	wald	(proper noun) woods, as in tiger woods
would	würde	would
wrestling	wrestling	wrestling
wright	wright	a name
wu	wu	wu
wushu	wushu	wushu, a type of martial art
wwf	wwf	wwf
xa	weit weg	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	grün	green
xao	schlaff	xôn xao = chatting
xay	mahlen	grind
xe	auto	a car (n.)
xem	siehe	watch
xen	interlaced	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	bitte	please
xinh	schön	beautiful
xiv	xiv	fourteenth
xiêm	siamesisch	(proper noun) xiêm, or siam
xiên	schräg	oblique
xiêu	xiao	soften
xiếc	zirkus	circus
xiết	festziehen	to twist tightly (v.)
xiềng	fesseln	chain
xo	xo	spring
xoa	reiben	massage
xoay	drehen	turn
xong	fertig	completed
xoàng	mittelmäßig	mediocre
xoá	löschen	delete
xoáy	wirbeln	vortex
xoắn	verdreht	coiled
xu	cent	trend
xua	zerstreuen	dispel
xuan	xuan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	pech gehabt	incite
xuka	xuka	xuka
xum	üppig	a name
xuyên	piercing	frequently
xuyến	torso	manage
xuân	frühling	spring
xuâncông	frühling	xuan public
xuôi	gefegt	down
xuất	exportieren	ejaculate
xuấtnhập	exportieren	import/export
xuống	runter	down
xuồng	kanu	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	xx	xx
xy	xy	cylinder
xài	ausgeben	use
xào	sautiert	stir fry
xách	handtasche	to carry by the handle (v.)
xám	grau	ustox
xán	gebraten	"(term should be ""xán lạn"") bright (adj.)"
xáo	störung	chaos
xát	reiben	touch
xâm	tätowiert	invasion
xâu	zeichenfolge	string
xây	bauen	build
xã	kommune	society
xãy	launisch	occur
xèo	xèo	xeo
xé	reißen	tear
xén	zuschneiden	"(term should be ""biếu xén"") to gift (v.)"
xéo	schräg	diagonally (adv.)
xét	überlegen	examine
xê	bewegen	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	suneo	xeko
xì	furz	scandal
xìu	furz	to become flaccid (v.)
xí	fabrik	factory (xi nghiep)
xít	faszinierend	nazi
xíu	winzig	small
xòe	verbreiten	spread
xóa	löschen	clear
xói	erosion	erode
xóm	nachbarn	village
xót	gnade	mercy
xô	eimer	soviet
xôi	klebreis	pierce
xôn	rühren	tumultuous
xông	eilte	rush
xôphần	schaufelabschnitt	soviet-poland
xôviết	sowjetunion	soviet
xù	gekräuselt	gigantic
xú	unhöflich	xu
xúc	kontakt	touch
xúi	provozieren	induce
xăm	tätowierung	"(term should be ""xa xăm"") far away (adj.)"
xăng	benzin	gasoline
xơ	faser	xo
xưa	alt	old
xưng	gestehen	"(should be ""tự xưng"") self-proclaimed"
xương	knochen	bone (n.)
xước	zerkratzt	scratch
xướng	chor	provoke
xưởng	werkstatt	workshop
xạ	strahlung	"(term should be ""phản xạ"") to reflect"
xả	entladung	release
xảo	schlau	detailed
xảy	auftreten	happen
xấp	ca.	approximate
xấu	schlecht	bad
xẩm	zottelig	a type of traditional vietnamese singing
xẩy	auftreten	occur
xắt	schneiden	cut
xẻo	pech gehabt	cut off
xếp	gefaltet	rank
xỉ	schlacke	approximately
xỉa	zahnseide	to pick (v.)
xỉu	schwach	to faint
xốc	schock	to lift up (v.)
xốp	porös	porous
xổ	verlosung	rush into
xộn	chaotisch	messy
xứ	gemacht	native
xứng	würdig	appropriate
xử	behandeln	judge
y	y	medical
y=fracsin	y = fracsin	a function
ya	ya	(proper noun) ya, as in ya trang
yakovlev	yakovlev	yakovlev
yakushima	yakushima	yakushima
yalta	jalta	(proper noun) yalta
yankee	yankee	(proper noun) yankee
yard	hof	yard
yasha	yasha	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	jelzin	yeltsin, as in boris yeltsin
yemen	jemen	yemen
yersin	yersin	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	yo	yo
yomiuri	yomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	yorker	yorker
yorkshire	yorkshire	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	yu	yu
yuan	yuan	(proper noun) yuan, as in yuan mu
yucatán	yucatán	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	yuri	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	jurte	yurt
yên	yen	peace or stillness (n.)
yêu	liebe	love
yếm	overalls	tender
yến	vogelnest	a type of swallow (n.)
yết	auflistung	yet
yếu	schwach	mainly
yểm	abdeckung	support
yển	yen	"is a name meaning, ""bird"""
yểu	schön	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	sambia	(proper noun) zambia, as in the nation
zealand	neuseeland	(proper noun) zealand, as in new zealand
zedong	zedong	mao zedong
zero	null	zero
zeus	zeus	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	simbabwe	zimbabwe
zinedine	zinedine	(proper noun) zinedine
zing	zing	zing, as in the website
zoe	zoe	zoe
zurich	zürich	(proper noun) zurich
zürich	zürich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	schwimmt	"(term should be ""nổi"") to float (v.)"
|petya	petya	(proper noun) petya
|tên	name	"(should be ""tên"") name (n.)"
|việt	vietnamesisch	vietnam
 kg	kg	kg
 triệu	millionen	million
 °c	° c	degrees celsius
°đến	° bis	up to
°độ	° grad	degree
×	×	x
ào	wow	rush
á	á	asia
ác	böse	evil
ách	joch	yoke (n.)
ái	verlangen	ai
ám	rendert	(with the word chi) to hint at
ánh	glanz	light
áo	mantel	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	druck	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	negativ	vagina
ân	gunst	deed
én	schluckt	swallow
ép	gedrückt	press
êgê	ego	aegean
êm	glatt	smooth
ích	nützlich	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	wenig	less
île	île	Île, as in Île de la cité, france
îledefrance	îledefrance	ile-de-france
ðiều	artikel	article
ðài	ðài	taiwan
ðường	zucker	a road
ðảng	party	party
ðức	deutschland	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	gehirn	brain
óng	schillernd	"(term should be ""óng ả"") flexible"
ôi	oh	"vietnamese version of the exclamation ""oh"""
ôm	umarmung	hug
ôn	moderation	peaceful (on hoa)
ông	herr	a man (n.)
ôtô	autos	car
ôxi	sauerstoff	oxygen
ôxy	sauerstoff	the element oxygen (n.)
ôxít	oxid	oxide
ôzôn	ozon	ozone
ùn	marmeladen	congest
úng	durchnässt	flood
úp	verdeckt	upside
úy	leutnant	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	italien	italian
ăn	essen	eat
ăng	ameise	antenna
