$ tỉ	billion பில்லியன்	$ billion
hẻo	ஒதுங்கிய	outback
hến	மஸ்ஸல்ஸ்	mussel
hết	ஓவர்	most
hề	கோமாளி	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	அமைப்பு	relation
hệt	ஒத்த	exactly
hỉ	அடி	happy
hịch	துட்	a proclamation
họ	குடும்ப பெயர்	they (n.)
họa	கலை	picture
họach	திட்டம்	"(term should be ""quy hoạch"") a project (n.)"
học	அறிய	study (v.)
họng	தொண்டை	throat
họp	சந்தித்தல்	meet
hỏa	தீ	fire
hỏng	உடைந்த	corruption
hố	குழி	hole
hốc	முக்கிய இடங்கள்	cavity
hồ	ஏரி	ho
hồi	சோம்பு	muslim
hồn	ஆன்மா	soul
hổ	புலி	tiger
hổi	ஹு	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	இடைவெளி	hole
hỗ	ஆதரவு	"(should be ""hỗ trợ"") to support or assist"
hỗn	கலப்பு	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	திருவிழா	society
hộp	பெட்டி	box
hới	திறந்த	hoi
hớn	கத்தினான்	"(term should be ""hớn hở"") radiant (adj.)"
hờn	sulky	hatred
hở	திறந்த	reveal
hỡi	ஓய்	dear
hợi	பன்றி	pig (n.)
hợp	மிகவும் பொருத்தமானது	appropriate
hợpquận	சம்மதம்	general district
hụt	பற்றாக்குறை	loss
hủi	தொழுநோயாளி	reject
hủy	ரத்துசெய்	to erase or destroy
hứa	வாக்குறுதி	promise
hử	ஹூ	hu
hửu	ஹூ	"(term should be ""sở hửu"") to own (v.)"
hữu	சொத்து	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	ஹு	again
hỷ	ஹை	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	ஐபீரியா	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ஓ அப்படியா	ic
icc	icc	icc
iceland	ஐஸ்லாந்து	(proper noun) the country of iceland
ide	ஐடி	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	மாயை	illusion
ilyich	ilyich	ilyich
im	im	still
imam	இமாம்	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	இம்மானுவேல்	(proper noun) immanuel, as in immanuel kant
impact	தாக்கம்	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	இந்தியன்	indian
indiana	இந்தியானா	indiana
indochina	இந்தோசினா	indochina
indonesia	இந்தோனேசியா	indonesia
indrapura	இந்திரபுரா	(proper noun) indrapura
info	தகவல்	info
innsbruck	innsbruck	innsbruck
insulin	இன்சுலின்	insulin
int	எண்ணாக	int
intel	இன்டெல்	(proper noun) intel, as in the name of the company
interpol	இன்டர்போல்	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	அயன்	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	ஈராக்	iraq
ireland	ireland	ireland
irgun	irgun	irgun
irony	முரண்	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	இஸ்லா	isla
islam	இஸ்லாம்	islam
islamabad	இஸ்லாமாபாத்	(proper noun) islamabad
israeli	இஸ்ரேலி	israeli
istanbul	இஸ்தான்புல்	istabbul
italia	இத்தாலியா	italy
italiano	இத்தாலியன்	(proper noun) italiano
itanium	இட்டானியம்	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	பலா	jack
jackie	ஜாக்கி	(proper noun) jackie chan
jackson	ஜாக்சன்	(proper noun) jackson, as in michael jackson
jacob	ஜாகோப்	jacob
jae	ஜே	jae
jakarta	ஜகார்த்தா	(proper noun) jakarta
jan	ஜான்	(proper noun) jan
janeiro	ஜானிரோ	janeiro
janet	ஜேனட்	janet
japan	ஜப்பான்	japan
jared	ஜாரெட்	jared
jarvis	ஜார்விஸ்	(proper noun) jarvis, as in jarvis cocker
jasper	ஜாஸ்பர்	(proper noun) jasper
jean	ஜீன்	jean
jeane	ஜீன்	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	ஜீன்பால்	jeanpaul
jeans	ஜீன்ஸ்	jeans
jeet	ஜீட்	(proper noun) jeet, as in jeet kune do
jeff	ஜெஃப்	jeff, as in jeff drake
jefferson	ஜெஃபர்சன்	jefferson
jeffrey	ஜெஃப்ரி	jeffrey
jeju	jeju	jeju
jenda	ஜெண்டா	jenda
jenny	ஜென்னி	jenny
jericho	ஜெரிகோ	jericho, as in wrestler chris jericho
jerome	ஜெரோம்	jerome, as in fred jerome
jerry	ஜெர்ரி	(proper noun) jerry
jersey	ஜெர்சி	jersey
jerusalem	ஏருசலேம்	jerusalem
jesse	ஜெஸ்ஸி	a name
jesus	கிறிஸ்தவ சமயத்தை தோற்றுவித்தவர்	chua jesus
jetstar	ஜெட்ஸ்டார்	jetstar
jewish	நகை	jewish
jiao	ஜியாவோ	jiao
jimmy	ஜிம்மி	jimmy
jin	ஜின்	jin
jing	ஜிங்	jing
jiraiya	ஜிரையா	(proper noun) jiraiya
joachim	joachim	joachin
joan	ஜோன்	a name
joe	ஓஹோ	(proper noun) joe
johan	ஜோஹன்	johan
johann	ஜோஹான்	johann
johannes	ஜோஹன்னஸ்	johannes
johannesburg	ஜோகன்னஸ்பர்க்	(proper noun) johannesburg, south africa
johnny	ஜானி	johnny
johns	ஜான்ஸ்	johns
johnston	ஜான்ஸ்டன்	johnston, as in harry johnston
johor	johor	johor
joint	கூட்டு	joint
jonathan	ஜொனாதன்	(proper noun) jonathan
jones	ஜோன்ஸ்	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	ஜோசான்	(proper noun) joseon
joseph	ஜோசப்	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	ஜூடித்	judith
judo	ஜூடோ	judo, the martial art
julesverne	julesverne	jules verne
julliard	ஜல்லியார்ட்	(proper noun) julliard
jump	குதி	jump
june	ஜூன்	june, as in the month
jung	ஜங்	jung
junsu	junsu	junsu
jupiter	வியாழன்	(proper noun) jupiter, as in the planet
jura	ஜூரா	(proper noun) jura
juventus	ஜுவென்டஸ்	juventus
k	கே	k
kaede	kaede	a japanese name
kaffee	காஃபி	(proper noun) kaffee, as in kaffee hag
kagome	ககோம்	kagome, as in higurashi kagome
kahn	கான்	kahn
kai	கை	kai
kakashi	ககாஷி	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	பொட்டாசியம்	potassium
kama	காமா	(proper noun) kama, as in the kama sutra
kamakura	காமகுரா	kamakura
kamov	காமோவ்	kamov
kampf	kampf	kampf
kampong	கம்போங்	kampong
kampuchea	kampuchea	cambodian
kana	கானா	kana, the japanese phonetic alphabet
kangin	காங்கின்	(proper noun) kangin
kanji	காஞ்சி	kanji
kant	காந்த்	a name
kar	கர்	(proper noun) kar
kara	காரா	kara
karaoke	கரோக்கி	karaoke
karate	கராத்தே	karate
karatedo	karatedo	karatedo
karen	கரேன்	(proper noun) karen
karim	கரீம்	(proper noun) karim
kashmir	காஷ்மீர்	kashmir
kaspersky	காஸ்பர்ஸ்கி	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	கட்டகனா	katakana, a type of japanese script
kate	கேட்	(proper noun) kate, as in actress kate winslet
katherine	கேத்ரின்	katherine
kathmandu	காத்மாண்டு	kathmandu
katrina	கத்ரீனா	(proper noun) katrina, as in hurricane katrina
katz	காட்ஸ்	katz
kauthara	க ut தாரா	kauthara, a part of the ancient kingdom of champa
kavkaz	காகசஸ்	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	கே	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	கே	"(term should be ""boong ke"") a bunker (n.)"
kelly	கெல்லி	kelly
kelsi	kelsi	kelsi
kelvin	கெல்வின்	kelvin
kem	கிரீம்	ice cream (n.)
ken	கென்	ken
kennedy	கென்னடி	(proper noun) kennedy, as in john f. kennedy
kenneth	கென்னத்	(proper noun) kenneth, a name
kenny	கென்னி	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	கெப்லர்	kepler
kerala	kerala	(proper noun) kerala
kevin	கெவின்	kenvin
keynes	கீன்கள்	keynes, as in economist john maynard keynes
kg	கிலோ	kilogram
kha	கா	(proper noun) a vietnamese first name
khai	அறிவிப்பு	announce
khali	காளி	(proper noun) khali
khalip	காலிப்	(proper noun) khalip
kham	காம்	endure
khan	நீரிழிவு	rare
khang	காங்	khang
khanh	khanh	khanh
khao	ஏங்குதல்	desire
khay	தட்டு	tray
khe	ஸ்லாட்	chink
khem	கெம்	abstinence
khen	புகழ்	praise
kheo	ஸ்டில்ட்களில்	kheo
khi	எப்பொழுது	when
khieu	புரியவில்லை	(proper noun) khieu, as in khieu samphan
khiêm	சாதாரண	khiem
khiên	கவசம்	a shield
khiêu	சிற்றின்பம்	"('khiêu dâm"") pornographic"
khiếm	பலவீனமான	lack
khiến	காரணம்	control
khiếp	பயந்துபோனது	horrible
khiếu	லாட்ஜ்	talent (n.)
khiển	கட்டுப்பாடு	control
khleang	khleang	kh'leang
kho	கிடங்கு	warehouse
khoa	ஆசிரிய	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	துரப்பணம்	drill
khoang	குழி	brag
khoanh	மோதிரம்	a slice (n.)
khoe	காட்டும்	to boast
khoá	பூட்டு	lock
khoác	ஓவர் கோட்	coat
khoán	பங்கு	stock
khoáng	தாது	mineral
khoát	உறுதியான	decisive
khoét	வெட்டு	carve
khoăn	fret	disturbed
khoả	நிர்வாணமாக	naked
khoản	பொருள்	an item (n.)
khoảng	தோராயமாக	about
khoảnh	தருணங்கள்	moment
khoẻ	நன்றாக இருக்கிறது	health
khrushchev	க்ருஷ்சேவ்	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	காலாண்டுகளில்	section
khung	பிரேம்கள்	frame
khural	குரல்	khural
khuynh	இடது	trend
khuyên	ஆலோசனை	advise
khuyết	குறைபாடு	lack
khuyển	நாய்	khuyen
khuất	மறைக்கப்பட்டுள்ளது	hidden
khuấy	அசை	stir
khuẩn	பாக்டீரியா	bacteria
khuếch	பெருக்க	amplification
khuỷu	முழங்கை	elbow
khá	மாறாக	quite
khác	மற்றவை	different
khách	விருந்தினர்	customer
khái	கருத்துரு	concept
khám	தேர்வு	discover
khán	பார்வையாளர்கள்	audience
kháng	எதிர்ப்பு	appeal
khánh	சுதந்திரம்	a type of chime made of stone (n.)
khát	தாகம்	to be thirsty for (adj.)
khâm	காம்	admire
khèn	ஐயோ	a pan-pipe (n.)
khéo	தனித்துவமானது	cleverly or skillfully (adv.)
khép	நெருக்கமான	close
khía	உச்சநிலை	"(term should be ""khía cạnh"") angle (n.)"
khích	ஊக்குவிக்கவும்	encourage
khít	நெருக்கமான	close
khó	கடினம்	difficulty
khóa	பூட்டு	a session
khóc	கலங்குவது	cry
khói	புகை	smoke
khóm	அன்னாசி	a cluster
khô	உலர்ந்த	dry
khôn	பாண்டித்தியம்	clever, intelligent
không	இல்லை	not
khúc	பிரிவு	song
khăm	துர்நாற்றம் வீசுகிறது	nasty (adj.)
khăn	துண்டு	difficult
khơi	கடல்	sea
khư	கோ	grip
khưu	khưu	khuu
khước	மறுக்க	waive
khả	சாத்தியம்	"(term should be ""khả năng"") ability (n.)"
khải	வெளிப்பாடு	triumph
khảm	மொசைக்	to encrust
khảo	தேர்வு	"(term should be ""tham khảo"") to consult (v.)"
khấm	துளைத்தது	endure
