$	dollarni tashkil etadi	a sign of doller
છેતરપિંડી	firibgarlik	cheating
છેતે	anavi	is there that
છેપરંતુ	ammo	is there, but
છેમાં	ichida	is in
છેયુનાઇટેડ	birlashgan	is there. united
છેલ્લા	oxirgisi	last
છેલ્લાં	oxiri	last
છેલ્લી	oxirgisi	last
છેલ્લુ	oxiri	last,
છેલ્લું	oxiri	last
છેલ્લે	va nihoyat	at last
છેલ્લો	oxiri	last
છેવટે	va nihoyat	at last
છેસતિષચંદ્ર	satish chandra	"name ""satish chandur"""
છેસામાન્ય	bu normal holat	is normal
છો	xohlagan bo&#39;lardim	you can be
છોડ	o&#39;simliklar	plant
છોડની	o&#39;simliklardan	of plant
છોડવા	tark etmoq	plants
છોડવાની	tark etmoq	left/leave
છોડવામાં	ishdan bo&#39;shatildi	leaving
છોડી	chapga	to release
છોડીને	ketish	leave
છોડો	ketish	leave
છોડોની	o&#39;simliklardan	leave
છોડ્યો	chapga	left
જ	j	j
જંગ	jung	fight / war
જંગલ	o&#39;rmon	jungle / forest /wood
જંગલના	o&#39;rmondan	of jungle
જંગલની	o&#39;rmondan	of forest / wood
જંગલમાં	o&#39;rmonda	in forest
જંગલી	yovvoyi	wild
જંગલો	o&#39;rmonlar	jungles
જંગી	katta	huge
જંતુઓ	hasharotlar	insect
જઇ	boring	going
જઇને	borib	went
જઈ	boring	gone
જઈને	bormoqda	lived
જગ	ko&#39;za	world
જગત	dunyo	world
જગતને	dunyoga	world
જગતમાં	dunyoda	in world
જગન્નાથ	yagannat	jagannath
જગ્યા	bo&#39;shliq	place
જગ્યાએ	joyida	at place
જગ્યાએથી	joydan tashqari	from places
જગ્યાઓ	bo&#39;shliqlar	places
જગ્યાઓએ	joylarda	at places
જગ્યાનાં	bo&#39;sh joy	at place
જગ્યાની	bo&#39;sh joy	of place
જગ્યામાં	kosmosda	place
જટિલ	kompleks	complex
જટિલતા	murakkablik	complexity
જણ	kishi	persons
જણાય	qarang	assume
જણાયું	e’tibor bergan	found
જણાવવામાં	tayyorlangan	informing
જણાવી	tayyorlangan	informed
જણાવે	shtatlar	informs
જણાવ્યા	tayyorlangan	knowing
જણાવ્યું	tayyorlangan	said
જતા	ketmoqda	spending og going
જતાં	bormoqda	gone
જતી	uchish	going
જતું	gone	go
જતો	gone	going
જથ્થાબંધ	ulgurji savdo	wholesale
જથ્થામાં	miqdorda	in lot,
જથ્થો	miqdori	volume
જન	odamlar	civilian,
જનક	janak	name of king
જનતા	ommaviy	masses
જનતાના	ko&#39;pchilik orasida	of the people
જનતાને	aholiga	to public
જનરલ	umumiy	general
જનરેશન	avlod	generation
જનસંખ્યા	aholisi	human population
જન્મ	tug&#39;ilgan	birth
જન્મથી	tug&#39;ilganidan	from birth
જન્મદિવસ	tug&#39;ilgan kun	birthday
જન્મની	tug&#39;ilgan kun	by birth
જન્મભૂમિ	vatan	motherland
જન્મમાં	tug&#39;ilganda	in birth
જન્મસ્થળ	tug&#39;ilgan joyi	birthplace
જન્મી	tug&#39;ilgan	born
જન્મે	tug&#39;ilgan	takes birth
જન્મેલા	tug&#39;ilgan	born
જન્મો	tug&#39;ilganlar	births
જન્મ્યા	tug&#39;ilgan	was born
જપ્ત	musodara qilingan	confiscate
જબ	qachon	when
જબરજસ્ત	ortiqcha	solid
જમણા	to&#39;g&#39;ri	right
જમણી	to&#39;g&#39;ri	right
જમવાની	ovqatlanish	to eat
જમા	omonat	deposit
જમાનામાં	vaqtlarda	generation
જમાવી	joylashtirilgan	make base
જમાવ્યું	joylashtirilgan	spread
જમાવ્યો	joylashtirilgan	established
જમિયલશા	jamialshoh	jamiyalsha
જમીન	quruqlik	land
જમીનથી	erdan	from land
જમીનના	erdan	land's
જમીનની	erdan	land's
જમીનનો	erdan	land's
જમીનમાં	erga	in earth
જમૈકા	yamayka	jamaica
જમ્મુ	jammu	city name
જમ્મૂ	jammu	city name
જય	jey	win
જયંત	jayant	jayant, name of boy or man
જયંતિ	yubiley	jubilee
જયદ્રથ	jayadrata	jaydrath
જયદ્રથનું	jayadrata	of jaydarth
જયદ્રથને	jayadrata	to jaydrath
જયસિંહ	jayisingh	jaisingh
જયા	jaya	jaya
જયાં	qayerda	where
જયાંથી	qayerdan	from where
જયારે	hozircha	when
જયોર્જ	jorj	george
જરૂર	ehtiyoj	required
જરૂરિયાત	ehtiyoj	need / requirement
જરૂરિયાતો	talablar	necessities
જરૂરી	kerakli	necessary
જરૂરીયાત	talab	requirement
જર્નલ	jurnal	journal
જર્મન	nemis	german
જર્મની	germaniya	germany
જર્મનીએ	germaniya	by germany
જર્મનીના	germaniya	germany's
જર્મનીની	germaniya	germany's
જર્મનીનું	germaniya	germany's
જર્મનીમાં	germaniyada	in germany
જર્મનો	nemislar	germans
જર્મનોએ	nemislar	germans
જલારામ	jalaram	jalaram
જલ્દી	tez kunda	quick
જલ્દીથી	tez kunda	immediately
જળ	suv	water
જળમાં	suvda	in water
જળવાઇ	saqlanadi	maintain
જળવાઈ	saqlanadi	preserved
જવલ્લેજ	kamdan kam	rare
જવા	bormoq	go
જવાથી	ketmoqda	having happened
જવાના	bormoq	of going
જવાની	bormoq	young
જવાનું	bormoq	went
જવાનો	bormoq	step / run
જવાબ	javob	answer
જવાબદાર	mas&#39;uliyatli	responsible
જવાબદારી	mas&#39;uliyat	responsibility
જવાબદારીઓ	vazifalar	responsibilities
જવાબમાં	bunga javoban	in answered
જવામાં	yurmoq	to go, to taken
જવાય	bormoq	go
જવાળામુખી	vulkan	volcano
જવાહરલાલ	javoharlal	jawaharlal
જવું	bormoq	go
જવો	boring	to go(increment or decreament)
જશે	boraman	will go
જશો	boraman	[you will] go
જહાંગીર	jahongir	jahangir, name of muslim king
જહાજ	kema	vessel
જહાજો	kemalar	ships
જહોન	jon	john
જા	boring	go
જાગૃત	uyg&#39;oning	aware / conscious
જાગૃતિ	xabardorlik	uprising
જાણ	hisobot	information
જાણકારી	ma `lumot	information
જાણતા	xalq	known
જાણતો	bilaman	knowing
જાણવા	o&#39;rganish	to know
જાણી	bilish bilan	knowing
જાણીએ	bizga xabar bering	know
જાણીતા	yaxshi ma&#39;lum	known
જાણીતાં	ma&#39;lum	known
જાણીતી	ma&#39;lum	known
જાણીતુ	ma&#39;lum	known
જાણીતું	ma&#39;lum	famous
જાણીતો	ma&#39;lum	known
જાણીને	bilish bilan	knowing
જાણે	biladi	know
જાત	sifat	self
જાતના	turlardan	of types
જાતનાં	turlar	different
જાતને	o&#39;zimiz	self
જાતા	bormoqda	done
જાતિ	irqi	species
જાતિઓ	turlar	species
જાતિના	zoti	cast
જાતિમાં	musobaqada	in species
જાતિય	jinsiy	sexual
જાતિવાદ	irqchilik	racialism
જાતીય	jinsiy	personal
જાતે	o&#39;zingiz	own
જાતો	turlar	going
જાદુ	sehrli	magic
જાદુઈ	sehrli	magic
જાદુગરીની	jodugarlik	of magic
જાન	jaan	life
જાનકી	janaki	janki
જાને	jeyn	to do
જાન્યુઆરી	yanvar	january
જાન્યુઆરીમાં	yanvar oyida	in january
જાપાન	yaponiya	japan
જાપાનના	yaponiya	japan's
જાપાનની	yaponiya	japan's
જાપાનને	yaponiyaga	to japan
જાપાનમાં	yaponiyada	in japan
જાપાની	yaponcha	japanese
જાપાનીઝ	yaponcha	japanese
જાપાને	yaponiya	japan
જામનગર	jamnagar	jamnagar
જામા	jama	jama
જાય	boradi	do
જારી	berilgan sana	continued
જાલંધર	jalandhar	jalndhar
જાળવણી	ta&#39;minot	preservation
જાળવવા	saqlash uchun	maintain
જાળવી	xizmat qiling	maintained
જાળસ્થળ	veb-sayt	website
જાળી	mesh	grill
જાવ	boring	go
જાવા	java	java
જાહેર	umumiy	open
જાહેરખબર	reklama	advertisement
જાહેરખબરો	reklama	advertisements
જાહેરમાં	omma oldida	in public
જાહેરાત	reklama	advertisment
જાહેરાતકારો	reklama beruvchilar	advertisers
જાહેરાતના	reklama to&#39;g&#39;risida	advertisement,
જાહેરાતની	reklama to&#39;g&#39;risida	of advertisement
જાહેરાતો	reklama	advertisements
જાહેરાતોના	reklama e&#39;lonlaridan	of advertisements
જાહેરાતોની	reklamalardan	of the advertisements
જાહેરાતોનું	reklama to&#39;g&#39;risida	of advertisement
જાહેરાતોને	reklama	to advertisements
જાહેરાતોમાં	reklamalarda	in advertisements
જિન	jin	those [hindi word in gujarati script]
જિલ્લા	tuman	districts
જિલ્લાઓ	tumanlar	districts
જિલ્લાના	tumanning	district's
જિલ્લાનાં	tumanning	of district
જિલ્લાની	tumanning	of district
જિલ્લાનું	tumanning	district
જિલ્લાનો	tumanning	district
જિલ્લામાં	tumanda	in district
જિલ્લો	tuman	district
જિલ્‍લામાં	tumanda	in distric
જિસે	jise	whom [hindi - urdu word]
જી	g	g.
જીએચ	gh	gh
જીએસએમ	gsm	gsm
જીડીપી	yaim	gdp
જીત	g&#39;alaba	victory
જીતવા	g&#39;alaba qozonish uchun	to win
જીતી	g&#39;alaba	win
જીત્યા	yutuq	win
જીત્યો	yutuq	won
જીમેલ	gmail	gmail
જીર્ણોધાર	yangilanish	repairing work
જીવ	maxluqot	life
જીવંત	jonli	live
જીવણ	hayot	jivan
જીવણને	hayotga	to jivan
જીવણે	yashamoq	jivan, name of a person
જીવતા	yashash	living
જીવતો	jonli	living
જીવન	hayot	life
જીવનકાળ	hayot paytida	lifetime
જીવનચરિત્ર	tarjimai hol	biography
જીવનના	hayotning	in life
જીવનનાં	hayotning	life's
જીવનની	hayotning	life
જીવનનું	hayotning	of the life
જીવનને	hayotga	life's
જીવનનો	hayotning	life's
જીવનમાં	hayotda	in the life
જીવને	hayotga	life
જીવલેણ	fatal	fatal
જીવવિજ્ઞાન	biologiya	biology
જીવિત	jonli	live
જીવે	jonli	living
જીવો	maxluqot	organisms
જીવ્યા	yashadi	lived
જુએ	ko&#39;radi	waiting
જુઓ	qarang	see
જુઓઃ	qarang:	see
જુથ	guruh	group
જુથો	guruhlar	groups
જુદા	turli xil	different
જુદાં	turli xil	different
જુદાજુદા	boshqacha boshqacha	different
જુદી	turli xil	different
જુદીજુદી	turli xil	different
જુદો	alohida	different
જુન	iyun	june
જુના	eski	old
જુનાગઢ	junagadx	junagadh / junagarh
જુનાગઢની	junagadxning	junagadh's
જુનિયર	kichik	junior
જુની	eski	old
જુનું	eski	old
જુનો	juno	old
જુમ્મા	jumma	jumma (week)
જુલાઇ	iyul	"month name ""july"""
જુલાઇનો	iyul	july's
જુલાઈ	iyul	july
જુલાઈમાં	iyul oyida	in july
જુવાર	jo&#39;xori	jowar
જુસ્સો	ehtiros	force
જૂઓ	qarang	see
જૂથ	guruh	group
જૂથના	guruhdan	group's
જૂથમાં	guruhlarda	in group
જૂથો	guruhlar	groups
જૂન	iyun	june
જૂનનો	iyun	june's
જૂના	eski	old
જૂનાગઢ	junagadx	junagadh city name
જૂની	eski	old
જૂનુ	eski	old
જૂનું	eski	old
જૂનો	eski	old
જે	j	who, some one,
જેઓ	jssv	those who
જેઓએ	jou	those who
જેક	jek	jack
જેટ	jet	jet
જેટલા	shuncha	about
જેટલાં	shuncha	that much
જેટલી	shuncha	as much
જેટલુ	shuncha	as much / that much
જેટલું	shuncha	as much
જેટલો	shuncha	as
જેઠ	jet	jeth gujarati calendar
જેણે	jssv	whom
જેતે	g&#39;alaba	of any type
જેથી	shuning uchun; ... uchun; ... natijasida	that is why
જેના	qaysi biri	of which, due to which
જેનાં	qaysi biri	whom
જેનાથી	qayerdan	by which
જેની	jenni	whose
જેનુ	genu	whose
જેનું	qaysi biri	whose
જેને	kimga	to whom
જેનો	qaysi biri	of
જેમ	yoqadi	such as
જેમકે	kabi	like
જેમજેમ	xuddi shunday	as
જેમણે	jssv	who
જેમના	kimning	whose
જેમની	kimning	whose
જેમનું	kimdan	whose
જેમને	kimga	to whom [plural]
જેમા	shu jumladan	in witch
જેમાં	qaysi qismida	in which
જેમાંથી	qaysi biri	from which
જેમાંના	qaysi biri	from which
જેમાંની	qaysi biri	which
જેમ્સ	jeyms	james
જેલ	qamoq	jail
જેલમાં	qamoqda	in prison
જેલમાંથી	qamoqdan	from jail
જેલવાસ	qamoq	custody,
જેવા	yoqadi	like
જેવાં	yoqadi	like
જેવાકે	kabi	such as
જેવી	yoqadi	like
જેવીકે	kabi	for example
જેવું	yoqadi	as
જેવો	yoqadi	like
જૈન	jayn	jain
જૈનો	jayns	jains
જૈન્	jayn	jain
જૈવિક	biologik	biological
જૈસે	kabi	as
જૉન	jon	john
જો	agar	if
જોઇ	ko&#39;rildi	after seeing
જોઇએ	kerak	wanted
જોઇને	ko&#39;rish	looking
જોઈ	qarayapti	to see
જોઈએ	kerak	need
જોઈને	ko&#39;rish	after seeing
જોકે	garchi	by the way
જોખમ	xavf	risk
જોખમમાં	xavf ostida	in risk
જોખમી	xavfli	dangerous
જોખમો	xavflar	chance
જોગવાઈ	ta&#39;minot	provision
જોડણી	imlo	spelling
જોડણીના	imlo	of spelling
જોડતા	ulanmoqda	jo inning, adjacent,
જોડતો	ulanmoqda	adjoining
જોડવામાં	ulangan	joined
જોડાઇ	qo‘shildi	connected
જોડાઈ	ulangan	attached
જોડાણ	ulanish	joint
જોડાણો	aloqalar	colloboration
જોડાય	qo‘shildi	attached
જોડાયા	qo‘shildi	joined
જોડાયેલ	ulangan	connected / related
જોડાયેલા	ulangan	connected
જોડાયેલી	ulangan	associated
જોડાયેલું	ulangan	attached
જોડાયેલો	ulangan	connected
જોડી	ulanish	pair
જોડીને	juftlikda	by joining
જોડે	ilova qiling	with
જોતા	ko&#39;rilmoqda	looking
જોતાં	berilgan	seeing
જોન	jon	john
જોયા	ko&#39;rilmoqda	seen
જોયું	ko&#39;rdi	seen
જોયો	qarang	seen
જોર	jor	force, pressure
જોરદાર	juda katta	rigorous
જોવા	ko&#39;rish uchun	seen
જોવાની	tomosha qilmoq	to see
જોવાનો	tomosha qilmoq	of waiting
જોવામાં	qaradi	seen
